Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2014-06-27,32.55,33.2,31.32,32.0,25.92,11796600,0.0,0
2014-06-30,32.68,33.9,32.68,33.51,27.15,1392600,0.0,0
2014-07-01,34.85,34.9,33.82,34.4,27.87,1244900,0.0,0
2014-07-02,34.95,35.0,34.52,34.6,28.03,618900,0.0,0
2014-07-03,34.84,34.86,34.5,34.61,28.04,592900,0.0,0
2014-07-07,34.38,35.3,34.38,35.19,28.51,566800,0.0,0
2014-07-08,35.35,35.47,34.91,35.17,28.49,553600,0.0,0
2014-07-09,35.82,35.82,34.68,34.76,28.16,313700,0.0,0
2014-07-10,34.6,34.95,34.32,34.95,28.31,515500,0.0,0
2014-07-11,35.15,35.25,34.78,35.0,28.35,38900,0.0,0
2014-07-14,34.95,35.25,34.71,35.06,28.4,149800,0.0,0
2014-07-15,35.01,35.02,34.74,34.87,28.25,210700,0.0,0
2014-07-16,35.0,35.05,34.8,35.0,28.35,87200,0.0,0
2014-07-17,35.06,35.09,34.33,34.54,27.98,188600,0.0,0
2014-07-18,35.0,35.06,34.2,34.5,27.95,209200,0.0,0
2014-07-21,34.99,34.99,33.77,34.52,27.97,239700,0.0,0
2014-07-22,33.97,36.9,33.55,36.0,29.16,780000,0.0,0
2014-07-23,36.61,36.78,34.91,35.42,28.69,549200,0.0,0
2014-07-24,35.11,35.54,34.71,35.05,28.39,238100,0.0,0
2014-07-25,34.66,34.97,34.01,34.3,27.79,215800,0.0,0
2014-07-28,34.37,35.54,33.5,34.59,28.02,496000,0.0,0
2014-07-29,34.75,35.2,34.42,34.98,28.34,164700,0.0,0
2014-07-30,35.24,35.75,34.4,34.52,27.97,228100,0.0,0
2014-07-31,34.03,34.33,33.14,34.04,27.58,674500,0.0,0
2014-08-01,34.0,34.1,33.35,33.8,27.38,372400,0.0,0
2014-08-04,34.25,34.78,33.44,34.25,27.75,263700,0.0,0
2014-08-05,34.27,34.56,33.16,33.21,26.9,273900,0.0,0
2014-08-06,33.1,34.55,32.1,32.27,26.14,428300,0.0,0
2014-08-07,32.57,32.99,31.9,32.67,26.47,525300,0.0,0
2014-08-08,32.96,34.01,32.96,33.49,27.13,183100,0.0,0
2014-08-11,33.76,34.0,33.12,33.55,27.18,173500,0.0,0
2014-08-12,33.63,34.83,33.52,34.21,27.71,342000,0.0,0
2014-08-13,34.57,35.45,34.27,34.47,27.92,117900,0.0,0
2014-08-14,34.7,34.8,33.52,33.89,27.45,198600,0.0,0
2014-08-15,33.84,34.67,33.31,34.25,27.75,163700,0.0,0
2014-08-18,34.4,34.61,33.81,33.99,27.54,152100,0.0,0
2014-08-19,34.2,34.31,33.31,33.62,27.24,189900,0.0,0
2014-08-20,33.76,33.76,33.4,33.63,27.24,39400,0.0,0
2014-08-21,33.82,34.85,33.37,33.95,27.5,222000,0.0,0
2014-08-22,33.87,34.72,33.54,34.36,27.84,72800,0.0,0
2014-08-25,34.31,34.83,34.0,34.53,27.97,82200,0.0,0
2014-08-26,34.56,35.0,34.42,34.8,28.19,122700,0.0,0
2014-08-27,34.68,35.59,34.59,34.89,28.26,153700,0.0,0
2014-08-28,34.89,35.89,34.42,34.61,28.04,150800,0.0,0
2014-08-29,34.45,35.34,34.45,35.11,28.44,60800,0.0,0
2014-09-02,34.53,35.74,34.51,35.18,28.5,107000,0.0,0
2014-09-03,35.4,35.79,34.88,35.33,28.62,279400,0.0,0
2014-09-04,35.47,36.31,35.46,35.66,28.89,243900,0.0,0
2014-09-05,35.85,36.2,35.7,35.88,29.07,264500,0.0,0
2014-09-08,36.04,37.99,35.3,37.7,30.54,287100,0.0,0
2014-09-09,37.45,37.68,36.76,37.02,29.99,217500,0.0,0
2014-09-10,36.98,37.7,36.52,37.07,30.03,149700,0.0,0
2014-09-11,37.25,37.59,36.71,37.22,30.15,176000,0.0,0
2014-09-12,37.57,37.57,36.4,36.66,29.7,76400,0.0,0
2014-09-15,36.84,36.99,36.28,36.45,29.53,52600,0.0,0
2014-09-16,36.2,36.81,35.78,36.0,29.16,114200,0.0,0
2014-09-17,36.23,36.57,35.37,35.66,28.89,81300,0.0,0
2014-09-18,36.03,36.56,35.77,36.15,29.29,96900,0.0,0
2014-09-19,36.44,36.63,35.18,36.44,29.52,258800,0.0,0
2014-09-22,36.13,36.54,34.96,35.2,28.52,150000,0.0,0
2014-09-23,34.89,35.59,34.77,35.27,28.57,65500,0.0,0
2014-09-24,35.14,35.62,34.68,35.28,28.58,67300,0.0,0
2014-09-25,34.99,35.47,34.57,35.47,28.73,69300,0.0,0
2014-09-26,35.34,36.23,35.1,35.66,28.89,68200,0.0,0
2014-09-29,35.48,35.66,34.79,35.1,28.44,92000,0.0,0
2014-09-30,35.2,35.29,34.55,34.69,28.1,143000,0.0,0
2014-10-01,34.71,35.24,32.87,34.28,27.77,454900,0.0,0
2014-10-02,34.35,35.64,33.2,34.35,27.83,504200,0.0,0
2014-10-03,34.91,35.37,34.21,34.23,27.73,227800,0.0,0
2014-10-06,34.83,35.12,33.74,33.75,27.34,150400,0.0,0
2014-10-07,33.62,33.9,33.03,33.5,27.14,92700,0.0,0
2014-10-08,33.7,33.91,31.62,32.62,26.43,355800,0.0,0
2014-10-09,32.66,33.0,30.16,31.15,25.24,359900,0.0,0
2014-10-10,31.15,32.16,30.22,31.55,25.56,367200,0.0,0
2014-10-13,31.5,31.99,30.14,30.24,24.5,328100,0.0,0
2014-10-14,30.2,31.35,29.29,29.9,24.22,400300,0.0,0
2014-10-15,29.83,30.63,28.95,29.82,24.16,355900,0.0,0
2014-10-16,29.8,33.83,29.45,32.06,25.97,476200,0.0,0
2014-10-17,34.69,34.93,33.2,33.95,27.5,365900,0.0,0
2014-10-20,34.2,34.85,32.99,34.39,27.86,142700,0.0,0
2014-10-21,34.55,34.88,33.85,34.12,27.64,187400,0.0,0
2014-10-22,34.44,34.82,33.78,34.1,27.62,243500,0.0,0
2014-10-23,34.62,35.28,34.02,34.92,28.29,149000,0.0,0
2014-10-24,35.21,35.21,34.53,34.67,28.09,73900,0.0,0
2014-10-27,34.39,35.59,34.16,35.59,28.83,316800,0.0,0
2014-10-28,35.77,35.95,35.34,35.52,28.78,165300,0.0,0
2014-10-29,35.54,36.0,35.27,35.72,28.94,91500,0.0,0
2014-10-30,35.49,36.22,35.3,36.21,29.33,84400,0.0,0
2014-10-31,36.5,36.93,35.83,36.56,29.62,183100,0.0,0
2014-11-03,37.2,37.2,35.5,35.94,29.27,176500,0.1875,0
2014-11-04,36.05,36.59,35.48,35.67,29.05,106300,0.0,0
2014-11-05,36.1,36.78,35.16,35.45,28.87,112200,0.0,0
2014-11-06,35.56,35.56,34.67,35.04,28.53,68800,0.0,0
2014-11-07,35.02,36.05,34.25,35.05,28.54,171400,0.0,0
2014-11-10,34.9,35.47,34.5,34.99,28.49,118300,0.0,0
2014-11-11,34.77,35.2,34.6,34.88,28.4,54400,0.0,0
2014-11-12,34.96,35.22,34.2,34.72,28.27,45500,0.0,0
2014-11-13,35.0,35.27,33.95,33.95,27.65,144600,0.0,0
2014-11-14,33.95,34.72,33.49,34.68,28.24,156700,0.0,0
2014-11-17,34.74,35.6,34.59,34.75,28.3,169600,0.0,0
2014-11-18,34.88,36.05,34.78,35.5,28.91,136000,0.0,0
2014-11-19,35.66,35.66,34.99,35.3,28.74,172300,0.0,0
2014-11-20,35.01,35.29,34.38,34.73,28.28,127300,0.0,0
2014-11-21,35.2,35.35,34.63,35.2,28.66,182600,0.0,0
2014-11-24,35.72,35.72,35.02,35.17,28.64,152000,0.0,0
2014-11-25,35.31,35.99,34.72,35.75,29.11,302400,0.0,0
2014-11-26,35.96,37.41,35.28,36.85,30.01,154400,0.0,0
2014-11-28,36.59,38.81,36.35,37.81,30.79,223500,0.0,0
2014-12-01,37.56,38.57,36.04,36.19,29.47,270900,0.0,0
2014-12-02,36.35,37.25,35.46,36.19,29.47,135300,0.0,0
2014-12-03,36.4,37.07,35.71,35.88,29.22,124900,0.0,0
2014-12-04,35.62,36.08,35.16,35.73,29.09,102500,0.0,0
2014-12-05,35.99,36.02,35.07,35.75,29.11,153500,0.0,0
2014-12-08,35.68,35.8,34.74,35.04,28.53,207600,0.0,0
2014-12-09,34.63,35.05,34.26,34.67,28.23,139500,0.0,0
2014-12-10,34.21,34.83,32.68,32.9,26.79,95600,0.0,0
2014-12-11,33.0,33.26,32.68,32.89,26.78,161300,0.0,0
2014-12-12,32.65,33.05,32.51,32.66,26.59,136400,0.0,0
2014-12-15,32.75,33.02,31.03,32.84,26.74,161500,0.0,0
2014-12-16,32.5,33.11,31.51,33.08,26.94,408000,0.0,0
2014-12-17,33.03,34.95,32.29,34.21,27.86,252300,0.0,0
2014-12-18,34.5,35.19,34.32,34.46,28.06,104800,0.0,0
2014-12-19,34.4,34.83,33.99,34.19,27.84,64000,0.0,0
2014-12-22,34.31,34.31,33.26,33.75,27.48,85200,0.0,0
2014-12-23,34.09,34.31,32.65,32.65,26.59,99700,0.0,0
2014-12-24,32.64,33.48,32.59,32.79,26.7,76000,0.0,0
2014-12-26,32.76,32.81,31.98,32.28,26.29,131800,0.0,0
2014-12-29,32.28,32.93,32.06,32.61,26.55,223900,0.0,0
2014-12-30,32.68,32.92,32.25,32.65,26.59,140500,0.0,0
2014-12-31,32.58,33.9,32.49,33.75,27.48,167700,0.0,0
2015-01-02,34.0,34.28,33.7,34.0,27.69,54300,0.0,0
2015-01-05,33.99,34.67,33.75,34.38,28.0,155500,0.0,0
2015-01-06,34.5,35.19,34.3,34.49,28.08,166500,0.0,0
2015-01-07,35.02,36.66,34.89,36.54,29.75,67500,0.0,0
2015-01-08,36.68,36.79,35.42,36.6,29.8,137300,0.0,0
2015-01-09,37.18,38.98,36.99,37.92,30.88,202600,0.0,0
2015-01-12,38.08,39.08,37.43,39.08,31.82,121400,0.0,0
2015-01-13,39.77,41.31,39.01,40.35,32.86,300200,0.0,0
2015-01-14,39.77,40.18,38.51,39.98,32.56,137200,0.0,0
2015-01-15,40.31,40.52,39.22,39.44,32.12,84700,0.0,0
2015-01-16,39.31,39.53,37.6,38.42,31.29,146100,0.0,0
2015-01-20,38.79,38.79,37.8,38.05,30.98,109300,0.0,0
2015-01-21,37.92,38.8,37.74,38.13,31.05,167900,0.0,0
2015-01-22,38.03,38.28,37.27,37.41,30.46,154700,0.0,0
2015-01-23,37.56,39.15,37.5,39.09,31.83,465400,0.0,0
2015-01-26,39.19,41.2,38.46,40.32,32.83,216600,0.0,0
2015-01-27,40.33,41.04,38.9,40.0,32.57,164500,0.0,0
2015-01-28,40.29,40.52,39.57,39.97,32.55,123700,0.0,0
2015-01-29,40.25,40.55,38.65,39.96,32.54,233800,0.0,0
2015-01-30,40.11,40.44,39.5,40.09,32.64,63800,0.0,0
2015-02-02,39.81,40.48,39.27,40.09,32.8,114400,0.195,0
2015-02-03,40.12,41.3,40.04,40.46,33.11,103400,0.0,0
2015-02-04,40.17,40.89,39.65,39.7,32.49,76100,0.0,0
2015-02-05,39.97,40.97,39.76,40.16,32.86,81700,0.0,0
2015-02-06,40.38,40.38,38.78,39.06,31.96,102300,0.0,0
2015-02-09,39.06,39.76,38.93,39.35,32.2,63900,0.0,0
2015-02-10,39.64,39.89,38.32,39.56,32.37,138800,0.0,0
2015-02-11,39.68,39.83,38.98,39.49,32.31,87000,0.0,0
2015-02-12,39.75,39.97,39.36,39.83,32.59,91100,0.0,0
2015-02-13,39.64,39.76,38.46,39.01,31.92,57100,0.0,0
2015-02-17,39.19,39.4,38.4,39.11,32.0,130300,0.0,0
2015-02-18,39.23,39.99,39.0,39.97,32.71,57500,0.0,0
