Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2017-10-12,21.0,21.0001,15.12,15.12,15.12,3073,0,0
2017-10-13,13.62,13.62,9.7791,11.25,11.25,21440,0,0
2017-10-16,10.25,10.99,9.7,10.5,10.5,6066,0,0
2017-10-17,9.48,10.0616,9.48,9.75,9.75,4219,0,0
2017-10-18,9.5,10.04,9.5,9.8,9.8,9851,0,0
2017-10-19,9.5,10.0,9.5,10.0,10.0,30158,0,0
2017-10-20,10.25,12.664,10.25,11.0,11.0,13544,0,0
2017-10-23,11.0001,12.79,11.0001,11.5,11.5,3630,0,0
2017-10-24,11.25,11.9999,11.25,11.55,11.55,1736,0,0
2017-10-25,11.5,11.75,11.25,11.35,11.35,9959,0,0
2017-10-26,19.06,19.5,18.52,18.57,18.57,1700900,0,0
2017-10-27,11.26,11.51,11.0,11.2,11.2,7591,0,0
2017-10-30,11.85,12.365,11.3,11.42,11.42,4900,0,0
2017-10-31,11.401,12.0,11.38,12.0,12.0,2200,0,0
2017-11-01,11.826,12.35,11.65,12.1,12.1,11000,0,0
2017-11-02,12.1,12.219,12.0,12.219,12.219,4100,0,0
2017-11-03,12.0,12.282,12.0,12.282,12.282,4200,0,0
2017-11-06,12.35,12.563,12.35,12.5,12.5,3800,0,0
2017-11-07,12.4,12.525,12.0,12.5,12.5,4000,0,0
2017-11-08,12.01,12.35,12.0,12.35,12.35,2500,0,0
2017-11-09,12.16,12.4,12.16,12.4,12.4,600,0,0
2017-11-10,12.45,12.49,12.1,12.1,12.1,3000,0,0
2017-11-13,12.1,12.21,11.5,11.7,11.7,18500,0,0
2017-11-14,11.8,11.87,11.5,11.87,11.87,2200,0,0
2017-11-15,11.7,11.74,11.5,11.5,11.5,12800,0,0
2017-11-16,11.4,11.7,11.0,11.0,11.0,4700,0,0
2017-11-17,11.25,11.369,10.75,10.75,10.75,4900,0,0
2017-11-20,11.2,11.2,10.235,10.235,10.235,5800,0,0
2017-11-21,10.25,10.25,10.25,10.25,10.25,800,0,0
2017-11-22,10.633,10.633,10.3,10.3,10.3,1200,0,0
