Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2017-07-10,22.1,22.1,22.1,22.1,22.1,0,0,0
2017-07-11,22.12,22.12,22.12,22.12,22.12,0,0,0
2017-07-12,22.36,22.36,22.36,22.36,22.36,0,0,0
2017-07-28,7.32,9.8,7.32,8.93,8.93,156200,0,0
2017-07-31,9.03,9.15,8.5,8.66,8.66,65800,0,0
2017-08-01,8.5,8.65,7.85,7.85,7.85,65500,0,0
2017-08-02,7.9,8.28,7.4,8.0,8.0,79300,0,0
2017-08-03,8.09,10.68,8.05,10.569,10.569,119600,0,0
2017-08-04,10.5,10.57,8.73,9.01,9.01,78600,0,0
2017-08-07,9.37,9.88,8.62,9.88,9.88,54200,0,0
2017-08-08,10.0,10.172,9.028,9.2,9.2,36200,0,0
2017-08-09,9.19,9.77,8.53,9.77,9.77,58800,0,0
2017-08-10,9.95,9.95,8.77,8.88,8.88,65300,0,0
2017-08-11,8.7,8.9,7.6,8.9,8.9,57700,0,0
2017-08-14,8.2,10.0,8.2,9.7,9.7,59700,0,0
2017-08-15,9.2,9.7,8.71,9.3,9.3,62000,0,0
2017-08-16,8.71,9.6,8.71,9.19,9.19,33200,0,0
2017-08-17,9.3,11.6,9.054,11.0,11.0,208500,0,0
2017-08-18,10.95,11.0,10.13,10.79,10.79,80000,0,0
2017-08-21,10.3,11.55,10.05,11.36,11.36,84400,0,0
2017-08-22,11.36,11.799,11.15,11.27,11.27,68800,0,0
2017-08-23,11.23,11.43,10.567,10.95,10.95,64000,0,0
2017-08-24,11.0,11.36,9.85,10.03,10.03,131700,0,0
2017-08-25,10.4,10.4,9.55,9.76,9.76,183100,0,0
2017-08-28,9.82,9.99,9.67,9.79,9.79,97800,0,0
2017-08-29,9.66,9.71,8.93,9.2,9.2,68800,0,0
2017-08-30,9.19,9.2,8.82,9.1,9.1,40500,0,0
2017-08-31,9.1,9.1,8.82,8.85,8.85,29500,0,0
2017-09-01,9.0,9.02,8.56,8.71,8.71,32600,0,0
2017-09-05,8.71,8.71,8.36,8.57,8.57,11400,0,0
2017-09-06,8.527,8.596,8.03,8.25,8.25,58600,0,0
2017-09-07,8.1,8.25,7.73,8.05,8.05,63300,0,0
2017-09-08,8.1,8.14,7.8,8.03,8.03,82500,0,0
2017-09-11,8.07,8.97,7.81,8.97,8.97,50900,0,0
2017-09-12,8.95,9.819,8.53,9.21,9.21,117800,0,0
2017-09-13,9.6,9.6,8.82,8.82,8.82,42400,0,0
2017-09-14,8.8,8.8,8.2,8.26,8.26,101700,0,0
2017-09-15,8.35,8.47,7.9,8.27,8.27,101600,0,0
2017-09-18,8.27,8.56,8.1,8.39,8.39,116700,0,0
2017-09-19,8.3,8.75,8.14,8.59,8.59,83200,0,0
2017-09-20,8.56,9.8,8.27,9.61,9.61,270100,0,0
2017-09-21,9.87,10.98,9.5,9.5,9.5,320700,0,0
2017-09-22,9.45,10.01,8.55,8.63,8.63,155900,0,0
2017-09-25,8.61,8.719,8.1,8.7,8.7,336000,0,0
2017-09-26,8.6,8.66,8.11,8.3,8.3,361700,0,0
2017-09-27,8.38,9.16,8.12,9.11,9.11,318600,0,0
2017-09-28,9.18,9.6,8.86,8.9,8.9,340200,0,0
2017-09-29,9.0,9.2,8.62,8.62,8.62,193600,0,0
2017-10-02,8.6,8.74,8.28,8.55,8.55,179000,0,0
2017-10-03,8.5,8.5,8.3,8.43,8.43,163300,0,0
2017-10-04,8.51,8.77,8.33,8.65,8.65,174200,0,0
2017-10-05,8.71,9.25,8.32,8.47,8.47,231400,0,0
2017-10-06,8.62,8.76,8.51,8.54,8.54,158600,0,0
2017-10-09,8.52,8.63,8.43,8.57,8.57,147600,0,0
2017-10-10,8.56,8.89,8.5,8.77,8.77,128000,0,0
2017-10-11,8.6,9.27,8.56,8.98,8.98,212500,0,0
2017-10-12,8.97,9.58,8.88,9.47,9.47,144900,0,0
2017-10-13,9.7,9.9,9.192,9.54,9.54,130600,0,0
2017-10-16,9.43,9.78,8.75,9.13,9.13,118800,0,0
2017-10-17,8.98,9.33,8.86,9.16,9.16,87700,0,0
2017-10-18,9.08,9.58,9.06,9.42,9.42,166800,0,0
2017-10-19,9.3,9.638,9.02,9.46,9.46,80800,0,0
2017-10-20,9.37,10.5,9.2,10.3,10.3,172400,0,0
2017-10-23,10.36,10.68,9.57,9.77,9.77,107900,0,0
2017-10-24,9.6,9.97,9.39,9.6,9.6,59000,0,0
2017-10-25,9.57,10.27,9.46,10.22,10.22,53000,0,0
2017-10-26,9.81,11.45,9.81,11.25,11.25,61100,0,0
2017-10-27,11.248,13.95,11.0,13.62,13.62,195800,0,0
2017-10-30,13.62,14.48,12.79,14.24,14.24,118400,0,0
2017-10-31,14.02,14.87,13.6,13.6,13.6,91700,0,0
2017-11-01,13.67,14.96,13.67,14.36,14.36,129700,0,0
2017-11-02,14.2,15.28,13.451,14.5,14.5,155900,0,0
2017-11-03,14.75,15.749,14.33,15.57,15.57,106100,0,0
2017-11-06,15.8,16.25,15.0,15.19,15.19,77400,0,0
2017-11-07,14.92,15.66,12.22,12.22,12.22,167500,0,0
2017-11-08,12.04,13.15,11.6,12.52,12.52,143300,0,0
2017-11-09,12.81,14.22,12.392,13.54,13.54,182600,0,0
2017-11-10,13.78,14.121,12.55,12.79,12.79,113100,0,0
2017-11-13,12.89,14.22,12.67,13.93,13.93,130000,0,0
2017-11-14,14.15,15.01,12.77,12.77,12.77,216000,0,0
2017-11-15,12.8,14.38,12.64,12.64,12.64,166400,0,0
2017-11-16,12.76,13.32,12.5,12.76,12.76,71200,0,0
2017-11-17,13.0,13.15,10.65,10.65,10.65,57700,0,0
2017-11-20,10.55,11.35,10.33,10.86,10.86,114700,0,0
2017-11-21,10.72,10.72,9.68,9.91,9.91,162300,0,0
2017-11-22,10.05,10.19,9.6,9.78,9.78,81600,0,0
2017-11-24,9.61,9.85,9.53,9.74,9.74,54600,0,0
2017-11-27,9.6,9.68,8.66,8.68,8.68,147900,0,0
2017-11-28,8.72,9.96,8.6,9.96,9.96,158100,0,0
2017-11-29,10.05,10.76,9.01,9.33,9.33,162000,0,0
2017-11-30,9.16,9.34,8.9,9.09,9.09,120900,0,0
2017-12-01,9.19,9.84,8.9,9.62,9.62,129100,0,0
2017-12-04,9.82,10.64,9.7,10.39,10.39,121500,0,0
2017-12-05,10.21,10.35,9.5,9.9,9.9,146800,0,0
2017-12-06,9.77,11.32,9.77,11.32,11.32,172900,0,0
2017-12-07,10.91,12.2,10.91,11.78,11.78,219200,0,0
2017-12-08,11.65,12.7,11.48,12.14,12.14,199100,0,0
2017-12-11,12.0,12.7,11.75,12.06,12.06,197900,0,0
2017-12-12,12.11,13.33,12.11,13.15,13.15,443500,0,0
2017-12-13,13.2,14.1,12.07,12.2,12.2,450100,0,0
2017-12-14,12.41,13.37,10.22,10.53,10.53,325100,0,0
2017-12-15,10.63,10.63,8.63,8.77,8.77,391100,0,0
2017-12-18,8.84,9.66,7.86,9.36,9.36,561300,0,0
2017-12-19,9.36,9.93,8.718,9.61,9.61,367500,0,0
2017-12-20,9.53,9.77,9.14,9.58,9.58,324200,0,0
2017-12-21,9.46,9.73,8.571,8.81,8.81,239500,0,0
2017-12-22,8.79,8.882,8.43,8.58,8.58,118900,0,0
2017-12-26,8.75,9.03,8.552,9.03,9.03,39400,0,0
2017-12-27,9.05,9.84,9.05,9.84,9.84,76300,0,0
2017-12-28,9.79,10.22,9.3,10.12,10.12,234100,0,0
2017-12-29,10.01,10.04,9.15,9.39,9.39,267500,0,0
2018-01-02,9.33,9.5,8.9,9.1,9.1,135600,0,0
2018-01-03,8.96,9.334,8.9,9.22,9.22,125400,0,0
2018-01-04,9.04,9.54,8.66,9.51,9.51,151400,0,0
2018-01-05,9.65,11.78,9.23,11.29,11.29,257600,0,0
2018-01-08,11.25,11.29,10.32,10.65,10.65,144100,0,0
2018-01-09,11.22,11.8,10.65,11.66,11.66,157800,0,0
2018-01-10,11.75,12.42,11.64,12.17,12.17,102800,0,0
2018-01-11,12.33,13.5,12.0,13.5,13.5,85300,0,0
2018-01-12,13.88,13.98,12.23,13.0,13.0,176700,0,0
2018-01-16,13.47,16.57,13.47,15.8,15.8,329900,0,0
2018-01-17,20.6,21.0,11.82,11.99,11.99,878500,0,0
2018-01-18,11.99,11.99,10.11,10.66,10.66,514400,0,0
2018-01-19,10.81,11.65,10.419,11.15,11.15,242800,0,0
2018-01-22,11.35,11.35,10.63,11.09,11.09,60800,0,0
2018-01-23,10.54,10.95,10.22,10.4,10.4,41200,0,0
2018-01-24,10.63,11.49,10.5,11.43,11.43,36600,0,0
2018-01-25,11.43,12.4,11.43,11.9,11.9,87900,0,0
2018-01-26,11.84,11.84,10.85,11.22,11.22,19600,0,0
2018-01-29,11.3,11.3,10.5,10.63,10.63,21800,0,0
2018-01-30,10.331,10.8,10.3,10.42,10.42,9500,0,0
2018-01-31,10.5,11.2,10.5,10.85,10.85,38700,0,0
2018-02-01,10.81,11.62,10.33,10.44,10.44,34400,0,0
2018-02-02,10.63,11.49,10.12,11.13,11.13,22300,0,0
2018-02-05,11.15,12.04,10.94,11.8,11.8,78500,0,0
2018-02-06,11.9,12.91,11.033,12.311,12.311,72500,0,0
2018-02-07,12.18,13.69,12.18,12.97,12.97,45600,0,0
2018-02-08,12.78,13.46,12.1,12.41,12.41,73800,0,0
2018-02-09,12.72,13.45,12.6,12.97,12.97,51100,0,0
2018-02-12,13.23,13.6,12.26,12.38,12.38,43300,0,0
2018-02-13,12.55,13.085,11.5,11.54,11.54,50300,0,0
2018-02-14,12.51,13.313,11.95,12.62,12.62,36500,0,0
2018-02-15,12.83,12.9,12.29,12.52,12.52,29700,0,0
2018-02-16,12.91,12.99,12.4,12.41,12.41,18200,0,0
2018-02-20,12.4,12.89,12.06,12.44,12.44,36100,0,0
2018-02-21,12.4,12.4,11.34,11.45,11.45,40000,0,0
2018-02-22,11.5,12.3,11.4,12.19,12.19,115700,0,0
2018-02-23,12.0,13.1,11.84,12.86,12.86,99900,0,0
2018-02-26,12.9,12.93,12.25,12.38,12.38,124000,0,0
2018-02-27,12.5,12.94,12.3,12.71,12.71,119500,0,0
2018-02-28,12.7,12.8,12.09,12.8,12.8,170300,0,0
2018-03-01,12.75,13.85,12.75,13.36,13.36,124000,0,0
2018-03-02,13.4,13.75,12.65,13.5,13.5,155700,0,0
2018-03-05,13.2,13.6,12.77,13.32,13.32,133900,0,0
2018-03-06,13.09,13.09,12.38,12.75,12.75,178600,0,0
2018-03-07,12.73,13.88,12.51,13.86,13.86,199700,0,0
2018-03-08,13.7,15.5,13.34,15.5,15.5,177400,0,0
2018-03-09,15.34,16.2,14.8,15.35,15.35,117000,0,0
2018-03-12,15.25,15.9,14.63,15.38,15.38,122700,0,0
2018-03-13,15.48,16.82,15.2,16.39,16.39,183800,0,0
2018-03-14,16.96,16.96,16.05,16.31,16.31,131400,0,0
2018-03-15,16.45,17.22,16.15,17.15,17.15,143200,0,0
2018-03-16,17.15,17.73,16.85,17.41,17.41,166000,0,0
2018-03-19,17.33,18.86,17.33,18.21,18.21,132000,0,0
2018-03-20,18.0,19.65,17.99,19.2,19.2,206000,0,0
2018-03-21,19.14,19.4,18.05,18.85,18.85,166600,0,0
2018-03-22,18.9,19.36,18.14,18.14,18.14,164100,0,0
2018-03-23,18.03,19.44,18.03,19.12,19.12,244900,0,0
