Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2016-07-11,25.27,25.45,25.27,25.45,18.5,480600,0.0,0
2016-07-12,25.4,25.4,25.26,25.28,18.37,288200,0.0,0
2016-07-13,25.25,25.33,25.17,25.33,18.41,322500,0.0,0
2016-07-14,25.25,25.33,25.25,25.25,18.35,147100,0.0,0
2016-07-15,25.25,25.29,25.12,25.2,18.32,197900,0.0,0
2016-07-18,25.2,25.28,25.18,25.24,18.34,121800,0.0,0
2016-07-19,25.2,25.29,25.19,25.29,18.38,115700,0.0,0
2016-07-20,25.25,25.39,25.25,25.35,18.42,117900,0.0,0
2016-07-21,25.39,25.42,25.35,25.42,18.47,95500,0.0,0
2016-07-22,25.45,25.5,25.35,25.5,18.53,110500,0.0,0
2016-07-25,25.5,25.55,25.4,25.49,18.53,79400,0.0,0
2016-07-26,25.5,25.6,25.45,25.45,18.5,139900,0.0,0
2016-07-27,25.5,25.75,25.5,25.62,18.62,156400,0.0,0
2016-07-28,25.62,25.71,25.57,25.71,18.69,81200,0.0,0
2016-07-29,25.71,25.86,25.62,25.75,18.71,81600,0.0,0
2016-08-01,25.75,25.81,25.67,25.74,18.71,38900,0.0,0
2016-08-02,25.66,25.8,25.52,25.66,18.65,50000,0.0,0
2016-08-03,25.81,25.82,25.64,25.77,18.73,53300,0.0,0
2016-08-04,25.71,25.91,25.61,25.64,18.63,103000,0.0,0
2016-08-05,25.7,25.78,25.62,25.73,18.7,46000,0.0,0
2016-08-08,25.74,25.78,25.71,25.77,18.73,71200,0.0,0
2016-08-09,25.66,26.0,25.66,25.9,18.82,138200,0.0,0
2016-08-10,25.85,25.99,25.81,25.9,18.82,70600,0.0,0
2016-08-11,25.94,25.94,25.71,25.71,18.69,94300,0.0,0
2016-08-12,25.85,25.89,25.74,25.83,18.77,40400,0.0,0
2016-08-15,25.88,25.88,25.79,25.85,18.79,28100,0.0,0
2016-08-16,25.85,25.92,25.78,25.8,18.75,44000,0.0,0
