Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-12-06,14.9,14.95,14.84,14.88,10.49,1509000,0.0,0
2012-12-07,14.91,14.91,14.85,14.89,10.5,249400,0.0,0
2012-12-10,14.9,14.9,14.85,14.9,10.51,124100,0.0,0
2012-12-11,14.9,14.9,14.85,14.85,10.47,163600,0.0,0
2012-12-12,14.87,14.93,14.82,14.84,10.46,191100,0.0,0
2012-12-13,14.9,14.9,14.8,14.85,10.47,149900,0.0,0
2012-12-14,14.89,14.9,14.85,14.89,10.5,118400,0.0,0
2012-12-17,14.9,14.92,14.85,14.92,10.52,183700,0.0,0
2012-12-18,14.9,14.96,14.85,14.95,10.54,100900,0.0,0
2012-12-19,14.99,14.99,14.94,14.99,10.57,69200,0.0,0
2012-12-20,14.99,15.0,14.93,14.99,10.57,70300,0.0,0
2012-12-21,14.9,14.96,14.8,14.9,10.51,74600,0.0,0
2012-12-24,14.98,14.98,14.88,14.9,10.51,60500,0.0,0
2012-12-26,14.89,14.98,14.88,14.97,10.56,40700,0.0,0
2012-12-27,14.98,14.98,14.92,14.94,10.53,29900,0.0,0
2012-12-28,14.95,14.95,14.88,14.95,10.54,65500,0.0,0
2012-12-31,14.95,14.98,14.93,14.98,10.56,58300,0.0,0
2013-01-02,15.0,15.0,14.95,15.0,10.58,104900,0.0,0
2013-01-03,15.0,15.02,14.98,15.0,10.58,69900,0.0,0
2013-01-04,15.04,15.04,14.96,14.99,10.57,45900,0.0,0
2013-01-07,15.04,15.04,14.93,14.95,10.54,40300,0.0,0
2013-01-08,14.98,14.98,14.93,14.93,10.53,17800,0.0,0
2013-01-09,15.0,15.0,14.95,15.0,10.58,57600,0.0,0
2013-01-10,15.0,15.0,14.9,15.0,10.58,88600,0.0,0
2013-01-11,14.95,15.0,14.9,15.0,10.58,118000,0.0,0
2013-01-14,14.99,15.0,14.93,15.0,10.58,96000,0.0,0
2013-01-15,14.99,15.0,14.95,15.0,10.58,114400,0.0,0
2013-01-16,14.99,15.02,14.96,15.0,10.58,135300,0.0,0
2013-01-17,15.02,15.04,14.98,15.0,10.58,95100,0.0,0
2013-01-18,15.02,15.04,15.0,15.04,10.61,34600,0.0,0
2013-01-22,15.02,15.15,15.0,15.05,10.61,89400,0.0,0
2013-01-23,15.04,15.1,14.92,14.97,10.56,90400,0.0,0
2013-01-24,15.05,15.11,14.98,15.0,10.58,77600,0.0,0
2013-01-25,15.0,15.01,14.82,14.85,10.47,113100,0.0,0
2013-01-28,14.8,14.85,14.5,14.83,10.46,148700,0.0,0
2013-01-29,14.82,14.85,14.78,14.85,10.47,36700,0.0,0
2013-01-30,14.85,14.85,14.72,14.77,10.41,70100,0.0,0
2013-01-31,14.83,15.0,14.72,14.76,10.41,54900,0.0,0
2013-02-01,14.76,14.85,14.75,14.84,10.46,22600,0.0,0
2013-02-04,14.84,14.85,14.75,14.79,10.43,28100,0.0,0
2013-02-05,14.96,14.96,14.76,14.78,10.42,34100,0.0,0
2013-02-06,14.76,14.84,14.7,14.79,10.43,56200,0.0,0
2013-02-07,14.95,14.95,14.75,14.94,10.53,31000,0.0,0
2013-02-08,14.81,15.0,14.71,14.75,10.4,71400,0.0,0
2013-02-11,14.82,15.0,14.7,14.75,10.4,60600,0.0,0
2013-02-12,14.98,14.98,14.45,14.85,10.47,177000,0.0,0
2013-02-13,14.9,14.9,14.72,14.85,10.51,100300,0.055,0
2013-02-14,14.75,14.85,14.69,14.8,10.47,46700,0.0,0
2013-02-15,14.87,14.87,14.71,14.71,10.41,30900,0.0,0
2013-02-19,14.7,14.86,14.65,14.7,10.4,54000,0.0,0
2013-02-20,14.65,14.8,14.45,14.66,10.38,69600,0.0,0
2013-02-21,14.57,14.73,14.5,14.66,10.38,89500,0.0,0
2013-02-22,14.65,14.78,14.57,14.65,10.37,58500,0.0,0
2013-02-25,14.65,14.69,14.36,14.47,10.24,143600,0.0,0
2013-02-26,14.6,14.76,14.47,14.54,10.29,56900,0.0,0
2013-02-27,14.53,14.61,14.44,14.44,10.22,57100,0.0,0
2013-02-28,14.44,14.57,14.32,14.45,10.23,82000,0.0,0
