Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,15.89,16.0,15.84,15.88,9.27,5800,0.0,0
2010-01-05,15.8,16.0,15.8,15.96,9.31,11500,0.0,0
2010-01-06,16.01,16.01,15.81,15.9,9.28,14200,0.0,0
2010-01-07,15.93,16.08,15.93,16.02,9.35,2300,0.0,0
2010-01-08,16.05,16.08,16.02,16.03,9.35,5600,0.0,0
2010-01-11,16.07,16.07,15.66,15.83,9.24,26800,0.0,0
2010-01-12,15.85,15.95,15.85,15.95,9.31,3100,0.0,0
2010-01-13,15.94,15.96,15.89,15.93,9.34,800,0.074,0
2010-01-14,15.92,15.92,15.71,15.82,9.27,10300,0.0,0
2010-01-15,15.79,15.86,15.77,15.78,9.25,16700,0.0,0
2010-01-19,15.81,16.03,15.7,15.93,9.34,9300,0.0,0
2010-01-20,15.87,15.92,15.67,15.67,9.19,8400,0.0,0
2010-01-21,15.84,15.84,15.62,15.63,9.16,15000,0.0,0
2010-01-22,15.6,15.64,15.53,15.62,9.16,4100,0.0,0
2010-01-25,15.62,15.62,15.47,15.54,9.11,6700,0.0,0
2010-01-26,15.55,15.7,15.22,15.67,9.19,51100,0.0,0
2010-01-27,15.7,15.71,15.62,15.65,9.17,5500,0.0,0
2010-01-28,15.65,15.65,15.65,15.65,9.17,1100,0.0,0
2010-01-29,15.64,15.66,15.6,15.65,9.17,6500,0.0,0
2010-02-01,15.7,15.7,15.66,15.69,9.2,3400,0.0,0
2010-02-02,15.7,15.85,15.7,15.85,9.29,18800,0.0,0
2010-02-03,15.78,15.85,15.73,15.81,9.27,15100,0.0,0
2010-02-04,15.74,15.85,15.72,15.76,9.24,8500,0.0,0
2010-02-05,15.84,15.84,15.59,15.77,9.25,8800,0.0,0
2010-02-08,15.75,15.92,15.74,15.83,9.28,9700,0.0,0
2010-02-09,15.87,15.95,15.8,15.82,9.27,12600,0.0,0
2010-02-10,15.97,16.01,15.93,15.97,9.41,9600,0.074,0
2010-02-11,16.06,16.06,15.81,15.81,9.31,10800,0.0,0
2010-02-12,15.81,15.88,15.75,15.84,9.33,6000,0.0,0
2010-02-16,15.81,15.84,15.75,15.75,9.28,4700,0.0,0
2010-02-17,15.75,15.76,15.67,15.72,9.26,18900,0.0,0
2010-02-18,15.71,15.71,15.59,15.59,9.18,10900,0.0,0
2010-02-19,15.41,15.61,15.41,15.45,9.1,8700,0.0,0
2010-02-22,15.48,15.57,15.45,15.48,9.12,15600,0.0,0
2010-02-23,15.51,15.69,15.38,15.48,9.12,12400,0.0,0
2010-02-24,15.51,15.58,15.48,15.5,9.13,10000,0.0,0
2010-02-25,15.51,15.53,15.51,15.53,9.15,2000,0.0,0
2010-02-26,15.52,15.63,15.52,15.58,9.18,7200,0.0,0
2010-03-01,15.71,15.72,15.59,15.59,9.18,14600,0.0,0
2010-03-02,15.61,15.73,15.61,15.73,9.27,16700,0.0,0
2010-03-03,15.85,15.85,15.61,15.62,9.2,10300,0.0,0
2010-03-04,15.58,15.65,15.58,15.6,9.19,3200,0.0,0
2010-03-05,15.6,15.63,15.6,15.62,9.2,2200,0.0,0
2010-03-08,15.66,15.7,15.51,15.58,9.18,18100,0.0,0
2010-03-09,15.67,15.67,15.63,15.66,9.22,10800,0.0,0
2010-03-10,15.66,15.71,15.65,15.68,9.24,6000,0.0,0
2010-03-11,15.65,15.7,15.59,15.59,9.23,9200,0.074,0
2010-03-12,15.51,15.64,15.51,15.52,9.18,16200,0.0,0
2010-03-15,15.51,15.62,15.51,15.62,9.24,11100,0.0,0
2010-03-16,15.59,15.72,15.59,15.72,9.3,12500,0.0,0
2010-03-17,15.71,15.99,15.71,15.81,9.36,51100,0.0,0
2010-03-18,15.76,15.84,15.75,15.8,9.35,8400,0.0,0
2010-03-19,15.65,15.78,15.59,15.65,9.26,24400,0.0,0
2010-03-22,15.68,15.76,15.65,15.76,9.33,26600,0.0,0
2010-03-23,15.79,15.93,15.71,15.89,9.4,14100,0.0,0
