Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,14.3,14.35,13.93,14.22,7.92,36500,0.0,0
2010-01-05,14.37,14.37,14.11,14.15,7.88,25900,0.0,0
2010-01-06,14.21,14.22,14.1,14.1,7.85,27300,0.0,0
2010-01-07,14.12,14.32,14.12,14.28,7.95,19300,0.0,0
2010-01-08,14.23,14.33,14.19,14.32,7.97,31400,0.0,0
2010-01-11,14.32,14.41,14.27,14.33,7.98,35000,0.0,0
2010-01-12,14.29,14.37,14.15,14.28,7.95,57300,0.0,0
2010-01-13,14.16,14.23,14.08,14.18,7.93,31900,0.07,0
2010-01-14,14.11,14.22,14.11,14.17,7.93,17100,0.0,0
2010-01-15,14.18,14.2,14.13,14.13,7.91,40100,0.0,0
2010-01-19,14.14,14.23,14.13,14.23,7.96,18000,0.0,0
2010-01-20,14.14,14.25,14.14,14.22,7.96,31900,0.0,0
2010-01-21,14.13,14.2,14.13,14.14,7.91,36100,0.0,0
2010-01-22,14.15,14.19,14.09,14.11,7.89,26400,0.0,0
2010-01-25,14.1,14.16,14.09,14.12,7.9,24700,0.0,0
2010-01-26,14.12,14.22,14.11,14.22,7.96,20000,0.0,0
2010-01-27,14.14,14.22,14.14,14.21,7.95,56000,0.0,0
2010-01-28,14.2,14.29,14.19,14.29,8.0,24200,0.0,0
2010-01-29,14.29,14.31,14.23,14.24,7.97,37100,0.0,0
2010-02-01,14.35,14.5,14.2,14.23,7.96,78900,0.0,0
2010-02-02,14.24,14.31,14.22,14.29,8.0,46700,0.0,0
2010-02-03,14.26,14.36,14.26,14.35,8.03,22800,0.0,0
2010-02-04,14.3,14.38,14.21,14.27,7.98,39200,0.0,0
2010-02-05,14.25,14.28,14.2,14.24,7.97,40600,0.0,0
2010-02-08,14.25,14.26,14.1,14.19,7.94,35500,0.0,0
2010-02-09,14.15,14.25,14.15,14.23,7.96,44900,0.0,0
2010-02-10,14.16,14.24,14.09,14.18,7.97,33200,0.07,0
2010-02-11,14.13,14.25,14.13,14.24,8.01,67800,0.0,0
2010-02-12,14.25,14.25,14.11,14.24,8.01,63800,0.0,0
2010-02-16,14.2,14.3,14.16,14.29,8.04,55400,0.0,0
2010-02-17,14.6,14.6,14.25,14.32,8.05,76500,0.0,0
2010-02-18,14.3,14.34,14.22,14.28,8.03,48400,0.0,0
2010-02-19,14.23,14.31,14.23,14.3,8.04,32700,0.0,0
2010-02-22,14.26,14.26,14.05,14.07,7.91,65000,0.0,0
2010-02-23,13.99,14.15,13.99,14.14,7.95,52900,0.0,0
2010-02-24,14.06,14.19,14.05,14.15,7.96,58500,0.0,0
2010-02-25,14.15,14.2,14.06,14.2,7.98,56100,0.0,0
2010-02-26,14.16,14.27,14.15,14.27,8.02,45800,0.0,0
2010-03-01,14.32,14.32,14.18,14.26,8.02,53800,0.0,0
2010-03-02,14.3,14.31,14.16,14.26,8.02,52800,0.0,0
2010-03-03,14.22,14.3,14.22,14.28,8.03,37200,0.0,0
2010-03-04,14.29,14.31,14.25,14.3,8.04,63800,0.0,0
2010-03-05,14.26,14.32,14.25,14.31,8.05,34400,0.0,0
2010-03-08,14.31,14.36,14.31,14.33,8.06,25200,0.0,0
2010-03-09,14.34,14.36,14.27,14.28,8.03,29900,0.0,0
