Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,17.13,17.52,17.13,17.22,9.66,3300,0.0,0.0
2010-01-05,17.28,17.7,17.18,17.3,9.71,5800,0.0,0.0
2010-01-06,17.22,17.64,17.18,17.57,9.86,3400,0.0,0.0
2010-01-07,17.64,17.87,17.53,17.68,9.93,4200,0.0,0.0
2010-01-08,17.72,17.72,17.38,17.56,9.86,4300,0.0,0.0
2010-01-11,17.22,17.37,17.01,17.15,9.63,10200,0.0,0.0
2010-01-12,17.01,17.13,16.89,16.93,9.5,4300,0.0,0.0
2010-01-13,17.27,17.27,16.35,16.35,9.33,14500,0.28,0.0
2010-01-14,16.5,16.5,16.39,16.44,9.38,2100,0.0,0.0
2010-01-15,16.52,16.88,16.39,16.72,9.54,6300,0.0,0.0
2010-01-19,16.88,17.5,16.88,17.42,9.94,7600,0.0,0.0
2010-01-20,17.12,17.12,16.58,16.64,9.5,6100,0.0,0.0
2010-01-21,16.67,17.27,16.05,16.09,9.18,4900,0.0,0.0
2010-01-22,16.17,16.87,16.17,16.39,9.36,9300,0.0,0.0
2010-01-25,16.25,16.44,16.08,16.08,9.18,2800,0.0,0.0
2010-01-26,16.18,16.18,15.52,15.67,8.94,5700,0.0,0.0
2010-01-27,15.59,16.18,15.59,15.84,9.04,15700,0.0,0.0
2010-01-28,15.93,16.19,15.65,15.65,8.93,5800,0.0,0.0
2010-01-29,15.75,15.96,15.71,15.71,8.97,4300,0.0,0.0
2010-02-01,15.85,15.94,15.61,15.88,9.06,4600,0.0,0.0
2010-02-02,15.66,15.92,15.28,15.28,8.72,32400,0.0,0.0
2010-02-03,15.39,16.12,15.39,15.96,9.11,4200,0.0,0.0
2010-02-04,15.75,16.04,15.43,15.43,8.81,9100,0.0,0.0
2010-02-05,15.73,15.73,15.33,15.37,8.77,7500,0.0,0.0
2010-02-08,15.37,15.7,15.36,15.44,8.81,6300,0.0,0.0
2010-02-09,15.67,15.75,15.48,15.63,8.92,6900,0.0,0.0
2010-02-10,15.5,15.58,15.37,15.58,8.89,4200,0.0,0.0
2010-02-11,15.45,15.62,15.44,15.47,8.83,2800,0.0,0.0
2010-02-12,15.42,15.73,15.41,15.73,8.98,3000,0.0,0.0
2010-02-16,15.55,15.82,15.43,15.68,8.95,3600,0.0,0.0
2010-02-17,15.72,15.72,15.56,15.69,8.96,1900,0.0,0.0
2010-02-18,15.76,16.04,15.47,15.57,8.89,9300,0.0,0.0
2010-02-19,15.64,15.78,15.41,15.78,9.01,3600,0.0,0.0
2010-02-22,15.48,16.13,15.48,16.13,9.2,6100,0.0,0.0
2010-02-23,16.13,16.28,16.04,16.1,9.19,3700,0.0,0.0
2010-02-24,16.19,16.33,16.13,16.33,9.32,2500,0.0,0.0
2010-02-25,16.18,16.19,16.08,16.19,9.24,1300,0.0,0.0
2010-02-26,15.94,16.06,15.86,16.06,9.17,2200,0.0,0.0
2010-03-01,15.92,16.23,15.87,16.23,9.26,1900,0.0,0.0
