Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,22.86,23.3,22.78,23.26,23.26,874300,0,0.0
2010-01-05,23.11,23.33,22.98,23.21,23.21,834200,0,0.0
2010-01-06,22.97,23.53,22.97,23.49,23.49,932900,0,0.0
2010-01-07,23.69,23.83,23.43,23.74,23.74,809200,0,0.0
2010-01-08,23.69,24.42,23.45,24.37,24.37,757500,0,0.0
2010-01-11,24.68,24.69,23.89,24.13,24.13,707700,0,0.0
2010-01-12,23.85,23.91,23.39,23.7,23.7,835400,0,0.0
2010-01-13,23.63,23.79,23.13,23.42,23.42,2170100,0,0.0
2010-01-14,23.57,23.66,23.17,23.63,23.63,1243000,0,0.0
2010-01-15,23.61,23.61,22.98,23.23,23.23,879900,0,0.0
2010-01-19,23.15,24.03,23.15,23.98,23.98,1089000,0,0.0
2010-01-20,23.73,23.73,23.39,23.47,23.47,1232300,0,0.0
2010-01-21,23.71,23.79,23.02,23.07,23.07,1656200,0,0.0
2010-01-22,22.99,22.99,21.97,22.03,22.03,1161800,0,0.0
2010-01-25,22.07,22.59,22.05,22.34,22.34,791700,0,0.0
2010-01-26,22.13,22.62,21.96,22.33,22.33,840000,0,0.0
2010-01-27,22.27,22.5,21.79,22.0,22.0,1174200,0,0.0
2010-01-28,21.95,21.98,21.24,21.38,21.38,1739100,0,0.0
2010-01-29,21.58,21.88,20.9,21.05,21.05,2084400,0,0.0
2010-02-01,21.33,21.55,21.12,21.35,21.35,1633200,0,0.0
2010-02-02,21.51,21.62,21.29,21.54,21.54,1175400,0,0.0
2010-02-03,21.3,21.57,21.21,21.36,21.36,677900,0,0.0
2010-02-04,20.91,20.91,20.03,20.05,20.05,1473100,0,0.0
2010-02-05,19.97,20.17,19.23,19.85,19.85,1335000,0,0.0
2010-02-08,19.74,20.21,19.53,19.54,19.54,946700,0,0.0
2010-02-09,19.78,20.31,19.73,19.99,19.99,1208300,0,0.0
2010-02-10,19.89,20.15,19.56,19.79,19.79,538300,0,0.0
2010-02-11,19.7,20.41,19.7,20.41,20.41,627200,0,0.0
2010-02-12,20.13,20.75,19.89,20.74,20.74,898200,0,0.0
2010-02-16,21.12,21.15,20.78,21.01,21.01,430800,0,0.0
2010-02-17,21.05,21.38,20.91,21.27,21.27,693800,0,0.0
2010-02-18,21.13,21.44,21.12,21.36,21.36,463700,0,0.0
2010-02-19,21.25,21.94,21.22,21.53,21.53,1146900,0,0.0
2010-02-22,22.37,22.99,22.19,22.58,22.58,2533100,0,0.0
2010-02-23,22.59,22.65,22.32,22.52,22.52,1619600,0,0.0
2010-02-24,22.66,23.13,22.65,23.07,23.07,1776700,0,0.0
2010-02-25,22.71,23.6,22.61,23.55,23.55,1488200,0,0.0
2010-02-26,23.75,24.62,23.59,24.58,24.58,2069000,0,0.0
2010-03-01,24.48,25.09,24.48,24.58,24.58,1522800,0,0.0
2010-03-02,24.65,25.3,24.65,25.07,25.07,2340400,0,0.0
2010-03-03,25.27,25.93,25.27,25.67,25.67,1790000,0,0.0
2010-03-04,25.66,25.86,25.31,25.42,25.42,1480600,0,0.0
2010-03-05,25.62,25.75,25.47,25.61,25.61,730100,0,0.0
2010-03-08,25.66,25.94,25.47,25.77,25.77,592700,0,0.0
2010-03-09,25.66,26.07,25.5,25.7,25.7,747400,0,0.0
2010-03-10,25.63,26.16,25.3,25.83,25.83,2397300,0,0.0
2010-03-11,25.66,25.94,25.49,25.86,25.86,688100,0,0.0
