Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2017-09-21,16.75,16.86,16.5,16.75,13.4082,3904400,0.0,0
2017-09-22,16.75,16.85,16.67,16.75,13.4082,938900,0.0,0
2017-09-25,16.65,17.0,16.65,16.9,13.5283,218700,0.0,0
2017-09-26,16.85,16.95,16.85,16.91,13.5363,264200,0.0,0
2017-09-27,16.86,17.0,16.765,16.94,13.5603,265300,0.0,0
2017-09-28,17.05,17.05,16.952,16.99,13.6004,454400,0.0,0
2017-09-29,16.86,17.07,16.85,16.96,13.5763,253900,0.0,0
2017-10-02,16.89,17.035,16.84,17.0,13.6084,60300,0.0,0
2017-10-03,16.95,17.1,16.85,17.07,13.6644,106900,0.0,0
2017-10-04,17.1,17.1,17.03,17.03,13.6324,109300,0.0,0
2017-10-05,16.96,17.25,16.96,17.24,13.8005,189900,0.0,0
2017-10-06,17.13,17.44,17.095,17.24,13.8005,134400,0.0,0
2017-10-09,17.285,17.51,17.18,17.41,13.9366,141200,0.0,0
2017-10-10,17.36,17.8,17.36,17.65,14.1287,61700,0.0,0
2017-10-11,17.74,17.86,17.6,17.7,14.1687,67000,0.0,0
2017-10-12,17.8,17.99,17.615,17.705,14.1727,36400,0.0,0
2017-10-13,17.75,17.98,17.55,17.98,14.3928,32000,0.0,0
2017-10-16,18.05,18.24,17.61,17.77,14.2247,126600,0.0,0
2017-10-17,17.71,17.94,17.18,17.18,13.7525,79200,0.0,0
2017-10-18,17.23,17.49,16.56,16.67,13.3442,144200,0.0,0
2017-10-19,16.69,16.95,16.27,16.4,13.1281,266100,0.0,0
2017-10-20,16.4,16.76,16.27,16.7,13.3682,98600,0.0,0
2017-10-23,17.0,17.15,16.6,16.85,13.4883,119100,0.0,0
2017-10-24,16.98,16.98,16.67,16.76,13.4162,51500,0.0,0
2017-10-25,16.75,16.75,15.57,16.33,13.072,114500,0.0,0
2017-10-26,16.23,16.46,15.869,16.36,13.096,65100,0.0,0
2017-10-27,16.49,16.63,16.38,16.56,13.2561,70400,0.0,0
2017-10-30,16.5,17.13,16.5,17.0,13.6084,64900,0.0,0
2017-10-31,17.0,17.0,16.5,16.62,13.3042,66000,0.0,0
2017-11-01,16.64,17.0,16.53,16.95,13.5683,38300,0.0,0
2017-11-02,16.87,17.12,16.87,17.05,13.6484,20400,0.0,0
2017-11-03,17.04,17.04,16.71,16.77,13.4243,35800,0.0,0
2017-11-06,16.83,17.44,16.83,17.11,13.6964,51500,0.0,0
2017-11-07,17.2,17.2,16.95,17.12,13.7044,19200,0.0,0
2017-11-08,16.91,17.95,16.91,17.77,14.2247,48200,0.0,0
2017-11-09,17.9,17.99,17.31,17.36,13.8965,34700,0.0,0
2017-11-10,17.41,17.47,16.991,17.02,13.6244,20700,0.0,0
2017-11-13,16.97,17.22,16.66,16.69,13.3602,21800,0.0,0
2017-11-14,16.69,16.95,16.55,16.71,13.3762,31400,0.0,0
2017-11-15,16.6,16.82,16.15,16.58,13.2722,96100,0.0,0
2017-11-16,16.63,16.63,16.45,16.59,13.2802,72100,0.0,0
2017-11-17,16.57,17.5,16.57,17.41,13.9366,134400,0.0,0
2017-11-20,17.3,17.88,16.519,17.75,14.2087,72800,0.0,0
2017-11-21,17.73,18.5,17.58,18.4,14.7291,91500,0.0,0
2017-11-22,18.45,18.613,18.06,18.4,14.7291,31300,0.0,0
2017-11-24,18.35,18.65,18.28,18.65,14.9292,23900,0.0,0
2017-11-27,18.42,18.6,18.16,18.28,14.633,21800,0.0,0
2017-11-28,18.1,18.1,17.51,17.6,14.0887,71500,0.0,0
2017-11-29,17.59,18.12,17.41,17.87,14.3048,44800,0.0,0
2017-11-30,17.81,18.15,17.6,18.12,14.5049,57900,0.0,0
2017-12-01,18.24,18.483,17.86,17.96,14.3768,73600,0.0,0
2017-12-04,17.86,18.41,17.86,17.96,14.3768,40200,0.0,0
2017-12-05,18.0,18.49,17.92,18.49,14.8011,68200,0.0,0
2017-12-06,18.42,18.42,17.97,18.0,14.4089,34200,0.0,0
2017-12-07,18.03,18.44,17.95,18.13,14.5129,162000,0.0,0
2017-12-08,18.075,18.15,17.92,18.1,14.4889,74200,0.0,0
2017-12-11,18.12,18.4,18.1,18.2,14.569,65000,0.0,0
2017-12-12,18.25,18.5,18.1,18.42,14.7451,200700,0.0,0
2017-12-13,18.59,18.932,18.23,18.39,14.721,80800,0.0,0
2017-12-14,18.44,18.76,18.39,18.5,14.8091,102100,0.0,0
2017-12-15,18.52,18.57,18.2,18.3,14.649,96800,0.0,0
2017-12-18,18.38,18.51,18.25,18.35,14.689,92800,0.0,0
2017-12-19,18.35,18.653,17.75,18.0,14.4089,152800,0.0,0
2017-12-20,17.9,18.17,17.71,17.8,14.2488,144900,0.0,0
2017-12-21,17.57,17.66,17.1,17.59,14.0807,82700,0.0,0
2017-12-22,17.4,17.61,16.795,17.49,14.0006,168900,0.0,0
2017-12-26,17.49,17.49,17.17,17.4,13.9286,53100,0.0,0
2017-12-27,17.31,17.35,17.0,17.3,13.8485,75700,0.0,0
2017-12-28,17.32,17.416,16.98,17.16,13.7364,86600,0.0,0
2017-12-29,17.25,17.75,16.7,17.44,13.9606,133700,0.0,0
2018-01-02,17.49,17.61,17.0,17.28,13.8325,38400,0.0,0
2018-01-03,17.37,17.895,17.25,17.53,14.0326,28600,0.0,0
2018-01-04,17.55,17.91,17.5,17.79,14.2408,84800,0.0,0
2018-01-05,17.79,18.0,17.26,18.0,14.4089,27300,0.0,0
2018-01-08,17.99,18.36,17.77,18.35,14.689,73500,0.0,0
2018-01-09,18.35,18.35,17.805,18.35,14.689,24400,0.0,0
2018-01-10,18.38,18.38,18.11,18.35,14.689,22900,0.0,0
2018-01-11,18.37,18.462,17.936,18.42,14.7451,26800,0.0,0
2018-01-12,18.44,18.52,18.13,18.47,14.7851,33800,0.0,0
2018-01-16,18.5,19.08,18.25,18.75,15.0092,111900,0.0,0
2018-01-17,18.75,19.16,18.52,18.8,15.0493,40800,0.0,0
2018-01-18,18.92,19.65,18.5,19.15,15.3294,148300,0.0,0
2018-01-19,19.2,19.4,18.5,19.1,15.2894,130200,0.0,0
2018-01-22,19.19,19.44,18.36,18.79,15.0412,112100,0.0,0
2018-01-23,18.88,19.19,18.718,19.06,15.2574,58200,0.0,0
2018-01-24,19.0,19.45,18.678,19.18,15.3534,53300,0.0,0
2018-01-25,19.31,19.34,19.011,19.04,15.2414,62600,0.0,0
2018-01-26,19.3,19.3,18.76,18.97,15.1853,31600,0.0,0
2018-01-29,19.08,19.35,18.93,19.19,15.3614,75600,0.0,0
2018-01-30,19.13,19.206,18.8,18.93,15.1533,21900,0.0,0
2018-01-31,19.07,19.5,18.67,19.49,15.6016,94500,0.0,0
2018-02-01,19.5,19.5,19.12,19.35,15.4895,18400,0.0,0
2018-02-02,19.2,19.48,19.01,19.24,15.4015,57700,0.0,0
2018-02-05,19.24,19.24,18.56,18.9,15.1293,52400,0.0,0
2018-02-06,18.75,18.9,17.993,18.64,14.9212,128200,0.0,0
2018-02-07,18.45,18.58,17.572,17.95,14.3688,79500,0.0,0
2018-02-08,17.99,18.31,17.65,17.88,14.3128,73800,0.0,0
2018-02-09,18.2,18.2,17.6,18.0,14.4089,34800,0.0,0
2018-02-12,18.19,18.19,17.5,17.58,14.0726,32500,0.0,0
2018-02-13,17.57,17.72,16.66,17.55,14.0486,38900,0.0,0
2018-02-14,17.48,18.03,17.1,17.28,13.8325,46300,0.0,0
2018-02-15,17.1,17.544,16.95,16.99,13.9222,30400,0.3995,0
2018-02-16,16.82,17.44,16.8,16.88,13.8321,28100,0.0,0
2018-02-20,16.91,17.26,16.76,16.9,13.8485,116100,0.0,0
2018-02-21,17.0,17.0,16.55,16.68,13.6682,62400,0.0,0
2018-02-22,16.73,16.909,16.37,16.5,13.5207,75800,0.0,0
2018-02-23,16.56,16.635,16.45,16.5,13.5207,76000,0.0,0
2018-02-26,16.63,16.63,16.45,16.48,13.5043,67200,0.0,0
2018-02-27,16.5,16.566,16.39,16.48,13.5043,60300,0.0,0
2018-02-28,16.79,17.049,16.42,16.48,13.5043,121200,0.0,0
2018-03-01,16.51,16.766,16.43,16.5,13.5207,70200,0.0,0
2018-03-02,16.45,17.33,16.45,16.73,13.7092,82800,0.0,0
2018-03-05,16.8,17.54,16.65,17.25,14.1353,97000,0.0,0
2018-03-06,17.45,18.13,17.39,18.13,14.8564,46800,0.0,0
2018-03-07,17.99,18.12,17.69,17.9,14.6679,33500,0.0,0
2018-03-08,17.88,17.88,17.575,17.7,14.504,30600,0.0,0
2018-03-09,17.81,17.81,17.08,17.48,14.3238,69000,0.0,0
2018-03-12,17.35,17.45,16.68,17.33,14.2008,106300,0.0,0
2018-03-13,17.39,17.455,16.9,17.17,14.0697,44100,0.0,0
2018-03-14,17.12,17.24,16.9,16.91,13.8567,48700,0.0,0
2018-03-15,17.05,17.438,16.474,16.9,13.8485,48800,0.0,0
2018-03-16,16.9,17.44,16.9,17.33,14.2008,17000,0.0,0
2018-03-19,17.24,17.24,16.7,17.0,13.9304,58000,0.0,0
2018-03-20,16.95,17.0,16.52,16.82,13.7829,43000,0.0,0
2018-03-21,16.83,17.05,16.551,16.95,13.8895,38600,0.0,0
2018-03-22,16.95,17.355,16.54,16.86,13.8157,63900,0.0,0
2018-03-23,16.95,16.95,16.5,16.52,13.5371,45400,0.0,0
2018-03-26,16.68,16.98,16.36,16.79,13.7583,69000,0.0,0
2018-03-27,16.88,17.25,16.55,16.95,13.8895,42500,0.0,0
2018-03-28,16.94,17.26,16.7,17.11,14.0206,69600,0.0,0
2018-03-29,17.2,17.85,16.91,17.71,14.5122,62700,0.0,0
2018-04-02,17.59,17.98,17.1,17.85,14.6269,74200,0.0,0
2018-04-03,17.88,17.91,17.11,17.58,14.4057,77900,0.0,0
