Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,31.49,32.9,31.28,32.88,19.49,113900,0.0,0
2010-01-05,32.7,33.78,32.7,33.52,19.87,95700,0.0,0
2010-01-06,33.57,33.97,33.14,33.8,20.03,107200,0.0,0
2010-01-07,33.52,34.13,33.39,33.81,20.04,323900,0.0,0
2010-01-08,34.02,34.44,33.78,34.08,20.2,444400,0.0,0
2010-01-11,34.09,34.24,32.69,33.81,20.04,441300,0.0,0
2010-01-12,33.84,33.85,33.32,33.48,19.85,318100,0.0,0
2010-01-13,33.78,34.36,33.49,34.17,20.25,723000,0.0,0
2010-01-14,34.37,35.49,34.11,35.0,20.75,471000,0.0,0
2010-01-15,35.23,35.23,33.95,34.38,20.38,150700,0.0,0
2010-01-19,34.3,34.86,33.86,34.05,20.18,209800,0.0,0
2010-01-20,34.06,34.06,33.22,33.5,19.86,81000,0.0,0
2010-01-21,33.31,33.64,32.99,33.22,19.69,144600,0.0,0
2010-01-22,33.25,33.92,33.05,33.55,19.89,163400,0.0,0
2010-01-25,33.72,33.83,32.77,32.8,19.44,121700,0.0,0
2010-01-26,32.61,32.61,31.73,31.82,18.86,107100,0.0,0
2010-01-27,31.79,32.1,31.35,31.6,18.73,93800,0.0,0
2010-01-28,31.45,31.83,31.12,31.12,18.45,61800,0.0,0
2010-01-29,31.17,31.76,30.96,31.41,18.62,191600,0.0,0
2010-02-01,31.35,32.09,31.31,32.02,18.98,103800,0.0,0
2010-02-02,32.37,32.61,32.08,32.38,19.19,155300,0.0,0
2010-02-03,32.46,33.29,32.26,32.98,19.55,102200,0.0,0
2010-02-04,32.55,32.76,31.26,31.33,18.57,130100,0.0,0
2010-02-05,31.12,31.36,30.4,31.32,18.56,123000,0.0,0
2010-02-08,31.32,31.76,31.13,31.52,18.68,102200,0.0,0
2010-02-09,31.69,32.83,31.63,32.39,19.2,110600,0.0,0
2010-02-10,32.41,32.69,32.21,32.64,19.35,49500,0.0,0
2010-02-11,32.8,33.09,32.69,32.94,19.53,55400,0.0,0
2010-02-12,32.74,32.74,32.21,32.69,19.38,130900,0.0,0
2010-02-16,32.76,33.99,32.71,33.81,20.04,150600,0.0,0
2010-02-17,34.0,34.31,33.65,33.84,20.06,160400,0.0,0
2010-02-18,33.69,34.09,33.04,33.86,20.07,104300,0.0,0
2010-02-19,33.93,34.0,33.39,33.96,20.13,105100,0.0,0
2010-02-22,34.02,34.08,33.83,34.05,20.18,97500,0.0,0
2010-02-23,34.19,34.19,33.43,33.85,20.06,74500,0.0,0
2010-02-24,33.85,34.08,33.66,34.06,20.19,114800,0.0,0
2010-02-25,33.75,34.34,33.31,33.79,20.03,236200,0.0,0
2010-02-26,33.95,34.1,33.73,33.93,20.11,147000,0.0,0
2010-03-01,34.14,34.14,33.69,33.98,20.14,87500,0.0,0
2010-03-02,34.01,34.5,33.81,33.95,20.12,291700,0.0,0
2010-03-03,33.95,35.68,33.95,35.36,20.96,385500,0.0,0
2010-03-04,35.25,36.06,35.25,35.95,21.31,108900,0.0,0
2010-03-05,36.44,37.18,36.4,36.9,21.87,199800,0.0,0
2010-03-08,36.65,37.27,36.65,37.1,21.99,137300,0.0,0
2010-03-09,37.01,37.98,36.87,37.27,22.09,69800,0.0,0
2010-03-10,37.4,37.65,37.07,37.09,21.99,225600,0.0,0
2010-03-11,36.76,37.34,36.66,36.99,21.93,154600,0.0,0
2010-03-12,36.99,37.44,36.88,37.42,22.18,136300,0.0,0
2010-03-15,37.18,37.18,36.74,36.89,21.87,62000,0.0,0
2010-03-16,36.78,36.85,36.38,36.57,21.68,93200,0.0,0
2010-03-17,36.61,37.25,36.2,36.62,21.71,454800,0.0,0
2010-03-18,36.86,36.86,35.98,36.49,21.63,401200,0.0,0
2010-03-19,35.91,36.31,35.81,35.91,21.29,380400,0.0,0
2010-03-22,35.96,36.61,35.81,36.38,21.56,179300,0.0,0
2010-03-23,36.5,36.58,35.72,36.44,21.6,269200,0.0,0
2010-03-24,36.11,36.7,36.1,36.45,21.61,60400,0.0,0
2010-03-25,36.69,37.1,36.37,36.82,21.82,187100,0.0,0
2010-03-26,36.76,37.18,36.39,36.6,21.69,126600,0.0,0
2010-03-29,36.58,36.89,36.46,36.76,21.79,126000,0.0,0
2010-03-30,36.92,37.44,36.77,37.25,22.08,157400,0.0,0
2010-03-31,37.29,37.48,37.01,37.02,21.94,125600,0.0,0
2010-04-01,37.38,37.49,37.03,37.16,22.03,39300,0.0,0
2010-04-05,37.07,37.71,36.97,37.22,22.06,132000,0.0,0
2010-04-06,37.27,37.37,36.39,36.46,21.61,118000,0.0,0
2010-04-07,36.55,36.55,35.63,35.94,21.3,231000,0.0,0
2010-04-08,35.86,36.16,35.54,35.62,21.11,113100,0.0,0
2010-04-09,35.85,36.0,35.45,35.68,21.15,98000,0.0,0
2010-04-12,35.74,35.88,35.66,35.69,21.16,98900,0.0,0
2010-04-13,35.93,35.95,35.58,35.8,21.22,330200,0.0,0
2010-04-14,36.08,36.77,36.08,36.77,21.8,253400,0.0,0
2010-04-15,36.87,36.87,36.4,36.58,21.68,113700,0.0,0
2010-04-16,36.33,36.86,35.39,35.58,21.09,144700,0.0,0
2010-04-19,35.36,35.53,34.54,34.95,20.72,143800,0.0,0
2010-04-20,35.29,35.58,35.05,35.51,21.05,98600,0.0,0
2010-04-21,35.49,36.32,35.49,36.31,21.52,180100,0.0,0
2010-04-22,35.9,36.71,35.67,36.57,21.68,136400,0.0,0
2010-04-23,36.56,36.84,36.45,36.72,21.77,130700,0.0,0
2010-04-26,36.91,37.25,36.59,36.69,21.75,147500,0.0,0
2010-04-27,36.65,36.74,34.88,34.9,20.69,112800,0.0,0
2010-04-28,35.42,35.42,33.79,35.03,20.76,301800,0.0,0
2010-04-29,35.34,36.35,35.34,35.9,21.28,244900,0.0,0
2010-04-30,35.92,36.11,34.95,35.41,20.99,113000,0.0,0
2010-05-03,35.38,35.53,35.05,35.4,20.98,66600,0.0,0
2010-05-04,34.52,35.33,33.77,34.22,20.28,152700,0.0,0
2010-05-05,33.42,34.01,32.65,32.8,19.44,147300,0.0,0
2010-05-06,32.62,32.94,30.33,31.23,18.51,154200,0.0,0
2010-05-07,31.39,31.83,30.27,31.13,18.45,177000,0.0,0
2010-05-10,32.64,33.46,32.29,33.36,19.77,123200,0.0,0
2010-05-11,33.04,33.61,32.9,33.52,19.87,163000,0.0,0
2010-05-12,33.66,34.35,33.55,34.17,20.25,135700,0.0,0
2010-05-13,33.96,34.78,33.92,34.64,20.53,115400,0.0,0
2010-05-14,34.23,34.23,33.47,34.0,20.15,165100,0.0,0
2010-05-17,33.9,34.5,33.31,34.43,20.41,214700,0.0,0
2010-05-18,35.07,35.07,33.95,34.0,20.15,177800,0.0,0
2010-05-19,33.19,34.03,33.19,33.7,19.98,231900,0.0,0
2010-05-20,32.03,33.29,32.03,32.5,19.26,218000,0.0,0
2010-05-21,32.18,33.2,31.94,33.09,19.61,105500,0.0,0
2010-05-24,32.83,32.83,32.09,32.19,19.08,129200,0.0,0
2010-05-25,31.07,32.65,30.94,32.42,19.22,197400,0.0,0
2010-05-26,32.65,34.22,32.65,33.18,19.67,272900,0.0,0
2010-05-27,34.22,34.78,33.66,34.76,20.6,228600,0.0,0
2010-05-28,34.56,35.03,33.99,34.0,20.15,112600,0.0,0
2010-06-01,33.76,34.32,33.75,33.82,20.05,254200,0.0,0
2010-06-02,33.82,33.82,33.82,33.82,20.05,0,0.0,0
2010-06-03,33.82,33.82,33.82,33.82,20.05,0,0.0,0
2010-06-04,33.82,33.82,33.82,33.82,20.05,0,0.0,0
2010-06-07,33.82,33.82,33.82,33.82,20.05,0,0.0,0
2010-06-08,33.82,33.82,33.82,33.82,20.05,0,0.0,0
2010-06-09,33.82,33.82,33.82,33.82,20.05,0,0.0,0
2010-06-10,33.82,33.82,33.82,33.82,20.68,0,1.04225,0
2010-06-11,33.82,33.82,33.82,33.82,20.68,0,0.0,0
2010-06-14,32.81,34.17,31.76,33.07,20.23,258800,0.0,0
2010-06-15,33.72,33.72,32.59,33.18,20.29,125200,0.0,0
2010-06-16,32.94,33.07,31.79,31.89,19.5,122800,0.0,0
2010-06-17,31.87,31.94,31.12,31.45,19.23,78200,0.0,0
2010-06-18,31.79,32.01,31.52,31.7,19.39,136800,0.0,0
2010-06-21,32.16,32.18,30.76,30.87,18.88,165300,0.0,0
2010-06-22,30.93,31.0,29.7,29.84,18.25,268600,0.0,0
2010-06-23,30.27,30.43,29.64,30.17,18.45,204000,0.0,0
2010-06-24,30.3,30.6,29.84,30.25,18.5,234500,0.0,0
2010-06-25,30.15,30.96,29.97,30.54,18.68,209300,0.0,0
2010-06-28,30.74,30.76,30.5,30.55,18.68,115100,0.0,0
2010-06-29,30.25,30.25,29.09,29.35,17.95,109700,0.0,0
2010-06-30,29.56,29.76,28.84,29.05,17.77,122600,0.0,0
2010-07-01,29.34,29.44,28.17,28.6,17.49,153800,0.0,0
2010-07-02,28.54,28.81,28.18,28.7,17.55,62400,0.0,0
2010-07-06,29.49,29.53,28.63,28.91,17.68,205100,0.0,0
2010-07-07,28.76,30.28,28.76,30.17,18.45,405300,0.0,0
2010-07-08,30.36,30.97,30.36,30.9,18.9,63800,0.0,0
2010-07-09,30.9,31.15,30.86,31.15,19.05,26500,0.0,0
2010-07-12,31.15,31.38,30.94,31.25,19.11,86200,0.0,0
2010-07-13,31.52,31.76,31.14,31.54,19.29,224100,0.0,0
2010-07-14,31.54,31.76,31.39,31.68,19.38,93200,0.0,0
2010-07-15,31.71,31.73,31.32,31.66,19.36,70100,0.0,0
2010-07-16,31.44,31.48,31.17,31.4,19.2,142000,0.0,0
2010-07-19,31.28,31.92,31.1,31.79,19.44,180200,0.0,0
2010-07-20,31.6,32.03,31.41,31.8,19.45,117300,0.0,0
2010-07-21,32.1,32.1,31.2,31.48,19.25,178800,0.0,0
2010-07-22,31.9,31.9,31.39,31.66,19.36,719200,0.0,0
2010-07-23,31.66,32.63,31.62,32.55,19.91,63100,0.0,0
2010-07-26,32.37,33.16,32.34,33.0,20.18,243600,0.0,0
2010-07-27,33.32,33.32,32.75,32.98,20.17,183900,0.0,0
2010-07-28,33.05,33.05,32.26,32.58,19.93,80300,0.0,0
2010-07-29,32.97,32.97,31.93,32.3,19.75,114500,0.0,0
2010-07-30,32.34,32.69,32.19,32.49,19.87,372000,0.0,0
2010-08-02,32.97,33.49,32.62,33.25,20.34,320100,0.0,0
2010-08-03,33.18,33.5,32.78,33.01,20.19,489700,0.0,0
2010-08-04,33.05,33.17,32.16,32.25,19.72,113900,0.0,0
2010-08-05,31.92,32.23,31.86,32.01,19.58,365800,0.0,0
2010-08-06,31.72,31.79,31.21,31.56,19.3,231600,0.0,0
2010-08-09,31.59,31.79,31.4,31.44,19.23,121900,0.0,0
2010-08-10,31.0,31.32,29.92,30.35,18.56,230600,0.0,0
2010-08-11,29.65,30.07,29.16,29.74,18.19,138700,0.0,0
2010-08-12,29.28,30.31,29.18,30.23,18.49,353800,0.0,0
2010-08-13,30.29,30.8,30.29,30.77,18.82,102200,0.0,0
2010-08-16,30.45,31.03,29.82,31.03,19.19,115500,0.34339,0
2010-08-17,31.32,31.32,30.84,31.23,19.32,284800,0.0,0
2010-08-18,31.1,31.51,31.07,31.4,19.42,204200,0.0,0
2010-08-19,31.39,31.39,30.99,31.12,19.25,559700,0.0,0
2010-08-20,30.97,30.97,30.48,30.78,19.04,205800,0.0,0
2010-08-23,30.98,30.98,30.11,30.18,18.67,100700,0.0,0
2010-08-24,29.72,29.74,28.99,29.22,18.07,847500,0.0,0
2010-08-25,29.18,29.22,28.77,29.05,17.97,163200,0.0,0
2010-08-26,28.83,29.25,28.7,28.72,17.76,254100,0.0,0
2010-08-27,29.35,29.35,28.79,29.09,17.99,165400,0.0,0
2010-08-30,29.06,29.06,28.08,28.18,17.43,193400,0.0,0
2010-08-31,27.9,28.51,27.55,28.39,17.56,575300,0.0,0
2010-09-01,28.6,29.43,28.41,29.18,18.05,294000,0.0,0
2010-09-02,29.08,29.5,29.05,29.49,18.24,163600,0.0,0
