Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,3.18,3.18,3.18,3.18,2.87,100,0.0,0.0
2010-01-05,3.18,3.18,3.18,3.18,2.87,0,0.0,0.0
2010-01-06,3.18,3.18,3.18,3.18,2.87,0,0.0,0.0
2010-01-07,2.94,2.94,2.94,2.94,2.66,1300,0.0,0.0
2010-01-08,2.94,2.94,2.94,2.94,2.66,3500,0.0,0.0
2010-01-11,2.94,2.94,2.94,2.94,2.66,0,0.0,0.0
2010-01-12,2.94,2.94,2.94,2.94,2.66,0,0.0,0.0
2010-01-13,2.94,2.94,2.94,2.94,2.66,0,0.0,0.0
2010-01-14,2.94,2.94,2.94,2.94,2.66,0,0.0,0.0
2010-01-15,2.94,2.94,2.94,2.94,2.66,0,0.0,0.0
2010-01-19,2.94,2.94,2.94,2.94,2.66,1100,0.0,0.0
2010-01-20,2.7,2.71,2.69,2.69,2.43,4400,0.0,0.0
2010-01-21,2.74,2.85,2.73,2.85,2.57,2000,0.0,0.0
2010-01-22,2.85,2.85,2.85,2.85,2.57,0,0.0,0.0
2010-01-25,2.85,2.85,2.85,2.85,2.57,0,0.0,0.0
2010-01-26,2.85,2.85,2.85,2.85,2.57,0,0.0,0.0
2010-01-27,2.85,2.85,2.85,2.85,2.57,0,0.0,0.0
2010-01-28,2.7,2.7,2.7,2.7,2.44,1900,0.0,0.0
2010-01-29,2.7,2.7,2.7,2.7,2.44,0,0.0,0.0
2010-02-01,2.61,2.85,2.5,2.53,2.28,6300,0.0,0.0
2010-02-02,2.85,2.85,2.69,2.69,2.43,1600,0.0,0.0
2010-02-03,2.69,2.69,2.69,2.69,2.43,0,0.0,0.0
2010-02-04,2.69,2.69,2.69,2.69,2.43,0,0.0,0.0
2010-02-05,2.69,2.69,2.69,2.69,2.43,0,0.0,0.0
2010-02-08,2.8,2.82,2.8,2.82,2.54,3200,0.0,0.0
2010-02-09,2.61,2.61,2.61,2.61,2.36,1400,0.0,0.0
2010-02-10,2.61,2.61,2.61,2.61,2.36,0,0.0,0.0
2010-02-11,2.74,3.02,2.74,3.02,2.72,400,0.0,0.0
2010-02-12,3.01,3.01,2.94,2.94,2.66,1000,0.0,0.0
2010-02-16,2.94,2.94,2.94,2.94,2.66,1500,0.0,0.0
2010-02-17,2.69,2.69,2.69,2.69,2.43,1100,0.0,0.0
2010-02-18,3.18,3.18,3.18,3.18,2.88,100,0.0,0.0
2010-02-19,3.18,3.18,3.18,3.18,2.88,0,0.0,0.0
2010-02-22,2.74,2.88,2.74,2.88,2.6,800,0.0,0.0
2010-02-23,3.04,3.04,3.04,3.04,2.75,100,0.0,0.0
2010-02-24,3.04,3.04,3.04,3.04,2.75,0,0.0,0.0
2010-02-25,3.04,3.04,3.04,3.04,2.75,0,0.0,0.0
2010-02-26,3.03,3.03,2.94,2.94,2.66,1500,0.0,0.0
2010-03-01,3.02,3.18,3.02,3.18,2.87,6700,0.0,0.0
2010-03-02,3.18,3.39,3.18,3.39,3.06,7000,0.0,0.0
2010-03-03,3.39,3.39,3.39,3.39,3.06,0,0.0,0.0
2010-03-04,3.39,3.39,3.39,3.39,3.06,0,0.0,0.0
2010-03-05,3.08,3.08,3.08,3.08,2.79,500,0.0,0.0
2010-03-08,2.98,3.78,2.96,3.78,3.42,6100,0.0,0.0
