Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-05,0.77,0.77,0.77,0.77,0.62,0.0,0.0,0.0
2010-01-13,0.74,0.74,0.74,0.74,0.59,0.0,0.0,0.0
2010-01-14,0.73,0.73,0.73,0.73,0.59,0.0,0.0,0.0
2010-01-19,0.72,0.72,0.72,0.72,0.58,0.0,0.0,0.0
2010-01-20,0.7,0.7,0.7,0.7,0.56,0.0,0.0,0.0
2010-01-21,0.73,0.73,0.73,0.73,0.59,0.0,0.0,0.0
2010-01-26,0.75,0.75,0.75,0.75,0.6,0.0,0.0,0.0
2010-01-28,0.73,0.73,0.73,0.73,0.59,0.0,0.0,0.0
2010-02-01,0.77,0.77,0.77,0.77,0.62,0.0,0.0,0.0
2010-02-02,0.77,0.77,0.77,0.77,0.62,0.0,0.0,0.0
2010-02-03,0.76,0.76,0.76,0.76,0.61,0.0,0.0,0.0
2010-02-04,0.73,0.75,0.73,0.73,0.59,0.0,0.0,0.0
2010-02-08,0.73,0.77,0.73,0.73,0.59,0.0,0.0,0.0
2010-02-09,0.73,0.75,0.73,0.73,0.59,0.0,0.0,0.0
2010-02-10,0.74,0.74,0.74,0.74,0.59,0.0,0.0,0.0
2010-02-11,0.75,0.75,0.75,0.75,0.6,0.0,0.0,0.0
2010-02-16,0.75,0.75,0.75,0.75,0.6,0.0,0.0,0.0
2010-02-17,0.76,0.76,0.76,0.76,0.61,0.0,0.0,0.0
2010-02-18,0.76,0.76,0.76,0.76,0.61,0.0,0.0,0.0
2010-02-22,0.78,0.78,0.78,0.78,0.63,0.0,0.0,0.0
2010-02-23,0.79,0.79,0.79,0.79,0.63,0.0,0.0,0.0
2010-02-24,0.79,0.79,0.79,0.79,0.63,0.0,0.0,0.0
2010-02-25,0.79,0.79,0.79,0.79,0.63,0.0,0.0,0.0
2010-03-01,0.79,0.79,0.79,0.79,0.63,0.0,0.0,0.0
2010-03-03,0.8,0.8,0.8,0.8,0.64,0.0,0.0,0.0
2010-03-04,0.8,0.8,0.8,0.8,0.64,0.0,0.0,0.0
2010-03-08,0.8,0.8,0.8,0.8,0.64,0.0,0.0,0.0
2010-03-09,0.8,0.8,0.8,0.8,0.64,0.0,0.0,0.0
2010-03-10,0.8,0.8,0.8,0.8,0.64,0.0,0.0,0.0
2010-03-11,0.79,0.79,0.79,0.79,0.63,0.0,0.0,0.0
