Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,26.01,26.04,26.01,26.04,17.25,1200,0,0
2010-01-05,25.88,26.0,25.88,26.0,17.22,550,0,0
2010-01-06,26.0,26.0,25.64,25.81,17.09,4510,0,0
2010-01-07,25.85,26.05,25.85,26.01,17.23,2700,0,0
2010-01-08,25.75,25.98,25.37,25.37,16.8,9600,0,0
2010-01-11,25.92,25.92,25.54,25.7,17.02,1400,0,0
2010-01-12,25.88,25.88,25.87,25.87,17.13,300,0,0
2010-01-13,25.85,25.85,25.55,25.56,16.93,13900,0,0
2010-01-14,25.59,25.68,25.5,25.5,16.89,5625,0,0
2010-01-15,25.5,25.5,25.5,25.5,16.89,1000,0,0
2010-01-19,25.75,25.75,25.3,25.3,16.76,4973,0,0
2010-01-20,25.49,25.65,25.36,25.36,16.79,4500,0,0
2010-01-21,25.56,25.72,25.33,25.55,16.92,2580,0,0
2010-01-22,25.8,25.8,25.5,25.6,16.95,1100,0,0
2010-01-25,25.9,25.9,25.6,25.6,16.95,3669,0,0
2010-01-26,25.67,25.67,25.36,25.36,16.79,2186,0,0
2010-01-27,25.17,25.36,25.17,25.36,17.05,2234,0,0
2010-01-28,25.35,25.35,25.35,25.35,17.04,100,0,0
2010-01-29,25.33,25.46,25.15,25.46,17.11,4584,0,0
2010-02-01,25.1,25.45,25.1,25.25,16.97,1200,0,0
2010-02-02,25.46,25.47,25.25,25.45,17.11,2706,0,0
2010-02-03,25.44,25.45,25.35,25.45,17.11,404,0,0
2010-02-04,25.49,25.49,25.36,25.36,17.05,1200,0,0
2010-02-05,25.49,25.49,25.19,25.19,16.93,2700,0,0
2010-02-08,25.4,25.49,25.4,25.49,17.13,4828,0,0
2010-02-09,25.23,25.5,25.23,25.5,17.14,1445,0,0
2010-02-10,25.27,25.45,25.27,25.45,17.11,988,0,0
2010-02-11,25.35,25.5,25.25,25.49,17.13,6819,0,0
2010-02-12,25.4,25.48,25.4,25.48,17.13,1300,0,0
2010-02-16,25.5,25.5,25.27,25.35,17.04,3900,0,0
2010-02-17,25.5,25.5,25.31,25.31,17.01,1211,0,0
2010-02-18,25.64,25.72,25.64,25.65,17.24,1500,0,0
2010-02-19,26.76,26.76,25.4,25.4,17.07,2064,0,0
2010-02-22,25.4,25.64,25.4,25.64,17.24,500,0,0
2010-02-23,25.71,25.71,25.7,25.7,17.28,300,0,0
2010-02-24,25.5,25.5,25.5,25.5,17.14,500,0,0
2010-02-25,25.4,25.71,25.39,25.71,17.28,2097,0,0
2010-02-26,25.53,25.65,25.51,25.65,17.24,1400,0,0
2010-03-01,25.66,25.68,25.65,25.65,17.24,1200,0,0
2010-03-02,25.64,25.9,25.64,25.87,17.39,3590,0,0
2010-03-03,25.64,25.9,25.64,25.64,17.24,141100,0,0
2010-03-04,25.81,25.81,25.77,25.77,17.32,3000,0,0
2010-03-05,25.89,25.89,25.64,25.89,17.4,810,0,0
2010-03-08,25.68,26.0,25.67,25.75,17.31,6815,0,0
2010-03-09,25.63,26.0,25.5,25.64,17.24,6590,0,0
2010-03-10,25.64,25.64,25.64,25.64,17.24,100,0,0
2010-03-11,25.88,25.88,25.64,25.64,17.24,963,0,0
2010-03-12,25.9,25.9,25.89,25.89,17.4,1220,0,0
2010-03-15,25.89,25.89,25.89,25.89,17.4,600,0,0
2010-03-16,25.77,25.9,25.7,25.9,17.41,2900,0,0
2010-03-17,25.85,25.85,25.85,25.85,17.38,200,0,0
2010-03-18,25.9,26.0,25.9,26.0,17.48,800,0,0
2010-03-19,25.75,25.75,25.55,25.64,17.24,5421,0,0
2010-03-22,25.88,25.88,25.6,25.71,17.28,8900,0,0
2010-03-23,25.88,25.93,25.57,25.93,17.43,330704,0,0
2010-03-24,25.98,25.98,25.7,25.7,17.28,12300,0,0
2010-03-25,25.75,25.75,25.56,25.57,17.19,3435,0,0
2010-03-26,25.71,25.84,25.7,25.71,17.28,2168,0,0
2010-03-29,25.87,25.87,25.62,25.87,17.39,2360,0,0
2010-03-30,25.85,25.88,25.66,25.66,17.25,2224,0,0
2010-03-31,25.87,25.88,25.7,25.88,17.4,3270,0,0
2010-04-01,25.88,25.88,25.65,25.67,17.26,8600,0,0
2010-04-05,25.87,25.87,25.52,25.78,17.33,10455,0,0
2010-04-06,25.51,25.75,25.51,25.75,17.31,1340,0,0
2010-04-07,25.51,25.99,25.25,25.25,16.97,10335,0,0
2010-04-08,25.27,25.7,25.27,25.55,17.17,2500,0,0
2010-04-09,25.6,25.6,25.59,25.6,17.21,1000,0,0
2010-04-12,25.6,25.6,25.51,25.59,17.2,1555,0,0
2010-04-13,25.6,25.93,25.5,25.81,17.35,3700,0,0
2010-04-14,25.6,25.96,25.9,25.9,17.41,2181,0,0
2010-04-15,25.6,25.91,25.91,25.91,17.42,1300,0,0
2010-04-16,25.84,25.84,25.75,25.75,17.31,1300,0,0
2010-04-19,25.61,25.82,25.61,25.66,17.25,3200,0,0
2010-04-20,25.82,25.85,25.65,25.65,17.24,6800,0,0
2010-04-21,25.65,25.71,25.61,25.62,17.22,3550,0,0
2010-04-22,25.8,25.8,25.63,25.63,17.23,2080,0,0
2010-04-23,25.85,25.85,25.66,25.66,17.25,4400,0,0
2010-04-26,25.84,25.84,25.66,25.73,17.3,5180,0,0
2010-04-27,25.8,25.85,25.7,25.7,17.28,5200,0,0
2010-04-28,25.58,25.59,25.24,25.59,17.46,5400,0,0
2010-04-29,25.52,25.69,25.41,25.46,17.37,6856,0,0
2010-04-30,25.7,25.78,25.26,25.4,17.32,11440,0,0
2010-05-03,25.45,25.45,25.39,25.45,17.36,4250,0,0
2010-05-04,25.45,25.45,25.44,25.45,17.36,4575,0,0
2010-05-05,25.45,25.54,25.45,25.54,17.42,17100,0,0
2010-05-06,25.45,25.53,25.25,25.25,17.22,7000,0,0
2010-05-07,25.6,25.6,25.25,25.35,17.29,10925,0,0
2010-05-10,25.6,25.6,25.24,25.37,17.31,6220,0,0
2010-05-11,25.59,25.59,25.58,25.59,17.46,2458,0,0
2010-05-12,25.59,25.59,25.36,25.57,17.44,5892,0,0
2010-05-13,25.58,25.58,25.39,25.39,17.32,1400,0,0
2010-05-14,25.51,25.51,25.51,25.51,17.4,100,0,0
2010-05-17,25.48,25.48,25.18,25.43,17.35,6713,0,0
2010-05-18,25.49,25.5,25.3,25.37,17.31,10305,0,0
2010-05-19,25.39,25.4,25.39,25.39,17.32,600,0,0
2010-05-20,25.4,25.49,25.0,25.49,17.39,5600,0,0
2010-05-21,25.15,25.49,25.1,25.49,17.39,2225,0,0
2010-05-24,25.15,25.57,25.56,25.57,17.44,400,0,0
2010-05-25,25.5,25.5,25.5,25.5,17.39,400,0,0
2010-05-26,25.55,25.55,25.4,25.55,17.43,4230,0,0
2010-05-27,25.5,25.5,25.32,25.5,17.39,2100,0,0
2010-05-28,25.55,25.55,25.5,25.55,17.43,825,0,0
2010-06-01,25.35,25.35,25.35,25.35,17.29,2300,0,0
2010-06-02,25.4,25.6,25.37,25.58,17.45,2080,0,0
2010-06-03,25.4,25.36,25.36,25.36,17.3,200,0,0
2010-06-04,25.36,25.37,25.1,25.1,17.12,2202,0,0
2010-06-07,25.35,25.47,25.32,25.47,17.37,2200,0,0
2010-06-08,25.58,25.58,25.13,25.13,17.14,4790,0,0
2010-06-09,25.25,25.7,25.2,25.3,17.26,10505,0,0
2010-06-10,25.15,25.15,25.12,25.12,17.14,900,0,0
2010-06-11,25.2,25.39,25.11,25.15,17.16,4968,0,0
2010-06-14,25.13,25.13,25.01,25.01,17.06,1900,0,0
2010-06-15,25.24,25.46,25.24,25.28,17.24,4245,0,0
2010-06-16,25.46,25.47,25.4,25.43,17.35,4700,0,0
2010-06-17,25.17,25.17,25.11,25.12,17.14,1200,0,0
2010-06-18,25.35,25.45,25.35,25.45,17.36,2900,0,0
2010-06-21,25.49,25.5,25.15,25.5,17.39,2500,0,0
2010-06-22,25.4,25.4,25.29,25.29,17.25,600,0,0
2010-06-23,25.48,25.48,25.23,25.47,17.37,800,0,0
2010-06-24,25.45,25.45,25.25,25.26,17.23,4505,0,0
2010-06-25,25.2,25.5,25.16,25.5,17.39,13620,0,0
2010-06-28,25.42,25.56,25.41,25.49,17.39,4000,0,0
2010-06-29,25.4,25.4,25.35,25.4,17.33,8800,0,0
2010-06-30,25.54,25.54,25.3,25.46,17.37,10100,0,0
2010-07-01,25.35,25.54,25.31,25.45,17.36,5298,0,0
2010-07-02,25.49,25.5,25.4,25.44,17.35,3255,0,0
2010-07-06,25.47,25.5,25.37,25.47,17.37,5756,0,0
2010-07-07,25.29,25.54,25.29,25.54,17.42,2088,0,0
2010-07-08,25.53,25.61,25.53,25.61,17.47,2300,0,0
2010-07-09,25.69,25.69,25.42,25.5,17.39,5550,0,0
2010-07-12,25.5,25.5,25.38,25.38,17.31,7600,0,0
2010-07-13,25.5,25.66,25.25,25.66,17.5,123800,0,0
2010-07-14,25.5,25.63,25.5,25.63,17.49,4525,0,0
2010-07-15,25.7,25.87,25.51,25.78,17.59,3500,0,0
2010-07-16,25.77,25.78,25.77,25.78,17.59,5440,0,0
2010-07-19,25.86,25.86,25.81,25.86,17.64,1875,0,0
2010-07-20,25.8,25.86,25.8,25.86,17.64,1800,0,0
2010-07-21,25.89,25.89,25.82,25.84,17.63,525,0,0
2010-07-22,25.82,26.38,25.82,26.04,17.76,2420,0,0
2010-07-23,26.19,26.19,25.98,25.98,17.72,500,0,0
2010-07-26,26.24,26.24,25.99,26.24,17.9,1400,0,0
2010-07-27,26.24,26.24,25.99,26.18,17.86,1450,0,0
2010-07-28,25.89,25.89,25.26,25.52,17.66,4600,0,0
2010-07-29,25.95,25.95,25.7,25.81,17.86,2400,0,0
2010-07-30,25.89,25.89,25.89,25.89,17.92,1400,0,0
2010-08-02,25.94,25.99,25.75,25.75,17.82,6555,0,0
2010-08-03,26.0,26.0,25.75,25.75,17.82,3302,0,0
2010-08-04,25.75,25.93,25.75,25.86,17.9,3879,0,0
2010-08-05,25.98,25.98,25.8,25.8,17.86,800,0,0
2010-08-06,25.99,26.24,25.88,26.0,17.99,3714,0,0
2010-08-09,26.2,26.34,26.19,26.19,18.13,500,0,0
2010-08-10,26.34,26.34,26.09,26.09,18.06,2320,0,0
2010-08-11,26.33,27.72,26.33,27.0,18.69,1700,0,0
2010-08-12,26.76,27.01,26.0,26.68,18.46,3809,0,0
2010-08-13,26.32,26.63,26.2,26.59,18.4,828,0,0
2010-08-16,26.6,27.0,26.37,27.0,18.69,2774,0,0
2010-08-17,27.0,27.0,26.7,26.7,18.48,1740,0,0
2010-08-18,26.62,26.99,26.35,26.9,18.62,6143,0,0
2010-08-19,26.74,26.91,26.24,26.91,18.62,2814,0,0
2010-08-20,26.74,26.99,26.74,26.99,18.68,1550,0,0
2010-08-23,26.71,27.25,26.7,27.0,18.69,2730,0,0
2010-08-24,27.0,27.2,27.0,27.05,18.72,3625,0,0
2010-08-25,27.24,27.25,27.2,27.21,18.83,500,0,0
2010-08-26,27.0,27.06,27.0,27.04,18.71,601,0,0
2010-08-27,27.11,27.25,27.05,27.16,18.79,3850,0,0
2010-08-30,27.6,27.6,27.4,27.4,18.96,1300,0,0
2010-08-31,27.33,27.35,27.24,27.35,18.93,1200,0,0
2010-09-01,27.47,27.6,27.47,27.6,19.1,400,0,0
2010-09-02,28.0,28.0,27.24,27.92,19.32,5744,0,0
2010-09-03,27.4,27.8,27.4,27.8,19.24,2700,0,0
2010-09-07,27.6,27.85,27.6,27.85,19.27,200,0,0
2010-09-08,28.5,28.5,27.89,28.39,19.65,1750,0,0
2010-09-09,28.63,28.63,28.3,28.6,19.79,3004,0,0
2010-09-10,28.35,28.38,27.64,27.64,19.13,5434,0,0
2010-09-13,27.52,27.64,26.77,26.77,18.53,15678,0,0
2010-09-14,27.02,27.66,27.02,27.39,18.96,3620,0,0
2010-09-15,26.02,27.65,26.02,27.3,18.89,4125,0,0
2010-09-16,27.48,27.48,27.0,27.25,18.86,3575,0,0
2010-09-17,27.0,27.24,26.75,27.24,18.85,3795,0,0
2010-09-20,27.25,27.43,27.13,27.13,18.78,748,0,0
2010-09-21,27.21,27.46,27.21,27.46,19.0,2067,0,0
2010-09-22,27.46,27.71,27.1,27.5,19.03,2180,0,0
2010-09-23,27.25,28.21,27.25,28.21,19.52,5558,0,0
2010-09-24,28.5,28.78,27.75,27.75,19.2,1200,0,0
2010-09-27,27.76,27.76,27.47,27.5,19.03,6636,0,0
