Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2013-01-29,24.67,24.88,24.62,24.87,12.84,5511300,0.0,0
2013-01-30,24.87,25.17,24.82,24.93,12.88,859400,0.0,0
2013-01-31,25.12,25.23,24.98,25.02,12.92,542100,0.0,0
2013-02-01,25.18,25.41,25.18,25.31,13.07,415900,0.0,0
2013-02-04,25.31,25.61,25.28,25.61,13.23,441500,0.0,0
2013-02-05,25.72,25.81,25.28,25.79,13.32,389300,0.0,0
2013-02-06,25.81,25.82,25.61,25.81,13.33,319200,0.0,0
2013-02-07,25.8,25.8,25.61,25.64,13.24,230200,0.0,0
2013-02-08,25.76,25.78,25.57,25.76,13.3,246600,0.0,0
2013-02-11,25.8,25.8,25.62,25.62,13.23,199400,0.0,0
2013-02-12,25.68,25.69,25.34,25.53,13.18,306800,0.0,0
2013-02-13,25.61,25.7,25.4,25.54,13.19,216800,0.0,0
2013-02-14,25.56,25.73,25.56,25.71,13.28,128900,0.0,0
2013-02-15,25.72,25.74,25.52,25.64,13.24,144300,0.0,0
2013-02-19,25.71,25.71,25.57,25.68,13.26,123100,0.0,0
2013-02-20,25.7,25.7,25.45,25.5,13.17,136900,0.0,0
2013-02-21,25.64,25.64,25.44,25.47,13.15,162800,0.0,0
2013-02-22,25.56,25.59,25.48,25.48,13.16,196700,0.0,0
2013-02-25,25.52,25.52,25.3,25.34,13.09,195100,0.0,0
2013-02-26,25.36,25.44,24.87,25.08,12.95,202600,0.0,0
2013-02-27,25.08,25.34,24.96,25.28,13.06,148600,0.0,0
2013-02-28,25.36,25.43,25.18,25.19,13.01,96100,0.0,0
2013-03-01,25.25,25.34,25.15,25.22,13.02,109200,0.0,0
2013-03-04,25.31,25.34,25.07,25.31,13.07,110700,0.0,0
2013-03-05,25.32,25.38,25.23,25.35,13.09,168400,0.0,0
2013-03-06,25.41,25.43,25.32,25.43,13.13,193200,0.0,0
2013-03-07,25.51,25.51,25.29,25.44,13.14,147700,0.0,0
2013-03-08,25.48,25.56,25.2,25.46,13.15,197400,0.0,0
2013-03-11,25.59,25.69,25.34,25.56,13.2,195300,0.0,0
2013-03-12,25.02,25.21,24.93,25.02,12.92,1513300,0.0,0
2013-03-13,25.0,25.12,24.97,25.09,12.96,605900,0.0,0
2013-03-14,24.91,24.94,24.77,24.85,12.91,646400,0.156,0
2013-03-15,24.85,24.91,24.78,24.85,12.91,356800,0.0,0
2013-03-18,24.84,24.85,24.71,24.77,12.87,396100,0.0,0
2013-03-19,24.76,24.85,24.55,24.74,12.86,685400,0.0,0
2013-03-20,24.88,24.88,24.58,24.75,12.86,382000,0.0,0
2013-03-21,24.8,24.8,24.63,24.69,12.83,244100,0.0,0
2013-03-22,24.66,24.75,24.6,24.72,12.85,257300,0.0,0
2013-03-25,24.66,24.75,24.47,24.6,12.78,412800,0.0,0
2013-03-26,24.59,24.62,24.48,24.6,12.78,396400,0.0,0
2013-03-27,24.54,24.61,24.47,24.49,12.73,419400,0.0,0
2013-03-28,24.47,24.77,24.47,24.69,12.83,333300,0.0,0
2013-04-01,24.85,24.87,24.69,24.77,12.87,328100,0.0,0
2013-04-02,24.67,24.84,24.67,24.67,12.82,339900,0.0,0
2013-04-03,24.67,24.84,24.62,24.83,12.9,256500,0.0,0
2013-04-04,24.76,24.85,24.75,24.82,12.9,200700,0.0,0
2013-04-05,24.7,24.87,24.7,24.77,12.87,219800,0.0,0
2013-04-08,24.87,24.87,24.79,24.81,12.89,242400,0.0,0
2013-04-09,24.81,24.81,24.69,24.73,12.93,268400,0.156,0
2013-04-10,24.82,24.84,24.72,24.78,12.96,360400,0.0,0
2013-04-11,24.72,24.87,24.62,24.68,12.91,264100,0.0,0
2013-04-12,24.76,24.82,24.7,24.79,12.96,230900,0.0,0
2013-04-15,24.85,24.86,24.62,24.67,12.9,240300,0.0,0
2013-04-16,24.69,24.82,24.69,24.77,12.95,199400,0.0,0
2013-04-17,24.65,24.84,24.65,24.75,12.94,308300,0.0,0
2013-04-18,24.7,24.79,24.67,24.68,12.91,234800,0.0,0
2013-04-19,24.68,24.76,24.64,24.67,12.9,245900,0.0,0
2013-04-22,24.68,24.74,24.62,24.66,12.9,276100,0.0,0
2013-04-23,24.72,24.72,24.54,24.65,12.89,613700,0.0,0
2013-04-24,24.62,24.72,24.54,24.6,12.86,683600,0.0,0
2013-04-25,24.68,24.7,24.44,24.47,12.8,727300,0.0,0
2013-04-26,24.53,24.67,24.53,24.67,12.9,295000,0.0,0
2013-04-29,24.67,24.87,24.65,24.81,12.97,403500,0.0,0
2013-04-30,24.77,24.92,24.69,24.87,13.01,630100,0.0,0
2013-05-01,24.92,24.98,24.89,24.98,13.06,650400,0.0,0
2013-05-02,24.99,25.11,24.96,25.06,13.11,573400,0.0,0
2013-05-03,25.09,25.18,25.05,25.11,13.13,508900,0.0,0
2013-05-06,25.13,25.24,25.03,25.09,13.12,419300,0.0,0
2013-05-07,25.18,25.24,25.07,25.17,13.16,626900,0.0,0
2013-05-08,25.22,25.28,25.13,25.21,13.18,493400,0.0,0
2013-05-09,25.21,25.25,25.02,25.17,13.25,502000,0.156,0
2013-05-10,25.17,25.24,25.07,25.15,13.23,455000,0.0,0
2013-05-13,25.12,25.14,24.89,24.97,13.14,378400,0.0,0
2013-05-14,25.08,25.08,24.82,24.89,13.1,462300,0.0,0
