Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2016-06-06,25.1,25.2,25.0,25.15,19.6,280580,0.0,0
2016-06-07,25.11,25.25,25.0,25.19,19.63,66550,0.0,0
2016-06-08,25.15,25.2,25.05,25.2,19.63,115140,0.0,0
2016-06-09,25.15,25.25,25.15,25.2,19.63,17959,0.0,0
2016-06-10,25.2,25.2,25.12,25.2,19.63,5810,0.0,0
2016-06-13,25.2,25.2,25.2,25.2,19.63,0,0.0,0
2016-06-14,25.29,25.41,25.25,25.35,19.75,48666,0.0,0
2016-06-15,25.45,25.65,25.35,25.54,19.9,19200,0.0,0
2016-06-16,25.5,25.5,25.19,25.35,19.75,115690,0.0,0
2016-06-17,25.39,25.73,25.38,25.53,19.89,24281,0.0,0
2016-06-20,25.51,25.94,25.51,25.75,20.06,62693,0.0,0
2016-06-21,25.7,26.09,25.7,25.99,20.25,28190,0.0,0
2016-06-22,25.9,26.08,25.9,25.9,20.18,40480,0.0,0
2016-06-23,25.92,25.97,25.9,25.93,20.2,14433,0.0,0
2016-06-24,25.87,25.97,25.3,25.85,20.14,7285,0.0,0
2016-06-27,25.72,25.99,25.5,25.94,20.21,113141,0.0,0
2016-06-28,25.94,26.09,25.92,26.09,20.45,15049,0.15938,0
2016-06-29,26.09,26.51,26.0,26.4,20.7,129533,0.0,0
2016-06-30,26.4,27.37,26.4,26.89,21.08,29443,0.0,0
2016-07-01,26.5,29.15,26.5,28.87,22.63,122597,0.0,0
2016-07-05,28.14,28.4,26.84,27.5,21.56,47350,0.0,0
2016-07-06,26.86,27.48,26.72,27.19,21.32,39479,0.0,0
2016-07-07,27.56,27.62,26.92,27.24,21.35,39265,0.0,0
2016-07-08,27.2,27.64,27.01,27.54,21.59,29485,0.0,0
2016-07-11,27.25,27.75,27.25,27.57,21.61,7176,0.0,0
2016-07-12,27.32,27.81,27.28,27.55,21.6,16783,0.0,0
2016-07-13,27.25,27.84,27.22,27.75,21.75,42390,0.0,0
2016-07-14,27.56,27.95,27.37,27.78,21.78,119111,0.0,0
2016-07-15,27.65,27.93,27.26,27.9,21.87,372127,0.0,0
2016-07-18,27.7,27.88,27.5,27.59,21.63,13136,0.0,0
2016-07-19,27.0,27.83,26.63,27.2,21.32,10151,0.0,0
2016-07-20,27.5,27.8,27.31,27.63,21.66,11483,0.0,0
2016-07-21,27.8,27.88,26.9,27.55,21.6,32821,0.0,0
2016-07-22,27.51,27.6,27.4,27.45,21.52,3404,0.0,0
2016-07-25,27.3,27.55,27.0,27.53,21.58,17606,0.0,0
2016-07-26,27.37,27.64,27.37,27.5,21.56,3047,0.0,0
2016-07-27,27.8,27.95,27.5,27.5,21.56,3798,0.0,0
2016-07-28,27.5,28.1,27.5,28.1,22.03,3441,0.0,0
2016-07-29,27.75,27.75,27.69,27.75,21.75,5038,0.0,0
2016-08-01,27.04,27.75,27.04,27.7,21.72,2050,0.0,0
2016-08-02,27.0,27.53,27.0,27.29,21.39,1685,0.0,0
2016-08-03,27.47,27.47,26.76,27.34,21.43,8531,0.0,0
2016-08-04,26.76,27.34,26.76,27.1,21.25,2852,0.0,0
2016-08-05,27.21,27.25,27.16,27.25,21.36,3594,0.0,0
2016-08-08,26.82,27.2,26.8,27.2,21.32,1813,0.0,0
2016-08-09,27.3,27.4,27.2,27.4,21.48,6265,0.0,0
2016-08-10,27.5,27.75,26.86,27.75,21.75,14476,0.0,0
2016-08-11,27.65,27.65,26.87,27.02,21.18,12451,0.0,0
2016-08-12,27.05,27.2,26.51,26.65,20.89,32978,0.0,0
2016-08-15,26.8,26.8,26.8,26.8,21.01,755,0.0,0
2016-08-16,26.79,26.79,26.57,26.64,20.88,2365,0.0,0
2016-08-17,26.75,26.89,26.55,26.67,20.91,3425,0.0,0
2016-08-18,26.82,27.25,26.73,27.13,21.27,10905,0.0,0
2016-08-19,27.13,27.35,26.96,26.97,21.14,2694,0.0,0
2016-08-22,26.38,27.49,26.38,27.44,21.51,1210,0.0,0
2016-08-23,27.21,27.24,27.21,27.24,21.35,703,0.0,0
2016-08-24,26.49,27.3,26.49,27.3,21.4,6878,0.0,0
2016-08-25,27.35,27.4,27.3,27.4,21.48,3226,0.0,0
2016-08-26,27.44,27.44,27.44,27.44,21.51,375,0.0,0
2016-08-29,27.48,27.5,27.48,27.5,21.56,478,0.0,0
