Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,17.78,18.05,17.72,17.85,12.21,418300,0.0,0
2010-01-05,17.85,17.98,17.5,17.82,12.19,911100,0.0,0
2010-01-06,17.86,18.14,17.74,17.92,12.26,199100,0.0,0
2010-01-07,17.95,18.13,17.84,17.94,12.27,220300,0.0,0
2010-01-08,17.93,18.1,17.73,17.89,12.24,325300,0.0,0
2010-01-11,18.0,18.13,17.76,17.89,12.24,241600,0.0,0
2010-01-12,17.83,18.02,17.71,17.96,12.28,215900,0.0,0
2010-01-13,18.01,18.26,17.97,18.15,12.41,222900,0.0,0
2010-01-14,18.23,18.49,18.16,18.27,12.5,222600,0.0,0
2010-01-15,18.36,18.44,18.02,18.09,12.37,405200,0.0,0
2010-01-19,18.5,18.95,18.46,18.56,12.69,881600,0.0,0
2010-01-20,18.58,19.13,18.52,19.09,13.06,556600,0.0,0
2010-01-21,19.17,19.47,19.0,19.28,13.19,407900,0.0,0
2010-01-22,19.33,19.45,18.89,18.9,12.93,298900,0.0,0
2010-01-25,19.02,19.11,18.62,18.92,12.94,250900,0.0,0
2010-01-26,18.82,19.0,18.81,18.9,12.93,178500,0.0,0
2010-01-27,18.78,19.08,18.78,19.04,13.02,297700,0.0,0
2010-01-28,19.05,19.24,18.8,18.93,12.95,248400,0.0,0
2010-01-29,18.92,19.24,18.43,18.43,12.61,300200,0.0,0
2010-02-01,18.44,18.85,18.29,18.8,12.86,220000,0.0,0
2010-02-02,18.87,18.96,18.69,18.74,12.82,278600,0.0,0
2010-02-03,18.7,18.87,18.61,18.78,12.84,119400,0.0,0
2010-02-04,18.57,18.71,18.39,18.55,12.69,518900,0.0,0
2010-02-05,18.52,18.7,18.4,18.7,12.79,387900,0.0,0
2010-02-08,18.64,18.74,18.44,18.46,12.63,139200,0.0,0
2010-02-09,18.54,18.64,18.41,18.63,12.74,140300,0.0,0
2010-02-10,18.64,19.11,18.61,19.07,13.11,373200,0.1,0
2010-02-11,19.09,19.2,18.96,19.18,13.19,117400,0.0,0
2010-02-12,19.12,19.36,19.0,19.35,13.31,153300,0.0,0
2010-02-16,19.42,19.87,19.42,19.74,13.57,330500,0.0,0
2010-02-17,19.75,19.92,19.58,19.74,13.57,228500,0.0,0
2010-02-18,19.79,19.79,19.24,19.66,13.52,370300,0.0,0
2010-02-19,19.6,19.76,19.18,19.23,13.22,394900,0.0,0
2010-02-22,19.35,19.45,19.05,19.2,13.2,310400,0.0,0
2010-02-23,19.24,19.43,19.1,19.2,13.2,205400,0.0,0
2010-02-24,19.2,19.37,19.19,19.36,13.31,182300,0.0,0
2010-02-25,19.25,19.44,19.2,19.39,13.33,120000,0.0,0
2010-02-26,19.46,19.46,19.2,19.37,13.32,173600,0.0,0
2010-03-01,19.38,19.88,19.19,19.58,13.46,262000,0.0,0
2010-03-02,19.77,20.09,19.48,19.93,13.7,630700,0.0,0
2010-03-03,19.99,20.0,19.46,19.48,13.4,266100,0.0,0
2010-03-04,19.5,19.86,18.75,19.0,13.07,532500,0.0,0
2010-03-05,19.12,19.35,19.01,19.33,13.29,505400,0.0,0
2010-03-08,19.54,19.89,19.53,19.82,13.63,324500,0.0,0
2010-03-09,19.71,20.25,19.71,19.99,13.75,383100,0.0,0
2010-03-10,20.08,20.25,19.94,20.04,13.78,361500,0.0,0
2010-03-11,20.0,20.33,19.8,20.3,13.96,180500,0.0,0
2010-03-12,20.35,20.96,20.24,20.92,14.39,497700,0.0,0
2010-03-15,20.97,22.47,20.61,22.36,15.38,725700,0.0,0
2010-03-16,22.48,23.46,22.45,23.3,16.02,1170900,0.0,0
2010-03-17,23.34,23.45,22.08,22.14,15.22,1050700,0.0,0
2010-03-18,21.75,21.92,21.4,21.79,14.98,694500,0.0,0
2010-03-19,21.89,23.11,21.63,22.47,15.45,556800,0.0,0
2010-03-22,22.23,22.73,21.81,22.38,15.39,406900,0.0,0
2010-03-23,22.21,22.56,21.85,22.1,15.2,373500,0.0,0
2010-03-24,22.1,22.1,21.81,21.9,15.06,261800,0.0,0
2010-03-25,21.98,22.18,21.72,21.79,14.98,340400,0.0,0
2010-03-26,21.91,22.08,21.57,21.9,15.06,527800,0.0,0
2010-03-29,22.0,22.34,21.63,22.0,15.13,461200,0.0,0
2010-03-30,22.08,22.2,21.84,22.12,15.21,162500,0.0,0
2010-03-31,22.13,22.49,22.01,22.17,15.24,271700,0.0,0
2010-04-01,22.29,22.73,22.01,22.66,15.58,356200,0.0,0
2010-04-05,22.77,22.77,21.94,22.07,15.18,376800,0.0,0
2010-04-06,21.95,22.21,21.68,22.07,15.18,211700,0.0,0
2010-04-07,22.02,22.25,21.69,22.18,15.25,346200,0.0,0
2010-04-08,22.36,23.5,22.25,23.34,16.05,552300,0.0,0
2010-04-09,22.9,23.39,22.6,23.25,15.99,328000,0.0,0
2010-04-12,23.13,23.27,22.8,23.08,15.87,236600,0.0,0
2010-04-13,23.01,23.16,22.75,22.88,15.73,276500,0.0,0
2010-04-14,23.02,23.05,22.7,22.9,15.75,234900,0.0,0
2010-04-15,22.82,23.22,22.14,22.9,15.75,408600,0.0,0
2010-04-16,22.98,23.29,22.75,23.21,15.96,316000,0.0,0
2010-04-19,23.09,23.09,22.42,22.87,15.73,261300,0.0,0
2010-04-20,23.0,23.44,22.58,23.44,16.12,217500,0.0,0
2010-04-21,23.46,24.0,23.1,23.28,16.01,214400,0.0,0
2010-04-22,23.15,24.63,22.92,24.5,16.85,339200,0.0,0
2010-04-23,24.24,24.24,23.32,23.6,16.23,346200,0.0,0
2010-04-26,23.66,23.98,23.33,23.34,16.05,148400,0.0,0
2010-04-27,23.36,23.59,23.02,23.52,16.17,351600,0.0,0
2010-04-28,23.47,23.91,23.4,23.45,16.13,215500,0.0,0
2010-04-29,23.61,24.25,23.17,23.83,16.39,244200,0.0,0
2010-04-30,23.78,23.78,22.13,22.14,15.22,509500,0.0,0
2010-05-03,22.26,22.65,21.4,21.44,14.74,535000,0.0,0
2010-05-04,21.4,21.51,20.78,21.42,14.73,409400,0.0,0
2010-05-05,21.15,21.59,20.76,21.3,14.65,329900,0.0,0
2010-05-06,21.35,21.47,20.16,20.54,14.12,379100,0.0,0
2010-05-07,20.36,20.93,20.15,20.32,13.97,427700,0.0,0
2010-05-10,20.2,21.68,19.81,19.93,13.7,753200,0.0,0
2010-05-11,19.93,20.09,19.12,19.3,13.27,546400,0.0,0
2010-05-12,21.0,21.24,19.86,21.12,14.6,601500,0.1,0
2010-05-13,21.15,21.3,20.22,20.32,14.05,204300,0.0,0
2010-05-14,20.16,20.63,20.0,20.6,14.24,275800,0.0,0
2010-05-17,20.72,21.01,20.37,21.01,14.52,240600,0.0,0
2010-05-18,21.36,21.67,20.75,20.77,14.36,211600,0.0,0
2010-05-19,20.6,20.67,20.11,20.56,14.21,257700,0.0,0
2010-05-20,20.24,20.51,19.91,20.0,13.82,243200,0.0,0
2010-05-21,19.79,20.54,19.77,20.43,14.12,214500,0.0,0
2010-05-24,20.43,20.72,20.15,20.15,13.93,76400,0.0,0
2010-05-25,19.83,20.0,19.3,19.75,13.65,439500,0.0,0
2010-05-26,19.8,20.37,19.66,19.82,13.7,161700,0.0,0
2010-05-27,20.09,20.64,20.09,20.55,14.2,156700,0.0,0
2010-05-28,20.45,20.45,19.71,19.72,13.63,224200,0.0,0
2010-06-01,19.7,20.0,19.3,19.35,13.38,210000,0.0,0
2010-06-02,19.3,19.34,18.55,19.1,13.2,368000,0.0,0
2010-06-03,19.03,19.6,18.9,19.5,13.48,258600,0.0,0
2010-06-04,19.19,19.46,18.88,19.01,13.14,237300,0.0,0
2010-06-07,18.88,18.88,18.09,18.11,12.52,279100,0.0,0
2010-06-08,18.15,18.44,17.76,18.25,12.61,352400,0.0,0
2010-06-09,18.3,18.63,17.6,17.85,12.34,249200,0.0,0
2010-06-10,18.04,18.5,17.53,17.9,12.37,301200,0.0,0
2010-06-11,17.83,18.23,17.77,18.14,12.54,214000,0.0,0
2010-06-14,18.28,18.49,17.92,17.98,12.43,108900,0.0,0
2010-06-15,18.01,18.33,17.92,18.1,12.51,225400,0.0,0
2010-06-16,18.03,18.3,18.02,18.08,12.5,244600,0.0,0
2010-06-17,18.08,18.24,17.82,17.82,12.32,155000,0.0,0
2010-06-18,17.8,18.15,17.37,17.46,12.07,451800,0.0,0
2010-06-21,17.55,17.78,17.25,17.58,12.15,268500,0.0,0
2010-06-22,17.66,17.78,17.35,17.4,12.03,178800,0.0,0
2010-06-23,17.34,17.52,17.3,17.45,12.06,109900,0.0,0
2010-06-24,17.34,17.7,17.08,17.61,12.17,224000,0.0,0
2010-06-25,17.7,17.87,17.45,17.73,12.26,286800,0.0,0
2010-06-28,17.69,17.86,17.47,17.61,12.17,93100,0.0,0
2010-06-29,17.5,17.78,17.25,17.34,11.99,236500,0.0,0
2010-06-30,17.35,18.0,17.35,17.8,12.3,303000,0.0,0
2010-07-01,17.74,17.99,17.44,17.91,12.38,216400,0.0,0
2010-07-02,17.93,17.99,17.6,17.84,12.33,100300,0.0,0
2010-07-06,18.04,18.08,17.23,17.31,11.97,224600,0.0,0
2010-07-07,17.31,17.71,17.03,17.55,12.13,197800,0.0,0
2010-07-08,17.7,17.91,17.45,17.82,12.32,161000,0.0,0
2010-07-09,17.88,18.2,17.47,18.14,12.54,134200,0.0,0
2010-07-12,18.02,18.44,17.79,17.98,12.43,124700,0.0,0
2010-07-13,18.2,18.5,17.73,18.39,12.71,165000,0.0,0
