Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,30.26,30.87,29.14,29.34,630100,0.0,0
2010-01-05,29.34,29.89,28.89,29.82,569800,0.0,0
2010-01-06,29.82,30.91,29.47,30.75,1561600,0.0,0
2010-01-07,31.94,32.78,30.26,31.02,2157900,0.0,0
2010-01-08,30.86,31.47,30.37,31.39,417000,0.0,0
2010-01-11,31.38,31.5,30.83,31.21,369600,0.0,0
2010-01-12,30.96,31.37,30.39,31.22,372600,0.0,0
2010-01-13,31.41,31.77,30.93,31.22,478900,0.0,0
2010-01-14,31.24,31.7,30.66,30.95,444300,0.0,0
2010-01-15,31.17,31.62,30.4,31.08,430700,0.0,0
2010-01-19,31.22,31.94,31.11,31.92,390500,0.0,0
2010-01-20,31.84,31.92,30.89,31.27,318700,0.0,0
2010-01-21,31.2,31.76,30.3,30.31,491300,0.0,0
2010-01-22,29.33,30.36,29.04,29.56,680000,0.0,0
2010-01-25,29.78,29.78,29.15,29.57,359000,0.0,0
2010-01-26,29.49,29.86,29.06,29.21,322100,0.0,0
2010-01-27,30.74,30.74,29.83,30.25,616700,0.0,0
2010-01-28,30.25,30.55,29.2,29.7,328500,0.0,0
2010-01-29,29.81,30.25,28.95,29.0,572800,0.0,0
2010-02-01,29.0,30.01,28.65,29.94,559700,0.0,0
2010-02-02,30.04,31.26,29.91,31.08,791700,0.0,0
2010-02-03,30.9,31.44,30.8,31.38,749300,0.0,0
2010-02-04,32.23,32.82,31.97,32.43,1829800,0.0,0
2010-02-05,32.52,32.61,31.68,32.38,696800,0.0,0
2010-02-08,32.46,32.57,31.46,31.51,750900,0.0,0
2010-02-09,31.92,32.44,31.49,32.33,456700,0.0,0
2010-02-10,32.32,32.33,31.25,31.74,430300,0.0,0
2010-02-11,31.66,32.38,31.5,31.99,445900,0.0,0
2010-02-12,31.61,31.9,31.24,31.85,418600,0.0,0
2010-02-16,32.13,32.36,31.55,31.95,361600,0.0,0
2010-02-17,31.97,32.15,31.83,32.11,316400,0.0,0
2010-02-18,32.1,32.37,31.91,32.04,330500,0.0,0
2010-02-19,32.09,32.6,32.03,32.22,497800,0.0,0
2010-02-22,32.38,32.42,31.55,32.24,356400,0.0,0
