Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,10.45,10.57,10.4,10.57,5.55,78200,0.0,0
2010-01-05,10.54,10.61,10.41,10.55,5.54,146800,0.0,0
2010-01-06,10.47,10.63,10.47,10.59,5.56,96600,0.0,0
2010-01-07,10.63,10.73,10.61,10.7,5.62,93400,0.0,0
2010-01-08,10.65,10.79,10.65,10.77,5.65,86600,0.0,0
2010-01-11,10.73,10.94,10.72,10.93,5.74,115300,0.0,0
2010-01-12,10.84,10.87,10.76,10.79,5.7,115100,0.065,0
2010-01-13,10.75,10.92,10.72,10.88,5.74,118800,0.0,0
2010-01-14,10.91,10.95,10.86,10.93,5.77,73400,0.0,0
2010-01-15,10.93,11.04,10.91,10.95,5.78,108900,0.0,0
2010-01-19,10.88,10.93,10.82,10.9,5.76,96300,0.0,0
2010-01-20,10.88,10.99,10.86,10.98,5.8,81500,0.0,0
2010-01-21,10.99,11.0,10.84,11.0,5.81,116000,0.0,0
2010-01-22,10.98,11.07,10.93,10.96,5.79,98500,0.0,0
2010-01-25,10.93,10.96,10.81,10.81,5.71,84200,0.0,0
2010-01-26,10.76,10.92,10.76,10.92,5.77,68300,0.0,0
2010-01-27,10.95,11.02,10.84,11.02,5.82,144600,0.0,0
2010-01-28,11.01,11.09,10.85,10.95,5.78,88000,0.0,0
2010-01-29,10.98,11.05,10.95,11.04,5.83,89400,0.0,0
2010-02-01,11.05,11.21,11.01,11.19,5.91,107000,0.0,0
2010-02-02,11.19,11.39,11.08,11.37,6.0,157400,0.0,0
2010-02-03,11.36,11.38,11.21,11.22,5.92,153800,0.0,0
2010-02-04,11.2,11.31,11.06,11.07,5.85,173000,0.0,0
2010-02-05,11.05,11.13,10.96,11.0,5.81,119000,0.0,0
2010-02-08,10.99,11.09,10.96,11.08,5.85,82900,0.0,0
2010-02-09,11.1,11.14,10.97,11.0,5.84,81800,0.065,0
2010-02-10,10.97,11.03,10.96,11.03,5.86,71900,0.0,0
2010-02-11,11.11,11.11,11.0,11.02,5.85,68000,0.0,0
2010-02-12,11.07,11.08,11.0,11.03,5.86,37800,0.0,0
2010-02-16,11.1,11.11,10.95,11.01,5.85,105400,0.0,0
2010-02-17,10.98,11.01,10.9,11.0,5.84,96900,0.0,0
2010-02-18,10.93,11.09,10.93,11.02,5.85,59100,0.0,0
2010-02-19,11.0,11.04,10.82,10.85,5.76,103000,0.0,0
2010-02-22,10.81,10.87,10.71,10.77,5.72,88000,0.0,0
2010-02-23,10.76,10.9,10.75,10.87,5.77,75700,0.0,0
2010-02-24,10.87,11.0,10.83,10.98,5.83,77700,0.0,0
2010-02-25,10.96,11.12,10.96,11.02,5.85,108000,0.0,0
2010-02-26,11.01,11.13,11.01,11.13,5.91,67300,0.0,0
2010-03-01,11.22,11.24,11.1,11.13,5.91,171300,0.0,0
2010-03-02,11.13,11.18,11.04,11.06,5.87,54700,0.0,0
2010-03-03,11.03,11.13,11.03,11.13,5.91,88300,0.0,0
2010-03-04,11.14,11.32,11.08,11.22,5.96,76200,0.0,0
2010-03-05,11.22,11.35,11.19,11.3,6.0,120900,0.0,0
2010-03-08,11.34,11.34,11.22,11.31,6.01,97300,0.0,0
2010-03-09,11.21,11.33,11.21,11.26,6.02,87200,0.065,0
2010-03-10,11.22,11.32,11.12,11.15,5.96,157400,0.0,0
2010-03-11,11.14,11.24,11.1,11.2,5.98,105000,0.0,0
2010-03-12,11.19,11.19,11.08,11.13,5.95,112300,0.0,0
2010-03-15,11.13,11.13,11.05,11.09,5.92,99800,0.0,0
2010-03-16,11.03,11.1,11.0,11.03,5.89,208800,0.0,0
2010-03-17,11.01,11.16,10.99,11.0,5.88,209200,0.0,0
2010-03-18,11.02,11.08,10.95,11.0,5.88,111100,0.0,0
2010-03-19,11.06,11.07,10.96,11.06,5.91,140400,0.0,0
2010-03-22,10.99,11.2,10.99,11.16,5.96,86500,0.0,0
2010-03-23,11.2,11.27,11.14,11.19,5.98,106900,0.0,0
2010-03-24,11.07,11.22,11.06,11.07,5.91,163800,0.0,0
2010-03-25,11.15,11.15,11.05,11.05,5.9,79800,0.0,0
2010-03-26,11.02,11.1,11.01,11.1,5.93,97000,0.0,0
2010-03-29,11.08,11.1,10.95,10.97,5.86,175500,0.0,0
2010-03-30,11.02,11.07,10.96,10.99,5.87,123600,0.0,0
2010-03-31,10.99,11.02,10.91,10.91,5.83,140900,0.0,0
2010-04-01,10.96,10.98,10.86,10.91,5.83,64500,0.0,0
2010-04-05,10.91,11.0,10.84,10.97,5.86,94000,0.0,0
2010-04-06,10.95,11.02,10.95,10.96,5.85,63200,0.0,0
2010-04-07,10.92,11.07,10.78,11.04,5.9,123000,0.0,0
2010-04-08,10.96,11.02,10.9,10.94,5.88,37300,0.065,0
2010-04-09,10.94,10.99,10.88,10.92,5.87,91600,0.0,0
2010-04-12,10.88,10.99,10.88,10.95,5.88,153200,0.0,0
2010-04-13,10.98,10.98,10.85,10.87,5.84,80500,0.0,0
2010-04-14,10.91,10.94,10.87,10.92,5.87,84100,0.0,0
2010-04-15,10.91,10.91,10.81,10.81,5.81,105300,0.0,0
2010-04-16,10.82,10.85,10.67,10.74,5.77,185800,0.0,0
2010-04-19,10.66,10.79,10.66,10.79,5.8,95100,0.0,0
2010-04-20,10.77,10.87,10.73,10.86,5.84,110000,0.0,0
2010-04-21,10.8,10.86,10.78,10.81,5.81,50000,0.0,0
2010-04-22,10.83,10.88,10.79,10.88,5.85,108700,0.0,0
2010-04-23,10.91,10.96,10.86,10.96,5.89,101800,0.0,0
2010-04-26,10.92,11.04,10.92,11.02,5.92,143300,0.0,0
2010-04-27,11.02,11.04,10.95,11.0,5.91,81000,0.0,0
2010-04-28,10.96,11.04,10.96,11.0,5.91,91400,0.0,0
2010-04-29,11.03,11.05,11.02,11.02,5.92,53800,0.0,0
2010-04-30,11.05,11.08,11.0,11.08,5.95,94200,0.0,0
2010-05-03,11.14,11.18,11.1,11.16,6.0,93200,0.0,0
2010-05-04,11.14,11.27,11.09,11.2,6.02,121700,0.0,0
2010-05-05,11.02,11.22,11.02,11.12,5.98,63600,0.0,0
2010-05-06,11.15,11.15,10.58,11.0,5.91,140500,0.0,0
2010-05-07,10.99,11.03,10.74,10.81,5.81,204400,0.0,0
2010-05-10,11.1,11.11,10.84,10.85,5.83,257300,0.0,0
2010-05-11,10.86,11.0,10.81,10.98,5.94,92900,0.065,0
2010-05-12,10.99,11.0,10.91,10.97,5.93,133000,0.0,0
2010-05-13,11.01,11.03,10.94,11.0,5.95,132500,0.0,0
2010-05-14,10.95,11.07,10.9,10.96,5.92,74600,0.0,0
2010-05-17,10.95,11.0,10.82,11.0,5.95,85200,0.0,0
2010-05-18,10.99,11.01,10.9,11.01,5.95,111300,0.0,0
2010-05-19,10.96,11.04,10.87,10.99,5.94,72500,0.0,0
2010-05-20,10.82,10.94,10.82,10.9,5.89,196800,0.0,0
2010-05-21,10.89,11.0,10.85,10.97,5.93,139000,0.0,0
2010-05-24,11.03,11.05,10.95,11.0,5.95,78400,0.0,0
2010-05-25,10.95,11.03,10.74,11.03,5.96,88000,0.0,0
2010-05-26,11.07,11.11,11.0,11.01,5.95,79600,0.0,0
2010-05-27,11.19,11.19,11.0,11.15,6.03,136600,0.0,0
2010-05-28,11.17,11.18,11.1,11.12,6.01,75900,0.0,0
2010-06-01,11.16,11.2,11.02,11.17,6.04,111800,0.0,0
2010-06-02,11.19,11.2,11.08,11.18,6.04,96900,0.0,0
2010-06-03,11.19,11.23,11.14,11.23,6.07,110400,0.0,0
2010-06-04,11.19,11.28,11.15,11.28,6.1,89400,0.0,0
2010-06-07,11.28,11.3,11.19,11.3,6.11,95700,0.0,0
2010-06-08,11.31,11.37,11.23,11.37,6.15,88800,0.0,0
2010-06-09,11.36,11.38,11.21,11.21,6.09,102400,0.065,0
2010-06-10,11.25,11.35,11.23,11.35,6.17,65400,0.0,0
2010-06-11,11.35,11.37,11.27,11.3,6.14,66200,0.0,0
2010-06-14,11.28,11.32,11.19,11.3,6.14,152900,0.0,0
2010-06-15,11.35,11.36,11.28,11.28,6.13,82200,0.0,0
2010-06-16,11.31,11.34,11.25,11.25,6.12,94700,0.0,0
2010-06-17,11.31,11.38,11.29,11.35,6.17,99100,0.0,0
2010-06-18,11.36,11.37,11.23,11.28,6.13,81100,0.0,0
2010-06-21,11.35,11.37,11.23,11.28,6.13,79200,0.0,0
2010-06-22,11.28,11.28,11.19,11.19,6.08,82300,0.0,0
2010-06-23,11.24,11.26,11.21,11.23,6.11,74800,0.0,0
2010-06-24,11.24,11.25,11.19,11.25,6.12,80600,0.0,0
2010-06-25,11.27,11.34,11.21,11.34,6.17,48700,0.0,0
2010-06-28,11.3,11.39,11.28,11.34,6.17,90400,0.0,0
2010-06-29,11.29,11.37,11.26,11.35,6.17,94200,0.0,0
2010-06-30,11.34,11.38,11.28,11.35,6.17,71000,0.0,0
2010-07-01,11.34,11.34,11.27,11.3,6.14,40700,0.0,0
2010-07-02,11.35,11.35,11.3,11.31,6.15,46200,0.0,0
2010-07-06,11.34,11.37,11.33,11.36,6.18,44000,0.0,0
2010-07-07,11.37,11.41,11.35,11.41,6.2,60100,0.0,0
2010-07-08,11.35,11.41,11.31,11.36,6.21,82000,0.065,0
2010-07-09,11.38,11.39,11.32,11.38,6.22,44400,0.0,0
2010-07-12,11.37,11.38,11.28,11.28,6.17,79900,0.0,0
2010-07-13,11.35,11.36,11.26,11.28,6.17,57400,0.0,0
2010-07-14,11.28,11.29,11.17,11.18,6.11,79800,0.0,0
2010-07-15,11.2,11.2,11.07,11.1,6.07,75000,0.0,0
2010-07-16,11.13,11.15,11.11,11.11,6.08,54000,0.0,0
2010-07-19,11.14,11.22,11.14,11.2,6.12,56000,0.0,0
2010-07-20,11.15,11.33,11.15,11.3,6.18,117100,0.0,0
2010-07-21,11.34,11.35,11.26,11.33,6.2,93700,0.0,0
2010-07-22,11.34,11.38,11.31,11.38,6.22,79600,0.0,0
2010-07-23,11.37,11.41,11.32,11.38,6.22,77900,0.0,0
2010-07-26,11.42,11.42,11.36,11.39,6.23,41100,0.0,0
2010-07-27,11.42,11.43,11.37,11.42,6.24,37700,0.0,0
2010-07-28,11.43,11.5,11.42,11.5,6.29,51100,0.0,0
