Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,13.45,13.75,13.37,13.56,134900,0.0,0
2010-01-05,13.58,13.58,12.6,12.72,466300,0.0,0
2010-01-06,12.7,12.89,12.33,12.46,326700,0.0,0
2010-01-07,12.43,13.59,12.37,13.5,320800,0.0,0
2010-01-08,13.49,13.82,13.41,13.59,212300,0.0,0
2010-01-11,13.74,13.74,13.16,13.24,117100,0.0,0
2010-01-12,13.14,13.39,12.99,13.32,99200,0.0,0
2010-01-13,13.42,13.5,12.8,13.41,214500,0.0,0
2010-01-14,13.38,13.81,12.99,13.55,332100,0.0,0
2010-01-15,13.59,13.59,12.89,13.31,282200,0.0,0
2010-01-19,13.31,13.87,13.23,13.61,338100,0.0,0
2010-01-20,13.42,13.62,13.01,13.55,421600,0.0,0
2010-01-21,13.54,14.18,13.49,13.88,617900,0.0,0
2010-01-22,13.84,13.87,13.47,13.65,565800,0.0,0
2010-01-25,13.82,14.01,13.34,13.79,223500,0.0,0
2010-01-26,13.73,14.22,13.45,13.79,324500,0.0,0
2010-01-27,13.75,14.44,13.61,14.4,251400,0.0,0
2010-01-28,14.43,14.83,14.25,14.58,384100,0.0,0
2010-01-29,14.65,14.76,14.14,14.17,483900,0.0,0
2010-02-01,14.28,14.52,14.09,14.23,259400,0.0,0
2010-02-02,14.28,14.43,14.05,14.41,196000,0.0,0
2010-02-03,14.31,14.36,13.26,13.35,396500,0.0,0
2010-02-04,13.26,13.34,12.63,12.63,415700,0.0,0
2010-02-05,12.66,13.31,12.27,12.81,342200,0.0,0
2010-02-08,12.72,12.76,12.27,12.27,148300,0.0,0
2010-02-09,12.37,12.61,12.16,12.45,232900,0.0,0
2010-02-10,12.41,12.84,12.31,12.81,276900,0.0,0
2010-02-11,12.73,13.17,12.68,13.09,256400,0.0,0
2010-02-12,12.96,13.39,12.93,13.37,289100,0.0,0
2010-02-16,13.43,13.66,13.36,13.65,132700,0.0,0
2010-02-17,13.69,13.89,13.16,13.33,326100,0.0,0
2010-02-18,13.31,13.57,13.31,13.41,141900,0.0,0
2010-02-19,13.41,13.59,13.39,13.59,220600,0.0,0
2010-02-22,13.65,14.02,13.57,13.98,87500,0.0,0
2010-02-23,13.91,13.97,13.52,13.75,197100,0.0,0
2010-02-24,13.75,14.34,13.75,14.15,166900,0.0,0
2010-02-25,13.9,14.19,13.82,14.19,111600,0.0,0
2010-02-26,14.24,14.29,13.73,14.16,163000,0.0,0
2010-03-01,14.2,14.44,14.03,14.15,176400,0.0,0
2010-03-02,14.14,14.3,14.06,14.15,162100,0.0,0
2010-03-03,14.22,14.48,14.12,14.45,330300,0.0,0
2010-03-04,14.44,14.5,14.26,14.46,108000,0.0,0
2010-03-05,14.5,14.96,14.39,14.96,246600,0.0,0
2010-03-08,14.97,15.36,14.84,15.09,254400,0.0,0
2010-03-09,14.99,15.03,14.57,14.7,144100,0.0,0
2010-03-10,14.69,14.89,14.64,14.81,202000,0.0,0
2010-03-11,14.7,14.98,14.56,14.86,175900,0.0,0
2010-03-12,14.98,15.27,14.77,15.15,276200,0.0,0
2010-03-15,15.16,15.24,14.92,14.98,374200,0.0,0
2010-03-16,14.99,15.17,14.84,15.17,191800,0.0,0
2010-03-17,15.17,15.68,15.17,15.67,255700,0.0,0
2010-03-18,15.36,15.75,15.05,15.52,370800,0.0,0
2010-03-19,15.62,15.62,15.16,15.57,251200,0.0,0
2010-03-22,15.4,15.84,15.36,15.82,150200,0.0,0
2010-03-23,15.78,15.84,15.52,15.69,99600,0.0,0
2010-03-24,15.68,15.73,15.47,15.52,118100,0.0,0
2010-03-25,15.58,16.13,15.49,15.58,186000,0.0,0
2010-03-26,15.52,15.52,14.38,14.49,450200,0.0,0
2010-03-29,14.5,14.5,14.06,14.19,213800,0.0,0
2010-03-30,14.25,14.54,14.24,14.32,141500,0.0,0
2010-03-31,14.18,14.68,14.15,14.16,196800,0.0,0
2010-04-01,14.2,14.61,14.17,14.6,174000,0.0,0
2010-04-05,14.71,14.99,14.68,14.99,125000,0.0,0
2010-04-06,14.88,16.01,14.8,15.99,411700,0.0,0
2010-04-07,15.93,16.28,15.73,15.97,268800,0.0,0
2010-04-08,15.88,16.53,15.81,16.43,369900,0.0,0
2010-04-09,16.38,16.66,16.28,16.53,159000,0.0,0
2010-04-12,16.58,16.8,16.42,16.71,159400,0.0,0
2010-04-13,16.65,16.73,16.35,16.49,165000,0.0,0
2010-04-14,16.62,17.17,16.56,17.17,171900,0.0,0
2010-04-15,17.14,17.78,16.7,17.74,476400,0.0,0
2010-04-16,17.74,17.74,16.58,17.08,636400,0.0,0
2010-04-19,17.06,17.24,16.54,16.81,336600,0.0,0
2010-04-20,15.83,15.92,14.56,15.68,1204800,0.0,0
2010-04-21,15.56,15.58,14.86,14.92,513200,0.0,0
2010-04-22,14.86,15.26,14.6,15.24,370100,0.0,0
2010-04-23,15.17,15.64,15.09,15.51,447700,0.0,0
2010-04-26,15.44,15.6,14.66,14.75,259600,0.0,0
