Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-06-20,15.8,17.4,15.63,16.49,3371700,0,0
2013-06-21,16.75,17.72,16.5,17.5,181700,0,0
2013-06-24,17.25,17.81,16.33,17.35,146300,0,0
2013-06-25,17.41,17.92,17.38,17.54,116400,0,0
2013-06-26,16.82,17.0,15.7,16.05,1056200,0,0
2013-06-27,16.1,16.19,13.03,13.63,580600,0,0
2013-06-28,13.48,15.18,13.48,15.0,166200,0,0
2013-07-01,14.85,15.07,14.42,15.0,59100,0,0
2013-07-02,15.51,17.39,15.04,16.13,90800,0,0
2013-07-03,16.24,16.24,15.16,15.16,13000,0,0
2013-07-05,15.85,16.23,15.02,15.2,12600,0,0
2013-07-08,15.2,15.92,15.19,15.92,72900,0,0
2013-07-09,15.97,15.99,15.31,15.52,13900,0,0
2013-07-10,15.5,15.8,15.2,15.8,45400,0,0
2013-07-11,16.03,16.5,15.83,16.34,87200,0,0
2013-07-12,16.94,16.95,16.31,16.94,82200,0,0
2013-07-15,17.37,17.7,16.22,17.17,188800,0,0
2013-07-16,18.5,18.5,16.51,16.57,249800,0,0
2013-07-17,16.78,17.82,16.75,17.82,210900,0,0
2013-07-18,18.0,18.47,17.88,18.4,149400,0,0
2013-07-19,17.78,18.41,17.09,17.75,251400,0,0
2013-07-22,17.7,17.7,16.75,16.98,172100,0,0
2013-07-23,17.02,17.22,16.4,16.77,148800,0,0
2013-07-24,16.74,16.74,15.91,16.1,93800,0,0
2013-07-25,16.11,16.23,15.5,16.14,84300,0,0
2013-07-26,16.18,17.33,16.18,16.57,61400,0,0
2013-07-29,16.67,16.87,16.35,16.55,15400,0,0
2013-07-30,16.77,16.89,15.58,15.58,239300,0,0
2013-07-31,15.49,16.04,14.41,15.66,87800,0,0
2013-08-01,15.64,16.1,14.26,14.62,183100,0,0
2013-08-02,14.73,14.73,13.88,14.06,186800,0,0
2013-08-05,14.06,15.17,14.0,14.92,47000,0,0
2013-08-06,15.0,15.2,14.31,14.53,195000,0,0
2013-08-07,14.49,15.83,14.42,14.86,156100,0,0
2013-08-08,15.08,15.7,14.71,14.95,206700,0,0
2013-08-09,15.2,16.0,15.2,15.42,18700,0,0
2013-08-12,15.35,15.71,14.86,15.46,52600,0,0
2013-08-13,15.58,15.58,14.56,15.0,103000,0,0
2013-08-14,15.18,15.75,14.35,15.64,179300,0,0
2013-08-15,15.02,15.58,15.02,15.55,17300,0,0
2013-08-16,15.58,16.1,15.44,15.66,19900,0,0
2013-08-19,15.5,16.0,15.5,15.86,15700,0,0
2013-08-20,15.99,16.03,15.44,15.63,43900,0,0
2013-08-21,15.56,15.75,15.34,15.59,6200,0,0
2013-08-22,15.73,16.16,15.0,16.15,27100,0,0
2013-08-23,15.94,16.52,15.04,15.82,6800,0,0
2013-08-26,16.03,16.99,15.56,16.2,24000,0,0
2013-08-27,16.36,16.91,16.36,16.57,15500,0,0
2013-08-28,16.54,17.32,16.34,16.62,43400,0,0
2013-08-29,16.96,17.51,16.96,17.49,25300,0,0
2013-08-30,17.64,18.25,17.64,17.94,91200,0,0
2013-09-03,19.09,19.09,17.76,18.15,84300,0,0
2013-09-04,18.3,18.95,17.95,18.74,237800,0,0
2013-09-05,18.95,19.25,18.6,19.1,32600,0,0
2013-09-06,19.45,19.45,18.67,19.07,11600,0,0
2013-09-09,19.11,21.01,18.13,20.88,142600,0,0
2013-09-10,21.01,22.37,20.83,21.86,151400,0,0
2013-09-11,21.99,21.99,19.58,20.4,65200,0,0
2013-09-12,20.49,20.85,20.0,20.42,70300,0,0
2013-09-13,21.2,21.9,20.3,21.34,69400,0,0
2013-09-16,21.43,21.44,20.3,20.78,82600,0,0
2013-09-17,20.35,20.89,19.39,19.76,58900,0,0
2013-09-18,19.66,19.74,18.35,19.73,69900,0,0
2013-09-19,19.77,20.15,19.03,19.52,47400,0,0
2013-09-20,18.77,19.32,17.46,17.88,125000,0,0
2013-09-23,17.9,24.38,17.9,22.48,552500,0,0
2013-09-24,22.37,23.0,20.25,21.39,212300,0,0
2013-09-25,21.4,22.23,20.84,21.84,126400,0,0
2013-09-26,21.99,22.51,20.53,21.45,124400,0,0
2013-09-27,21.77,21.77,20.17,21.37,168100,0,0
2013-09-30,21.31,21.79,19.85,21.46,906000,0,0
2013-10-01,21.45,22.42,20.78,22.39,182100,0,0
2013-10-02,22.3,22.3,20.19,20.36,95000,0,0
2013-10-03,20.31,20.6,19.2,19.39,109900,0,0
2013-10-04,19.27,19.6,18.84,19.03,75400,0,0
2013-10-07,18.83,19.34,18.83,19.11,51000,0,0
2013-10-08,19.05,19.84,16.52,16.84,159000,0,0
2013-10-09,16.8,17.22,15.35,16.87,248800,0,0
2013-10-10,17.24,17.59,15.59,17.43,140700,0,0
2013-10-11,18.41,18.41,16.45,17.2,104700,0,0
2013-10-14,17.05,18.28,16.81,17.76,113300,0,0
2013-10-15,17.67,18.91,16.9,18.28,88300,0,0
2013-10-16,18.21,18.64,17.39,18.44,63500,0,0
2013-10-17,18.41,19.67,18.41,19.47,91400,0,0
2013-10-18,19.47,19.79,18.67,19.24,48600,0,0
2013-10-21,19.2,20.75,18.5,20.52,76700,0,0
2013-10-22,20.5,21.93,20.39,21.24,263300,0,0
2013-10-23,21.08,21.95,17.74,20.73,105700,0,0
2013-10-24,20.66,20.78,20.35,20.48,71700,0,0
2013-10-25,20.57,20.77,20.34,20.71,429300,0,0
2013-10-28,20.66,20.98,19.93,20.43,56600,0,0
2013-10-29,20.42,20.5,19.25,19.82,87100,0,0
2013-10-30,19.8,19.8,18.2,18.29,38600,0,0
2013-10-31,18.27,19.0,17.69,18.04,76000,0,0
2013-11-01,17.87,19.0,16.51,17.5,338300,0,0
2013-11-04,17.51,18.38,16.57,18.29,215000,0,0
2013-11-05,18.27,18.9,17.97,17.98,67700,0,0
2013-11-06,18.12,18.33,16.9,17.25,279700,0,0
2013-11-07,17.27,17.3,16.17,16.7,102000,0,0
2013-11-08,16.68,17.31,16.66,16.86,61800,0,0
2013-11-11,16.86,17.2,16.25,17.03,83400,0,0
2013-11-12,16.96,17.12,15.62,16.42,138400,0,0
2013-11-13,16.34,16.65,16.05,16.31,41400,0,0
2013-11-14,17.29,17.34,15.42,15.87,114300,0,0
2013-11-15,15.86,16.1,14.48,14.56,259400,0,0
2013-11-18,14.59,14.73,13.15,13.59,88300,0,0
2013-11-19,13.56,14.31,13.27,14.16,78900,0,0
2013-11-20,15.25,15.25,13.93,14.06,95300,0,0
2013-11-21,14.04,15.52,13.81,14.75,53900,0,0
2013-11-22,14.78,15.48,14.69,14.75,50800,0,0
2013-11-25,14.68,14.89,14.33,14.71,18600,0,0
2013-11-26,14.76,15.4,14.47,15.0,96300,0,0
2013-11-27,15.12,15.82,14.66,15.48,29400,0,0
2013-11-29,15.58,16.98,15.38,15.67,28400,0,0
2013-12-02,15.75,16.61,15.22,15.61,66500,0,0
2013-12-03,15.63,15.65,15.21,15.59,49800,0,0
2013-12-04,15.47,15.93,15.34,15.68,60600,0,0
2013-12-05,15.73,16.19,15.51,15.98,44700,0,0
2013-12-06,16.11,16.92,15.97,16.62,55900,0,0
2013-12-09,16.83,17.26,16.7,16.99,72000,0,0
2013-12-10,16.98,17.26,16.02,16.47,41800,0,0
2013-12-11,16.48,16.48,15.6,15.96,44600,0,0
2013-12-12,15.92,17.13,15.92,16.77,85800,0,0
2013-12-13,16.86,17.16,15.63,16.98,114500,0,0
2013-12-16,17.07,19.57,16.95,19.34,540300,0,0
2013-12-17,19.3,19.72,18.61,19.15,325400,0,0
2013-12-18,19.22,19.3,18.69,19.0,181200,0,0
2013-12-19,18.93,18.97,18.46,18.77,77200,0,0
2013-12-20,18.75,19.12,18.05,18.84,780600,0,0
2013-12-23,18.83,18.83,17.64,18.41,200000,0,0
2013-12-24,18.2,19.2,17.9,19.1,87200,0,0
2013-12-26,19.0,19.2,17.77,18.31,103800,0,0
2013-12-27,18.3,18.3,17.62,17.8,75700,0,0
2013-12-30,17.99,17.99,17.44,17.5,45600,0,0
