Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,9.1,9.16,9.08,9.16,4.79,18800,0.0,0
2010-01-05,9.21,9.25,9.2,9.21,4.82,35300,0.0,0
2010-01-06,9.18,9.38,9.16,9.27,4.85,56600,0.0,0
2010-01-07,9.3,9.44,9.3,9.43,4.93,28700,0.0,0
2010-01-08,9.4,9.52,9.35,9.5,4.97,47400,0.0,0
2010-01-11,9.55,9.58,9.48,9.52,4.98,29000,0.0,0
2010-01-12,9.45,9.48,9.38,9.44,4.97,22600,0.06,0
2010-01-13,9.4,9.45,9.35,9.37,4.93,44500,0.0,0
2010-01-14,9.36,9.36,9.21,9.31,4.9,44500,0.0,0
2010-01-15,9.29,9.3,9.23,9.28,4.88,12800,0.0,0
2010-01-19,9.27,9.37,9.27,9.36,4.93,28800,0.0,0
2010-01-20,9.31,9.39,9.3,9.39,4.94,20200,0.0,0
2010-01-21,9.39,9.4,9.28,9.35,4.92,19200,0.0,0
2010-01-22,9.34,9.35,9.27,9.27,4.88,19800,0.0,0
2010-01-25,9.25,9.32,9.21,9.26,4.87,24100,0.0,0
2010-01-26,9.29,9.34,9.28,9.34,4.92,27200,0.0,0
2010-01-27,9.34,9.45,9.33,9.44,4.97,32900,0.0,0
2010-01-28,9.44,9.44,9.33,9.35,4.92,26600,0.0,0
2010-01-29,9.33,9.35,9.29,9.34,4.92,33800,0.0,0
2010-02-01,9.4,9.45,9.17,9.2,4.84,65200,0.0,0
2010-02-02,9.24,9.38,9.23,9.38,4.94,40300,0.0,0
2010-02-03,9.34,9.47,9.33,9.39,4.94,45900,0.0,0
2010-02-04,9.37,9.43,9.35,9.42,4.96,46500,0.0,0
2010-02-05,9.38,9.41,9.35,9.41,4.95,24900,0.0,0
2010-02-08,9.41,9.47,9.36,9.4,4.95,38800,0.0,0
2010-02-09,9.34,9.35,9.25,9.29,4.92,56700,0.06,0
2010-02-10,9.26,9.33,9.26,9.33,4.94,26200,0.0,0
2010-02-11,9.35,9.4,9.34,9.4,4.98,24500,0.0,0
2010-02-12,9.32,9.45,9.32,9.45,5.01,36100,0.0,0
2010-02-16,9.39,9.45,9.24,9.35,4.95,25700,0.0,0
2010-02-17,9.35,9.42,9.25,9.4,4.98,18200,0.0,0
2010-02-18,9.26,9.36,9.26,9.32,4.94,34600,0.0,0
2010-02-19,9.36,9.36,9.25,9.29,4.92,42200,0.0,0
2010-02-22,9.22,9.27,9.11,9.17,4.86,77600,0.0,0
2010-02-23,9.12,9.29,9.12,9.24,4.89,75000,0.0,0
2010-02-24,9.22,9.54,9.22,9.32,4.94,17800,0.0,0
2010-02-25,9.31,9.38,9.27,9.35,4.95,20700,0.0,0
2010-02-26,9.29,9.39,9.29,9.38,4.97,15000,0.0,0
2010-03-01,9.4,9.46,9.39,9.46,5.01,33400,0.0,0
2010-03-02,9.46,9.5,9.46,9.49,5.03,38600,0.0,0
2010-03-03,9.48,9.5,9.42,9.42,4.99,32300,0.0,0
2010-03-04,9.4,9.47,9.39,9.45,5.01,34400,0.0,0
2010-03-05,9.44,9.53,9.44,9.5,5.03,34000,0.0,0
