Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,3.59,3.6,3.53,3.54,114000,0.0,0
2010-01-05,3.52,3.58,3.52,3.54,77500,0.0,0
2010-01-06,3.54,3.6,3.54,3.59,75500,0.0,0
2010-01-07,3.7,3.7,3.6,3.63,93000,0.0,0
2010-01-08,3.64,3.68,3.6,3.67,84500,0.0,0
2010-01-11,3.67,3.72,3.67,3.7,80800,0.0,0
2010-01-12,3.71,3.71,3.66,3.67,55700,0.065,0
2010-01-13,3.66,3.72,3.64,3.72,73100,0.0,0
2010-01-14,3.7,3.72,3.68,3.69,50900,0.0,0
2010-01-15,3.71,3.71,3.68,3.71,54700,0.0,0
2010-01-19,3.73,3.74,3.7,3.71,110300,0.0,0
2010-01-20,3.71,3.77,3.71,3.76,85200,0.0,0
2010-01-21,3.79,3.82,3.76,3.82,77300,0.0,0
2010-01-22,3.83,3.86,3.78,3.82,107000,0.0,0
2010-01-25,3.84,3.9,3.84,3.88,160100,0.0,0
2010-01-26,3.89,3.9,3.84,3.84,147700,0.0,0
2010-01-27,3.87,3.9,3.84,3.86,99400,0.0,0
2010-01-28,3.86,3.88,3.83,3.84,67100,0.0,0
2010-01-29,3.86,3.86,3.74,3.74,104600,0.0,0
2010-02-01,3.78,3.83,3.76,3.82,103600,0.0,0
2010-02-02,3.84,3.92,3.84,3.92,93700,0.0,0
2010-02-03,3.94,3.97,3.87,3.91,103600,0.0,0
2010-02-04,3.92,3.93,3.77,3.77,118500,0.0,0
2010-02-05,3.74,3.74,3.49,3.6,501700,0.0,0
2010-02-08,3.6,3.7,3.57,3.67,104900,0.0,0
2010-02-09,3.65,3.78,3.64,3.74,104900,0.065,0
2010-02-10,3.7,3.76,3.64,3.67,107200,0.0,0
2010-02-11,3.63,3.73,3.63,3.7,112700,0.0,0
2010-02-12,3.71,3.71,3.64,3.66,83100,0.0,0
2010-02-16,3.68,3.71,3.66,3.7,75600,0.0,0
2010-02-17,3.68,3.72,3.67,3.72,68600,0.0,0
2010-02-18,3.73,3.81,3.73,3.8,110600,0.0,0
2010-02-19,3.8,3.82,3.76,3.81,71100,0.0,0
2010-02-22,3.87,3.89,3.81,3.87,146300,0.0,0
2010-02-23,3.85,3.89,3.83,3.87,92400,0.0,0
2010-02-24,3.91,3.91,3.85,3.87,72300,0.0,0
2010-02-25,3.86,3.86,3.81,3.85,86400,0.0,0
2010-02-26,3.86,3.87,3.84,3.87,58300,0.0,0
2010-03-01,3.89,3.92,3.86,3.87,106700,0.0,0
2010-03-02,3.91,3.94,3.86,3.91,135400,0.0,0
2010-03-03,3.9,3.92,3.9,3.9,102000,0.0,0
2010-03-04,3.91,3.93,3.87,3.89,107000,0.0,0
2010-03-05,3.92,3.94,3.9,3.92,56900,0.0,0
2010-03-08,3.91,3.93,3.9,3.93,92600,0.0,0
2010-03-09,3.94,4.02,3.94,4.02,155600,0.065,0
2010-03-10,4.02,4.03,3.95,3.95,180200,0.0,0
2010-03-11,3.95,4.01,3.93,3.94,179600,0.0,0
2010-03-12,3.95,3.98,3.88,3.88,180800,0.0,0
2010-03-15,3.87,3.92,3.81,3.82,228000,0.0,0
2010-03-16,3.81,3.89,3.8,3.88,160700,0.0,0
2010-03-17,3.88,3.91,3.85,3.89,123300,0.0,0
2010-03-18,3.91,3.97,3.88,3.97,91900,0.0,0
2010-03-19,3.91,3.96,3.88,3.91,117900,0.0,0
2010-03-22,3.88,3.88,3.83,3.85,156200,0.0,0
2010-03-23,3.84,3.87,3.82,3.86,129200,0.0,0
2010-03-24,3.85,3.9,3.83,3.86,144200,0.0,0
2010-03-25,3.86,3.88,3.84,3.85,120700,0.0,0
2010-03-26,3.84,3.87,3.82,3.84,81700,0.0,0
2010-03-29,3.83,3.83,3.76,3.76,160800,0.0,0
2010-03-30,3.77,3.77,3.65,3.68,256900,0.0,0
2010-03-31,3.65,3.66,3.61,3.64,177400,0.0,0
2010-04-01,3.64,3.68,3.64,3.64,120300,0.0,0
2010-04-05,3.63,3.64,3.61,3.61,148100,0.0,0
2010-04-06,3.59,3.59,3.45,3.52,600100,0.0,0
2010-04-07,3.52,3.52,3.45,3.47,363300,0.0,0
2010-04-08,3.44,3.57,3.43,3.57,247700,0.065,0
2010-04-09,3.55,3.6,3.54,3.58,126900,0.0,0
2010-04-12,3.57,3.62,3.55,3.61,185300,0.0,0
2010-04-13,3.61,3.63,3.59,3.62,110500,0.0,0
2010-04-14,3.61,3.65,3.59,3.65,173100,0.0,0
2010-04-15,3.61,3.64,3.6,3.61,195200,0.0,0
2010-04-16,3.59,3.6,3.5,3.55,198900,0.0,0
2010-04-19,3.55,3.62,3.52,3.6,218500,0.0,0
2010-04-20,3.59,3.62,3.58,3.59,122600,0.0,0
2010-04-21,3.58,3.59,3.55,3.55,156900,0.0,0
2010-04-22,3.54,3.58,3.52,3.56,169800,0.0,0
2010-04-23,3.55,3.62,3.55,3.56,116900,0.0,0
2010-04-26,3.54,3.58,3.53,3.56,123800,0.0,0
2010-04-27,3.56,3.6,3.56,3.57,91700,0.0,0
2010-04-28,3.62,3.62,3.59,3.61,59500,0.0,0
2010-04-29,3.6,3.63,3.6,3.62,70500,0.0,0
2010-04-30,3.64,3.66,3.62,3.64,99100,0.0,0
2010-05-03,3.65,3.67,3.64,3.66,81900,0.0,0
2010-05-04,3.66,3.67,3.64,3.65,63000,0.0,0
2010-05-05,3.62,3.67,3.61,3.64,106400,0.0,0
2010-05-06,3.6,3.62,3.48,3.52,384400,0.0,0
2010-05-07,3.51,3.51,3.28,3.43,653900,0.0,0
2010-05-10,3.51,3.59,3.49,3.55,170800,0.0,0
2010-05-11,3.58,3.71,3.54,3.68,204000,0.065,0
2010-05-12,3.67,3.71,3.62,3.66,87100,0.0,0
2010-05-13,3.62,3.68,3.61,3.66,106400,0.0,0
2010-05-14,3.66,3.67,3.61,3.67,98800,0.0,0
2010-05-17,3.68,3.68,3.55,3.56,113700,0.0,0
2010-05-18,3.61,3.62,3.56,3.59,126700,0.0,0
2010-05-19,3.61,3.62,3.47,3.58,131400,0.0,0
2010-05-20,3.5,3.56,3.48,3.49,195600,0.0,0
2010-05-21,3.41,3.57,3.41,3.55,154000,0.0,0
2010-05-24,3.58,3.6,3.57,3.59,61700,0.0,0
2010-05-25,3.5,3.54,3.44,3.51,123200,0.0,0
