Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-05-31,17.57,17.62,17.34,17.43,274879.0,0.0,0
2013-06-03,17.43,17.43,16.72,16.97,138230.0,0.0,0
2013-06-04,16.97,17.2,16.81,17.02,73135.0,0.0,0
2013-06-05,16.88,17.0,16.47,16.8,172829.0,0.0,0
2013-06-06,16.9,17.04,16.73,16.9,57918.0,0.0,0
2013-06-07,16.97,17.14,16.78,16.81,76001.0,0.0,0
2013-06-10,16.86,16.89,16.38,16.4,93418.0,0.0,0
2013-06-11,16.26,16.36,15.94,16.36,148598.0,0.0,0
2013-06-12,16.26,16.68,16.11,16.36,140805.0,0.0,0
2013-06-13,16.11,16.36,15.77,16.15,174577.0,0.0,0
2013-06-14,16.19,16.53,16.16,16.29,21805.0,0.0,0
2013-06-17,16.48,16.58,16.36,16.36,38355.0,0.0,0
2013-06-18,16.29,16.36,16.11,16.21,82234.0,0.0,0
2013-06-19,16.26,16.26,15.86,16.04,180550.0,0.0,0
2013-06-20,15.9,15.9,15.3,15.54,119736.0,0.0,0
2013-06-21,15.72,15.74,15.48,15.51,50317.0,0.0,0
2013-06-24,15.4,15.5,14.76,15.05,64377.0,0.0,0
2013-06-25,15.14,15.34,14.86,14.88,105038.0,0.0,0
2013-06-26,15.12,15.62,15.12,15.62,97467.0,0.0,0
2013-06-27,15.63,15.93,15.53,15.79,117302.0,0.0,0
2013-06-28,15.79,16.75,15.59,16.73,254105.0,0.0,0
2013-07-01,16.52,16.68,16.41,16.64,75846.0,0.0,0
2013-07-02,16.58,16.86,16.58,16.86,72695.0,0.0,0
2013-07-03,16.85,16.85,16.63,16.77,34866.0,0.0,0
2013-07-05,16.61,16.61,16.27,16.27,55686.0,0.0,0
2013-07-08,16.43,16.47,16.14,16.34,65729.0,0.0,0
2013-07-09,16.36,16.41,16.26,16.41,46903.0,0.0,0
2013-07-10,16.39,16.39,16.07,16.14,42733.0,0.0,0
2013-07-11,16.35,16.36,16.13,16.23,20151.0,0.0,0
2013-07-12,16.29,16.35,15.9,15.95,47024.0,0.0,0
2013-07-15,16.09,16.09,15.68,15.74,84755.0,0.0,0
2013-07-16,15.77,15.87,15.66,15.8,101699.0,0.0,0
2013-07-17,15.87,16.05,15.87,16.0,210259.0,0.0,0
2013-07-18,15.99,16.09,15.85,16.02,109889.0,0.0,0
2013-07-19,16.07,16.26,15.87,16.26,584521.0,0.0,0
2013-07-22,16.2,16.22,15.91,16.04,91360.0,0.0,0
2013-07-23,16.06,16.28,15.87,16.28,104262.0,0.0,0
2013-07-24,16.11,16.26,15.9,16.07,94111.0,0.0,0
2013-07-25,16.04,16.04,15.58,15.77,58639.0,0.0,0
2013-07-26,15.89,15.89,15.67,15.67,14533.0,0.0,0
2013-07-29,15.72,15.77,15.5,15.54,172596.0,0.0,0
2013-07-30,15.71,15.71,15.5,15.58,65589.0,0.0,0
2013-07-31,15.51,15.83,15.36,15.79,53354.0,0.0,0
2013-08-01,15.89,15.99,15.67,15.79,102289.0,0.0,0
2013-08-02,15.83,15.83,15.6,15.69,28576.0,0.0,0
2013-08-05,15.62,15.69,15.35,15.47,45781.0,0.0,0
2013-08-06,15.45,15.45,15.03,15.05,38900.0,0.0,0
2013-08-07,15.03,15.13,14.79,14.9,60267.0,0.0,0
2013-08-08,14.93,15.08,14.85,14.85,59354.0,0.0,0
2013-08-09,14.93,14.94,14.75,14.75,40088.0,0.0,0
2013-08-12,14.79,15.04,14.76,14.83,33757.0,0.0,0
2013-08-13,14.77,14.78,14.44,14.51,29369.0,0.0,0
2013-08-14,14.78,14.78,14.41,14.41,66369.0,0.0,0
2013-08-15,14.37,14.37,13.89,14.12,88439.0,0.0,0
2013-08-16,14.15,14.21,14.0,14.21,46451.0,0.0,0
2013-08-19,14.2,14.2,13.59,13.6,43090.0,0.0,0
2013-08-20,13.82,13.91,13.62,13.67,33433.0,0.0,0
2013-08-21,13.6,13.8,13.59,13.79,43248.0,0.0,0
2013-08-22,13.8,14.02,13.8,13.95,39968.0,0.0,0
2013-08-23,13.95,14.29,13.95,14.28,28260.0,0.0,0
2013-08-26,14.39,14.58,14.27,14.39,57397.0,0.0,0
2013-08-27,14.46,14.53,14.34,14.49,24782.0,0.0,0
2013-08-28,14.54,14.65,14.22,14.49,39527.0,0.35087,0
2013-08-29,14.57,14.57,14.22,14.55,34038.0,0.0,0
2013-08-30,14.37,14.59,14.37,14.41,43409.0,0.0,0
2013-09-03,14.59,14.59,14.16,14.48,67034.0,0.0,0
2013-09-04,14.46,14.7,14.3,14.44,42328.0,0.0,0
2013-09-05,14.51,14.51,14.12,14.33,23240.0,0.0,0
2013-09-06,14.46,14.46,14.26,14.36,36037.0,0.0,0
2013-09-09,14.45,14.45,14.26,14.28,15473.0,0.0,0
2013-09-10,14.28,14.31,14.2,14.22,49750.0,0.0,0
2013-09-11,14.22,14.33,14.15,14.3,48685.0,0.0,0
2013-09-12,14.33,14.38,14.14,14.32,91088.0,0.0,0
2013-09-13,14.3,14.31,14.18,14.31,18792.0,0.0,0
2013-09-16,14.36,14.36,14.25,14.25,36907.0,0.0,0
2013-09-17,14.37,14.37,14.2,14.2,38732.0,0.0,0
2013-09-18,14.25,14.41,14.12,14.33,47934.0,0.0,0
2013-09-19,14.54,14.54,14.17,14.26,79754.0,0.0,0
2013-09-20,14.24,14.24,14.14,14.14,24098.0,0.0,0
2013-09-23,14.17,14.2,14.01,14.01,69544.0,0.0,0
2013-09-24,14.06,14.17,13.95,14.15,61475.0,0.0,0
2013-09-25,14.2,14.25,14.09,14.22,57991.0,0.0,0
2013-09-26,14.29,14.41,14.16,14.25,25945.0,0.0,0
2013-09-27,14.28,14.34,14.12,14.28,31779.0,0.0,0
2013-09-30,14.24,14.24,14.12,14.14,42032.0,0.0,0
2013-10-01,14.19,14.19,14.11,14.11,34995.0,0.0,0
2013-10-02,14.07,14.3,14.06,14.12,59537.0,0.0,0
2013-10-03,14.21,14.21,14.09,14.12,16682.0,0.0,0
2013-10-04,14.17,14.35,14.07,14.33,51378.0,0.0,0
2013-10-07,14.32,14.32,14.08,14.15,37418.0,0.0,0
2013-10-08,14.15,14.17,14.02,14.15,21079.0,0.0,0
2013-10-09,14.26,14.26,14.04,14.05,23168.0,0.0,0
2013-10-10,14.21,14.26,14.07,14.09,28685.0,0.0,0
2013-10-11,14.15,14.15,14.04,14.06,32600.0,0.0,0
2013-10-14,14.06,14.09,14.01,14.01,36081.0,0.0,0
2013-10-15,14.05,14.08,13.95,13.96,57622.0,0.0,0
2013-10-16,14.02,14.21,13.9,14.04,285758.0,0.0,0
2013-10-17,14.08,14.16,14.03,14.12,69279.0,0.0,0
2013-10-18,14.17,14.39,14.17,14.39,94304.0,0.0,0
2013-10-21,14.43,14.43,14.26,14.41,57530.0,0.0,0
2013-10-22,14.49,14.59,14.46,14.51,40346.0,0.0,0
2013-10-23,14.55,14.72,14.52,14.67,62020.0,0.0,0
2013-10-24,14.75,14.82,14.37,14.45,30789.0,0.0,0
2013-10-25,14.5,14.5,14.39,14.39,27296.0,0.0,0
2013-10-28,14.42,14.57,14.25,14.32,52746.0,0.0,0
2013-10-29,14.3,14.44,14.26,14.44,56789.0,0.0,0
2013-10-30,14.42,14.57,14.42,14.51,150171.0,0.0,0
2013-10-31,14.51,14.51,14.3,14.3,76107.0,0.0,0
2013-11-01,14.38,14.43,14.31,14.34,52117.0,0.0,0
2013-11-04,14.4,14.41,14.21,14.25,67064.0,0.0,0
