Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,5.75,5.86,5.71,5.81,4.43,559500,0.0,0.0
2010-01-05,5.82,5.83,5.75,5.78,4.4,467700,0.0,0.0
2010-01-06,5.77,5.85,5.77,5.78,4.4,560800,0.0,0.0
2010-01-07,5.76,5.83,5.7,5.83,4.44,357300,0.0,0.0
2010-01-08,5.81,5.83,5.77,5.82,4.43,220200,0.0,0.0
2010-01-11,5.84,5.84,5.77,5.81,4.43,311100,0.0,0.0
2010-01-12,5.77,5.81,5.75,5.78,4.4,347500,0.0,0.0
2010-01-13,5.79,5.85,5.75,5.85,4.45,256600,0.0,0.0
2010-01-14,5.87,5.87,5.8,5.86,4.47,149400,0.0,0.0
2010-01-15,5.87,5.88,5.67,5.73,4.36,591900,0.0,0.0
2010-01-19,5.69,5.79,5.69,5.79,4.41,488200,0.0,0.0
2010-01-20,5.75,5.75,5.58,5.67,4.31,499000,0.0,0.0
2010-01-21,5.68,5.72,5.53,5.61,4.27,388000,0.0,0.0
2010-01-22,5.58,5.66,5.52,5.54,4.22,455500,0.0,0.0
2010-01-25,5.56,5.57,5.47,5.51,4.19,251700,0.0,0.0
2010-01-26,5.48,5.52,5.44,5.45,4.15,308700,0.0,0.0
2010-01-27,5.5,5.95,5.5,5.91,4.5,1450800,0.0,0.0
2010-01-28,5.93,5.93,5.65,5.75,4.38,686400,0.0,0.0
2010-01-29,5.75,5.88,5.75,5.83,4.44,673800,0.0,0.0
2010-02-01,5.83,5.86,5.78,5.82,4.43,362400,0.0,0.0
2010-02-02,5.83,5.87,5.76,5.77,4.4,431200,0.0,0.0
2010-02-03,5.77,5.82,5.7,5.8,4.41,505500,0.0,0.0
2010-02-04,5.77,5.78,5.68,5.71,4.35,552700,0.0,0.0
2010-02-05,5.71,5.77,5.66,5.76,4.38,491400,0.0,0.0
2010-02-08,5.75,5.76,5.65,5.66,4.38,478000,0.09,0.0
2010-02-09,5.7,5.75,5.66,5.72,4.42,395100,0.0,0.0
2010-02-10,5.7,5.72,5.65,5.69,4.4,326800,0.0,0.0
2010-02-11,5.66,5.8,5.64,5.8,4.48,322800,0.0,0.0
2010-02-12,5.89,5.97,5.85,5.96,4.61,1265100,0.0,0.0
2010-02-16,6.01,6.01,5.93,6.0,4.64,436900,0.0,0.0
