Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,14.69,14.84,14.42,14.52,6.99,812900.0,0.0,0
2010-01-05,14.61,14.74,14.45,14.62,7.04,1048600.0,0.0,0
2010-01-06,14.6,14.68,14.33,14.37,6.92,523900.0,0.0,0
2010-01-07,14.39,14.95,14.34,14.89,7.17,980200.0,0.0,0
2010-01-08,14.89,15.08,14.86,14.99,7.22,619800.0,0.0,0
2010-01-11,15.15,15.55,15.13,15.46,7.45,941600.0,0.0,0
2010-01-12,15.38,15.44,15.05,15.13,7.29,766000.0,0.0,0
2010-01-13,15.11,15.53,15.02,15.41,7.42,867100.0,0.0,0
2010-01-14,15.44,15.5,15.21,15.45,7.44,310700.0,0.0,0
2010-01-15,15.37,15.62,15.12,15.13,7.29,568300.0,0.0,0
2010-01-19,15.24,15.5,15.16,15.26,7.35,735300.0,0.0,0
2010-01-20,15.26,15.35,15.07,15.18,7.31,541700.0,0.0,0
2010-01-21,15.28,15.43,14.81,14.81,7.13,768100.0,0.0,0
2010-01-22,14.84,15.0,14.6,14.66,7.06,730600.0,0.0,0
2010-01-25,14.85,14.91,14.44,14.63,7.05,642100.0,0.0,0
2010-01-26,14.62,14.99,14.58,14.63,7.05,411600.0,0.0,0
2010-01-27,14.59,14.62,14.39,14.59,7.03,553100.0,0.0,0
2010-01-28,14.63,14.64,14.15,14.31,6.89,681700.0,0.0,0
2010-01-29,14.29,14.53,14.23,14.3,6.89,529100.0,0.0,0
2010-02-01,14.32,14.51,14.23,14.35,6.91,335500.0,0.0,0
2010-02-02,14.34,14.6,14.18,14.57,7.02,499400.0,0.0,0
2010-02-03,14.5,14.6,14.4,14.44,6.96,318400.0,0.0,0
2010-02-04,14.36,14.38,13.92,13.95,6.72,843900.0,0.0,0
2010-02-05,14.0,14.28,13.85,13.95,6.72,943500.0,0.0,0
2010-02-08,13.97,14.08,13.75,13.79,6.64,639200.0,0.0,0
2010-02-09,13.98,13.98,13.61,13.67,6.58,757500.0,0.0,0
2010-02-10,13.65,13.68,13.34,13.34,6.43,654900.0,0.0,0
2010-02-11,13.32,13.44,13.22,13.37,6.44,1030300.0,0.0,0
2010-02-12,13.26,13.58,13.25,13.57,6.54,428300.0,0.0,0
2010-02-16,13.65,13.92,13.6,13.92,6.71,372000.0,0.0,0
2010-02-17,14.0,14.25,13.95,14.23,6.85,403700.0,0.0,0
2010-02-18,14.19,14.25,14.04,14.2,6.84,392000.0,0.0,0
2010-02-19,14.19,14.23,14.03,14.08,6.78,676100.0,0.0,0
2010-02-22,14.08,14.19,14.0,14.09,6.79,546200.0,0.0,0
2010-02-23,14.07,14.13,13.88,13.93,6.71,484600.0,0.0,0
2010-02-24,13.94,14.1,13.89,13.98,6.73,616800.0,0.0,0
2010-02-25,13.89,13.98,13.76,13.97,6.73,761500.0,0.0,0
2010-02-26,14.12,14.44,13.96,14.25,6.86,1183200.0,0.0,0
2010-03-01,14.37,14.7,14.35,14.62,7.04,1123900.0,0.0,0
