Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,54.1,54.39,53.64,54.22,33.77,760800,0.0,0
2010-01-05,54.39,54.88,53.6,53.7,33.45,715800,0.0,0
2010-01-06,53.76,53.87,53.36,53.64,33.41,714600,0.0,0
2010-01-07,53.51,53.67,53.05,53.48,33.31,606100,0.0,0
2010-01-08,53.49,53.77,53.26,53.64,33.41,452000,0.0,0
2010-01-11,53.7,53.89,53.32,53.35,33.23,561000,0.0,0
2010-01-12,52.81,53.29,52.64,53.24,33.16,639700,0.0,0
2010-01-13,53.46,54.12,53.25,54.02,33.64,608900,0.0,0
2010-01-14,53.96,54.51,53.96,54.43,33.9,521300,0.0,0
2010-01-15,54.22,54.41,53.2,53.36,33.23,627200,0.0,0
2010-01-19,53.17,53.76,53.13,53.69,33.44,486500,0.0,0
2010-01-20,52.67,52.91,52.27,52.89,32.94,810800,0.0,0
2010-01-21,52.84,52.98,52.02,52.08,32.44,1257400,0.0,0
2010-01-22,51.3,51.3,49.79,49.93,31.4,1506300,0.5,0
2010-01-25,50.42,50.42,49.33,49.73,31.27,1042700,0.0,0
2010-01-26,49.35,50.71,48.69,50.06,31.48,1077000,0.0,0
2010-01-27,49.91,50.45,49.52,50.3,31.63,1166600,0.0,0
2010-01-28,50.53,50.66,49.52,50.14,31.53,1048400,0.0,0
2010-01-29,50.24,50.24,49.02,49.06,30.85,1464800,0.0,0
2010-02-01,49.42,49.87,49.18,49.71,31.26,746900,0.0,0
2010-02-02,49.89,51.04,49.67,50.86,31.98,672000,0.0,0
2010-02-03,50.57,50.79,50.03,50.37,31.68,511500,0.0,0
2010-02-04,49.99,49.99,49.21,49.41,31.07,870700,0.0,0
2010-02-05,49.26,49.57,48.44,49.45,31.1,1217100,0.0,0
2010-02-08,49.53,50.1,49.1,49.35,31.03,720700,0.0,0
2010-02-09,49.96,50.7,49.61,50.44,31.72,849900,0.0,0
2010-02-10,50.39,51.72,50.37,51.48,32.37,775000,0.0,0
2010-02-11,51.77,52.52,51.16,52.38,32.94,799100,0.0,0
2010-02-12,51.85,52.76,51.8,52.68,33.13,597600,0.0,0
2010-02-16,53.01,53.56,53.0,53.41,33.59,622500,0.0,0
2010-02-17,53.51,54.09,53.36,54.06,34.0,730900,0.0,0
2010-02-18,53.98,54.51,53.93,54.42,34.22,565300,0.0,0
2010-02-19,54.13,54.99,54.05,54.84,34.49,588600,0.0,0
