Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,23.62,23.81,23.39,23.75,65300,0.0,0
2010-01-05,23.78,23.78,23.19,23.37,50600,0.0,0
2010-01-06,23.41,23.59,23.05,23.1,61300,0.0,0
2010-01-07,22.98,23.28,22.87,23.27,38100,0.0,0
2010-01-08,23.25,23.33,23.01,23.32,34400,0.0,0
2010-01-11,23.37,23.37,22.94,23.09,44600,0.0,0
2010-01-12,22.9,23.23,22.9,23.15,77700,0.0,0
2010-01-13,23.27,23.27,23.04,23.08,61400,0.0,0
2010-01-14,23.16,23.25,23.06,23.15,34400,0.0,0
2010-01-15,23.27,23.27,22.46,22.97,75400,0.0,0
2010-01-19,23.07,23.3,22.98,23.18,35200,0.0,0
2010-01-20,22.98,23.16,22.48,22.81,40400,0.0,0
2010-01-21,22.89,22.91,22.25,22.45,54100,0.0,0
2010-01-22,22.5,22.86,22.2,22.39,49700,0.0,0
2010-01-25,22.58,22.58,22.22,22.43,16800,0.0,0
2010-01-26,22.41,22.89,22.15,22.21,32900,0.0,0
2010-01-27,22.1,23.03,22.1,22.76,48700,0.0,0
2010-01-28,22.85,22.85,22.28,22.54,36000,0.0,0
2010-01-29,22.56,22.74,22.35,22.44,60500,0.0,0
2010-02-01,22.46,22.71,22.32,22.55,43900,0.0,0
2010-02-02,22.51,22.6,22.28,22.36,27200,0.0,0
2010-02-03,22.34,22.44,22.09,22.27,25300,0.0,0
2010-02-04,22.16,22.26,21.86,21.87,32300,0.0,0
2010-02-05,21.85,22.0,21.67,22.0,24800,0.0,0
2010-02-08,21.93,21.93,21.64,21.69,23200,0.0,0
2010-02-09,22.0,22.06,21.76,21.95,25000,0.0,0
2010-02-10,21.92,22.07,21.71,22.03,14600,0.0,0
2010-02-11,21.96,22.3,21.62,22.27,18500,0.0,0
2010-02-12,22.15,22.46,22.08,22.44,30800,0.0,0
2010-02-16,22.43,22.6,22.16,22.6,26100,0.0,0
2010-02-17,22.72,22.72,22.44,22.69,17400,0.0,0
2010-02-18,22.6,23.09,22.6,23.03,69400,0.0,0
2010-02-19,23.03,23.31,23.02,23.25,57100,0.0,0
2010-02-22,23.27,23.55,22.9,23.54,39900,0.0,0
2010-02-23,23.52,23.81,23.35,23.59,36500,0.0,0
2010-02-24,23.73,23.93,23.53,23.79,48700,0.0,0
2010-02-25,23.59,24.01,23.59,23.91,77500,0.4,0
2010-02-26,23.91,24.21,23.63,24.08,128400,0.0,0
2010-03-01,24.29,24.87,24.12,24.56,84800,0.0,0
2010-03-02,24.63,24.76,24.47,24.63,100900,0.0,0
2010-03-03,24.75,25.02,24.63,24.89,27300,0.0,0
2010-03-04,25.02,25.22,24.87,25.18,46600,0.0,0
2010-03-05,25.23,25.48,25.15,25.41,39000,0.0,0
2010-03-08,25.48,25.55,25.32,25.41,36900,0.0,0
2010-03-09,25.35,25.55,24.82,25.14,64900,0.0,0
2010-03-10,25.04,25.42,24.11,24.61,87500,0.0,0
2010-03-11,24.34,24.59,24.01,24.43,60400,0.0,0
2010-03-12,24.59,24.59,24.25,24.41,30100,0.0,0
2010-03-15,24.33,24.5,24.06,24.15,28900,0.0,0
2010-03-16,24.17,24.37,24.06,24.34,26700,0.0,0
2010-03-17,24.47,24.82,24.34,24.63,28200,0.0,0
2010-03-18,24.69,24.79,24.51,24.6,29400,0.0,0
2010-03-19,24.74,24.75,24.34,24.5,88900,0.0,0
2010-03-22,24.26,24.7,24.26,24.67,40400,0.0,0
2010-03-23,24.48,24.78,24.38,24.69,35800,0.0,0
2010-03-24,24.69,24.74,24.45,24.45,26900,0.0,0
2010-03-25,24.59,24.8,24.37,24.53,100800,0.0,0
2010-03-26,24.67,24.79,24.54,24.61,59000,0.0,0
2010-03-29,24.72,24.72,24.45,24.52,28300,0.0,0
2010-03-30,24.62,24.63,24.4,24.48,33200,0.0,0
2010-03-31,24.41,24.78,24.38,24.42,55000,0.0,0
2010-04-01,24.5,24.67,24.31,24.43,39500,0.0,0
2010-04-05,24.61,24.61,24.38,24.59,50300,0.0,0
2010-04-06,24.4,24.63,24.4,24.44,42900,0.0,0
2010-04-07,24.34,24.67,24.34,24.5,46200,0.0,0
2010-04-08,24.41,24.59,24.32,24.43,30000,0.0,0
2010-04-09,24.38,24.71,24.15,24.35,53300,0.0,0
2010-04-12,24.34,24.39,24.24,24.38,37900,0.0,0
2010-04-13,24.34,24.34,23.91,24.15,52400,0.0,0
2010-04-14,24.28,24.56,24.02,24.5,33700,0.0,0
2010-04-15,24.55,24.61,24.15,24.48,67800,0.0,0
2010-04-16,24.47,24.49,24.13,24.19,49400,0.0,0
2010-04-19,24.01,24.46,24.01,24.39,41100,0.0,0
2010-04-20,24.46,24.74,24.19,24.72,53600,0.0,0
2010-04-21,24.63,24.86,24.56,24.8,33100,0.0,0
2010-04-22,24.47,24.91,24.44,24.83,23700,0.0,0
2010-04-23,24.72,24.82,24.61,24.66,47500,0.0,0
2010-04-26,24.61,24.84,24.57,24.63,33000,0.0,0
2010-04-27,24.59,24.85,24.31,24.31,60300,0.0,0
2010-04-28,24.53,24.76,24.3,24.45,25600,0.0,0
2010-04-29,24.68,25.11,24.45,25.0,41300,0.0,0
2010-04-30,24.93,24.94,24.16,24.17,42400,0.0,0
2010-05-03,24.23,24.67,24.12,24.63,39200,0.0,0
2010-05-04,24.34,24.42,24.02,24.21,39600,0.0,0
2010-05-05,24.04,24.41,24.02,24.11,40900,0.0,0
2010-05-06,24.02,24.94,23.65,24.0,113500,0.0,0
2010-05-07,23.92,24.21,23.36,23.46,81900,0.0,0
2010-05-10,24.25,24.33,23.75,24.1,120900,0.0,0
2010-05-11,23.88,24.45,23.88,24.34,34600,0.0,0
2010-05-12,24.48,24.92,24.26,24.86,31200,0.0,0
2010-05-13,24.74,24.74,24.37,24.61,46900,0.0,0
2010-05-14,24.44,24.44,24.15,24.38,59500,0.0,0
2010-05-17,24.48,24.48,23.52,23.93,123900,0.0,0
2010-05-18,24.24,24.25,23.69,23.89,57500,0.0,0
2010-05-19,23.75,24.0,23.53,23.85,89700,0.0,0
2010-05-20,23.48,23.66,22.87,22.88,117600,0.0,0
2010-05-21,22.85,23.7,22.15,23.34,135700,0.0,0
2010-05-24,23.39,23.39,22.69,22.73,125400,0.0,0
2010-05-25,22.19,22.86,22.18,22.7,106600,0.0,0
2010-05-26,22.82,23.27,22.62,22.97,85100,0.0,0
2010-05-27,23.22,24.1,23.05,24.09,68400,0.4,0
2010-05-28,24.08,24.24,23.65,23.69,60500,0.0,0
2010-06-01,23.45,23.68,23.16,23.16,76400,0.0,0
2010-06-02,23.37,24.0,23.15,23.84,133600,0.0,0
2010-06-03,23.79,24.12,23.6,23.87,39900,0.0,0
2010-06-04,23.33,23.58,23.2,23.39,109800,0.0,0
2010-06-07,23.59,23.74,23.3,23.32,95500,0.0,0
