Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,10.67,10.8,10.4,10.68,9.82,779400,0.0,0
2010-01-05,10.61,11.03,10.61,10.88,10.01,1080500,0.0,0
2010-01-06,10.88,11.32,10.86,11.22,10.32,1379800,0.0,0
2010-01-07,11.22,11.28,10.79,11.19,10.29,867500,0.0,0
2010-01-08,11.13,11.34,11.04,11.31,10.4,476300,0.0,0
2010-01-11,11.31,11.55,11.2,11.44,10.52,669100,0.0,0
2010-01-12,11.29,11.55,11.01,11.17,10.27,725600,0.0,0
2010-01-13,11.16,11.29,10.86,11.18,10.28,279300,0.0,0
2010-01-14,11.12,11.2,10.93,11.07,10.18,519800,0.0,0
2010-01-15,11.1,11.1,10.7,10.95,10.07,527800,0.0,0
2010-01-19,11.06,11.14,10.87,11.0,10.12,889400,0.0,0
2010-01-20,10.85,10.91,10.51,10.69,9.83,475800,0.0,0
2010-01-21,10.66,10.75,10.22,10.24,9.42,418200,0.0,0
2010-01-22,10.24,10.37,9.72,9.81,9.02,544500,0.0,0
2010-01-25,9.91,10.08,9.74,9.91,9.11,372000,0.0,0
2010-01-26,9.87,10.05,9.66,9.89,9.1,388500,0.0,0
2010-01-27,9.81,9.86,9.35,9.72,8.94,926000,0.0,0
2010-01-28,9.79,9.82,9.36,9.6,8.83,595800,0.0,0
2010-01-29,9.63,9.99,9.44,9.55,8.78,317200,0.0,0
2010-02-01,9.63,9.99,9.63,9.91,9.11,510600,0.0,0
2010-02-02,9.89,10.26,9.63,10.2,9.38,634300,0.0,0
2010-02-03,10.11,10.23,9.84,10.0,9.2,241300,0.0,0
2010-02-04,9.93,9.93,9.35,9.44,8.68,667700,0.0,0
2010-02-05,9.43,9.54,9.06,9.28,8.54,470000,0.0,0
2010-02-08,9.25,9.34,9.0,9.05,8.32,361500,0.0,0
2010-02-09,9.21,9.39,9.02,9.26,8.52,339200,0.0,0
2010-02-10,9.2,9.32,9.03,9.32,8.57,407500,0.0,0
2010-02-11,9.26,9.32,9.06,9.3,8.55,529300,0.0,0
2010-02-12,9.13,9.41,9.11,9.35,8.6,399800,0.0,0
2010-02-16,9.44,9.61,9.32,9.61,8.84,182400,0.0,0
2010-02-17,9.7,9.82,9.62,9.7,8.92,183300,0.0,0
2010-02-18,9.72,9.86,9.67,9.8,9.01,356500,0.0,0
2010-02-19,9.75,9.9,9.67,9.71,8.93,313400,0.0,0
2010-02-22,9.79,9.83,9.32,9.67,8.89,727000,0.0,0
2010-02-23,9.98,10.5,9.75,9.79,9.0,1439200,0.0,0
2010-02-24,9.86,10.47,9.8,10.39,9.56,975700,0.0,0
2010-02-25,10.18,10.5,10.11,10.48,9.64,488200,0.0,0
2010-02-26,10.54,10.64,10.15,10.3,9.47,440400,0.0,0
2010-03-01,10.35,10.89,10.26,10.7,9.84,765000,0.0,0
2010-03-02,10.71,11.16,10.71,10.95,10.07,647100,0.0,0
2010-03-03,11.0,11.5,10.96,11.29,10.38,1156700,0.0,0
2010-03-04,11.35,11.87,11.31,11.69,10.75,991400,0.0,0
2010-03-05,11.8,12.0,11.72,11.82,10.87,605500,0.0,0
2010-03-08,11.89,11.96,11.62,11.65,10.72,502600,0.0,0
2010-03-09,11.63,11.78,11.48,11.58,10.65,1343400,0.0,0
2010-03-10,11.5,11.95,11.44,11.75,10.81,989900,0.0,0
2010-03-11,11.66,11.82,11.54,11.77,10.83,729900,0.0,0
2010-03-12,11.8,11.95,11.72,11.76,10.82,597300,0.0,0
2010-03-15,11.78,11.94,11.61,11.67,10.73,936500,0.0,0
2010-03-16,11.75,12.22,11.65,11.9,10.95,873400,0.0,0
2010-03-17,11.97,12.04,11.78,12.02,11.06,673600,0.0,0
2010-03-18,11.94,12.27,11.91,12.25,11.27,1074500,0.0,0
2010-03-19,12.0,12.62,11.94,12.0,11.04,1892300,0.0,0
2010-03-22,11.89,12.39,11.75,12.39,11.4,506300,0.0,0
2010-03-23,12.46,12.61,12.03,12.51,11.51,687000,0.0,0
2010-03-24,12.4,12.49,11.93,12.01,11.05,658300,0.0,0
2010-03-25,12.15,12.32,12.01,12.07,11.1,772000,0.0,0
2010-03-26,12.14,12.37,12.02,12.09,11.12,395100,0.0,0
2010-03-29,12.09,12.23,11.48,11.49,10.57,710300,0.0,0
2010-03-30,11.48,11.88,11.32,11.71,10.77,894100,0.0,0
2010-03-31,11.61,11.77,10.94,11.0,10.12,868500,0.0,0
2010-04-01,11.1,11.9,11.07,11.64,10.71,803700,0.0,0
2010-04-05,11.81,12.06,11.7,11.97,11.01,763800,0.0,0
2010-04-06,12.01,12.09,11.82,12.05,11.08,646600,0.0,0
