Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,11.66,11.66,11.45,11.52,9.79,16370000,0.0,0.0
2010-01-05,11.48,12.0,11.44,11.8,10.02,30058800,0.0,0.0
2010-01-06,11.74,11.81,11.63,11.71,9.94,14209600,0.0,0.0
2010-01-07,11.64,11.77,11.6,11.68,9.92,10256000,0.0,0.0
2010-01-08,11.6,11.8,11.6,11.64,9.88,10274800,0.0,0.0
2010-01-11,11.69,11.69,11.44,11.6,9.85,11387000,0.0,0.0
2010-01-12,11.45,11.6,11.25,11.41,9.69,15429600,0.0,0.0
2010-01-13,11.45,11.75,11.39,11.69,9.93,15098400,0.0,0.0
2010-01-14,11.62,11.8,11.6,11.77,10.0,15517400,0.0,0.0
2010-01-15,11.86,11.88,11.45,11.64,9.88,21862600,0.0,0.0
2010-01-19,11.7,11.9,11.58,11.79,10.01,18908200,0.0,0.0
2010-01-20,11.87,11.9,11.43,11.65,9.89,33950400,0.0,0.0
2010-01-21,12.06,12.23,11.66,11.84,10.05,53670800,0.0,0.0
2010-01-22,11.81,11.91,11.43,11.45,9.73,24557600,0.0,0.0
2010-01-25,11.5,11.53,11.14,11.2,9.51,24673800,0.0,0.0
2010-01-26,11.1,11.37,11.09,11.27,9.57,22492600,0.0,0.0
2010-01-27,11.27,11.28,11.06,11.2,9.51,21200200,0.0,0.0
2010-01-28,11.25,11.31,10.93,11.04,9.37,28730400,0.0,0.0
2010-01-29,11.06,11.27,10.88,10.9,9.25,18741800,0.0,0.0
2010-02-01,10.99,11.14,10.89,11.11,9.44,13498800,0.0,0.0
2010-02-02,11.07,11.24,10.95,11.23,9.53,15336200,0.0,0.0
2010-02-03,11.19,11.24,11.05,11.22,9.52,14938600,0.0,0.0
2010-02-04,11.13,11.19,10.9,10.9,9.26,19542400,0.0,0.0
2010-02-05,10.9,11.02,10.63,10.85,9.21,22069800,0.0,0.0
2010-02-08,10.83,11.07,10.7,10.95,9.3,15988600,0.0,0.0
2010-02-09,11.07,11.15,10.83,11.1,9.42,20816200,0.0,0.0
2010-02-10,11.02,11.27,11.02,11.19,9.5,20032800,0.0,0.0
2010-02-11,11.13,11.34,10.97,11.28,9.58,18518200,0.0,0.0
2010-02-12,11.03,11.34,11.03,11.3,9.59,15750800,0.0,0.0
2010-02-16,11.35,11.44,11.23,11.44,9.71,16820000,0.0,0.0
2010-02-17,11.53,11.65,11.48,11.57,9.83,12950400,0.0,0.0
2010-02-18,11.6,11.66,11.51,11.63,9.88,9300600,0.0,0.0
2010-02-19,11.59,11.73,11.59,11.68,9.92,9731800,0.0,0.0
2010-02-22,11.66,11.68,11.41,11.45,9.72,16983800,0.0,0.0
2010-02-23,11.38,11.45,11.23,11.34,9.63,16508400,0.0,0.0
2010-02-24,11.38,11.54,11.35,11.54,9.8,12921000,0.0,0.0
2010-02-25,11.32,11.49,11.22,11.45,9.72,18623800,0.0,0.0
2010-02-26,11.46,11.49,11.34,11.45,9.73,12100000,0.0,0.0
2010-03-01,11.47,11.67,11.45,11.65,9.89,12703000,0.0,0.0
2010-03-02,11.59,11.7,11.54,11.66,9.9,17122200,0.0,0.0
2010-03-03,11.65,11.69,11.47,11.53,9.79,11035000,0.0,0.0
2010-03-04,11.52,11.59,11.44,11.46,9.73,12892600,0.0,0.0
2010-03-05,11.52,11.69,11.44,11.69,9.92,12328800,0.0,0.0
2010-03-08,11.64,11.8,11.62,11.66,9.9,8997200,0.0,0.0
2010-03-09,11.75,11.88,11.6,11.81,10.03,13357200,0.0,0.0
2010-03-10,11.77,12.14,11.76,12.11,10.29,24464200,0.0,0.0
2010-03-11,12.02,12.34,12.02,12.14,10.3,17979000,0.0,0.0
2010-03-12,12.14,12.24,12.07,12.14,10.31,12833400,0.0,0.0
2010-03-15,12.15,12.25,12.12,12.21,10.37,11841800,0.0,0.0
2010-03-16,12.48,12.69,12.43,12.65,10.74,33800200,0.0,0.0
2010-03-17,12.69,12.83,12.56,12.78,10.85,21365000,0.0,0.0
2010-03-18,12.73,12.75,12.48,12.51,10.62,21413600,0.0,0.0
2010-03-19,12.48,12.57,12.38,12.48,10.6,22038600,0.0,0.0
2010-03-22,12.39,12.69,12.18,12.62,10.72,16329600,0.0,0.0
2010-03-23,12.72,12.72,12.48,12.7,10.79,17656000,0.0,0.0
2010-03-24,12.92,13.0,12.62,12.65,10.74,24294400,0.0,0.0
2010-03-25,12.53,12.56,12.07,12.1,10.28,37962200,0.0,0.0
2010-03-26,12.19,12.41,12.19,12.3,10.44,20463600,0.0,0.0
2010-03-29,12.31,12.39,12.15,12.31,10.45,13718000,0.0,0.0
2010-03-30,12.21,12.31,12.12,12.28,10.43,12786200,0.0,0.0
2010-03-31,12.21,12.27,12.1,12.14,10.3,15088600,0.0,0.0
2010-04-01,12.27,12.36,11.98,12.12,10.29,15551200,0.0,0.0
2010-04-05,12.06,12.39,12.06,12.31,10.49,15765800,0.05,0.0
2010-04-06,12.23,12.35,12.18,12.3,10.49,11589200,0.0,0.0
2010-04-07,12.4,12.52,12.35,12.45,10.62,16810800,0.0,0.0
2010-04-08,12.38,12.5,12.31,12.41,10.59,14317800,0.0,0.0
2010-04-09,12.43,12.48,12.23,12.36,10.54,12381000,0.0,0.0
2010-04-12,12.32,12.4,12.16,12.24,10.44,12606200,0.0,0.0
2010-04-13,12.2,12.4,12.16,12.36,10.54,14704800,0.0,0.0
2010-04-14,12.35,12.43,12.2,12.42,10.59,15749800,0.0,0.0
2010-04-15,12.36,12.62,12.31,12.56,10.71,19206400,0.0,0.0
2010-04-16,12.55,12.61,12.35,12.48,10.64,21814000,0.0,0.0
2010-04-19,12.49,12.62,12.28,12.45,10.62,16983000,0.0,0.0
2010-04-20,12.55,12.65,12.31,12.63,10.77,15065200,0.0,0.0
2010-04-21,12.6,12.71,12.5,12.69,10.82,27466000,0.0,0.0
2010-04-22,12.99,13.73,12.84,13.62,11.62,62082800,0.0,0.0
2010-04-23,13.51,13.65,13.38,13.63,11.62,20898400,0.0,0.0
2010-04-26,13.53,13.8,13.5,13.69,11.68,15876400,0.0,0.0
2010-04-27,13.75,13.75,13.23,13.27,11.31,19239600,0.0,0.0
2010-04-28,13.32,13.44,13.06,13.11,11.18,21192600,0.0,0.0
2010-04-29,13.15,13.36,13.13,13.3,11.34,15192600,0.0,0.0
2010-04-30,13.37,13.37,12.99,12.99,11.08,15006400,0.0,0.0
2010-05-03,13.01,13.62,12.99,13.59,11.59,19331000,0.0,0.0
2010-05-04,13.32,13.32,12.9,13.02,11.1,22470200,0.0,0.0
2010-05-05,12.97,13.28,12.88,13.11,11.18,22305800,0.0,0.0
2010-05-06,12.99,13.12,12.19,12.81,10.92,35568400,0.0,0.0
2010-05-07,12.64,12.99,12.32,12.73,10.85,44815000,0.0,0.0
2010-05-10,13.03,13.55,12.94,13.52,11.53,29334000,0.0,0.0
2010-05-11,13.35,13.62,13.27,13.35,11.38,23988600,0.0,0.0
2010-05-12,13.4,13.97,13.35,13.93,11.87,23334600,0.0,0.0
2010-05-13,13.9,13.9,13.68,13.72,11.7,21925400,0.0,0.0
2010-05-14,13.63,13.66,13.09,13.26,11.3,23081800,0.0,0.0
2010-05-17,13.22,13.48,13.03,13.45,11.47,17651600,0.0,0.0
2010-05-18,13.3,13.56,13.2,13.29,11.33,17118000,0.0,0.0
2010-05-19,13.16,13.41,12.9,13.1,11.17,20713600,0.0,0.0
2010-05-20,12.77,12.9,12.54,12.55,10.7,25198400,0.0,0.0
2010-05-21,12.27,12.76,12.19,12.65,10.78,25733200,0.0,0.0
2010-05-24,12.58,12.72,12.45,12.53,10.69,17079600,0.0,0.0
2010-05-25,12.22,12.49,12.03,12.46,10.62,23753800,0.0,0.0
2010-05-26,12.4,12.68,12.34,12.35,10.53,24204800,0.0,0.0
