Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,18.41,18.41,18.41,18.41,12.79,200.0,0.0,0
2010-01-08,18.7,18.7,18.15,18.15,12.61,4473.0,0.0,0
2010-01-12,18.4,18.4,18.4,18.4,12.78,100.0,0.0,0
2010-01-13,18.3,18.3,18.01,18.01,12.51,600.0,0.0,0
2010-01-14,18.02,18.02,18.02,18.02,12.52,100.0,0.0,0
2010-01-20,18.27,18.27,18.02,18.02,12.52,1342.0,0.0,0
2010-01-21,18.01,18.25,18.0,18.25,12.68,400.0,0.0,0
2010-01-22,18.25,18.25,18.25,18.25,12.68,300.0,0.0,0
2010-01-25,18.25,18.25,18.02,18.02,12.52,500.0,0.0,0
2010-01-26,18.25,18.3,18.25,18.3,12.71,1000.0,0.0,0
2010-01-27,18.25,18.25,18.25,18.25,12.68,100.0,0.0,0
2010-01-28,18.25,18.25,18.15,18.15,12.61,3850.0,0.0,0
2010-01-29,18.25,18.25,18.0,18.25,12.68,500.0,0.0,0
2010-02-01,18.4,18.4,18.4,18.4,12.78,657.0,0.0,0
2010-02-02,18.3,18.3,18.05,18.19,12.64,3374.0,0.0,0
2010-02-03,18.25,18.32,18.25,18.32,12.73,400.0,0.0,0
2010-02-04,18.38,18.39,18.38,18.39,12.78,300.0,0.0,0
2010-02-05,18.3,18.3,17.93,18.01,12.51,2000.0,0.0,0
2010-02-08,18.19,18.19,18.19,18.19,12.64,365.0,0.0,0
2010-02-09,18.2,18.2,18.2,18.2,12.64,300.0,0.0,0
2010-02-10,18.2,18.2,17.94,18.2,12.64,1800.0,0.0,0
2010-02-11,18.43,18.43,18.05,18.05,12.54,900.0,0.0,0
2010-02-12,18.43,18.5,18.43,18.5,12.85,2500.0,0.0,0
2010-02-16,18.5,18.85,18.2,18.55,12.89,4873.0,0.0,0
2010-02-17,18.85,19.25,18.85,19.25,13.37,1200.0,0.0,0
2010-02-18,19.0,19.1,18.5,18.75,13.03,1500.0,0.0,0
2010-02-22,18.5,18.65,18.5,18.53,12.88,463.0,0.0,0
2010-02-23,18.5,18.65,18.5,18.5,12.85,600.0,0.0,0
2010-02-24,18.65,18.9,18.55,18.8,13.06,1440.0,0.0,0
2010-02-25,18.55,19.0,18.5,19.0,13.2,400.0,0.0,0
2010-03-01,19.4,19.4,19.4,19.4,13.48,500.0,0.0,0
2010-03-02,19.44,19.44,19.19,19.19,13.33,300.0,0.0,0
2010-03-03,18.67,18.67,18.22,18.25,12.86,3400.0,0.27,0
2010-03-04,18.4,18.45,18.4,18.45,13.0,900.0,0.0,0
2010-03-08,18.4,18.45,18.45,18.45,13.0,115.0,0.0,0
2010-03-09,18.45,18.65,18.45,18.65,13.14,780.0,0.0,0
2010-03-11,18.6,18.6,18.6,18.6,13.11,300.0,0.0,0
2010-03-15,18.61,18.65,18.51,18.51,13.04,2137.0,0.0,0
2010-03-16,18.57,18.61,18.45,18.47,13.02,2282.0,0.0,0
2010-03-17,18.75,18.75,18.75,18.75,13.21,200.0,0.0,0
2010-03-18,18.99,19.29,18.99,18.99,13.38,1400.0,0.0,0
2010-03-19,19.25,19.45,19.25,19.45,13.7,1300.0,0.0,0
2010-03-22,19.2,19.2,19.2,19.2,13.53,940.0,0.0,0
2010-03-23,19.45,19.49,19.45,19.49,13.73,200.0,0.0,0
2010-03-24,19.24,19.24,19.24,19.24,13.56,100.0,0.0,0
2010-03-25,19.0,19.1,18.6,19.1,13.46,2336.0,0.0,0
2010-03-31,19.0,19.25,19.25,19.25,13.56,250.0,0.0,0
2010-04-01,19.25,19.35,19.1,19.1,13.46,790.0,0.0,0
2010-04-05,19.1,19.1,19.1,19.1,13.46,100.0,0.0,0
2010-04-06,18.85,19.79,18.85,19.5,13.74,1300.0,0.0,0
2010-04-07,19.25,19.25,19.01,19.05,13.42,1000.0,0.0,0
2010-04-09,19.05,19.15,19.01,19.15,13.49,3320.0,0.0,0
2010-04-12,19.0,19.0,19.0,19.0,13.39,200.0,0.0,0
2010-04-14,19.0,19.4,19.0,19.25,13.56,600.0,0.0,0
2010-04-16,19.0,19.0,19.0,19.0,13.39,600.0,0.0,0
2010-04-19,19.25,19.25,19.0,19.0,13.39,783.0,0.0,0
2010-04-22,19.0,19.3,19.0,19.3,13.6,9600.0,0.0,0
2010-04-27,19.0,19.25,19.0,19.0,13.39,2058.0,0.0,0
2010-04-28,19.0,19.25,19.0,19.25,13.56,1465.0,0.0,0
2010-04-29,19.0,19.1,19.1,19.1,13.46,1400.0,0.0,0
2010-04-30,19.25,19.25,19.01,19.25,13.56,455.0,0.0,0
2010-05-03,19.5,19.5,19.5,19.5,13.74,200.0,0.0,0
2010-05-04,19.25,19.5,19.23,19.5,13.74,300.0,0.0,0
2010-05-05,19.5,19.75,19.25,19.25,13.56,2502.0,0.0,0
2010-05-07,19.6,19.6,19.25,19.25,13.57,400.0,0.0,0
2010-05-10,19.6,20.07,19.6,20.07,14.14,2750.0,0.0,0
2010-05-11,20.95,20.95,20.0,20.0,14.09,1900.0,0.0,0
2010-05-12,19.75,19.75,19.23,19.25,13.56,4100.0,0.0,0
2010-05-14,19.0,19.0,18.75,18.75,13.21,6100.0,0.0,0
2010-05-17,19.0,19.0,18.26,18.86,13.29,4100.0,0.0,0
2010-05-18,18.61,18.9,18.48,18.89,13.31,146176.0,0.0,0
2010-05-19,18.65,18.9,18.32,18.89,13.31,3235.0,0.0,0
2010-05-20,18.87,18.88,18.62,18.88,13.3,1800.0,0.0,0
2010-05-21,18.62,18.9,18.28,18.9,13.32,5370.0,0.0,0
2010-05-24,18.87,18.87,18.87,18.87,13.3,200.0,0.0,0
2010-05-25,18.87,18.87,18.87,18.87,13.3,100.0,0.0,0
2010-05-26,18.97,18.97,18.65,18.97,13.37,7000.0,0.0,0
2010-05-27,18.97,18.97,18.97,18.97,13.37,100.0,0.0,0
2010-05-28,18.97,19.05,18.97,19.05,13.42,3200.0,0.0,0
2010-06-01,18.87,19.05,18.71,19.05,13.42,3300.0,0.0,0
2010-06-02,18.87,18.53,18.53,18.53,13.24,550.0,0.27,0
2010-06-03,18.94,18.94,18.69,18.69,13.36,1545.0,0.0,0
2010-06-04,18.85,18.85,18.6,18.6,13.29,600.0,0.0,0
2010-06-07,18.77,18.78,18.77,18.78,13.42,3734.0,0.0,0
2010-06-08,18.78,18.78,18.78,18.78,13.42,300.0,0.0,0
2010-06-09,18.78,18.78,18.78,18.78,13.42,300.0,0.0,0
2010-06-11,18.55,18.95,18.55,18.95,13.54,3265.0,0.0,0
2010-06-14,18.95,18.95,18.95,18.95,13.54,500.0,0.0,0
2010-06-15,18.95,19.05,18.8,18.8,13.44,3800.0,0.0,0
2010-06-16,18.79,19.0,18.6,18.6,13.29,3135.0,0.0,0
2010-06-17,18.85,18.85,18.75,18.85,13.47,8065.0,0.0,0
2010-06-18,18.6,18.6,18.52,18.52,13.24,2000.0,0.0,0
2010-06-21,18.51,18.51,18.5,18.5,13.22,1000.0,0.0,0
2010-06-22,18.5,18.9,18.5,18.89,13.5,2956.0,0.0,0
2010-06-24,18.87,19.2,18.87,19.2,13.72,8100.0,0.0,0
2010-06-28,19.2,19.2,19.2,19.2,13.72,200.0,0.0,0
2010-06-29,19.2,19.2,19.05,19.05,13.62,2200.0,0.0,0
2010-06-30,18.9,19.2,18.8,19.2,13.72,4153.0,0.0,0
2010-07-01,19.2,19.2,18.95,18.95,13.54,1000.0,0.0,0
2010-07-02,19.2,19.2,19.2,19.2,13.72,300.0,0.0,0
2010-07-06,19.2,19.2,18.7,19.18,13.71,1400.0,0.0,0
2010-07-07,18.72,19.25,18.72,19.25,13.76,4350.0,0.0,0
2010-07-08,19.23,19.24,18.7,18.76,13.41,4201.0,0.0,0
2010-07-09,19.3,20.25,18.86,19.2,13.72,10400.0,0.0,0
2010-07-12,19.19,19.19,19.19,19.19,13.72,800.0,0.0,0
2010-07-13,19.16,19.19,19.16,19.19,13.72,2400.0,0.0,0
2010-07-14,19.19,19.2,19.19,19.2,13.72,1300.0,0.0,0
2010-07-15,18.95,18.95,18.92,18.92,13.52,300.0,0.0,0
2010-07-19,19.18,19.2,19.18,19.2,13.72,600.0,0.0,0
2010-07-20,19.2,19.2,18.96,18.96,13.55,900.0,0.0,0
2010-07-21,19.2,19.3,19.11,19.11,13.66,2000.0,0.0,0
2010-07-22,19.29,19.4,19.29,19.4,13.87,5700.0,0.0,0
2010-07-26,19.4,19.4,19.2,19.2,13.72,700.0,0.0,0
2010-07-27,19.2,19.4,19.2,19.25,13.76,1300.0,0.0,0
2010-07-28,19.4,19.5,19.16,19.5,13.93,2200.0,0.0,0
2010-07-29,19.49,19.49,19.49,19.49,13.93,900.0,0.0,0
2010-08-02,19.25,19.4,19.25,19.4,13.87,700.0,0.0,0
2010-08-03,19.24,19.24,19.24,19.24,13.75,200.0,0.0,0
2010-08-05,19.07,19.07,19.07,19.07,13.63,850.0,0.0,0
2010-08-09,19.12,19.12,19.12,19.12,13.67,600.0,0.0,0
2010-08-10,19.35,19.5,19.14,19.25,13.76,1900.0,0.0,0
2010-08-11,19.24,19.24,19.24,19.24,13.75,400.0,0.0,0
2010-08-12,19.25,19.25,19.1,19.25,13.76,2700.0,0.0,0
2010-08-17,19.46,19.5,19.46,19.5,13.94,1737.0,0.0,0
2010-08-18,19.5,19.5,19.34,19.34,13.82,2671.0,0.0,0
2010-08-20,19.51,19.69,19.51,19.69,14.07,1500.0,0.0,0
2010-08-24,19.74,19.74,19.74,19.74,14.11,1000.0,0.0,0
2010-08-25,19.74,19.75,19.7,19.75,14.12,998.0,0.0,0
2010-08-26,19.74,20.0,19.74,19.99,14.29,1500.0,0.0,0
2010-08-27,20.25,20.25,20.25,20.25,14.47,800.0,0.0,0
2010-09-01,20.11,20.5,20.11,20.25,14.47,600.0,0.27,0
2010-09-03,20.0,20.35,20.0,20.35,14.55,200.0,0.0,0
2010-09-08,20.35,20.35,20.35,20.35,14.55,200.0,0.0,0
2010-09-10,20.3,20.3,20.3,20.3,14.51,100.0,0.0,0
2010-09-14,20.75,21.0,20.75,21.0,15.01,1000.0,0.0,0
2010-09-15,20.7,20.92,20.7,20.73,14.82,600.0,0.0,0
2010-09-16,20.95,20.99,20.95,20.99,15.0,500.0,0.0,0
2010-09-17,20.9,20.9,20.55,20.55,14.69,505.0,0.0,0
2010-09-20,21.0,21.0,21.0,21.0,15.01,300.0,0.0,0
2010-09-23,20.75,20.99,20.75,20.75,14.83,405.0,0.0,0
2010-09-27,20.51,20.51,20.51,20.51,14.66,1200.0,0.0,0
2010-09-28,20.9,20.97,20.9,20.9,14.94,500.0,0.0,0
2010-09-30,20.4,20.41,20.26,20.26,14.48,1198.0,0.0,0
2010-10-01,18.49,20.42,18.49,20.07,14.35,1191.0,0.0,0
2010-10-04,20.11,20.7,20.11,20.69,14.79,950.0,0.0,0
2010-10-06,20.26,20.74,20.26,20.74,14.82,525.0,0.0,0
2010-10-07,20.3,20.58,20.3,20.58,14.71,212.0,0.0,0
2010-10-08,20.21,20.95,20.21,20.21,14.45,951.0,0.0,0
2010-10-11,20.89,20.89,20.89,20.89,14.93,350.0,0.0,0
2010-10-13,20.65,20.65,20.25,20.25,14.47,850.0,0.0,0
2010-10-15,20.39,20.39,20.39,20.39,14.57,100.0,0.0,0
2010-10-18,20.75,20.75,20.5,20.5,14.65,450.0,0.0,0
2010-10-19,20.65,20.65,20.37,20.45,14.62,3400.0,0.0,0
2010-10-20,20.37,20.37,20.13,20.13,14.39,600.0,0.0,0
2010-10-21,20.12,20.12,20.08,20.08,14.35,400.0,0.0,0
2010-10-22,20.1,20.39,20.1,20.39,14.57,700.0,0.0,0
2010-10-25,20.64,20.64,20.5,20.5,14.65,1252.0,0.0,0
2010-10-27,20.1,20.1,20.1,20.1,14.37,120.0,0.0,0
2010-11-01,20.12,20.26,20.12,20.26,14.48,300.0,0.0,0
2010-11-02,20.5,20.5,20.5,20.5,14.65,1100.0,0.0,0
2010-11-08,20.5,20.69,20.5,20.69,14.79,400.0,0.0,0
2010-11-09,20.25,20.25,20.25,20.25,14.47,100.0,0.0,0
2010-11-10,20.15,20.15,20.01,20.01,14.3,1417.0,0.0,0
2010-11-11,19.89,19.92,19.88,19.92,14.23,800.0,0.0,0
2010-11-15,19.88,20.23,19.88,20.23,14.46,1100.0,0.0,0
2010-11-17,19.88,19.88,19.65,19.65,14.05,800.0,0.0,0
2010-11-19,19.63,19.63,19.63,19.63,14.03,600.0,0.0,0
2010-11-22,20.21,20.21,19.3,19.6,14.01,800.0,0.0,0
2010-11-23,19.05,19.5,19.05,19.5,13.94,400.0,0.0,0
2010-11-24,19.3,19.3,19.3,19.3,13.79,350.0,0.0,0
2010-11-29,19.35,19.55,19.3,19.55,13.97,4200.0,0.0,0
2010-11-30,19.55,19.55,19.55,19.55,13.97,100.0,0.0,0
2010-12-01,19.37,19.64,19.37,19.64,14.23,700.0,0.27,0
2010-12-02,19.64,19.73,19.64,19.73,14.3,1420.0,0.0,0
2010-12-06,19.69,19.69,19.69,19.69,14.27,100.0,0.0,0
2010-12-07,19.59,19.6,19.59,19.6,14.21,555.0,0.0,0
2010-12-08,19.6,19.6,19.6,19.6,14.21,1950.0,0.0,0
2010-12-14,19.37,19.37,19.23,19.23,13.94,1200.0,0.0,0
2010-12-15,19.09,19.09,19.09,19.09,13.84,2209.0,0.0,0
2010-12-16,19.1,19.1,18.97,18.97,13.75,750.0,0.0,0
2010-12-20,19.4,19.4,19.16,19.16,13.89,500.0,0.0,0
