Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-11-08,14.94,15.18,14.94,15.02,6.73,417800,0.0,0.0
2012-11-09,15.03,15.18,15.01,15.11,6.77,47000,0.0,0.0
2012-11-12,15.33,15.43,15.11,15.17,6.8,40500,0.0,0.0
2012-11-13,15.23,15.23,15.04,15.15,6.79,54200,0.0,0.0
2012-11-14,15.16,15.16,15.04,15.04,6.74,70900,0.0,0.0
2012-11-15,15.09,15.12,14.94,15.0,6.72,196100,0.0,0.0
2012-11-16,15.03,15.05,14.94,15.04,6.74,94600,0.0,0.0
2012-11-19,15.12,15.39,14.99,15.33,6.87,88900,0.0,0.0
2012-11-20,15.43,15.43,15.12,15.12,6.78,92500,0.0,0.0
2012-11-21,15.28,15.31,14.95,15.1,6.77,73900,0.0,0.0
2012-11-23,15.11,15.18,15.11,15.17,6.8,5400,0.0,0.0
2012-11-26,15.21,15.69,15.0,15.09,6.76,28700,0.0,0.0
2012-11-27,15.11,15.18,15.08,15.18,6.81,28300,0.0,0.0
2012-11-28,15.18,15.2,15.1,15.13,6.78,28100,0.0,0.0
2012-11-29,15.16,15.31,15.09,15.19,6.81,32200,0.0,0.0
2012-11-30,15.22,15.25,15.14,15.25,6.84,75200,0.0,0.0
2012-12-03,15.27,15.43,15.27,15.29,6.86,103000,0.0,0.0
2012-12-04,15.32,15.33,15.18,15.24,6.83,84700,0.0,0.0
2012-12-05,15.24,15.36,15.13,15.24,6.83,101900,0.0,0.0
2012-12-06,15.09,15.18,15.03,15.07,6.75,92500,0.0,0.0
2012-12-07,14.99,15.04,14.94,15.02,6.73,64800,0.0,0.0
2012-12-10,15.05,15.15,14.94,14.94,6.7,48300,0.0,0.0
2012-12-11,14.97,15.04,14.94,15.02,6.73,45800,0.0,0.0
2012-12-12,14.94,15.23,14.94,15.19,6.81,26200,0.0,0.0
2012-12-13,15.19,15.26,14.03,15.21,6.82,41700,0.0,0.0
2012-12-14,15.23,15.23,14.96,14.99,6.72,40900,0.0,0.0
2012-12-17,14.99,15.23,14.99,15.12,6.78,22500,0.0,0.0
2012-12-18,15.12,15.52,15.12,15.42,6.91,88800,0.0,0.0
2012-12-19,15.23,15.43,15.23,15.43,7.0,33500,0.1812,0.0
2012-12-20,15.38,15.38,15.18,15.38,6.98,83400,0.0,0.0
2012-12-21,15.16,18.13,14.94,16.18,7.34,696500,0.0,0.0
2012-12-24,16.15,16.21,15.6,15.92,7.22,53000,0.0,0.0
2012-12-26,15.78,15.83,15.18,15.22,6.91,49000,0.0,0.0
2012-12-27,15.2,15.58,15.18,15.28,6.93,46400,0.0,0.0
2012-12-28,15.23,15.73,15.23,15.4,6.99,62300,0.0,0.0
2012-12-31,15.41,16.33,15.18,16.31,7.4,114000,0.0,0.0
2013-01-02,16.28,16.91,15.67,16.66,7.56,247100,0.0,0.0
2013-01-03,16.28,16.62,15.78,15.88,7.2,60800,0.0,0.0
2013-01-04,15.95,15.98,15.69,15.87,7.2,36400,0.0,0.0
2013-01-07,15.58,15.81,15.24,15.8,7.17,55600,0.0,0.0
2013-01-08,15.28,15.28,14.94,15.24,6.91,162200,0.0,0.0
2013-01-09,15.09,15.15,14.38,14.72,6.68,197500,0.0,0.0
2013-01-10,14.77,14.99,14.77,14.95,6.78,76100,0.0,0.0
2013-01-11,14.87,14.97,14.68,14.7,6.67,41000,0.0,0.0
2013-01-14,14.7,14.74,14.17,14.45,6.55,112800,0.0,0.0
2013-01-15,14.44,14.99,14.21,14.53,6.59,178800,0.0,0.0
2013-01-16,14.54,14.96,14.54,14.66,6.65,96500,0.0,0.0
2013-01-17,14.69,14.75,14.45,14.62,6.63,92100,0.0,0.0
2013-01-18,14.59,14.69,14.44,14.68,6.66,76300,0.0,0.0
2013-01-22,14.73,14.73,14.45,14.59,6.62,47000,0.0,0.0
2013-01-23,14.62,14.74,14.55,14.69,6.66,91500,0.0,0.0
2013-01-24,14.71,14.76,14.57,14.64,6.64,71500,0.0,0.0
2013-01-25,14.59,14.81,14.59,14.81,6.72,38000,0.0,0.0
2013-01-28,14.84,14.94,14.74,14.86,6.74,62000,0.0,0.0
2013-01-29,14.9,14.92,14.64,14.82,6.72,56700,0.0,0.0
2013-01-30,14.76,14.85,14.7,14.73,6.68,65200,0.0,0.0
2013-01-31,14.66,15.38,14.54,15.17,6.88,181900,0.0,0.0
2013-02-01,14.99,14.99,14.7,14.89,6.75,57500,0.0,0.0
2013-02-04,14.89,14.94,14.67,14.87,6.74,54000,0.0,0.0
2013-02-05,14.8,14.93,14.74,14.89,6.75,81700,0.0,0.0
2013-02-06,14.87,14.87,14.74,14.84,6.73,67600,0.0,0.0
2013-02-07,14.74,14.85,14.64,14.69,6.66,76000,0.0,0.0
2013-02-08,14.66,14.94,14.62,14.79,6.71,64800,0.0,0.0
2013-02-11,14.8,14.84,14.7,14.82,6.72,28700,0.0,0.0
2013-02-12,14.72,14.83,14.7,14.82,6.72,35200,0.0,0.0
2013-02-13,14.82,14.86,14.7,14.75,6.69,55300,0.0,0.0
2013-02-14,14.76,14.84,14.65,14.7,6.67,68700,0.0,0.0
2013-02-15,14.74,14.94,14.69,14.92,6.77,102100,0.0,0.0
