Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2014-01-23,25.75,26.5,25.0,25.2,23.26,34094000,0.0,0.0
2014-01-24,25.28,25.28,24.0,24.21,22.35,8034700,0.0,0.0
2014-01-27,24.23,24.99,24.19,24.8,22.89,3540900,0.0,0.0
2014-01-28,24.64,25.73,24.43,25.69,23.71,2766700,0.0,0.0
2014-01-29,25.29,25.8,25.09,25.62,23.65,2946100,0.0,0.0
2014-01-30,25.72,26.1,25.56,25.77,23.79,1122300,0.0,0.0
2014-01-31,25.35,25.88,25.11,25.63,23.66,678800,0.0,0.0
2014-02-03,25.96,25.96,25.24,25.25,23.31,1113400,0.0,0.0
2014-02-04,25.2,25.46,24.76,25.18,23.24,961500,0.0,0.0
2014-02-05,25.1,25.5,24.97,25.28,23.33,775500,0.0,0.0
2014-02-06,25.4,25.4,24.62,24.72,22.82,1151100,0.0,0.0
2014-02-07,24.55,25.09,24.3,25.08,23.15,838100,0.0,0.0
2014-02-10,25.1,25.22,24.76,25.22,23.28,660700,0.0,0.0
2014-02-11,25.04,25.44,24.95,25.38,23.43,344100,0.0,0.0
2014-02-12,25.31,25.42,25.05,25.26,23.32,313100,0.0,0.0
2014-02-13,25.0,25.51,24.83,25.49,23.53,704800,0.0,0.0
2014-02-14,25.47,25.59,25.23,25.41,23.45,546100,0.0,0.0
2014-02-18,25.42,25.69,25.27,25.5,23.54,477200,0.0,0.0
2014-02-19,25.74,25.74,25.18,25.36,23.41,306700,0.0,0.0
2014-02-20,25.27,25.54,25.16,25.43,23.47,587000,0.0,0.0
2014-02-21,25.8,25.8,25.27,25.35,23.4,472700,0.0,0.0
2014-02-24,25.32,25.53,25.09,25.28,23.33,546800,0.0,0.0
2014-02-25,25.25,25.48,24.95,25.06,23.13,1876200,0.0,0.0
2014-02-26,25.08,25.17,24.75,24.86,22.95,488800,0.0,0.0
2014-02-27,24.84,25.13,24.42,24.88,22.96,763800,0.0,0.0
2014-02-28,24.93,25.64,24.93,25.33,23.38,754800,0.0,0.0
2014-03-03,25.26,25.96,24.92,25.9,23.91,925200,0.0,0.0
2014-03-04,26.23,26.37,25.46,25.51,23.55,1286800,0.0,0.0
2014-03-05,25.46,25.84,24.65,25.0,23.08,1369900,0.0,0.0
2014-03-06,24.95,25.11,24.38,24.73,22.83,2145600,0.0,0.0
2014-03-07,24.9,24.96,24.44,24.44,22.56,1771900,0.0,0.0
2014-03-10,24.51,24.7,24.27,24.38,22.5,1066100,0.0,0.0
2014-03-11,24.5,24.53,23.42,23.94,22.1,2242000,0.0,0.0
2014-03-12,23.79,24.1,23.55,23.86,22.02,1650100,0.0,0.0
2014-03-13,23.78,23.95,22.65,22.86,21.1,3236200,0.0,0.0
2014-03-14,22.87,23.33,22.14,23.18,21.4,2641700,0.0,0.0
2014-03-17,24.6,24.69,23.34,24.06,22.21,2884400,0.0,0.0
2014-03-18,24.17,25.1,23.81,24.76,22.85,1276900,0.0,0.0
2014-03-19,25.1,25.2,24.51,24.71,22.81,1346300,0.0,0.0
2014-03-20,24.67,24.9,24.25,24.37,22.49,1482600,0.0,0.0
2014-03-21,24.51,24.62,23.87,24.03,22.18,4619500,0.0,0.0
2014-03-24,24.05,24.38,23.1,23.24,21.45,2139800,0.0,0.0
2014-03-25,23.33,23.7,22.45,23.16,21.38,3861600,0.0,0.0
2014-03-26,23.2,23.96,22.96,23.14,21.36,992500,0.0,0.0
2014-03-27,22.91,23.41,22.8,23.11,21.33,1017700,0.0,0.0
2014-03-28,23.16,23.76,23.16,23.5,21.69,1271600,0.0,0.0
2014-03-31,23.65,24.08,23.63,24.08,22.23,6324500,0.0,0.0
2014-04-01,24.19,24.25,23.89,24.0,22.15,1228500,0.0,0.0
2014-04-02,24.0,24.22,23.97,24.11,22.25,1048700,0.0,0.0
2014-04-03,24.02,24.19,23.42,23.78,21.95,2281100,0.0,0.0
2014-04-04,23.84,23.84,22.94,22.99,21.22,1116800,0.0,0.0
2014-04-07,22.89,23.1,22.33,22.48,20.75,1362600,0.0,0.0
2014-04-08,22.43,22.8,22.31,22.59,20.85,1965200,0.0,0.0
2014-04-09,22.49,23.01,22.48,22.8,21.04,1314500,0.0,0.0
2014-04-10,22.74,23.19,22.61,22.71,20.96,1073100,0.0,0.0
2014-04-11,22.62,22.69,21.95,22.29,20.57,1418100,0.0,0.0
2014-04-14,22.5,22.56,21.99,22.23,20.52,1269700,0.0,0.0
2014-04-15,22.45,22.78,22.25,22.7,20.95,2575200,0.0,0.0
2014-04-16,23.5,23.65,22.88,23.02,21.25,1419900,0.0,0.0
2014-04-17,22.96,23.06,22.73,22.93,21.16,897700,0.0,0.0
2014-04-21,23.06,23.12,22.57,22.87,21.11,367400,0.0,0.0
2014-04-22,22.85,23.16,22.72,23.06,21.28,862200,0.0,0.0
2014-04-23,23.0,23.13,22.86,22.92,21.16,1312100,0.0,0.0
2014-04-24,23.03,23.19,22.79,22.87,21.11,472600,0.0,0.0
2014-04-25,22.72,23.14,22.55,22.77,21.02,536600,0.0,0.0
2014-04-28,22.79,23.01,22.22,22.44,20.71,756900,0.0,0.0
