Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-26,24.35,24.38,24.23,24.3,632290,0.0,0
2019-06-27,24.31,24.38,24.27,24.34,153771,0.0,0
2019-06-28,24.38,24.38,24.29,24.31,152558,0.0,0
2019-07-01,24.43,24.43,24.31,24.41,30719,0.0,0
2019-07-02,24.31,24.43,24.31,24.37,128567,0.0,0
2019-07-03,24.43,24.46,24.34,24.38,26410,0.0,0
2019-07-05,24.38,24.38,24.38,24.38,0,0.0,0
2019-07-08,24.4,24.56,24.39,24.53,110734,0.0,0
2019-07-09,24.53,24.57,24.46,24.49,432175,0.0,0
2019-07-10,24.48,24.59,24.43,24.54,252393,0.0,0
2019-07-11,24.57,24.58,24.47,24.54,185822,0.0,0
2019-07-12,24.55,24.55,24.49,24.54,290120,0.0,0
2019-07-15,24.55,24.64,24.54,24.6,436753,0.0,0
2019-07-16,24.59,24.6,24.53,24.59,227328,0.0,0
2019-07-17,24.61,24.72,24.57,24.68,224381,0.0,0
2019-07-18,24.69,24.72,24.61,24.62,429279,0.0,0
2019-07-19,24.61,24.74,24.6,24.71,81375,0.0,0
2019-07-22,24.77,24.82,24.69,24.8,172030,0.0,0
2019-07-23,24.83,24.83,24.66,24.77,378615,0.0,0
2019-07-24,24.78,24.85,24.7,24.79,192824,0.0,0
2019-07-25,24.82,24.83,24.73,24.77,70772,0.0,0
2019-07-26,24.83,24.83,24.7,24.79,69609,0.0,0
2019-07-29,24.83,24.87,24.74,24.85,119353,0.0,0
2019-07-30,24.85,24.85,24.78,24.83,327442,0.0,0
2019-07-31,24.82,24.91,24.74,24.76,1180726,0.0,0
2019-08-01,24.8,24.81,24.6,24.72,212104,0.0,0
2019-08-02,24.7,24.81,24.7,24.81,59912,0.0,0
2019-08-05,24.8,24.82,24.55,24.69,36073,0.0,0
2019-08-06,24.7,24.74,24.51,24.74,103342,0.0,0
2019-08-07,24.67,24.67,24.55,24.63,49148,0.0,0
2019-08-08,24.61,24.73,24.61,24.73,73944,0.0,0
2019-08-09,24.63,24.72,24.59,24.67,134318,0.0,0
2019-08-12,24.69,24.74,24.6,24.63,80544,0.0,0
2019-08-13,24.63,24.75,24.63,24.72,140703,0.0,0
2019-08-14,24.63,24.74,24.58,24.65,70883,0.0,0
2019-08-15,24.75,24.81,24.62,24.81,76955,0.0,0
2019-08-16,24.8,24.88,24.66,24.79,656687,0.0,0
2019-08-19,24.83,24.83,24.72,24.81,76553,0.0,0
2019-08-20,24.82,24.86,24.77,24.78,138412,0.0,0
2019-08-21,24.85,24.86,24.78,24.86,184120,0.0,0
2019-08-22,24.79,25.05,24.79,25.04,131142,0.0,0
2019-08-23,24.91,25.05,24.91,25.01,41469,0.0,0
2019-08-26,25.01,25.08,24.96,25.05,42626,0.0,0
2019-08-27,25.05,25.17,25.03,25.17,70159,0.0,0
2019-08-28,25.22,25.23,25.06,25.14,75489,0.0,0
2019-08-29,25.2,25.35,25.18,25.35,68155,0.0,0
2019-08-30,25.37,25.37,25.22,25.24,142367,0.0,0
2019-09-03,25.26,25.39,25.21,25.39,42641,0.0,0
2019-09-04,25.39,25.52,25.3,25.52,104539,0.0,0
2019-09-05,25.4,25.56,25.4,25.45,21601,0.0,0
2019-09-06,25.72,25.72,25.28,25.49,230769,0.0,0
2019-09-09,25.37,25.52,25.37,25.46,20554,0.0,0
2019-09-10,25.62,25.62,25.14,25.35,61063,0.0,0
2019-09-11,25.26,25.47,25.22,25.37,20852,0.0,0
2019-09-12,25.64,25.65,25.31,25.31,59818,0.367188,0
2019-09-13,25.31,25.48,24.88,25.14,48131,0.0,0
2019-09-16,25.07,25.41,24.99,25.37,29749,0.0,0
2019-09-17,25.37,25.5,25.23,25.5,48344,0.0,0
2019-09-18,25.54,25.7,25.54,25.67,36676,0.0,0
2019-09-19,25.72,25.89,25.72,25.86,42170,0.0,0
2019-09-20,25.86,25.86,25.74,25.78,13801,0.0,0
2019-09-23,25.84,25.88,25.83,25.84,20209,0.0,0
2019-09-24,25.89,25.92,25.55,25.92,22014,0.0,0
2019-09-25,26.02,26.04,25.8,25.83,13741,0.0,0
2019-09-26,25.85,25.85,25.72,25.83,16391,0.0,0
2019-09-27,26.01,26.01,25.49,25.88,55963,0.0,0
2019-09-30,25.98,26.19,25.76,25.92,215609,0.0,0
2019-10-01,25.88,26.16,25.79,25.93,21185,0.0,0
2019-10-02,25.99,25.99,25.55,25.67,39534,0.0,0
2019-10-03,25.83,25.83,25.46,25.54,27008,0.0,0
2019-10-04,25.72,25.72,25.52,25.62,24177,0.0,0
2019-10-07,25.62,25.68,25.52,25.65,41556,0.0,0
2019-10-08,25.74,25.74,25.58,25.65,44920,0.0,0
2019-10-09,25.84,25.84,25.52,25.7,181155,0.0,0
2019-10-10,25.78,25.84,25.65,25.73,47987,0.0,0
2019-10-11,25.83,25.83,25.68,25.71,16937,0.0,0
2019-10-14,25.86,26.08,25.81,26.02,12657,0.0,0
2019-10-15,26.18,26.21,25.67,25.88,26854,0.0,0
2019-10-16,26.04,26.04,25.82,25.98,26543,0.0,0
2019-10-17,26.17,26.2,25.99,26.02,34270,0.0,0
2019-10-18,26.19,26.35,25.98,26.03,119644,0.0,0
2019-10-21,26.18,26.18,25.91,26.03,17950,0.0,0
2019-10-22,26.11,26.17,25.95,26.14,19644,0.0,0
2019-10-23,26.14,26.17,25.97,26.02,27167,0.0,0
2019-10-24,26.12,26.12,25.94,25.94,21493,0.0,0
2019-10-25,26.01,26.11,25.9,26.04,16372,0.0,0
2019-10-28,26.09,26.1,25.67,25.75,61078,0.0,0
2019-10-29,25.83,25.83,25.61,25.75,41381,0.0,0
2019-10-30,25.75,25.84,25.63,25.75,545405,0.0,0
2019-10-31,25.68,25.8,25.67,25.69,441238,0.0,0
2019-11-01,25.74,25.75,25.65,25.74,21723,0.0,0
2019-11-04,25.77,25.77,25.58,25.63,27039,0.0,0
2019-11-05,25.64,25.64,25.37,25.51,15556,0.0,0
2019-11-06,25.6,25.6,25.26,25.38,1530999,0.0,0
2019-11-07,25.28,25.43,25.25,25.29,17105,0.0,0
2019-11-08,25.45,25.45,25.3,25.43,40290,0.0,0
2019-11-11,25.47,25.49,25.4,25.45,11710,0.0,0
2019-11-12,25.47,25.47,25.26,25.26,523719,0.0,0
2019-11-13,25.31,25.45,25.31,25.42,31067,0.0,0
2019-11-14,25.5,25.61,25.37,25.53,30990,0.0,0
2019-11-15,25.57,25.64,25.48,25.54,36596,0.0,0
2019-11-18,25.64,25.64,25.38,25.5,66957,0.0,0
