Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-10-10,21.0,21.0,21.0,21.0,2000,0.0,0
2017-10-11,21.11,21.13,20.88,21.11,33000,0.0,0
2017-10-12,21.11,21.21,21.09,21.13,27200,0.0,0
2017-10-13,21.13,21.3,21.05,21.15,33300,0.0,0
2017-10-16,21.17,21.21,21.13,21.17,25200,0.0,0
2017-10-17,21.19,21.21,21.16,21.17,22600,0.0,0
2017-10-18,21.17,21.19,21.15,21.16,22500,0.0,0
2017-10-19,21.16,21.21,21.13,21.21,21200,0.0,0
2017-10-20,21.6,21.6,21.38,21.55,4600,0.0,0
2017-10-23,21.42,21.51,21.42,21.5,6600,0.0,0
2017-10-24,21.34,21.34,21.28,21.28,3700,0.0,0
2017-10-25,21.3,21.3,21.09,21.16,9500,0.0,0
2017-10-26,21.17,21.17,21.14,21.16,9600,0.0,0
2017-10-27,21.25,21.32,21.17,21.17,6400,0.0,0
2017-10-30,21.09,21.17,21.09,21.13,6100,0.0,0
2017-10-31,21.1,21.13,21.1,21.11,4700,0.0,0
2017-11-01,21.11,21.13,21.11,21.13,5500,0.0,0
2017-11-02,21.17,21.25,20.95,20.95,35900,0.0,0
2017-11-03,20.95,21.09,20.88,20.99,18300,0.0,0
2017-11-06,21.04,21.14,21.04,21.05,10900,0.0,0
2017-11-07,21.09,21.27,21.09,21.14,7400,0.0,0
2017-11-08,21.16,21.28,21.09,21.13,4500,0.0,0
2017-11-09,21.16,21.16,21.13,21.16,1800,0.0,0
2017-11-10,21.17,21.17,21.11,21.13,7700,0.0,0
2017-11-13,21.21,21.43,21.17,21.35,7600,0.0,0
2017-11-14,21.27,21.34,21.27,21.34,1300,0.0,0
2017-11-15,21.33,21.46,21.24,21.38,10400,0.0,0
2017-11-16,21.46,21.46,21.26,21.33,4000,0.0,0
2017-11-17,21.3,21.3,21.3,21.3,200,0.0,0
2017-11-20,21.38,21.38,21.3,21.3,4700,0.0,0
2017-11-21,21.26,21.26,21.26,21.26,300,0.0,0
2017-11-22,21.26,21.26,21.26,21.26,0,0.0,0
2017-11-24,21.26,21.26,21.26,21.26,0,0.0,0
2017-11-27,21.21,21.3,21.21,21.3,5200,0.0,0
2017-11-28,21.38,21.38,21.21,21.38,2100,0.0,0
2017-11-29,21.34,21.42,21.34,21.41,800,0.0,0
2017-11-30,21.45,21.46,21.3,21.3,3400,0.0,0
2017-12-01,21.33,21.38,21.33,21.38,1100,0.0,0
2017-12-04,21.36,21.38,21.35,21.38,600,0.0,0
2017-12-05,21.27,21.38,21.07,21.26,700,0.0,0
2017-12-06,21.25,21.25,21.13,21.13,5400,0.0,0
2017-12-07,21.18,21.18,21.17,21.17,300,0.0,0
2017-12-08,21.43,21.5,21.26,21.34,13800,0.0,0
2017-12-11,21.38,21.46,21.38,21.44,13100,0.0,0
2017-12-12,21.43,21.43,21.18,21.25,9900,0.0,0
2017-12-13,21.27,21.4,21.26,21.38,3300,0.0,0
2017-12-14,21.3,21.52,21.3,21.36,2700,0.0,0
2017-12-15,21.52,21.52,21.48,21.48,2300,0.0,0
2017-12-18,21.46,21.51,21.39,21.46,8500,0.0,0
2017-12-19,21.4,21.52,21.4,21.52,3600,0.0,0
2017-12-20,21.54,21.54,21.42,21.49,8200,0.0,0
2017-12-21,21.56,21.56,21.42,21.56,1400,0.0,0
2017-12-22,21.56,21.59,21.56,21.59,1800,0.0,0
2017-12-26,21.54,21.54,21.54,21.54,100,0.0,0
2017-12-27,21.58,21.58,21.43,21.43,2100,0.0,0
2017-12-28,21.69,21.69,21.63,21.66,4100,0.43203,0
2017-12-29,21.59,21.66,21.58,21.62,1700,0.0,0
2018-01-02,21.71,21.71,21.71,21.71,300,0.0,0
2018-01-03,21.71,21.71,21.71,21.71,0,0.0,0
2018-01-04,21.66,21.67,21.66,21.67,900,0.0,0
2018-01-05,21.82,21.82,21.68,21.68,1000,0.0,0
2018-01-08,21.75,21.92,21.61,21.92,3600,0.0,0
2018-01-09,21.83,21.83,21.66,21.83,3200,0.0,0
2018-01-10,21.84,21.85,21.83,21.83,1300,0.0,0
2018-01-11,21.83,21.83,21.83,21.83,0,0.0,0
2018-01-12,21.61,21.61,21.6,21.6,400,0.0,0
2018-01-16,21.65,21.65,21.58,21.58,2200,0.0,0
2018-01-17,21.55,21.55,21.55,21.55,1100,0.0,0
2018-01-18,21.7,21.7,21.56,21.62,1800,0.0,0
2018-01-19,21.62,21.62,21.62,21.62,0,0.0,0
2018-01-22,21.83,21.96,21.83,21.92,1500,0.0,0
2018-01-23,21.76,21.76,21.59,21.59,5700,0.0,0
2018-01-24,21.82,21.82,21.46,21.49,7100,0.0,0
2018-01-25,21.47,21.47,21.37,21.41,7100,0.0,0
2018-01-26,21.53,21.64,21.45,21.53,7800,0.0,0
2018-01-29,21.66,21.66,21.33,21.33,5600,0.0,0
2018-01-30,21.42,21.43,21.32,21.32,2600,0.0,0
2018-01-31,21.49,21.5,21.3,21.31,3300,0.0,0
2018-02-01,21.32,21.32,21.32,21.32,1100,0.0,0
2018-02-02,21.28,21.33,21.28,21.33,2900,0.0,0
2018-02-05,21.32,21.48,21.17,21.32,2700,0.0,0
2018-02-06,21.19,21.41,21.17,21.41,6000,0.0,0
2018-02-07,21.39,21.39,21.29,21.31,4000,0.0,0
2018-02-08,21.08,21.22,20.95,20.95,11200,0.0,0
2018-02-09,21.03,21.12,20.94,21.12,7300,0.0,0
2018-02-12,21.03,21.22,21.03,21.14,4000,0.0,0
2018-02-13,21.21,21.39,21.2,21.39,4600,0.0,0
2018-02-14,21.12,21.34,21.11,21.34,600,0.0,0
2018-02-15,21.34,21.34,21.34,21.34,0,0.0,0
2018-02-16,21.39,21.4,21.34,21.34,500,0.0,0
2018-02-20,21.49,21.53,20.89,21.12,10000,0.0,0
2018-02-21,21.41,21.45,21.22,21.3,4800,0.0,0
2018-02-22,21.32,21.32,21.23,21.24,5100,0.0,0
2018-02-23,21.32,21.41,21.11,21.24,6400,0.0,0
2018-02-26,21.24,21.32,21.04,21.04,4700,0.0,0
2018-02-27,21.26,21.32,21.15,21.32,3400,0.0,0
