Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,20.01,20.73,19.85,20.71,20.31,631800,0.0,0.0
2010-01-05,20.75,21.18,20.59,21.15,20.74,477400,0.0,0.0
2010-01-06,21.29,21.94,21.22,21.49,21.08,487800,0.0,0.0
2010-01-07,21.54,21.69,21.26,21.39,20.98,443300,0.0,0.0
2010-01-08,21.35,21.45,21.15,21.45,21.04,400000,0.0,0.0
2010-01-11,21.58,21.59,21.22,21.49,21.08,313900,0.0,0.0
2010-01-12,21.31,21.43,20.71,20.84,20.44,358800,0.0,0.0
2010-01-13,21.04,21.1,20.55,20.98,20.58,264200,0.0,0.0
2010-01-14,20.88,21.09,20.61,20.97,20.57,319600,0.0,0.0
2010-01-15,21.07,21.07,20.48,20.82,20.42,307000,0.0,0.0
2010-01-19,20.88,21.0,20.77,20.98,20.58,302700,0.0,0.0
2010-01-20,20.72,20.83,20.52,20.66,20.26,435800,0.0,0.0
2010-01-21,20.63,20.75,19.93,20.19,19.8,517200,0.0,0.0
2010-01-22,20.1,20.45,20.0,20.24,19.85,552500,0.0,0.0
2010-01-25,20.54,20.58,20.2,20.4,20.01,394000,0.0,0.0
2010-01-26,20.4,20.73,20.1,20.63,20.23,370900,0.0,0.0
2010-01-27,20.74,21.63,20.73,21.61,21.2,1548000,0.0,0.0
2010-01-28,21.7,22.1,21.3,21.88,21.46,1668500,0.0,0.0
2010-01-29,21.95,22.03,21.45,21.45,21.04,1086800,0.0,0.0
2010-02-01,21.61,21.61,20.66,21.48,21.07,1108700,0.0,0.0
2010-02-02,21.59,22.18,21.52,22.03,21.61,741700,0.0,0.0
2010-02-03,21.94,23.07,21.94,22.39,21.96,1588100,0.0,0.0
2010-02-04,19.3,19.75,18.03,18.42,18.07,7310800,0.0,0.0
2010-02-05,18.32,18.45,16.47,17.01,16.68,5270600,0.0,0.0
2010-02-08,17.02,17.1,16.23,16.5,16.18,3792500,0.0,0.0
2010-02-09,16.55,16.97,16.3,16.68,16.36,3410300,0.0,0.0
2010-02-10,16.71,17.52,16.68,17.23,16.9,3238800,0.0,0.0
2010-02-11,17.2,18.12,17.02,17.89,17.55,2175000,0.0,0.0
2010-02-12,17.58,17.95,17.44,17.94,17.6,1141000,0.0,0.0
2010-02-16,18.04,18.66,18.0,18.55,18.19,2213100,0.0,0.0
2010-02-17,18.6,18.78,18.42,18.7,18.34,1148200,0.0,0.0
2010-02-18,18.56,18.98,18.38,18.89,18.53,808000,0.0,0.0
2010-02-19,18.71,19.13,18.7,18.97,18.61,694500,0.0,0.0
2010-02-22,18.97,18.98,18.54,18.7,18.34,895700,0.0,0.0
2010-02-23,18.59,18.7,18.06,18.21,17.86,1439700,0.0,0.0
2010-02-24,18.37,18.82,18.23,18.76,18.4,978400,0.0,0.0
2010-02-25,18.42,18.79,18.28,18.71,18.35,436000,0.0,0.0
2010-02-26,18.78,19.18,18.69,19.12,18.75,573600,0.0,0.0
2010-03-01,19.21,19.68,18.92,19.57,19.19,656600,0.0,0.0
2010-03-02,19.64,20.07,19.64,20.0,19.62,1204800,0.0,0.0
2010-03-03,20.39,20.8,19.96,20.03,19.65,2244400,0.0,0.0
2010-03-04,20.55,20.55,19.74,19.9,19.52,1836100,0.0,0.0
2010-03-05,20.13,20.13,19.64,19.95,19.57,1775900,0.0,0.0
2010-03-08,19.88,20.04,19.83,20.0,19.62,1368000,0.0,0.0
2010-03-09,20.27,20.27,19.79,19.9,19.52,4290200,0.0,0.0
2010-03-10,19.87,20.98,19.87,20.96,20.56,2402400,0.0,0.0
2010-03-11,20.97,20.97,20.27,20.77,20.37,1647700,0.0,0.0
2010-03-12,20.73,20.88,20.6,20.84,20.44,915500,0.0,0.0
2010-03-15,20.88,20.88,20.27,20.76,20.36,1065200,0.0,0.0
2010-03-16,20.89,21.37,20.74,21.31,20.9,1717400,0.0,0.0
2010-03-17,21.38,21.78,21.21,21.3,20.89,1010800,0.0,0.0
2010-03-18,21.38,21.64,21.15,21.54,21.13,932600,0.0,0.0
2010-03-19,22.4,22.97,22.01,22.4,21.97,4283200,0.0,0.0
2010-03-22,22.27,22.69,22.22,22.63,22.2,1344300,0.0,0.0
2010-03-23,22.64,23.06,22.42,22.95,22.51,1271100,0.0,0.0
2010-03-24,22.87,23.03,22.64,22.82,22.38,820300,0.0,0.0
2010-03-25,23.0,23.57,22.63,22.63,22.2,1115800,0.0,0.0
2010-03-26,22.82,23.19,22.49,22.72,22.28,1650500,0.0,0.0
2010-03-29,22.96,23.44,22.96,23.4,22.95,791900,0.0,0.0
2010-03-30,23.4,23.56,23.25,23.4,22.95,649400,0.0,0.0
2010-03-31,23.26,23.51,23.19,23.38,22.93,760200,0.0,0.0
2010-04-01,23.55,23.7,23.44,23.69,23.24,1054000,0.0,0.0
2010-04-05,23.76,23.76,23.09,23.57,23.12,1604200,0.0,0.0
2010-04-06,23.53,23.6,22.85,23.05,22.61,1182400,0.0,0.0
2010-04-07,23.1,23.17,22.7,22.93,22.49,1169500,0.0,0.0
2010-04-08,22.77,23.17,22.6,23.07,22.63,758500,0.0,0.0
2010-04-09,23.24,23.6,23.05,23.44,22.99,633900,0.0,0.0
2010-04-12,23.57,23.71,23.29,23.39,22.94,520800,0.0,0.0
2010-04-13,23.3,23.47,22.95,23.33,22.88,683600,0.0,0.0
2010-04-14,23.4,23.4,22.41,22.89,22.45,1879300,0.0,0.0
2010-04-15,22.89,23.19,22.63,22.95,22.51,894300,0.0,0.0
2010-04-16,22.77,22.86,22.05,22.51,22.08,1044000,0.0,0.0
2010-04-19,22.37,22.73,22.15,22.41,21.98,704300,0.0,0.0
2010-04-20,22.54,23.04,22.52,22.97,22.53,656200,0.0,0.0
2010-04-21,23.0,23.39,22.68,23.14,22.7,1283800,0.0,0.0
2010-04-22,22.88,23.66,22.84,23.61,23.16,926600,0.0,0.0
2010-04-23,23.51,23.62,23.1,23.42,22.97,769900,0.0,0.0
2010-04-26,23.47,24.0,23.46,23.88,23.42,1345600,0.0,0.0
2010-04-27,23.7,24.0,23.1,23.25,22.8,894800,0.0,0.0
2010-04-28,23.48,23.55,22.69,23.4,22.95,1666400,0.0,0.0
2010-04-29,23.22,23.22,21.87,22.2,21.77,2012000,0.0,0.0
2010-04-30,23.01,23.2,22.08,22.17,21.74,1196200,0.0,0.0
2010-05-03,22.23,22.61,21.99,22.48,22.05,972200,0.0,0.0
2010-05-04,22.12,22.12,20.87,21.07,20.67,1278100,0.0,0.0
2010-05-05,20.56,21.23,20.46,20.98,20.58,1050700,0.0,0.0
2010-05-06,20.87,21.42,19.5,20.4,20.01,1625800,0.0,0.0
2010-05-07,20.32,20.64,19.51,19.96,19.58,1256200,0.0,0.0
2010-05-10,21.09,21.47,20.79,21.39,20.98,1366300,0.0,0.0
2010-05-11,21.2,22.13,21.04,21.94,21.52,1470300,0.0,0.0
2010-05-12,22.01,22.57,22.01,22.43,22.0,1268300,0.0,0.0
2010-05-13,22.49,22.8,22.29,22.53,22.1,780000,0.0,0.0
2010-05-14,22.27,22.31,21.5,21.76,21.34,919900,0.0,0.0
2010-05-17,21.8,21.95,21.0,21.75,21.33,895100,0.0,0.0
2010-05-18,21.91,22.03,21.04,21.14,20.73,945100,0.0,0.0
2010-05-19,21.08,21.14,20.31,20.74,20.34,871500,0.0,0.0
2010-05-20,20.02,20.13,18.62,18.94,18.58,2541700,0.0,0.0
2010-05-21,18.46,19.44,18.34,19.29,18.92,1893600,0.0,0.0
2010-05-24,19.23,19.61,19.11,19.12,18.75,640600,0.0,0.0
2010-05-25,18.42,18.78,18.32,18.73,18.37,1294300,0.0,0.0
2010-05-26,18.88,19.69,18.86,18.93,18.57,1323700,0.0,0.0
2010-05-27,19.5,19.9,19.5,19.8,19.42,1674400,0.0,0.0
2010-05-28,19.91,19.91,19.28,19.48,19.11,987000,0.0,0.0
2010-06-01,19.09,19.55,18.59,18.6,18.24,982600,0.0,0.0
2010-06-02,18.68,19.13,18.48,19.13,18.76,655800,0.0,0.0
2010-06-03,19.28,19.46,18.9,19.13,18.76,861200,0.0,0.0
2010-06-04,18.56,18.84,18.1,18.17,17.82,823200,0.0,0.0
2010-06-07,18.17,18.22,17.25,17.26,16.93,976700,0.0,0.0
2010-06-08,17.21,17.66,17.07,17.57,17.23,1219100,0.0,0.0
2010-06-09,17.68,18.4,17.68,18.15,17.8,1288200,0.0,0.0
2010-06-10,18.54,18.67,18.16,18.55,18.19,784400,0.0,0.0
2010-06-11,18.19,18.87,18.19,18.75,18.39,657100,0.0,0.0
2010-06-14,19.0,19.59,18.85,19.22,18.85,1271500,0.0,0.0
2010-06-15,19.47,20.04,19.36,20.02,19.64,1608100,0.0,0.0
2010-06-16,19.79,20.3,19.66,20.18,19.79,1601900,0.0,0.0
2010-06-17,20.36,20.5,19.98,20.4,20.01,975000,0.0,0.0
2010-06-18,20.43,20.71,20.37,20.67,20.27,862000,0.0,0.0
2010-06-21,20.97,21.31,20.56,20.71,20.31,1410300,0.0,0.0
2010-06-22,20.76,20.95,20.41,20.71,20.31,1910400,0.0,0.0
2010-06-23,20.72,20.84,20.35,20.64,20.24,953400,0.0,0.0
2010-06-24,20.48,20.84,20.28,20.38,19.99,811500,0.0,0.0
2010-06-25,20.51,20.56,20.0,20.38,19.99,1180900,0.0,0.0
2010-06-28,20.5,20.78,20.18,20.24,19.85,782400,0.0,0.0
2010-06-29,19.9,19.9,18.63,18.76,18.4,1142400,0.0,0.0
2010-06-30,18.74,19.31,18.57,19.06,18.69,1146800,0.0,0.0
2010-07-01,19.02,19.15,18.37,19.08,18.71,1376000,0.0,0.0
2010-07-02,19.19,19.29,18.43,18.57,18.21,706200,0.0,0.0
2010-07-06,18.77,19.48,18.6,18.8,18.44,991500,0.0,0.0
2010-07-07,19.33,20.44,19.26,20.36,19.97,1588900,0.0,0.0
2010-07-08,20.55,20.88,20.35,20.83,20.43,812300,0.0,0.0
2010-07-09,20.87,21.18,20.8,21.12,20.71,673700,0.0,0.0
2010-07-12,20.97,21.08,20.14,20.23,19.84,706800,0.0,0.0
2010-07-13,20.48,21.17,20.48,20.78,20.38,1080600,0.0,0.0
2010-07-14,20.62,20.96,20.59,20.69,20.29,1093900,0.0,0.0
2010-07-15,20.71,20.76,19.86,20.23,19.84,1399600,0.0,0.0
2010-07-16,20.03,20.04,19.5,19.52,19.15,706600,0.0,0.0
2010-07-19,19.73,19.95,19.47,19.8,19.42,533900,0.0,0.0
2010-07-20,19.44,19.94,19.19,19.91,19.53,698200,0.0,0.0
2010-07-21,19.95,20.01,19.36,19.61,19.23,1090200,0.0,0.0
2010-07-22,19.95,20.35,19.72,20.13,19.74,1638800,0.0,0.0
2010-07-23,20.31,20.77,20.12,20.64,20.24,977300,0.0,0.0
2010-07-26,20.72,21.32,20.5,21.0,20.6,1242600,0.0,0.0
2010-07-27,21.03,21.26,20.47,20.73,20.33,951500,0.0,0.0
2010-07-28,20.6,20.74,20.38,20.49,20.1,640700,0.0,0.0
2010-07-29,20.85,20.96,20.05,20.31,19.92,871900,0.0,0.0
2010-07-30,19.77,20.68,19.77,20.35,19.96,1178400,0.0,0.0
2010-08-02,20.64,21.18,20.35,21.1,20.7,1940400,0.0,0.0
2010-08-03,20.89,22.43,20.62,21.53,21.12,2545200,0.0,0.0
2010-08-04,21.78,21.91,21.43,21.51,21.1,1198300,0.0,0.0
2010-08-05,21.23,21.57,21.1,21.5,21.09,693200,0.0,0.0
2010-08-06,21.18,21.39,20.89,21.37,20.96,509100,0.0,0.0
2010-08-09,21.6,21.72,21.23,21.37,20.96,765200,0.0,0.0
2010-08-10,21.04,21.27,20.77,21.09,20.69,685400,0.0,0.0
2010-08-11,20.72,20.77,19.9,20.17,19.78,1056800,0.0,0.0
2010-08-12,19.7,20.01,19.57,19.77,19.39,1248500,0.0,0.0
2010-08-13,19.84,20.18,19.66,19.95,19.57,1340300,0.0,0.0
2010-08-16,19.81,20.14,19.66,19.96,19.58,888400,0.0,0.0
2010-08-17,20.09,20.44,19.96,20.3,19.91,1605300,0.0,0.0
2010-08-18,20.3,20.66,20.08,20.48,20.09,897200,0.0,0.0
2010-08-19,20.22,20.41,19.82,19.9,19.52,844700,0.0,0.0
2010-08-20,19.81,19.85,19.44,19.71,19.33,921100,0.0,0.0
2010-08-23,19.91,20.04,19.46,19.5,19.13,954800,0.0,0.0
2010-08-24,19.11,19.25,18.68,18.74,18.38,1161200,0.0,0.0
2010-08-25,18.54,19.09,18.33,19.0,18.64,1432700,0.0,0.0
2010-08-26,19.2,19.49,19.0,19.01,18.65,990600,0.0,0.0
2010-08-27,19.21,20.0,18.84,19.9,19.52,1560100,0.0,0.0
2010-08-30,19.87,20.09,19.59,19.6,19.22,998200,0.0,0.0
2010-08-31,19.47,19.73,19.2,19.34,18.97,963300,0.0,0.0
2010-09-01,19.69,20.01,19.63,19.97,19.59,1616800,0.0,0.0
