Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,13.87,14.35,13.87,14.21,13.08,1766300,0.0,0.0
2010-01-05,13.78,14.03,13.49,14.0,12.89,3856600,0.0,0.0
2010-01-06,13.95,14.24,13.93,14.17,13.04,2481800,0.0,0.0
2010-01-07,14.65,14.88,14.54,14.86,13.68,4000300,0.0,0.0
2010-01-08,14.81,15.34,14.81,15.24,14.03,2979800,0.0,0.0
2010-01-11,15.21,15.61,15.15,15.58,14.34,3987600,0.0,0.0
2010-01-12,15.45,15.61,15.4,15.58,14.34,3017900,0.0,0.0
2010-01-13,15.55,15.59,15.13,15.55,14.31,2940500,0.0,0.0
2010-01-14,15.44,15.58,15.24,15.41,14.18,1939000,0.0,0.0
2010-01-15,15.38,15.46,15.24,15.28,14.07,2055300,0.0,0.0
2010-01-19,15.34,15.59,15.31,15.45,14.22,2477900,0.0,0.0
2010-01-20,14.58,14.86,14.35,14.71,13.54,16290600,0.0,0.0
2010-01-21,14.75,14.8,14.42,14.43,13.28,6917400,0.0,0.0
2010-01-22,14.39,14.42,14.17,14.29,13.15,4990700,0.0,0.0
2010-01-25,14.45,14.53,14.09,14.21,13.08,2688700,0.0,0.0
2010-01-26,14.21,14.28,13.93,14.2,13.07,4779800,0.0,0.0
2010-01-27,14.13,14.19,13.83,14.01,12.89,3641400,0.0,0.0
2010-01-28,14.03,14.03,13.52,13.77,12.68,2723700,0.0,0.0
2010-01-29,13.8,13.91,13.68,13.71,12.62,4277500,0.0,0.0
2010-02-01,13.78,14.0,13.76,13.99,12.87,2559300,0.0,0.0
2010-02-02,14.04,14.47,14.02,14.46,13.31,2380600,0.0,0.0
2010-02-03,14.41,14.56,14.16,14.21,13.08,1895300,0.0,0.0
2010-02-04,14.06,14.06,13.68,13.81,12.71,3657600,0.0,0.0
2010-02-05,13.83,13.88,13.38,13.78,12.69,3710800,0.0,0.0
2010-02-08,13.84,14.04,13.55,13.64,12.55,2652200,0.0,0.0
2010-02-09,13.84,14.07,13.76,13.98,12.87,2325800,0.0,0.0
2010-02-10,13.97,14.28,13.92,14.13,13.0,3138600,0.0,0.0
2010-02-11,14.36,14.36,14.03,14.24,13.11,2777300,0.0,0.0
2010-02-12,14.03,14.3,13.89,14.28,13.14,2685500,0.0,0.0
2010-02-16,14.4,14.68,14.29,14.68,13.51,2007300,0.0,0.0
2010-02-17,14.73,15.03,14.72,14.91,13.72,1746400,0.0,0.0
2010-02-18,14.87,15.12,14.85,14.99,13.79,1702700,0.0,0.0
2010-02-19,14.98,15.26,14.98,15.19,13.98,3286000,0.0,0.0
2010-02-22,15.28,15.57,15.12,15.52,14.28,3411400,0.0,0.0
2010-02-23,15.4,15.55,15.17,15.29,14.08,3479300,0.0,0.0
2010-02-24,15.25,15.58,15.18,15.42,14.19,4587600,0.0,0.0
2010-02-25,14.79,15.15,14.67,15.0,13.81,7189400,0.0,0.0
2010-02-26,14.99,15.22,14.89,14.98,13.79,3658400,0.0,0.0
2010-03-01,15.07,15.48,14.93,15.39,14.16,2836000,0.0,0.0
2010-03-02,15.47,15.52,15.33,15.39,14.17,2120100,0.0,0.0
2010-03-03,15.46,15.61,15.45,15.49,14.26,1580800,0.0,0.0
2010-03-04,15.49,15.64,15.47,15.5,14.27,2229300,0.0,0.0
