Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,6.03,6.09,6.0,6.09,45200,0.0,0
2010-01-05,6.09,6.09,6.04,6.04,39400,0.0,0
2010-01-06,6.05,6.05,6.01,6.03,43800,0.0,0
2010-01-07,6.03,6.03,5.98,6.03,89900,0.0,0
2010-01-08,6.02,6.07,5.98,6.07,51100,0.0,0
2010-01-11,6.06,6.09,6.03,6.05,40700,0.0,0
2010-01-12,5.98,6.03,5.97,5.98,53300,0.0,0
2010-01-13,6.0,6.03,5.98,6.03,53100,0.0,0
2010-01-14,5.99,6.04,5.99,6.04,44000,0.0,0
2010-01-15,5.99,6.03,5.98,5.99,42600,0.0,0
2010-01-19,5.98,6.05,5.98,6.05,26400,0.0,0
2010-01-20,6.04,6.04,5.97,6.02,51700,0.0,0
2010-01-21,6.0,6.02,5.94,5.98,58100,0.0,0
2010-01-22,5.92,5.97,5.87,5.87,44900,0.0,0
2010-01-25,5.93,5.93,5.87,5.88,50300,0.0,0
2010-01-26,5.84,5.93,5.84,5.89,52600,0.0,0
2010-01-27,5.87,5.88,5.76,5.8,78500,0.0,0
2010-01-28,5.77,5.84,5.73,5.76,76300,0.0,0
2010-01-29,5.8,5.83,5.72,5.73,76700,0.0,0
2010-02-01,5.72,5.81,5.72,5.81,34500,0.0,0
2010-02-02,5.79,5.89,5.79,5.88,19700,0.0,0
2010-02-03,5.92,5.92,5.87,5.9,41300,0.0,0
2010-02-04,5.85,5.88,5.75,5.75,41900,0.0,0
2010-02-05,5.69,5.71,5.59,5.69,103700,0.0,0
2010-02-08,5.65,5.71,5.65,5.69,27500,0.0,0
2010-02-09,5.68,5.74,5.67,5.73,37000,0.0,0
2010-02-10,5.75,5.77,5.71,5.73,42200,0.0,0
2010-02-11,5.73,5.8,5.73,5.79,43600,0.0,0
2010-02-12,5.76,5.81,5.75,5.81,41200,0.0,0
2010-02-16,5.87,5.92,5.82,5.92,37500,0.0,0
2010-02-17,5.93,5.98,5.93,5.95,33900,0.0,0
2010-02-18,5.93,5.96,5.89,5.94,73400,0.0,0
2010-02-19,5.93,5.99,5.91,5.95,45600,0.0,0
2010-02-22,5.98,6.01,5.96,5.98,77400,0.0,0
2010-02-23,5.99,6.0,5.94,5.97,49700,0.0,0
2010-02-24,6.0,6.03,5.98,6.03,53000,0.0,0
2010-02-25,5.98,5.99,5.95,5.99,42300,0.0,0
2010-02-26,5.99,6.09,5.99,6.09,87000,0.0,0
2010-03-01,6.07,6.09,6.05,6.08,60300,0.0,0
2010-03-02,6.09,6.1,6.07,6.09,53900,0.0,0
2010-03-03,6.1,6.12,6.08,6.1,38800,0.0,0
2010-03-04,6.08,6.13,6.08,6.11,68000,0.0,0
2010-03-05,6.12,6.2,6.12,6.2,67400,0.0,0
2010-03-08,6.18,6.18,6.16,6.17,41400,0.0,0
2010-03-09,6.19,6.22,6.15,6.22,74700,0.0,0
2010-03-10,6.21,6.25,6.21,6.23,64600,0.0,0
2010-03-11,6.29,6.29,6.21,6.28,74500,0.28,0
2010-03-12,6.28,6.3,6.26,6.26,33200,0.0,0
2010-03-15,6.24,6.29,6.2,6.24,79100,0.0,0
2010-03-16,6.24,6.35,6.24,6.35,114000,0.0,0
2010-03-17,6.35,6.39,6.34,6.39,50000,0.0,0
2010-03-18,6.36,6.39,6.34,6.36,33900,0.0,0
2010-03-19,6.32,6.38,6.32,6.32,50100,0.0,0
2010-03-22,6.29,6.38,6.29,6.38,36900,0.0,0
2010-03-23,6.36,6.44,6.36,6.42,61500,0.0,0
2010-03-24,6.37,6.4,6.37,6.37,55500,0.0,0
2010-03-25,6.38,6.45,6.38,6.45,57300,0.0,0
2010-03-26,6.49,6.54,6.44,6.49,99300,0.0,0
2010-03-29,6.49,6.49,6.38,6.42,84800,0.0,0
2010-03-30,6.41,6.48,6.38,6.44,62200,0.0,0
2010-03-31,6.43,6.5,6.43,6.48,79900,0.0,0
2010-04-01,6.5,6.52,6.49,6.52,36200,0.0,0
2010-04-05,6.46,6.54,6.46,6.53,48600,0.0,0
2010-04-06,6.46,6.56,6.46,6.51,81500,0.0,0
2010-04-07,6.5,6.52,6.44,6.46,61200,0.0,0
2010-04-08,6.4,6.46,6.33,6.41,104000,0.0,0
2010-04-09,6.43,6.46,6.41,6.45,36200,0.0,0
2010-04-12,6.49,6.49,6.44,6.46,39500,0.0,0
