Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-01,9.81,9.81,9.81,9.81,500000,0,0
2019-10-02,9.82,9.82,9.81,9.81,205100,0,0
2019-10-03,9.81,9.81,9.81,9.81,10000,0,0
2019-10-04,9.81,9.81,9.81,9.81,0,0,0
2019-10-07,9.81,9.81,9.81,9.81,0,0,0
2019-10-08,9.9,9.9,9.9,9.9,7900,0,0
2019-10-09,9.87,9.87,9.8,9.85,501100,0,0
2019-10-10,9.86,9.86,9.86,9.86,1000,0,0
2019-10-11,9.86,9.86,9.86,9.86,0,0,0
2019-10-14,9.8,9.85,9.8,9.85,200,0,0
2019-10-15,9.85,9.85,9.85,9.85,100,0,0
2019-10-16,9.85,9.86,9.85,9.86,28300,0,0
2019-10-17,9.86,9.86,9.86,9.86,200,0,0
2019-10-18,9.83,9.85,9.82,9.85,250100,0,0
2019-10-21,9.85,9.85,9.85,9.85,100,0,0
2019-10-22,9.85,9.85,9.85,9.85,100,0,0
2019-10-23,9.82,9.82,9.82,9.82,300100,0,0
2019-10-24,9.83,9.85,9.82,9.85,625300,0,0
2019-10-25,9.87,9.87,9.82,9.84,806100,0,0
2019-10-28,9.85,9.85,9.85,9.85,5700,0,0
2019-10-29,9.84,9.84,9.84,9.84,600100,0,0
2019-10-30,9.83,9.85,9.83,9.85,711700,0,0
2019-10-31,9.85,9.85,9.85,9.85,100,0,0
2019-11-01,9.83,9.87,9.83,9.84,81700,0,0
2019-11-04,9.84,9.84,9.84,9.84,100,0,0
2019-11-05,9.84,9.84,9.84,9.84,5000,0,0
2019-11-06,9.86,9.86,9.84,9.86,538700,0,0
2019-11-07,9.85,9.86,9.85,9.86,30500,0,0
2019-11-08,9.86,9.86,9.86,9.86,100,0,0
2019-11-11,9.83,9.87,9.83,9.86,109400,0,0
2019-11-12,9.84,9.84,9.84,9.84,1000,0,0
2019-11-13,9.85,9.86,9.84,9.86,1528100,0,0
2019-11-14,9.86,9.87,9.83,9.85,33100,0,0
2019-11-15,9.87,9.87,9.87,9.87,400,0,0
2019-11-18,9.85,9.9,9.83,9.9,528700,0,0
2019-11-19,9.9,9.9,9.9,9.9,100,0,0
2019-11-20,9.87,9.9,9.86,9.9,52700,0,0
2019-11-21,9.9,9.9,9.9,9.9,100,0,0
2019-11-22,9.9,9.9,9.9,9.9,100,0,0
2019-11-25,9.89,9.9,9.89,9.9,101200,0,0
2019-11-26,9.9,9.9,9.9,9.9,200,0,0
2019-11-27,9.9,9.9,9.9,9.9,0,0,0
2019-11-29,9.9,9.9,9.9,9.9,200,0,0
2019-12-02,9.89,9.91,9.89,9.91,400,0,0
2019-12-03,9.9,9.91,9.87,9.91,9500,0,0
2019-12-04,9.9,9.91,9.87,9.87,406100,0,0
2019-12-05,9.89,9.89,9.89,9.89,500,0,0
2019-12-06,9.89,9.91,9.89,9.9,4200,0,0
2019-12-09,9.9,9.9,9.9,9.9,0,0,0
2019-12-10,9.87,9.89,9.83,9.83,13200,0,0
2019-12-11,9.83,9.83,9.83,9.83,0,0,0
2019-12-12,9.9,9.92,9.9,9.9,4200,0,0
2019-12-13,9.88,10.01,9.88,9.93,56700,0,0
2019-12-16,9.91,9.95,9.91,9.95,77200,0,0
2019-12-17,9.92,9.94,9.91,9.92,255800,0,0
2019-12-18,9.96,9.97,9.91,9.91,87300,0,0
2019-12-19,9.93,9.94,9.91,9.94,104700,0,0
2019-12-20,9.95,9.95,9.94,9.94,1400,0,0
2019-12-23,10.07,10.07,9.91,9.92,2900,0,0
2019-12-24,9.92,9.92,9.92,9.92,0,0,0
2019-12-26,10.1,10.1,9.91,9.92,52300,0,0
2019-12-27,10.54,10.54,9.91,9.95,2700,0,0
2019-12-30,9.94,9.94,9.91,9.91,700,0,0
2019-12-31,9.92,9.94,9.91,9.91,12400,0,0
