Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,17.3,17.57,17.06,17.24,12.93,98700,0.0,0
2010-01-05,17.24,17.31,15.9,16.4,12.3,249300,0.0,0
2010-01-06,16.42,16.65,15.82,15.89,11.92,353700,0.0,0
2010-01-07,16.0,16.84,15.99,16.79,12.59,117500,0.0,0
2010-01-08,16.77,17.0,16.75,16.98,12.73,106600,0.0,0
2010-01-11,17.0,17.13,16.47,16.61,12.46,70500,0.0,0
2010-01-12,16.55,16.77,16.29,16.55,12.41,100500,0.0,0
2010-01-13,16.59,17.03,16.47,16.94,12.7,124300,0.0,0
2010-01-14,16.82,17.88,16.81,17.56,13.17,95500,0.0,0
2010-01-15,17.61,17.82,16.8,17.55,13.16,129500,0.0,0
2010-01-19,17.59,18.12,17.59,18.11,13.58,136000,0.0,0
2010-01-20,18.05,18.21,17.11,18.15,13.61,236500,0.0,0
2010-01-21,18.17,19.41,18.07,19.13,14.35,275300,0.0,0
2010-01-22,19.0,19.42,18.21,19.04,14.28,272300,0.0,0
2010-01-25,19.32,19.4,18.23,18.26,13.69,213700,0.0,0
2010-01-26,18.24,18.73,17.83,17.88,13.41,155000,0.0,0
2010-01-27,17.85,18.63,17.57,18.54,13.9,158600,0.0,0
2010-01-28,18.5,19.34,17.86,18.04,13.64,182300,0.15,0
2010-01-29,18.08,18.56,17.52,17.52,13.25,215700,0.0,0
2010-02-01,17.65,18.06,17.65,17.82,13.47,140800,0.0,0
2010-02-02,17.78,18.08,17.51,17.55,13.27,138000,0.0,0
2010-02-03,17.52,17.52,16.64,16.8,12.7,135000,0.0,0
2010-02-04,16.7,16.72,15.77,16.21,12.25,207600,0.0,0
2010-02-05,16.21,16.93,15.75,16.4,12.4,138200,0.0,0
2010-02-08,16.31,16.47,15.92,16.15,12.21,100900,0.0,0
2010-02-09,16.37,16.56,16.1,16.22,12.26,84900,0.0,0
2010-02-10,16.13,16.67,15.95,16.56,12.52,69700,0.0,0
2010-02-11,16.47,16.64,16.21,16.44,12.43,72300,0.0,0
2010-02-12,16.29,16.53,16.17,16.39,12.39,74800,0.0,0
2010-02-16,16.5,16.7,16.23,16.7,12.63,45400,0.0,0
2010-02-17,16.8,17.08,16.2,16.59,12.54,69800,0.0,0
2010-02-18,16.62,17.0,16.54,16.95,12.81,49200,0.0,0
2010-02-19,16.95,17.28,16.92,17.12,12.94,63200,0.0,0
2010-02-22,17.23,17.56,17.1,17.5,13.23,49800,0.0,0
2010-02-23,17.5,17.64,17.18,17.45,13.19,78400,0.0,0
2010-02-24,17.49,18.13,17.21,17.93,13.56,85100,0.0,0
2010-02-25,17.72,18.01,17.61,18.01,13.62,62700,0.0,0
2010-02-26,18.08,18.08,17.21,17.72,13.4,106800,0.0,0
2010-03-01,17.83,18.17,17.72,17.86,13.5,112900,0.0,0
2010-03-02,17.99,18.0,17.65,17.84,13.49,98300,0.0,0
2010-03-03,17.97,17.97,17.55,17.73,13.4,95000,0.0,0
2010-03-04,17.72,17.92,17.49,17.91,13.54,58100,0.0,0
2010-03-05,17.98,18.77,17.94,18.77,14.19,115800,0.0,0
2010-03-08,18.8,19.11,18.7,19.02,14.38,122800,0.0,0
2010-03-09,18.91,19.33,18.9,19.07,14.42,65700,0.0,0
2010-03-10,19.06,19.75,19.06,19.32,14.61,96700,0.0,0
2010-03-11,19.2,19.71,19.03,19.69,14.89,60100,0.0,0
2010-03-12,19.74,19.74,19.15,19.38,14.65,67500,0.0,0
2010-03-15,19.36,19.49,19.07,19.48,14.73,49500,0.0,0
2010-03-16,19.53,19.77,19.35,19.77,14.95,46500,0.0,0
2010-03-17,19.76,20.41,19.76,20.29,15.34,106100,0.0,0
2010-03-18,20.27,21.5,20.12,20.8,15.72,123700,0.0,0
2010-03-19,20.9,21.24,20.55,21.24,16.06,298600,0.0,0
2010-03-22,21.04,21.56,20.99,21.53,16.28,162000,0.0,0
2010-03-23,21.47,21.57,20.9,21.52,16.27,77700,0.0,0
2010-03-24,21.47,21.63,21.09,21.17,16.0,69900,0.0,0
2010-03-25,21.27,22.22,21.14,21.22,16.04,80000,0.0,0
2010-03-26,21.29,21.53,20.86,20.94,15.83,125200,0.0,0
2010-03-29,21.03,21.15,20.75,20.92,15.82,73200,0.0,0
2010-03-30,20.9,21.11,20.75,21.01,15.88,57200,0.0,0
2010-03-31,20.86,21.33,20.86,20.9,15.8,128200,0.0,0
2010-04-01,20.96,21.14,20.83,21.14,15.98,73900,0.0,0
2010-04-05,21.18,21.38,20.97,21.16,16.0,59100,0.0,0
2010-04-06,21.06,21.61,21.05,21.43,16.2,115900,0.0,0
2010-04-07,21.33,21.85,21.2,21.34,16.13,67000,0.0,0
2010-04-08,21.18,21.52,21.02,21.26,16.07,78100,0.0,0
2010-04-09,21.31,21.65,21.15,21.39,16.17,48600,0.0,0
2010-04-12,21.43,21.81,21.24,21.71,16.41,54000,0.0,0
2010-04-13,21.71,21.79,21.33,21.64,16.36,78500,0.0,0
2010-04-14,21.77,22.55,21.75,22.46,16.98,59100,0.0,0
2010-04-15,22.44,23.01,22.35,22.75,17.2,64100,0.0,0
2010-04-16,22.73,22.73,22.0,22.25,16.82,105900,0.0,0
2010-04-19,22.19,22.69,21.77,22.53,17.03,138800,0.0,0
2010-04-20,22.6,23.19,22.6,23.17,17.52,87600,0.0,0
2010-04-21,23.06,24.36,23.06,24.29,18.36,199200,0.0,0
2010-04-22,24.04,25.56,24.02,25.25,19.09,175100,0.0,0
2010-04-23,25.3,25.84,24.62,25.62,19.37,110000,0.0,0
2010-04-26,25.66,25.81,24.9,24.98,18.89,84400,0.0,0
2010-04-27,24.91,25.25,24.51,24.62,18.61,122900,0.0,0
2010-04-28,24.71,24.99,24.35,24.46,18.61,64700,0.15,0
2010-04-29,24.59,25.25,24.26,25.17,19.15,165800,0.0,0
2010-04-30,25.22,25.22,24.04,24.05,18.29,157700,0.0,0
2010-05-03,24.13,24.53,23.74,23.87,18.16,164000,0.0,0
2010-05-04,23.55,23.61,22.0,22.13,16.83,185900,0.0,0
2010-05-05,22.04,22.6,21.74,22.49,17.11,165500,0.0,0
2010-05-06,22.37,23.18,20.85,21.73,16.53,142100,0.0,0
2010-05-07,21.7,22.67,20.86,21.02,15.99,128600,0.0,0
2010-05-10,22.02,22.97,21.12,22.23,16.91,156500,0.0,0
2010-05-11,21.98,23.37,21.73,22.87,17.4,150100,0.0,0
2010-05-12,23.02,24.01,22.87,23.82,18.12,124900,0.0,0
2010-05-13,23.65,23.98,23.44,23.53,17.9,86700,0.0,0
2010-05-14,23.37,23.4,22.64,22.87,17.4,85400,0.0,0
2010-05-17,23.0,23.44,22.67,23.16,17.62,89400,0.0,0
2010-05-18,23.48,23.55,22.37,22.63,17.21,92600,0.0,0
2010-05-19,22.57,23.1,21.99,22.35,17.0,131100,0.0,0
2010-05-20,21.92,22.22,21.16,21.27,16.18,183100,0.0,0
2010-05-21,21.07,21.87,20.88,21.55,16.39,138400,0.0,0
2010-05-24,21.5,21.5,20.85,20.99,15.97,84800,0.0,0
2010-05-25,20.76,21.32,20.46,21.29,16.19,237600,0.0,0
2010-05-26,21.58,21.86,21.01,21.08,16.03,161900,0.0,0
2010-05-27,21.6,22.02,21.24,21.95,16.7,91400,0.0,0
2010-05-28,21.89,22.02,21.16,21.57,16.41,103700,0.0,0
2010-06-01,21.43,21.67,21.07,21.09,16.04,127600,0.0,0
2010-06-02,21.17,22.09,20.92,22.07,16.79,200500,0.0,0
2010-06-03,22.0,22.36,21.62,21.68,16.49,201600,0.0,0
2010-06-04,21.22,21.27,20.21,20.29,15.43,189200,0.0,0
2010-06-07,20.34,20.5,19.98,20.01,15.22,104200,0.0,0
2010-06-08,20.05,20.16,19.55,20.08,15.27,128800,0.0,0
2010-06-09,20.25,20.39,19.52,19.62,14.92,110800,0.0,0
2010-06-10,19.98,20.21,19.68,20.15,15.33,98100,0.0,0
2010-06-11,19.94,20.48,19.72,20.46,15.56,102100,0.0,0
2010-06-14,20.56,21.02,20.29,20.58,15.65,170100,0.0,0
2010-06-15,20.84,21.15,20.46,21.06,16.02,114200,0.0,0
2010-06-16,20.9,21.32,20.78,21.14,16.08,66700,0.0,0
2010-06-17,21.25,21.31,20.91,21.22,16.14,55400,0.0,0
2010-06-18,21.38,21.4,20.86,21.12,16.06,155400,0.0,0
2010-06-21,21.47,21.47,20.57,20.95,15.94,70300,0.0,0
2010-06-22,21.1,21.45,20.61,20.63,15.69,106100,0.0,0
2010-06-23,20.5,20.55,19.92,20.14,15.32,165800,0.0,0
2010-06-24,20.0,20.35,19.7,19.91,15.14,133800,0.0,0
2010-06-25,20.07,20.6,19.88,20.55,15.63,232900,0.0,0
2010-06-28,20.51,20.95,20.27,20.43,15.54,98100,0.0,0
2010-06-29,20.11,20.13,19.57,19.72,15.0,133400,0.0,0
2010-06-30,19.68,20.0,19.66,19.76,15.03,195500,0.0,0
2010-07-01,19.75,20.06,19.15,19.65,14.95,120200,0.0,0
2010-07-02,19.79,19.9,19.45,19.57,14.89,60900,0.0,0
2010-07-06,19.84,20.16,19.12,19.43,14.78,109100,0.0,0
2010-07-07,19.5,20.42,19.37,20.39,15.51,167900,0.0,0
2010-07-08,20.55,21.0,20.27,20.89,15.89,78500,0.0,0
2010-07-09,20.84,21.36,20.67,21.31,16.21,53700,0.0,0
2010-07-12,21.17,21.43,20.77,21.03,16.0,65000,0.0,0
2010-07-13,21.35,22.29,21.16,22.25,16.92,127500,0.0,0
2010-07-14,22.06,22.21,21.48,21.82,16.6,87700,0.0,0
2010-07-15,21.72,21.77,21.07,21.53,16.38,104200,0.0,0
2010-07-16,21.34,21.34,20.37,20.57,15.65,149500,0.0,0
2010-07-19,20.57,20.57,19.64,19.88,15.12,151300,0.0,0
2010-07-20,19.64,19.76,18.93,19.3,14.68,142300,0.0,0
2010-07-21,19.36,19.37,18.72,18.73,14.25,195500,0.0,0
2010-07-22,18.98,19.55,18.74,19.5,14.83,111600,0.0,0
2010-07-23,19.45,19.98,19.01,19.77,15.04,107100,0.0,0
2010-07-26,19.89,20.58,19.67,20.55,15.63,95400,0.0,0
2010-07-27,20.76,21.0,20.56,20.74,15.78,288900,0.0,0
2010-07-28,20.62,20.77,20.17,20.55,15.75,130600,0.15,0
2010-07-29,20.7,20.88,20.21,20.55,15.75,123700,0.0,0
2010-07-30,20.25,20.79,20.25,20.3,15.55,61000,0.0,0
2010-08-02,20.73,20.81,20.0,20.36,15.6,188400,0.0,0
2010-08-03,20.28,20.78,20.07,20.18,15.46,72000,0.0,0
2010-08-04,20.25,20.51,20.0,20.13,15.42,78100,0.0,0
2010-08-05,19.97,20.08,19.71,19.93,15.27,101800,0.0,0
2010-08-06,19.69,19.8,19.47,19.72,15.11,93400,0.0,0
2010-08-09,19.78,19.99,19.38,19.97,15.3,94900,0.0,0
2010-08-10,19.68,20.18,19.58,19.85,15.21,88000,0.0,0
2010-08-11,19.4,19.54,18.69,18.75,14.37,133000,0.0,0
2010-08-12,18.43,19.01,18.43,18.91,14.49,185200,0.0,0
2010-08-13,18.85,19.07,18.49,18.52,14.19,78700,0.0,0
2010-08-16,18.47,18.67,18.17,18.5,14.17,52800,0.0,0
2010-08-17,18.7,18.79,18.4,18.63,14.27,63200,0.0,0
2010-08-18,18.63,18.87,18.27,18.74,14.36,72000,0.0,0
2010-08-19,18.6,18.76,17.8,17.96,13.76,102300,0.0,0
2010-08-20,17.93,18.15,17.17,17.87,13.69,100300,0.0,0
2010-08-23,18.02,18.27,17.22,17.27,13.23,81500,0.0,0
2010-08-24,17.16,17.4,16.64,17.29,13.25,165900,0.0,0
2010-08-25,17.2,17.5,16.98,17.46,13.38,70900,0.0,0
2010-08-26,17.6,17.83,17.12,17.21,13.19,68700,0.0,0
2010-08-27,17.39,17.85,17.14,17.8,13.64,102800,0.0,0
2010-08-30,17.66,17.66,16.84,16.87,12.93,99600,0.0,0
2010-08-31,17.03,17.51,16.93,16.97,13.0,227500,0.0,0
2010-09-01,17.27,17.71,17.11,17.69,13.55,120100,0.0,0
2010-09-02,17.6,17.8,17.1,17.44,13.36,85700,0.0,0
2010-09-03,17.63,17.89,17.57,17.87,13.69,60200,0.0,0
2010-09-07,17.76,17.76,17.02,17.06,13.07,62100,0.0,0
2010-09-08,17.06,17.51,17.02,17.35,13.29,51800,0.0,0
2010-09-09,17.52,17.79,17.23,17.44,13.36,38600,0.0,0
2010-09-10,17.46,17.72,17.05,17.27,13.23,77200,0.0,0
2010-09-13,17.47,18.0,17.47,17.9,13.71,74000,0.0,0
2010-09-14,17.81,17.84,17.4,17.44,13.36,83800,0.0,0
2010-09-15,17.39,17.57,17.27,17.36,13.3,51500,0.0,0
2010-09-16,17.28,17.36,16.89,17.1,13.1,44900,0.0,0
2010-09-17,17.33,17.52,16.9,17.26,13.22,133300,0.0,0
2010-09-20,17.29,18.12,17.03,18.09,13.86,71300,0.0,0
