Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-10-07,11.0,12.0,10.9,11.9,10.16,1139500,0.0,0
2010-10-08,11.9,11.98,11.75,11.89,10.15,53600,0.0,0
2010-10-11,11.99,11.99,11.86,11.9,10.16,32100,0.0,0
2010-10-12,11.89,11.89,11.81,11.85,10.12,29500,0.0,0
2010-10-13,11.87,11.88,11.82,11.85,10.12,51600,0.0,0
2010-10-14,11.85,11.89,11.8,11.89,10.15,74000,0.0,0
2010-10-15,11.9,11.95,11.85,11.95,10.2,12400,0.0,0
2010-10-18,11.9,12.18,11.9,12.15,10.37,107600,0.0,0
2010-10-19,12.1,12.19,12.07,12.19,10.41,32000,0.0,0
2010-10-20,12.2,12.25,12.07,12.25,10.46,28900,0.0,0
2010-10-21,12.3,12.3,12.18,12.18,10.4,23500,0.0,0
2010-10-22,12.25,12.35,12.25,12.35,10.55,10700,0.0,0
2010-10-25,12.3,12.3,12.24,12.25,10.46,3800,0.0,0
2010-10-26,12.19,12.19,12.19,12.19,10.41,23000,0.0,0
2010-10-27,12.15,12.25,12.15,12.21,10.43,24400,0.0,0
2010-10-28,12.24,12.6,12.24,12.44,10.62,53400,0.0,0
2010-10-29,12.44,12.48,12.35,12.44,10.62,7300,0.0,0
2010-11-01,12.51,12.62,12.45,12.6,10.76,37000,0.0,0
2010-11-02,12.62,12.64,12.6,12.61,10.77,14100,0.0,0
2010-11-03,12.62,12.7,12.59,12.7,10.84,15100,0.0,0
2010-11-04,12.8,13.04,12.79,12.91,11.02,17400,0.0,0
2010-11-05,12.93,12.95,12.93,12.95,11.06,1400,0.0,0
2010-11-08,13.01,13.45,13.01,13.3,11.36,28300,0.0,0
2010-11-09,13.2,13.54,13.2,13.5,11.53,36900,0.0,0
2010-11-10,13.75,13.75,13.67,13.7,11.7,8400,0.0,0
2010-11-11,13.75,13.75,13.6,13.7,11.7,4700,0.0,0
2010-11-12,13.73,13.75,13.71,13.73,11.72,8000,0.0,0
2010-11-15,13.7,13.73,13.65,13.73,11.72,10700,0.0,0
2010-11-16,13.73,13.85,13.65,13.85,11.83,15900,0.0,0
2010-11-17,13.89,13.9,13.66,13.8,11.78,6100,0.0,0
2010-11-18,13.8,13.8,13.75,13.75,11.74,1600,0.0,0
2010-11-19,13.8,13.8,13.31,13.32,11.37,27700,0.0,0
2010-11-22,13.34,13.66,13.21,13.55,11.57,3300,0.0,0
2010-11-23,13.5,13.64,13.11,13.56,11.58,2200,0.0,0
2010-11-24,13.56,13.58,13.56,13.56,11.58,4100,0.0,0
2010-11-26,13.56,13.56,13.56,13.56,11.58,0,0.0,0
2010-11-29,13.6,13.6,13.44,13.59,11.6,4300,0.0,0
2010-11-30,13.69,13.7,13.52,13.65,11.66,11100,0.0,0
2010-12-01,13.65,13.7,13.52,13.68,11.68,12700,0.0,0
2010-12-02,13.69,13.69,13.52,13.68,11.68,6600,0.0,0
2010-12-03,13.64,13.64,13.62,13.63,11.64,2600,0.0,0
2010-12-06,13.51,13.64,13.5,13.64,11.65,3900,0.0,0
2010-12-07,13.65,13.66,13.6,13.6,11.61,6300,0.0,0
2010-12-08,13.61,13.64,13.51,13.51,11.54,10000,0.0,0
2010-12-09,13.58,13.58,13.24,13.37,11.42,11600,0.0,0
2010-12-10,13.59,13.59,13.35,13.51,11.54,3300,0.0,0
2010-12-13,13.3,13.39,13.3,13.39,11.43,200,0.0,0
2010-12-14,13.31,13.31,13.31,13.31,11.36,3000,0.0,0
2010-12-15,13.34,13.36,13.3,13.3,11.36,4600,0.0,0
2010-12-16,13.15,13.15,13.13,13.13,11.21,800,0.0,0
2010-12-17,13.11,13.11,13.0,13.0,11.1,2100,0.0,0
2010-12-20,13.0,13.0,12.7,12.92,11.03,13400,0.0,0
2010-12-21,12.81,13.26,12.5,13.25,11.31,15600,0.0,0
2010-12-22,13.22,13.4,13.22,13.4,11.44,6200,0.0,0
2010-12-23,13.55,13.6,13.55,13.6,11.61,1700,0.0,0
2010-12-27,13.7,13.75,13.64,13.75,11.74,18800,0.0,0
2010-12-28,13.8,13.8,13.8,13.8,11.78,1000,0.0,0
2010-12-29,13.8,13.94,13.8,13.94,11.9,1600,0.0,0
2010-12-30,13.94,13.94,13.94,13.94,11.9,0,0.0,0
2010-12-31,13.85,13.9,13.85,13.85,11.83,1200,0.0,0
2011-01-03,13.85,13.9,13.85,13.9,11.87,3200,0.0,0
2011-01-04,13.9,13.9,13.88,13.9,11.87,6400,0.0,0
2011-01-05,13.9,14.25,13.9,14.25,12.17,8200,0.0,0
2011-01-06,14.1,14.1,14.09,14.1,12.04,1800,0.0,0
2011-01-07,14.11,14.18,14.1,14.1,12.04,2700,0.0,0
2011-01-10,14.03,14.15,14.03,14.15,12.08,300,0.0,0
2011-01-11,14.03,14.03,14.03,14.03,11.98,300,0.0,0
2011-01-12,14.05,14.16,14.04,14.13,12.07,1700,0.0,0
2011-01-13,14.13,14.13,14.13,14.13,12.07,0,0.0,0
2011-01-14,14.09,14.1,13.95,13.95,11.91,9500,0.0,0
2011-01-18,14.15,14.15,13.81,13.81,11.79,1100,0.0,0
2011-01-19,14.16,14.26,14.02,14.2,12.12,2600,0.0,0
2011-01-20,14.14,14.14,13.85,13.95,11.91,11500,0.0,0
2011-01-21,13.94,14.2,13.94,14.2,12.12,2800,0.0,0
2011-01-24,14.2,14.22,14.03,14.22,12.14,2300,0.0,0
2011-01-25,14.13,14.13,14.02,14.02,11.97,5500,0.0,0
2011-01-26,14.14,14.26,14.14,14.26,12.18,300,0.0,0
2011-01-27,14.26,14.26,14.26,14.26,12.18,0,0.0,0
2011-01-28,14.13,14.13,14.13,14.13,12.07,100,0.0,0
2011-01-31,14.12,14.21,14.12,14.21,12.13,600,0.0,0
2011-02-01,14.21,14.21,14.21,14.21,12.13,0,0.0,0
2011-02-02,14.07,14.16,14.04,14.16,12.09,11000,0.0,0
2011-02-03,14.06,14.06,14.05,14.05,12.0,7800,0.0,0
2011-02-04,14.18,14.22,14.18,14.22,12.14,2100,0.0,0
2011-02-07,14.05,14.05,14.05,14.05,12.0,2500,0.0,0
2011-02-08,14.39,14.5,14.39,14.5,12.38,13000,0.0,0
2011-02-09,14.5,14.5,14.5,14.5,12.38,0,0.0,0
2011-02-10,14.7,14.8,14.55,14.65,12.51,4700,0.0,0
2011-02-11,14.5,14.57,14.5,14.57,12.44,1100,0.0,0
2011-02-14,14.8,14.93,14.65,14.8,12.64,2800,0.0,0
2011-02-15,14.89,14.9,14.89,14.9,12.72,1000,0.0,0
2011-02-16,14.91,14.92,14.78,14.9,12.72,3400,0.0,0
2011-02-17,14.9,14.9,14.9,14.9,12.72,0,0.0,0
2011-02-18,14.9,14.9,14.82,14.82,12.65,600,0.0,0
2011-02-22,14.67,14.72,14.66,14.72,12.57,600,0.0,0
2011-02-23,14.75,14.75,14.55,14.7,12.55,9500,0.0,0
2011-02-24,14.7,14.7,14.7,14.7,12.55,0,0.0,0
2011-02-25,14.64,14.67,14.53,14.67,12.53,7300,0.0,0
2011-02-28,14.75,14.75,14.5,14.63,12.49,5800,0.0,0
2011-03-01,14.57,14.86,14.57,14.62,12.48,5300,0.0,0
2011-03-02,14.65,14.65,14.6,14.62,12.48,21900,0.0,0
2011-03-03,14.45,14.7,14.45,14.62,12.48,7300,0.0,0
2011-03-04,14.8,14.81,14.8,14.81,12.65,300,0.0,0
2011-03-07,14.65,14.65,14.65,14.65,12.51,500,0.0,0
2011-03-08,14.76,14.76,14.76,14.76,12.6,5300,0.0,0
2011-03-09,14.85,14.85,14.84,14.84,12.67,1000,0.0,0
2011-03-10,14.78,14.8,14.78,14.8,12.64,10200,0.0,0
2011-03-11,14.8,14.83,14.77,14.81,12.65,3600,0.0,0
2011-03-14,14.84,14.85,14.8,14.8,12.64,1800,0.0,0
2011-03-15,14.76,14.81,14.75,14.81,12.65,1300,0.0,0
2011-03-16,14.92,14.92,14.92,14.92,12.74,100,0.0,0
2011-03-17,14.88,14.9,14.88,14.9,12.72,4200,0.0,0
2011-03-18,14.84,14.84,14.84,14.84,12.67,100,0.0,0
2011-03-21,14.85,14.85,14.81,14.85,12.68,5100,0.0,0
2011-03-22,14.77,14.89,14.77,14.89,12.71,2200,0.0,0
