Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-04-28,14.77,15.32,14.77,15.14,9000,0.0,0
2011-04-29,15.06,15.28,14.46,15.05,15000,0.0,0
2011-05-02,14.39,14.58,13.4,13.68,11000,0.0,0
2011-05-03,11.75,13.68,11.6,12.86,29000,0.0,0
2011-05-04,12.87,15.14,12.71,14.36,14600,0.0,0
2011-05-05,13.53,15.14,12.87,14.19,3400,0.0,0
2011-05-06,14.18,14.95,13.62,13.62,7100,0.0,0
2011-05-09,14.0,14.83,13.62,13.62,7900,0.0,0
2011-05-10,13.66,13.71,12.99,12.99,4800,0.0,0
2011-05-11,12.99,14.01,12.87,12.88,14200,0.0,0
2011-05-12,12.91,13.21,12.56,13.05,5900,0.0,0
2011-05-13,12.82,13.03,12.56,12.62,6500,0.0,0
2011-05-16,12.31,12.94,12.11,12.11,19000,0.0,0
2011-05-17,12.11,12.56,12.09,12.54,3900,0.0,0
2011-05-18,12.49,12.87,12.49,12.87,2700,0.0,0
2011-05-19,12.41,13.42,12.41,12.58,7400,0.0,0
2011-05-20,12.56,12.97,12.56,12.59,7300,0.0,0
2011-05-23,12.34,12.79,12.34,12.68,2600,0.0,0
2011-05-24,12.57,12.67,12.56,12.67,1000,0.0,0
2011-05-25,12.56,13.47,12.56,12.6,2500,0.0,0
2011-05-26,12.6,12.78,12.6,12.78,900,0.0,0
2011-05-27,12.6,13.46,12.57,12.59,2600,0.0,0
2011-05-31,12.34,13.24,12.34,12.87,7200,0.0,0
2011-06-01,12.38,12.53,12.37,12.49,700,0.0,0
2011-06-02,12.49,12.49,12.34,12.34,3300,0.0,0
2011-06-03,12.34,12.34,12.19,12.31,900,0.0,0
2011-06-06,12.19,12.25,12.19,12.19,1400,0.0,0
2011-06-07,12.19,12.32,12.15,12.19,1300,0.0,0
2011-06-08,12.15,12.34,12.15,12.34,1900,0.0,0
2011-06-09,12.15,12.17,12.13,12.13,2000,0.0,0
2011-06-10,12.15,12.31,11.94,12.18,1100,0.0,0
2011-06-13,11.94,11.94,11.09,11.42,11000,0.0,0
2011-06-14,10.69,12.19,10.69,11.68,8800,0.0,0
2011-06-15,11.45,11.45,11.07,11.36,500,0.0,0
2011-06-16,11.11,11.41,11.1,11.16,3200,0.0,0
2011-06-17,11.14,12.56,11.06,11.34,1200,0.0,0
2011-06-20,11.05,11.12,11.05,11.09,1800,0.0,0
2011-06-21,11.05,11.35,11.05,11.35,700,0.0,0
2011-06-22,11.35,11.35,11.1,11.1,1000,0.0,0
2011-06-23,11.05,11.05,10.78,10.88,4000,0.0,0
2011-06-24,11.65,11.66,10.87,10.87,500,0.0,0
2011-06-27,10.93,10.97,10.91,10.97,1500,0.0,0
2011-06-28,10.91,11.72,10.91,10.94,1300,0.0,0
2011-06-29,10.9,11.0,10.88,11.0,1100,0.0,0
2011-06-30,11.66,12.25,11.36,11.5,7900,0.0,0
2011-07-01,11.03,12.11,11.03,11.53,3400,0.0,0
2011-07-05,10.98,11.75,10.98,11.25,2100,0.0,0
2011-07-06,11.01,11.92,11.01,11.78,2600,0.0,0
2011-07-07,11.02,12.01,11.02,11.47,8400,0.0,0
2011-07-08,11.39,12.17,11.36,11.48,1900,0.0,0
2011-07-11,11.17,11.55,11.17,11.53,3800,0.0,0
2011-07-12,11.4,11.96,11.4,11.77,2100,0.0,0
2011-07-13,11.74,11.92,11.49,11.92,3500,0.0,0
2011-07-14,11.49,12.45,11.49,12.15,3900,0.0,0
2011-07-15,11.96,12.11,11.96,12.11,500,0.0,0
2011-07-18,12.3,12.83,11.77,12.53,8100,0.0,0
2011-07-19,12.12,12.87,12.12,12.58,8200,0.0,0
2011-07-20,12.56,12.56,11.59,12.18,9400,0.0,0
2011-07-21,11.59,12.48,11.59,12.12,1800,0.0,0
2011-07-22,11.82,11.87,11.64,11.81,1600,0.0,0
2011-07-25,11.59,12.56,11.59,12.31,5300,0.0,0
2011-07-26,11.93,12.53,11.93,12.31,2000,0.0,0
2011-07-27,12.13,12.26,11.92,12.12,7700,0.0,0
2011-07-28,12.0,12.51,11.96,12.05,6500,0.0,0
2011-07-29,11.73,12.22,11.66,11.83,5800,0.0,0
2011-08-01,11.95,12.26,11.58,11.89,4000,0.0,0
2011-08-02,11.84,12.29,11.58,11.75,14200,0.0,0
2011-08-03,11.62,12.03,11.62,11.81,3500,0.0,0
2011-08-04,12.5,12.5,11.6,11.9,6900,0.0,0
2011-08-05,11.58,11.92,11.58,11.92,2300,0.0,0
2011-08-08,11.59,11.92,11.0,11.0,10100,0.0,0
2011-08-09,10.98,11.16,10.98,10.98,2200,0.0,0
2011-08-10,10.98,12.49,10.98,12.49,7800,0.0,0
2011-08-11,13.57,14.38,12.56,13.82,33000,0.0,0
2011-08-12,13.93,13.93,13.67,13.68,1800,0.0,0
2011-08-15,13.59,13.59,12.84,13.37,6600,0.0,0
2011-08-16,12.12,12.76,12.12,12.64,1200,0.0,0
2011-08-17,12.37,13.05,12.35,12.58,2000,0.0,0
2011-08-18,12.35,12.68,12.34,12.68,1500,0.0,0
2011-08-19,12.26,12.59,12.26,12.56,2100,0.0,0
2011-08-22,12.26,13.06,12.26,12.27,1600,0.0,0
2011-08-23,12.26,12.53,12.26,12.53,800,0.0,0
2011-08-24,12.34,12.44,12.3,12.34,2900,0.0,0
2011-08-25,12.27,12.65,12.26,12.45,3800,0.0,0
2011-08-26,12.26,12.36,12.26,12.26,2400,0.0,0
2011-08-29,12.22,12.22,12.12,12.12,1000,0.0,0
2011-08-30,11.78,12.11,11.73,12.0,3100,0.0,0
2011-08-31,11.81,12.1,11.43,11.74,18700,0.0,0
2011-09-01,11.77,11.92,11.77,11.92,1900,0.0,0
2011-09-02,11.84,11.84,11.84,11.84,100,0.0,0
2011-09-06,11.43,12.13,11.43,11.93,9400,0.0,0
2011-09-07,12.16,12.28,11.99,12.15,3500,0.0,0
2011-09-08,12.03,12.28,12.0,12.0,4200,0.0,0
2011-09-09,11.9,11.9,11.43,11.43,2300,0.0,0
2011-09-12,11.35,11.39,11.35,11.37,700,0.0,0
2011-09-13,12.19,12.85,11.9,12.25,3200,0.0,0
2011-09-14,12.27,12.82,12.11,12.54,9100,0.0,0
2011-09-15,12.5,12.56,12.42,12.42,5300,0.0,0
2011-09-16,12.56,12.56,12.1,12.38,3500,0.0,0
2011-09-19,12.25,12.56,12.12,12.12,2200,0.0,0
2011-09-20,12.34,12.56,11.72,11.88,8500,0.0,0
2011-09-21,11.7,12.32,11.7,11.96,2000,0.0,0
2011-09-22,11.87,12.47,11.69,11.81,4800,0.0,0
2011-09-23,11.67,11.9,10.97,11.1,26900,0.0,0
2011-09-26,10.85,11.32,10.82,11.09,8000,0.0,0
2011-09-27,11.18,11.43,11.18,11.41,5600,0.0,0
2011-09-28,11.27,11.29,11.22,11.28,500,0.0,0
2011-09-29,11.16,11.87,11.16,11.34,5000,0.0,0
2011-09-30,11.27,11.34,11.09,11.09,1600,0.0,0
2011-10-03,10.99,11.29,10.99,11.16,4800,0.0,0
2011-10-04,11.12,11.21,11.05,11.05,2600,0.0,0
2011-10-05,10.97,11.16,10.9,10.9,7600,0.0,0
2011-10-06,10.82,10.97,10.82,10.97,6200,0.0,0
2011-10-07,10.97,11.28,10.85,11.1,3600,0.0,0
2011-10-10,11.27,11.65,11.05,11.65,5100,0.0,0
2011-10-11,11.58,11.69,11.31,11.35,5000,0.0,0
2011-10-12,12.0,12.0,11.35,11.47,6700,0.0,0
2011-10-13,11.39,11.54,11.28,11.31,7000,0.0,0
2011-10-14,11.27,11.49,11.05,11.35,13100,0.0,0
2011-10-17,11.27,11.34,10.97,11.07,3100,0.0,0
2011-10-18,11.24,11.35,11.24,11.31,1000,0.0,0
2011-10-19,11.26,12.34,11.23,12.04,18100,0.0,0
2011-10-20,12.03,12.56,12.03,12.44,10200,0.0,0
2011-10-21,12.36,12.52,12.19,12.32,3100,0.0,0
2011-10-24,12.12,12.54,12.12,12.37,13600,0.0,0
2011-10-25,12.33,12.34,12.19,12.34,3700,0.0,0
2011-10-26,12.2,12.39,12.19,12.26,6200,0.0,0
2011-10-27,12.27,12.27,11.85,12.08,5900,0.0,0
2011-10-28,11.93,12.01,11.62,11.62,8100,0.0,0
2011-10-31,11.74,12.1,11.36,11.37,5000,0.0,0
2011-11-01,11.37,11.45,11.19,11.22,4300,0.0,0
2011-11-02,11.25,11.25,11.25,11.25,100,0.0,0
2011-11-03,11.17,11.41,11.17,11.41,1300,0.0,0
2011-11-04,11.25,11.39,10.87,11.35,2000,0.0,0
2011-11-07,11.12,11.35,11.01,11.01,7100,0.0,0
2011-11-08,11.05,11.05,10.94,10.94,400,0.0,0
2011-11-09,10.85,11.01,10.85,11.01,1000,0.0,0
2011-11-10,10.88,11.43,10.87,11.13,3600,0.0,0
2011-11-11,11.16,11.16,11.16,11.16,200,0.0,0
2011-11-14,11.01,11.01,10.8,10.85,5200,0.0,0
2011-11-15,10.89,11.05,10.89,10.94,1000,0.0,0
