Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,35.46,36.22,35.46,35.72,24.56,334800,0.0,0.0
2010-01-05,35.58,36.69,35.58,36.62,25.17,434000,0.0,0.0
2010-01-06,36.69,38.67,36.69,38.12,26.21,729800,0.0,0.0
2010-01-07,38.26,38.92,37.65,38.82,26.69,771400,0.0,0.0
2010-01-08,38.65,38.87,38.42,38.62,26.56,647600,0.0,0.0
2010-01-11,39.04,39.76,38.32,39.69,27.29,621800,0.0,0.0
2010-01-12,39.3,39.49,38.9,39.4,27.09,524400,0.0,0.0
2010-01-13,39.55,39.99,39.22,39.92,27.44,489000,0.0,0.0
2010-01-14,40.13,41.81,40.0,41.0,28.19,1138800,0.0,0.0
2010-01-15,41.17,41.17,39.55,39.81,27.38,928200,0.0,0.0
2010-01-19,39.85,41.08,39.85,40.81,28.06,828000,0.0,0.0
2010-01-20,40.57,40.6,39.62,39.88,27.42,471600,0.0,0.0
2010-01-21,40.01,40.22,38.15,38.21,26.27,576200,0.0,0.0
2010-01-22,38.0,39.65,36.6,39.24,26.98,912600,0.0,0.0
2010-01-25,39.67,39.81,38.49,38.74,26.63,286000,0.0,0.0
2010-01-26,38.55,39.1,38.03,38.49,26.46,312000,0.0,0.0
2010-01-27,38.23,38.84,37.81,38.76,26.65,352600,0.0,0.0
2010-01-28,38.78,38.78,37.3,37.69,25.92,551600,0.0,0.0
2010-01-29,37.71,38.56,37.21,37.62,25.87,354400,0.0,0.0
2010-02-01,37.6,38.06,37.05,37.99,26.12,342400,0.0,0.0
2010-02-02,37.97,38.6,37.97,38.22,26.28,286400,0.0,0.0
2010-02-03,36.99,37.4,34.15,36.62,25.17,3310600,0.0,0.0
2010-02-04,36.28,36.49,35.5,35.73,24.57,681800,0.0,0.0
2010-02-05,35.62,35.86,34.16,35.56,24.45,914200,0.0,0.0
2010-02-08,35.53,35.83,34.22,34.29,23.58,872400,0.0,0.0
2010-02-09,34.55,34.99,33.76,34.26,23.56,967400,0.0,0.0
2010-02-10,34.31,35.15,33.0,35.12,24.14,1588200,0.0,0.0
2010-02-11,32.28,32.33,21.19,23.33,16.04,27747600,0.0,0.0
2010-02-12,23.38,25.63,21.83,25.5,17.53,11340400,0.0,0.0
2010-02-16,25.7,25.99,23.89,25.4,17.46,5431600,0.0,0.0
2010-02-17,25.26,26.27,24.98,26.22,18.02,2101400,0.0,0.0
2010-02-18,26.27,26.39,24.57,25.22,17.34,3106400,0.0,0.0
2010-02-19,25.08,25.77,24.74,25.56,17.57,1516000,0.0,0.0
2010-02-22,25.75,26.0,25.12,25.17,17.41,780800,0.15,0.0
2010-02-23,25.15,25.23,24.31,24.4,16.88,1031200,0.0,0.0
2010-02-24,24.48,24.59,23.56,23.81,16.47,1740600,0.0,0.0
2010-02-25,23.58,23.7,22.94,23.27,16.09,1686200,0.0,0.0
2010-02-26,23.48,23.48,22.73,22.95,15.87,996800,0.0,0.0
2010-03-01,23.0,23.61,22.91,23.08,15.96,1450000,0.0,0.0
2010-03-02,23.29,23.33,22.8,23.08,15.97,1055600,0.0,0.0
2010-03-03,23.03,23.08,22.28,22.6,15.63,1554200,0.0,0.0
2010-03-04,22.76,22.76,22.02,22.15,15.32,1456000,0.0,0.0
2010-03-05,22.2,22.45,21.91,22.0,15.22,1497400,0.0,0.0
2010-03-08,22.03,22.03,21.23,21.34,14.76,1743000,0.0,0.0
2010-03-09,21.31,22.15,21.23,21.79,15.07,1600200,0.0,0.0
2010-03-10,21.68,21.85,21.36,21.79,15.07,1338200,0.0,0.0
2010-03-11,21.59,22.51,21.54,22.5,15.56,1293600,0.0,0.0
2010-03-12,22.43,23.12,22.38,22.94,15.87,1848800,0.0,0.0
2010-03-15,22.97,23.21,22.83,23.11,15.98,1104000,0.0,0.0
2010-03-16,23.0,23.32,22.86,23.32,16.13,1026000,0.0,0.0
2010-03-17,23.25,23.45,22.92,23.14,16.0,1241400,0.0,0.0
2010-03-18,22.99,23.13,22.83,23.02,15.92,594400,0.0,0.0
2010-03-19,22.51,23.02,22.42,22.51,15.57,1582400,0.0,0.0
2010-03-22,22.42,22.6,22.05,22.49,15.55,613000,0.0,0.0
2010-03-23,22.38,23.28,22.24,23.21,16.05,940200,0.0,0.0
2010-03-24,23.4,23.88,23.17,23.66,16.36,999600,0.0,0.0
2010-03-25,23.75,24.12,23.41,23.42,16.2,844400,0.0,0.0
2010-03-26,23.57,23.7,23.16,23.47,16.23,699600,0.0,0.0
2010-03-29,23.6,23.86,23.36,23.58,16.31,439800,0.0,0.0
