Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2011-07-21,17.0,18.0,16.78,17.0,15.6224,11411000,0.0,0
2011-07-22,17.12,17.85,16.64,17.45,16.0359,1056600,0.0,0
2011-07-25,17.38,17.9,17.26,17.65,16.2197,468700,0.0,0
2011-07-26,17.83,17.9,17.4,17.51,16.091,172000,0.0,0
2011-07-27,17.42,17.8,17.0,17.07,15.6867,330300,0.0,0
2011-07-28,17.24,17.25,16.65,17.0,15.6224,444200,0.0,0
2011-07-29,16.75,17.13,16.71,17.13,15.7418,148800,0.0,0
2011-08-01,17.73,17.77,16.83,17.3,15.8981,174300,0.0,0
2011-08-02,17.3,17.39,16.75,16.8,15.4386,89000,0.0,0
2011-08-03,16.95,17.0,15.62,16.9,15.5305,428200,0.0,0
2011-08-04,16.65,16.65,15.14,15.4,14.152,400000,0.0,0
2011-08-05,15.3,15.3,14.55,14.87,13.665,231700,0.0,0
2011-08-08,14.25,14.35,11.76,12.63,11.6065,448700,0.0,0
2011-08-09,13.13,13.13,12.19,12.46,11.4503,152100,0.0,0
2011-08-10,12.0,12.39,11.55,11.7,10.7519,476900,0.0,0
2011-08-11,11.9,12.74,11.9,12.52,11.5054,1005800,0.0,0
2011-08-12,14.06,14.06,12.59,13.99,12.8563,333200,0.0,0
2011-08-15,14.48,15.58,14.48,15.07,13.8488,230600,0.0,0
2011-08-16,14.93,15.03,14.75,14.89,13.6834,66200,0.0,0
2011-08-17,15.01,15.35,14.63,14.81,13.6098,178000,0.0,0
2011-08-18,14.49,14.88,13.73,14.29,13.132,184300,0.0,0
2011-08-19,14.25,14.52,13.93,13.94,12.8103,190700,0.0,0
2011-08-22,14.25,14.3,13.8,13.97,12.8379,31900,0.0,0
2011-08-23,13.98,14.46,13.9,13.98,12.8471,117300,0.0,0
2011-08-24,14.05,14.13,13.75,13.84,12.7185,35400,0.0,0
2011-08-25,13.84,13.98,13.73,13.81,12.6909,52700,0.0,0
2011-08-26,13.75,13.92,13.66,13.9,12.7736,49300,0.0,0
2011-08-29,14.6,14.6,13.95,14.28,13.1228,230800,0.0,0
2011-08-30,14.26,14.44,13.84,13.99,12.8563,71200,0.0,0
2011-08-31,14.1,14.2,13.93,14.16,13.0125,64400,0.0,0
2011-09-01,14.07,14.3,13.88,13.98,12.8471,128800,0.0,0
2011-09-02,13.71,13.95,13.47,13.57,12.4703,69600,0.0,0
2011-09-06,13.15,14.21,13.15,14.18,13.0309,70100,0.0,0
2011-09-07,14.38,14.38,13.89,14.0,12.8655,143100,0.0,0
2011-09-08,13.92,14.02,13.63,13.82,12.7001,299100,0.0,0
2011-09-09,13.69,14.03,13.68,13.96,12.8287,14600,0.0,0
2011-09-12,13.82,14.19,13.51,13.75,12.6357,18500,0.0,0
2011-09-13,13.75,14.03,13.65,13.83,12.7093,22900,0.0,0
2011-09-14,13.87,13.93,13.63,13.72,12.6082,30200,0.0,0
2011-09-15,13.85,14.03,13.7,13.84,12.7185,149700,0.0,0
2011-09-16,13.94,13.94,13.55,13.91,12.7828,55900,0.0,0
2011-09-19,13.68,14.02,13.65,14.02,12.8839,26800,0.0,0
2011-09-20,14.01,14.09,13.7,13.76,12.6449,76800,0.0,0
2011-09-21,13.6,13.8,13.01,13.01,11.9557,51900,0.0,0
2011-09-22,12.75,12.92,12.26,12.37,11.3676,37600,0.0,0
2011-09-23,12.01,12.1,11.57,11.76,10.807,184300,0.0,0
2011-09-26,11.84,11.84,11.34,11.47,10.5405,157700,0.0,0
2011-09-27,11.6,12.75,11.03,11.93,10.9632,501400,0.0,0
2011-09-28,11.9,11.96,11.17,11.93,10.9632,250100,0.0,0
2011-09-29,12.03,12.35,11.34,11.56,10.6232,238400,0.0,0
2011-09-30,11.48,11.63,10.78,11.0,10.1086,1531800,0.0,0
2011-10-03,10.87,11.0,9.58,9.9,9.0977,384300,0.0,0
2011-10-04,9.79,10.14,9.2,10.13,9.3091,232600,0.0,0
2011-10-05,10.17,10.89,10.1,10.64,9.7778,158200,0.0,0
2011-10-06,10.64,10.84,10.25,10.49,9.6399,121000,0.0,0
2011-10-07,10.51,10.69,9.59,9.76,8.9691,209900,0.0,0
2011-10-10,9.89,10.13,9.55,10.02,9.208,194600,0.0,0
2011-10-11,9.92,10.44,9.89,10.26,9.4286,86200,0.0,0
2011-10-12,10.34,10.57,10.25,10.5,9.6491,137000,0.0,0
2011-10-13,10.45,11.53,10.41,11.39,10.467,57500,0.0,0
2011-10-14,11.5,11.64,11.42,11.62,10.6784,66900,0.0,0
2011-10-17,11.64,11.64,11.3,11.41,10.4854,78400,0.0,0
2011-10-18,11.4,12.27,11.08,11.47,10.5405,137700,0.0,0
2011-10-19,11.42,11.53,10.97,11.15,10.2464,339300,0.0,0
2011-10-20,11.14,11.14,10.81,10.96,10.0718,33800,0.0,0
2011-10-21,11.2,11.71,11.15,11.7,10.7519,85800,0.0,0
2011-10-24,11.75,12.05,11.61,11.75,10.7978,97800,0.0,0
2011-10-25,11.7,11.99,11.42,11.42,10.4946,57400,0.0,0
2011-10-26,11.65,11.77,11.31,11.65,10.7059,127900,0.0,0
2011-10-27,12.08,12.95,12.04,12.76,11.726,145500,0.0,0
2011-10-28,12.67,13.11,12.61,12.96,11.9098,56600,0.0,0
2011-10-31,12.72,13.06,12.56,12.62,11.5973,71900,0.0,0
2011-11-01,12.2,12.23,11.47,11.79,10.8346,170600,0.0,0
2011-11-02,11.97,12.33,11.79,12.08,11.1011,93700,0.0,0
2011-11-03,12.24,12.26,11.87,12.0,11.0276,140100,0.0,0
2011-11-04,11.87,12.11,11.79,12.03,11.0551,77900,0.0,0
2011-11-07,12.05,12.05,11.73,11.79,10.8346,68100,0.0,0
2011-11-08,11.85,12.27,11.76,12.18,11.193,336500,0.0,0
2011-11-09,11.83,12.2,11.07,11.08,10.1821,82200,0.0,0
2011-11-10,11.25,11.34,10.85,11.12,10.2189,71200,0.0,0
2011-11-11,11.25,12.1,11.25,11.63,10.6875,81300,0.0,0
2011-11-14,11.65,11.67,10.92,11.0,10.1086,79200,0.0,0
2011-11-15,11.0,11.15,10.6,10.92,10.0351,115300,0.0,0
2011-11-16,10.79,10.95,10.4,10.45,9.6032,157500,0.0,0
2011-11-17,10.43,10.83,10.43,10.58,9.7226,170500,0.0,0
2011-11-18,10.58,10.73,10.18,10.52,9.6675,178100,0.0,0
2011-11-21,10.36,10.6,10.12,10.56,9.7043,64000,0.0,0
2011-11-22,10.61,11.24,10.56,11.18,10.274,160800,0.0,0
2011-11-23,11.09,11.11,10.86,10.99,10.0994,97400,0.0,0
2011-11-25,10.91,10.91,10.5,10.57,9.7134,39500,0.0,0
2011-11-28,10.98,11.9,10.96,11.54,10.6048,180800,0.0,0
2011-11-29,11.52,11.52,11.22,11.42,10.4946,256000,0.0,0
2011-11-30,11.85,12.04,11.31,11.54,10.6048,113400,0.0,0
2011-12-01,11.54,11.7,10.49,10.95,10.0626,698600,0.0,0
2011-12-02,11.07,11.07,10.57,10.72,9.8513,559100,0.0,0
2011-12-05,10.88,10.92,10.65,10.69,9.8237,134000,0.0,0
2011-12-06,10.63,10.68,10.35,10.59,9.7318,133700,0.0,0
2011-12-07,10.53,11.02,10.53,10.95,10.0626,320700,0.0,0
2011-12-08,11.31,11.33,10.85,10.99,10.0994,372500,0.0,0
2011-12-09,10.97,11.0,10.57,10.8,9.9248,486600,0.0,0
2011-12-12,10.67,10.86,10.46,10.84,9.9616,105900,0.0,0
2011-12-13,10.99,10.99,10.61,10.61,9.7502,88100,0.0,0
2011-12-14,10.57,11.05,10.34,11.02,10.127,328100,0.0,0
2011-12-15,11.1,11.22,10.98,11.18,10.274,125500,0.0,0
2011-12-16,12.02,12.29,11.08,11.49,10.5589,412300,0.0,0
2011-12-19,11.46,11.5,10.99,11.23,10.32,89400,0.0,0
2011-12-20,11.49,11.73,11.18,11.67,10.7243,129900,0.0,0
2011-12-21,11.61,11.61,11.2,11.45,10.5221,88100,0.0,0
2011-12-22,11.48,11.64,10.82,11.59,10.6508,235600,0.0,0
2011-12-23,11.66,11.75,11.39,11.51,10.5773,42200,0.0,0
2011-12-27,11.41,11.52,11.25,11.52,10.5865,33200,0.0,0
2011-12-28,11.5,11.88,11.06,11.31,10.3935,165000,0.0,0
2011-12-29,11.38,11.42,11.09,11.18,10.274,43700,0.0,0
2011-12-30,11.16,11.23,10.87,11.2,10.2924,102500,0.0,0
2012-01-03,11.45,11.55,11.14,11.47,10.5405,164600,0.0,0
2012-01-04,11.44,11.85,11.25,11.62,10.6784,174100,0.0,0
2012-01-05,11.51,11.8,11.28,11.72,10.7703,282600,0.0,0
2012-01-06,11.75,12.25,11.25,11.7,10.7519,505800,0.0,0
2012-01-09,11.77,11.9,11.01,11.73,10.7794,385000,0.0,0
2012-01-10,11.73,12.0,11.34,11.51,10.5773,511100,0.0,0
2012-01-11,11.5,11.9,11.16,11.25,10.3383,1179800,0.0,0
2012-01-12,11.76,12.2,11.46,12.09,11.1103,2189900,0.0,0
2012-01-13,11.95,12.8,11.69,12.63,11.6065,959100,0.0,0
2012-01-17,13.18,13.55,12.57,13.4,12.3141,11610600,0.0,0
2012-01-18,13.4,13.44,12.67,12.86,11.8179,11524200,0.0,0
2012-01-19,12.8,13.12,12.69,12.79,11.7535,4220800,0.0,0
2012-01-20,12.72,13.5,12.72,13.3,12.2222,2066500,0.0,0
2012-01-23,13.5,14.05,13.4,13.84,12.7185,2179300,0.0,0
2012-01-24,13.1,13.77,12.94,13.58,12.4795,3694900,0.0,0
2012-01-25,13.2,13.89,13.2,13.77,12.6541,3285600,0.0,0
2012-01-26,13.85,13.97,13.5,13.51,12.4152,2651000,0.0,0
2012-01-27,13.5,13.86,13.5,13.81,12.6909,1320900,0.0,0
2012-01-30,13.49,13.72,13.29,13.42,12.3325,2464000,0.0,0
2012-01-31,13.5,13.69,13.26,13.43,12.3417,1950300,0.0,0
2012-02-01,13.69,14.24,13.62,14.19,13.0401,1581400,0.0,0
2012-02-02,13.69,14.4,13.53,14.35,13.1871,2484200,0.0,0
2012-02-03,14.64,15.34,14.59,15.03,13.812,1643600,0.0,0
2012-02-06,14.9,15.14,14.81,15.14,13.9131,950600,0.0,0
2012-02-07,15.03,15.78,14.83,15.59,14.3266,1436200,0.0,0
2012-02-08,15.58,16.0,15.58,15.65,14.3818,1116500,0.0,0
2012-02-09,15.74,15.74,15.15,15.26,14.0234,844900,0.0,0
2012-02-10,15.11,15.11,14.7,15.1,13.8763,650600,0.0,0
2012-02-13,15.17,15.2,14.72,14.88,13.6742,611100,0.0,0
2012-02-14,14.84,14.89,14.56,14.74,13.5455,438500,0.0,0
2012-02-15,14.79,14.82,14.05,14.28,13.1228,726300,0.0,0
2012-02-16,14.23,14.86,14.07,14.66,13.472,568000,0.0,0
2012-02-17,14.73,14.73,14.37,14.45,13.279,394900,0.0,0
2012-02-21,14.52,14.52,14.07,14.34,13.1779,504400,0.0,0
2012-02-22,14.34,14.47,13.96,13.97,12.8379,792900,0.0,0
2012-02-23,14.04,14.54,13.93,14.39,13.2239,684300,0.0,0
2012-02-24,14.36,14.53,14.14,14.43,13.2606,363700,0.0,0
2012-02-27,14.31,14.65,14.0,14.43,13.2606,431100,0.0,0
2012-02-28,14.49,14.75,14.45,14.59,13.4077,797600,0.0,0
2012-02-29,14.57,14.85,14.12,14.33,13.1687,879400,0.0,0
2012-03-01,14.39,14.75,14.36,14.69,13.4996,730800,0.0,0
2012-03-02,14.65,14.77,14.12,14.17,13.0217,819400,0.0,0
2012-03-05,14.1,14.24,13.78,13.85,12.7276,710600,0.0,0
2012-03-06,13.68,13.68,13.25,13.34,12.259,1225800,0.0,0
2012-03-07,13.39,13.88,13.3,13.81,12.6909,701400,0.0,0
2012-03-08,13.93,13.98,13.68,13.89,12.7644,438300,0.0,0
2012-03-09,13.87,14.4,13.83,14.29,13.132,667100,0.0,0
2012-03-12,14.32,14.74,14.13,14.35,13.1871,914000,0.0,0
