Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-28,25.0,31.2,24.75,26.0,4009600,0,0
2018-06-29,26.31,31.0,26.31,29.9,665200,0,0
2018-07-02,29.46,30.5,29.01,30.01,330100,0,0
2018-07-03,30.41,34.8,30.37,32.94,426800,0,0
2018-07-05,34.0,34.65,33.0,34.01,235500,0,0
2018-07-06,34.01,34.71,30.41,30.5,234400,0,0
2018-07-09,30.76,31.36,30.06,31.07,65100,0,0
2018-07-10,31.07,33.25,31.0,32.86,71500,0,0
2018-07-11,32.86,32.86,30.87,30.99,77200,0,0
2018-07-12,31.58,32.58,30.0,30.82,48700,0,0
2018-07-13,30.69,30.69,28.53,29.1,280000,0,0
2018-07-16,29.1,30.34,28.66,29.03,125200,0,0
2018-07-17,29.31,30.0,27.31,28.57,106500,0,0
2018-07-18,29.0,29.41,26.77,28.8,137100,0,0
2018-07-19,29.25,30.57,28.17,29.89,93200,0,0
2018-07-20,29.51,30.71,29.26,29.5,76000,0,0
2018-07-23,28.43,29.53,26.55,29.25,48900,0,0
2018-07-24,29.45,29.81,26.94,27.1,44600,0,0
2018-07-25,27.18,28.49,26.55,27.06,94700,0,0
2018-07-26,26.77,27.56,25.06,26.22,291200,0,0
2018-07-27,25.5,26.0,23.0,24.36,194500,0,0
2018-07-30,23.47,24.0,23.0,23.18,126600,0,0
2018-07-31,22.59,24.0,22.0,23.65,152000,0,0
2018-08-01,23.86,23.92,21.87,22.97,126100,0,0
2018-08-02,22.79,24.0,22.0,22.5,279600,0,0
2018-08-03,22.31,23.75,22.05,23.55,56100,0,0
2018-08-06,23.65,24.8,23.49,23.87,134500,0,0
2018-08-07,23.96,24.64,23.17,23.82,27300,0,0
2018-08-08,23.96,24.0,23.13,24.0,89700,0,0
2018-08-09,22.77,24.84,22.77,23.84,111800,0,0
2018-08-10,22.77,23.9,22.77,23.72,78600,0,0
2018-08-13,23.85,24.0,23.11,23.5,69800,0,0
2018-08-14,23.46,24.0,23.2,23.77,67600,0,0
2018-08-15,23.5,23.86,23.0,23.46,94200,0,0
2018-08-16,23.5,24.38,23.49,23.68,125300,0,0
2018-08-17,23.5,24.17,23.5,23.75,105500,0,0
2018-08-20,23.57,23.96,23.37,23.5,86800,0,0
2018-08-21,23.5,24.13,23.44,23.56,112400,0,0
2018-08-22,23.51,24.7,23.51,24.32,59700,0,0
2018-08-23,24.49,25.64,23.68,25.38,136000,0,0
2018-08-24,25.37,27.38,25.0,27.0,87000,0,0
2018-08-27,26.89,27.25,25.67,25.81,57500,0,0
2018-08-28,25.8,28.17,25.63,27.46,70800,0,0
2018-08-29,27.31,29.99,27.17,29.37,80700,0,0
2018-08-30,29.36,32.98,29.03,31.15,115700,0,0
2018-08-31,31.05,31.98,30.31,30.83,46200,0,0
2018-09-04,30.94,32.94,29.95,32.29,153300,0,0
2018-09-05,32.35,37.88,31.58,37.52,150000,0,0
2018-09-06,37.19,39.49,35.17,36.28,161000,0,0
2018-09-07,36.25,39.22,36.02,36.44,168800,0,0
2018-09-10,36.44,40.1,35.5,39.35,305400,0,0
2018-09-11,38.92,39.9,34.01,34.89,389600,0,0
2018-09-12,34.72,36.45,34.0,35.04,193600,0,0
2018-09-13,35.25,37.12,34.17,35.48,156900,0,0
2018-09-14,36.05,36.35,33.52,35.6,217100,0,0
2018-09-17,35.54,36.22,34.15,34.46,154700,0,0
2018-09-18,34.43,36.06,33.76,35.54,215700,0,0
2018-09-19,35.54,36.36,34.03,35.6,298500,0,0
2018-09-20,35.85,38.35,35.85,36.78,370000,0,0
2018-09-21,36.61,38.2,34.15,36.44,2115400,0,0
2018-09-24,36.01,36.62,33.63,33.81,288100,0,0
2018-09-25,33.77,34.9,32.31,33.64,294500,0,0
2018-09-26,33.78,34.08,31.57,32.67,87500,0,0
2018-09-27,32.81,32.81,31.28,31.85,57900,0,0
2018-09-28,31.75,31.75,29.01,30.55,137100,0,0
2018-10-01,30.65,31.45,29.6,30.13,79900,0,0
2018-10-02,30.01,31.1,29.55,29.92,147900,0,0
2018-10-03,29.92,31.14,28.34,28.68,86800,0,0
2018-10-04,28.68,28.98,26.56,27.75,132300,0,0
2018-10-05,28.17,31.17,27.74,27.9,108900,0,0
2018-10-08,27.72,28.82,27.1,27.55,142900,0,0
2018-10-09,27.4,28.79,27.01,27.67,69800,0,0
2018-10-10,27.67,28.42,26.08,28.12,165400,0,0
2018-10-11,27.92,30.1,26.05,29.06,164000,0,0
2018-10-12,29.3,29.3,27.24,28.63,94000,0,0
2018-10-15,28.47,29.47,28.0,29.08,72200,0,0
2018-10-16,29.22,30.73,28.58,30.42,176000,0,0
2018-10-17,30.34,31.0,29.26,30.73,88700,0,0
2018-10-18,30.57,30.9,29.42,30.05,88400,0,0
2018-10-19,29.9,30.72,29.0,30.04,92700,0,0
2018-10-22,30.16,30.89,28.66,30.12,68600,0,0
2018-10-23,29.66,30.98,29.14,30.46,149500,0,0
2018-10-24,30.55,30.91,25.0,25.86,137300,0,0
2018-10-25,26.01,28.29,26.0,27.61,84200,0,0
2018-10-26,27.1,28.47,26.02,27.95,127200,0,0
2018-10-29,28.37,28.37,26.51,27.11,129000,0,0
2018-10-30,27.07,28.35,26.01,26.5,81900,0,0
2018-10-31,26.71,27.64,26.52,27.0,206100,0,0
2018-11-01,27.22,28.36,27.0,28.08,169900,0,0
2018-11-02,27.88,28.25,27.21,27.97,42700,0,0
2018-11-05,27.95,28.2,27.1,27.7,42300,0,0
2018-11-06,27.66,28.06,26.55,27.05,55600,0,0
2018-11-07,26.93,28.37,26.93,27.35,58100,0,0
2018-11-08,27.01,30.65,26.72,28.41,287000,0,0
2018-11-09,28.17,30.4,28.17,29.72,102300,0,0
2018-11-12,29.46,30.04,28.3,28.34,50000,0,0
2018-11-13,28.9,30.01,27.97,29.29,65000,0,0
2018-11-14,29.81,31.38,29.7,30.84,106100,0,0
2018-11-15,30.78,31.45,29.98,30.25,92100,0,0
2018-11-16,30.03,31.64,29.76,31.3,86000,0,0
2018-11-19,31.33,31.84,29.13,29.3,63800,0,0
2018-11-20,28.87,30.14,27.97,29.0,58600,0,0
2018-11-21,29.15,30.81,28.8,30.06,50600,0,0
2018-11-23,30.07,31.36,29.51,29.9,40100,0,0
2018-11-26,30.3,31.13,28.86,29.25,67500,0,0
2018-11-27,28.9,30.3,27.16,27.89,110000,0,0
2018-11-28,27.82,31.22,27.82,30.83,120800,0,0
2018-11-29,30.52,32.02,29.13,29.5,53900,0,0
2018-11-30,29.39,31.15,29.04,29.85,187000,0,0
2018-12-03,30.65,30.7,29.01,30.43,74800,0,0
2018-12-04,30.37,30.66,28.02,28.55,105400,0,0
