Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-27,18.78,18.89,18.78,18.78,901100,0.0,0
2019-03-28,18.78,18.82,18.78,18.78,210900,0.0,0
2019-03-29,18.81,18.82,18.78,18.78,34100,0.0,0
2019-04-01,18.82,18.87,18.79,18.82,20400,0.0,0
2019-04-02,18.82,18.86,18.8,18.8,13400,0.0,0
2019-04-03,18.83,18.87,18.81,18.86,57600,0.0,0
2019-04-04,19.01,19.4,18.83,18.97,96500,0.0,0
2019-04-05,18.95,18.95,18.89,18.89,17200,0.0,0
2019-04-08,18.88,18.92,18.83,18.87,8300,0.0,0
2019-04-09,18.87,18.87,18.81,18.82,9700,0.0,0
2019-04-10,18.86,18.86,18.82,18.85,11900,0.0,0
2019-04-11,18.87,18.87,18.82,18.82,12300,0.0,0
2019-04-12,18.85,18.85,18.82,18.85,8200,0.0,0
2019-04-15,18.85,18.85,18.82,18.82,5500,0.0,0
2019-04-16,18.82,18.82,18.78,18.82,14200,0.0,0
2019-04-17,18.78,18.82,18.78,18.78,108500,0.0,0
2019-04-18,18.85,18.92,18.78,18.81,7300,0.0,0
2019-04-22,18.9,18.9,18.78,18.88,40900,0.0,0
2019-04-23,18.87,19.16,18.87,18.92,30600,0.0,0
2019-04-24,18.97,18.98,18.9,18.95,6200,0.0,0
2019-04-25,18.91,19.01,18.91,18.96,6000,0.0,0
2019-04-26,18.98,19.01,18.94,19.01,15900,0.0,0
2019-04-29,19.0,19.05,18.98,18.99,7400,0.0,0
2019-04-30,18.97,18.98,18.83,18.88,20400,0.0,0
2019-05-01,18.78,18.81,18.78,18.78,92500,0.0,0
2019-05-02,18.78,18.86,18.78,18.78,48100,0.0,0
2019-05-03,18.78,18.83,18.78,18.79,15300,0.0,0
2019-05-06,18.82,18.82,18.78,18.79,14800,0.0,0
2019-05-07,18.79,18.8,18.78,18.78,253900,0.0,0
2019-05-08,18.78,18.79,18.78,18.78,36600,0.0,0
2019-05-09,18.78,18.79,18.78,18.79,10300,0.0,0
2019-05-10,18.82,18.82,18.78,18.78,41300,0.0,0
2019-05-13,18.69,18.69,18.17,18.23,33700,0.0,0
2019-05-14,18.23,18.4,18.17,18.39,16000,0.0,0
2019-05-15,18.4,18.47,18.19,18.21,34700,0.0,0
2019-05-16,18.26,18.79,18.26,18.73,18100,0.0,0
2019-05-17,18.68,18.68,18.17,18.17,24600,0.0,0
2019-05-20,18.19,18.23,18.16,18.19,10300,0.0,0
2019-05-21,18.25,18.25,17.85,18.15,23300,0.0,0
2019-05-22,18.14,18.14,17.93,18.03,30300,0.0,0
2019-05-23,18.04,18.1,17.56,17.61,30100,0.109,0
2019-05-24,17.7,17.7,17.43,17.56,27500,0.0,0
2019-05-28,17.45,17.52,17.43,17.48,31100,0.0,0
2019-05-29,17.54,17.56,17.23,17.31,20400,0.0,0
2019-05-30,17.26,17.26,17.06,17.14,43900,0.0,0
2019-05-31,17.36,17.42,17.0,17.42,32200,0.0,0
2019-06-03,17.55,17.55,16.65,16.77,59200,0.0,0
2019-06-04,16.96,17.0,16.57,16.68,51100,0.0,0
2019-06-05,16.69,17.41,16.69,17.32,71700,0.0,0
2019-06-06,17.4,17.94,17.25,17.94,66300,0.0,0
2019-06-07,18.02,18.03,17.81,17.96,47500,0.0,0
2019-06-10,18.18,18.21,17.9,17.94,22400,0.0,0
2019-06-11,18.09,18.09,17.9,17.94,11100,0.0,0
2019-06-12,18.02,18.03,17.9,17.9,39400,0.0,0
2019-06-13,17.94,17.98,17.87,17.89,22300,0.0,0
2019-06-14,17.88,18.04,17.79,17.79,4500,0.0,0
2019-06-17,17.85,17.85,17.71,17.85,11800,0.0,0
2019-06-18,17.77,17.89,17.61,17.66,49500,0.0,0
2019-06-19,17.68,17.8,17.56,17.8,36400,0.0,0
2019-06-20,17.82,17.89,17.48,17.62,22000,0.109,0
