Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,9.82,10.34,9.77,10.33,142900,0.0,0
2010-01-05,10.47,10.83,10.31,10.51,232000,0.0,0
2010-01-06,10.52,10.62,10.22,10.35,84800,0.0,0
2010-01-07,10.3,10.42,10.09,10.41,147900,0.0,0
2010-01-08,10.33,10.47,10.17,10.41,100300,0.0,0
2010-01-11,10.38,10.45,10.31,10.39,118900,0.0,0
2010-01-12,10.29,10.39,10.05,10.22,94200,0.0,0
2010-01-13,10.27,10.41,10.18,10.4,154000,0.0,0
2010-01-14,10.34,10.41,10.21,10.28,70300,0.0,0
2010-01-15,10.25,10.41,10.18,10.27,70800,0.0,0
2010-01-19,9.94,10.28,9.7,10.28,232900,0.0,0
2010-01-20,10.35,10.35,9.87,9.94,100500,0.0,0
2010-01-21,10.01,10.09,9.56,9.74,59900,0.0,0
2010-01-22,9.87,9.87,9.49,9.6,69600,0.0,0
2010-01-25,9.74,9.74,9.58,9.68,89000,0.0,0
2010-01-26,9.58,9.66,9.45,9.57,49200,0.0,0
2010-01-27,9.52,9.52,9.21,9.3,76300,0.0,0
2010-01-28,9.37,9.38,9.26,9.34,72600,0.0,0
2010-01-29,9.34,9.77,9.3,9.61,267200,0.0,0
2010-02-01,9.7,9.81,9.6,9.7,100800,0.0,0
2010-02-02,9.78,9.98,9.68,9.9,71800,0.0,0
2010-02-03,9.9,9.9,9.55,9.61,83300,0.0,0
2010-02-04,9.58,9.62,9.37,9.4,146900,0.0,0
2010-02-05,9.35,9.35,9.14,9.34,151300,0.0,0
2010-02-08,9.26,9.86,9.23,9.53,97000,0.0,0
2010-02-09,9.58,9.73,9.35,9.58,129200,0.0,0
2010-02-10,9.62,9.65,9.51,9.57,72100,0.0,0
2010-02-11,9.61,9.65,9.38,9.6,52100,0.0,0
2010-02-12,9.4,9.65,9.31,9.61,140100,0.0,0
2010-02-16,9.72,10.31,9.58,10.29,401900,0.0,0
2010-02-17,10.3,10.36,10.14,10.15,426400,0.0,0
2010-02-18,10.19,10.19,9.97,10.07,18900,0.0,0
2010-02-19,10.13,10.13,9.89,10.0,47100,0.0,0
2010-02-22,10.07,10.07,9.81,9.87,68500,0.0,0
2010-02-23,9.8,9.8,9.17,9.22,211100,0.0,0
2010-02-24,9.22,9.3,9.01,9.12,198400,0.0,0
2010-02-25,8.97,9.09,8.74,9.05,153200,0.0,0
2010-02-26,9.03,9.2,9.02,9.18,151500,0.0,0
2010-03-01,9.16,9.38,9.16,9.26,119900,0.0,0
2010-03-02,9.0,9.45,8.97,9.19,144900,0.0,0
2010-03-03,9.16,9.51,9.16,9.43,81800,0.0,0
2010-03-04,9.41,9.57,9.41,9.52,67500,0.0,0
2010-03-05,9.57,9.8,9.57,9.76,382300,0.0,0
2010-03-08,9.75,10.17,9.75,10.16,583200,0.0,0
2010-03-09,10.28,10.42,10.02,10.22,333900,0.0,0
2010-03-10,10.22,10.27,9.99,10.15,93000,0.0,0
2010-03-11,10.17,10.23,10.09,10.13,77000,0.0,0
2010-03-12,10.15,10.31,10.04,10.15,72600,0.0,0
2010-03-15,10.07,10.21,9.98,10.05,33900,0.0,0
2010-03-16,10.04,10.15,10.02,10.08,68800,0.0,0
2010-03-17,10.09,10.17,9.98,10.05,46800,0.0,0
2010-03-18,10.05,10.06,9.87,9.93,74000,0.0,0
2010-03-19,9.87,10.02,9.79,9.87,98200,0.0,0
2010-03-22,9.77,10.02,9.77,10.02,115300,0.0,0
2010-03-23,10.05,10.49,10.04,10.49,175700,0.0,0
2010-03-24,10.34,10.55,10.33,10.51,104900,0.0,0
2010-03-25,10.51,10.75,10.51,10.55,123700,0.0,0
2010-03-26,10.62,10.67,10.41,10.45,110500,0.0,0
