Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2014-07-18,11.25,11.55,10.41,11.4,11.4,4233500,0,0
2014-07-21,11.5,11.95,11.36,11.6,11.6,636700,0,0
2014-07-22,11.67,11.7,11.1,11.2,11.2,509600,0,0
2014-07-23,11.02,11.31,11.0,11.16,11.16,190300,0,0
2014-07-24,11.5,11.64,10.6,10.67,10.67,232100,0,0
2014-07-25,10.67,10.81,10.44,10.52,10.52,157800,0,0
2014-07-28,10.6,10.6,10.15,10.17,10.17,154800,0,0
2014-07-29,10.17,10.32,9.94,10.3,10.3,144900,0,0
2014-07-30,10.43,10.45,10.16,10.21,10.21,45600,0,0
2014-07-31,10.4,10.4,9.88,10.0,10.0,48400,0,0
2014-08-01,9.31,9.98,9.31,9.9,9.9,66500,0,0
2014-08-04,9.99,10.43,9.84,10.03,10.03,102500,0,0
2014-08-05,9.83,9.96,9.71,9.71,9.71,38200,0,0
2014-08-06,9.8,9.8,9.62,9.69,9.69,103700,0,0
2014-08-07,9.69,10.07,9.62,10.05,10.05,129300,0,0
2014-08-08,10.38,10.38,10.0,10.21,10.21,85900,0,0
2014-08-11,10.24,10.35,10.04,10.14,10.14,85700,0,0
2014-08-12,10.78,10.78,9.59,9.8,9.8,309000,0,0
2014-08-13,9.93,10.0,9.5,9.54,9.54,337100,0,0
2014-08-14,9.65,9.71,9.45,9.53,9.53,107200,0,0
2014-08-15,9.84,9.84,9.01,9.05,9.05,102300,0,0
2014-08-18,9.12,9.2,8.65,8.66,8.66,284100,0,0
2014-08-19,8.7,8.74,8.5,8.58,8.58,145500,0,0
2014-08-20,8.58,9.03,8.55,8.79,8.79,138600,0,0
2014-08-21,8.86,9.56,8.76,9.12,9.12,96400,0,0
2014-08-22,9.14,9.29,9.05,9.1,9.1,65500,0,0
2014-08-25,9.26,9.35,9.01,9.17,9.17,109200,0,0
2014-08-26,9.04,9.13,8.9,9.02,9.02,99600,0,0
2014-08-27,9.13,9.17,8.92,9.07,9.07,139400,0,0
2014-08-28,9.16,9.16,8.75,8.88,8.88,259300,0,0
2014-08-29,8.92,9.08,8.75,8.95,8.95,118600,0,0
2014-09-02,8.99,8.99,8.6,8.7,8.7,118400,0,0
2014-09-03,8.63,8.83,8.51,8.56,8.56,132100,0,0
2014-09-04,8.5,8.6,8.35,8.5,8.5,312200,0,0
2014-09-05,8.52,8.72,8.5,8.63,8.63,153600,0,0
2014-09-08,8.71,8.71,8.45,8.57,8.57,187500,0,0
2014-09-09,8.55,8.63,8.5,8.5,8.5,129900,0,0
2014-09-10,8.49,8.75,8.4,8.71,8.71,127600,0,0
2014-09-11,8.86,9.06,8.65,8.74,8.74,158300,0,0
2014-09-12,8.74,8.74,8.52,8.53,8.53,53700,0,0
2014-09-15,8.59,8.75,8.54,8.58,8.58,68200,0,0
2014-09-16,8.58,8.59,8.36,8.46,8.46,109200,0,0
2014-09-17,8.5,8.72,8.4,8.45,8.45,62600,0,0
2014-09-18,8.5,8.51,8.0,8.06,8.06,264600,0,0
2014-09-19,8.04,8.19,7.7,7.85,7.85,406500,0,0
2014-09-22,7.98,8.06,7.75,7.8,7.8,192400,0,0
2014-09-23,7.87,8.4,7.8,8.17,8.17,155400,0,0
2014-09-24,8.3,8.74,8.2,8.54,8.54,132900,0,0
2014-09-25,8.6,8.88,8.09,8.29,8.29,149400,0,0
