Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2013-09-20,20.0,20.1,20.0,20.0,13.09,358000.0,0.0,0
2013-09-23,20.0,20.01,20.0,20.0,13.09,31400.0,0.0,0
2013-09-24,20.07,20.07,20.01,20.03,13.11,2900.0,0.0,0
2013-09-25,20.04,20.04,20.0,20.0,13.09,11600.0,0.0,0
2013-09-26,20.08,20.09,20.0,20.04,13.11,6200.0,0.0,0
2013-09-27,20.04,20.06,20.04,20.06,13.13,2100.0,0.0,0
2013-09-30,20.0,20.1,20.0,20.02,13.1,6300.0,0.0,0
2013-10-01,20.05,20.14,20.05,20.12,13.16,7300.0,0.0,0
2013-10-02,20.13,20.2,20.13,20.2,13.22,4700.0,0.0,0
2013-10-03,20.2,20.24,20.1,20.24,13.24,5800.0,0.0,0
2013-10-04,20.16,20.2,20.16,20.2,13.22,2800.0,0.0,0
2013-10-07,20.2,20.2,20.0,20.0,13.09,13500.0,0.0,0
2013-10-08,20.0,20.12,20.0,20.05,13.12,25600.0,0.0,0
2013-10-09,20.08,20.15,20.03,20.03,13.11,8900.0,0.0,0
2013-10-10,20.05,20.06,20.04,20.04,13.11,2200.0,0.0,0
2013-10-11,20.06,20.1,20.03,20.08,13.14,6600.0,0.0,0
2013-10-14,20.03,20.03,20.0,20.01,13.09,7700.0,0.0,0
2013-10-15,20.01,20.01,20.0,20.0,13.09,23600.0,0.0,0
2013-10-16,20.0,20.01,20.0,20.0,13.09,8600.0,0.0,0
2013-10-17,20.0,20.05,19.69,20.01,13.09,8400.0,0.0,0
2013-10-18,20.01,20.05,20.0,20.0,13.09,49800.0,0.0,0
2013-10-21,20.03,20.05,20.0,20.03,13.11,13000.0,0.0,0
2013-10-22,20.0,20.0,19.75,19.77,12.94,66000.0,0.0,0
2013-10-23,19.7,19.71,19.5,19.54,12.79,54600.0,0.0,0
2013-10-24,19.35,19.45,19.0,19.45,12.73,65300.0,0.0,0
2013-10-25,19.4,19.53,19.25,19.53,12.78,29200.0,0.0,0
2013-10-28,19.53,19.65,19.53,19.65,12.86,32700.0,0.0,0
2013-10-29,19.9,19.95,19.64,19.95,13.05,25400.0,0.0,0
2013-10-30,19.98,20.0,19.95,20.0,13.09,36100.0,0.0,0
2013-10-31,19.98,20.2,19.95,20.2,13.22,14000.0,0.0,0
2013-11-01,20.2,20.8,20.2,20.52,13.43,31500.0,0.0,0
2013-11-04,20.57,21.28,20.39,20.59,13.47,38000.0,0.0,0
2013-11-05,20.84,20.84,19.65,20.1,13.15,19200.0,0.0,0
2013-11-06,19.92,20.65,19.92,20.38,13.33,14500.0,0.0,0
2013-11-07,20.4,20.4,20.1,20.36,13.32,11300.0,0.0,0
2013-11-08,20.25,20.25,20.2,20.2,13.22,1400.0,0.0,0
2013-11-11,20.36,20.36,20.0,20.13,13.17,3400.0,0.0,0
2013-11-12,20.18,20.18,19.9,19.9,13.02,12300.0,0.0,0
2013-11-13,20.0,20.2,19.9,20.11,13.16,7500.0,0.0,0
2013-11-14,20.09,20.09,19.6,19.6,12.9,7700.0,0.119,0
2013-11-15,19.6,20.05,19.45,19.51,12.84,22600.0,0.0,0
2013-11-18,19.59,19.79,19.51,19.79,13.03,6800.0,0.0,0
2013-11-19,19.45,19.69,19.45,19.49,12.83,11000.0,0.0,0
2013-11-20,19.3,19.65,19.11,19.11,12.58,45800.0,0.0,0
2013-11-21,18.94,18.95,18.35,18.85,12.41,51400.0,0.0,0
2013-11-22,18.99,19.24,18.9,18.93,12.46,17300.0,0.0,0
2013-11-25,18.95,18.95,18.26,18.27,12.03,2600.0,0.0,0
2013-11-26,18.2,18.5,17.7,17.8,11.72,71900.0,0.0,0
2013-11-27,17.8,18.05,17.75,17.94,11.81,37300.0,0.0,0
2013-11-29,17.73,18.1,17.73,18.09,11.91,11200.0,0.0,0
2013-12-02,18.18,18.2,17.6,17.6,11.58,82800.0,0.0,0
2013-12-03,17.6,17.76,17.5,17.53,11.54,60800.0,0.0,0
2013-12-04,17.75,17.98,17.55,17.98,11.83,94100.0,0.0,0
2013-12-05,17.67,17.98,17.64,17.75,11.68,58800.0,0.0,0
2013-12-06,17.7,18.14,17.7,17.76,11.69,53400.0,0.0,0
2013-12-09,18.0,18.0,17.81,17.84,11.74,58600.0,0.0,0
2013-12-10,17.58,18.19,17.58,17.8,11.72,54800.0,0.0,0
2013-12-11,17.81,17.98,17.71,17.81,11.72,42700.0,0.0,0
2013-12-12,17.97,18.19,17.76,17.86,11.76,71800.0,0.0,0
2013-12-13,17.81,17.94,17.76,17.84,11.74,83100.0,0.0,0
2013-12-16,17.75,18.14,17.66,18.01,11.93,57700.0,0.119,0
2013-12-17,18.1,18.15,17.87,18.02,11.94,60000.0,0.0,0
2013-12-18,18.19,18.3,18.05,18.29,12.12,60100.0,0.0,0
2013-12-19,18.78,18.78,18.05,18.39,12.19,102300.0,0.0,0
2013-12-20,18.47,18.99,18.35,18.89,12.52,66000.0,0.0,0
2013-12-23,18.65,19.48,18.63,19.05,12.62,78700.0,0.0,0
2013-12-24,18.86,19.32,18.72,19.16,12.7,10500.0,0.0,0
2013-12-26,19.11,19.2,18.9,18.93,12.54,33700.0,0.0,0
2013-12-27,18.85,18.85,18.55,18.58,12.31,34900.0,0.0,0
2013-12-30,18.57,18.89,18.22,18.24,12.09,27600.0,0.0,0
2013-12-31,18.25,18.51,18.25,18.36,12.17,33200.0,0.0,0
2014-01-02,18.36,18.5,18.29,18.44,12.22,27200.0,0.0,0
2014-01-03,18.53,18.55,18.44,18.45,12.23,5100.0,0.0,0
2014-01-06,18.65,18.65,18.35,18.44,12.22,23000.0,0.0,0
2014-01-07,18.4,18.4,18.22,18.27,12.11,55600.0,0.0,0
2014-01-08,18.28,18.41,18.28,18.33,12.15,37300.0,0.0,0
2014-01-09,18.33,18.4,18.31,18.37,12.17,18900.0,0.0,0
2014-01-10,18.41,18.42,18.2,18.38,12.18,38800.0,0.0,0
2014-01-13,18.36,18.57,18.19,18.33,12.15,45500.0,0.0,0
2014-01-14,18.27,18.4,18.27,18.38,12.18,13800.0,0.0,0
2014-01-15,18.45,18.65,18.37,18.55,12.29,36000.0,0.0,0
2014-01-16,18.45,18.45,18.24,18.38,12.26,39100.0,0.119,0
