Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,8.12,8.26,8.11,8.19,8096400,0.0,0
2010-01-05,8.2,8.24,8.1,8.15,14375900,0.0,0
2010-01-06,8.17,8.21,8.04,8.12,13608400,0.0,0
2010-01-07,8.07,8.09,7.82,7.85,27346600,0.0,0
2010-01-08,7.87,7.93,7.8,7.85,16895300,0.0,0
2010-01-11,7.88,7.95,7.69,7.8,22214500,0.0,0
2010-01-12,7.69,7.73,7.5,7.56,20863400,0.0,0
2010-01-13,7.57,7.78,7.57,7.76,13482300,0.0,0
2010-01-14,7.78,7.78,7.68,7.68,8692400,0.0,0
2010-01-15,7.73,7.73,7.46,7.49,15426400,0.0,0
2010-01-19,7.55,7.77,7.5,7.75,14898100,0.0,0
2010-01-20,7.7,7.71,7.57,7.63,13604800,0.0,0
2010-01-21,7.68,7.73,7.46,7.49,13943800,0.0,0
2010-01-22,7.43,7.46,7.13,7.13,21017600,0.0,0
2010-01-25,7.13,7.34,7.13,7.17,20606500,0.0,0
2010-01-26,7.18,7.2,7.03,7.07,21913300,0.0,0
2010-01-27,7.09,7.17,7.03,7.06,22963800,0.0,0
2010-01-28,7.2,7.21,6.99,7.1,40246500,0.0,0
2010-01-29,7.24,7.33,7.14,7.18,30073000,0.0,0
2010-02-01,7.17,7.27,7.01,7.13,23074400,0.0,0
2010-02-02,7.13,7.13,7.0,7.04,18259200,0.0,0
2010-02-03,7.05,7.17,7.01,7.11,14829600,0.0,0
2010-02-04,7.08,7.1,6.79,6.84,18370700,0.0,0
2010-02-05,6.79,6.86,6.64,6.76,33731000,0.0,0
2010-02-08,6.86,6.88,6.67,6.79,25173000,0.0,0
2010-02-09,6.86,6.94,6.75,6.79,29316300,0.0,0
2010-02-10,6.79,6.88,6.72,6.86,17525600,0.0,0
2010-02-11,6.88,7.01,6.79,6.99,13726100,0.0,0
2010-02-12,6.92,6.96,6.82,6.86,13563900,0.0,0
2010-02-16,6.89,7.01,6.87,7.01,9532800,0.0,0
2010-02-17,7.03,7.11,7.0,7.08,13959400,0.0,0
2010-02-18,7.11,7.14,7.01,7.11,5162700,0.0,0
2010-02-19,7.1,7.13,7.01,7.08,8055100,0.0,0
2010-02-22,7.09,7.13,7.05,7.07,8422700,0.0,0
2010-02-23,7.09,7.09,6.91,6.96,18118100,0.0,0
2010-02-24,6.96,7.04,6.89,6.94,13237600,0.0,0
2010-02-25,6.89,6.92,6.76,6.89,18311800,0.0,0
2010-02-26,6.88,6.91,6.81,6.89,9389800,0.0,0
2010-03-01,7.01,7.07,6.99,7.03,13623900,0.0,0
2010-03-02,7.08,7.14,7.0,7.03,12070900,0.0,0
2010-03-03,7.11,7.12,6.93,6.97,13229000,0.0,0
2010-03-04,6.91,7.01,6.89,6.98,21949000,0.0,0
2010-03-05,7.06,7.17,7.04,7.16,17723700,0.0,0
2010-03-08,7.2,7.25,7.17,7.23,16149800,0.0,0
2010-03-09,7.2,7.31,7.18,7.25,14016900,0.0,0
2010-03-10,7.24,7.42,7.22,7.31,12284500,0.0,0
2010-03-11,7.32,7.42,7.28,7.42,18740500,0.0,0
2010-03-12,7.39,7.41,7.25,7.3,12629000,0.0,0
2010-03-15,7.24,7.25,7.12,7.17,11265700,0.0,0
2010-03-16,7.17,7.3,7.15,7.27,9673400,0.0,0
2010-03-17,7.32,7.4,7.31,7.37,12314400,0.0,0
2010-03-18,7.39,7.41,7.22,7.31,13981900,0.0,0
2010-03-19,7.13,7.31,7.13,7.13,12898200,0.0,0
2010-03-22,7.13,7.24,7.1,7.2,9479200,0.0,0
2010-03-23,7.21,7.27,7.17,7.26,19340200,0.0,0
2010-03-24,7.23,7.36,7.21,7.3,19698700,0.0,0
2010-03-25,7.32,7.46,7.32,7.37,19470300,0.0,0
2010-03-26,7.39,7.46,7.29,7.32,12750500,0.0,0
2010-03-29,7.41,7.45,7.34,7.45,11552600,0.0,0
2010-03-30,7.47,7.51,7.39,7.46,12009000,0.0,0
2010-03-31,7.38,7.44,7.33,7.41,14117800,0.0,0
2010-04-01,7.46,7.56,7.43,7.49,14763900,0.0,0
2010-04-05,7.54,7.62,7.37,7.58,7253500,0.0,0
2010-04-06,7.59,7.66,7.57,7.66,11816500,0.0,0
2010-04-07,7.68,7.76,7.64,7.67,11937000,0.0,0
2010-04-08,7.61,7.61,7.48,7.51,12801000,0.0,0
2010-04-09,7.57,7.6,7.43,7.51,13105600,0.0,0
2010-04-12,7.54,7.56,7.49,7.49,9900000,0.0,0
2010-04-13,7.45,7.56,7.43,7.54,10261700,0.0,0
2010-04-14,7.66,7.95,7.65,7.95,30646800,0.0,0
2010-04-15,7.91,7.95,7.83,7.87,9173500,0.0,0
2010-04-16,7.77,7.78,7.56,7.67,18171100,0.0,0
2010-04-19,7.59,7.7,7.54,7.66,14212400,0.0,0
2010-04-20,7.69,7.79,7.66,7.7,9802900,0.0,0
2010-04-21,7.7,7.73,7.53,7.66,15628700,0.0,0
2010-04-22,7.55,7.76,7.53,7.75,15815900,0.0,0
2010-04-23,7.76,7.76,7.63,7.75,9076800,0.0,0
2010-04-26,7.8,7.85,7.74,7.77,10142500,0.0,0
2010-04-27,7.7,7.7,7.46,7.49,27248500,0.0,0
2010-04-28,7.59,7.6,7.35,7.42,19735700,0.0,0
2010-04-29,7.45,7.49,7.39,7.46,13022300,0.0,0
2010-04-30,7.49,7.53,7.39,7.49,15450600,0.0,0
2010-05-03,7.54,7.56,7.44,7.54,7652600,0.0,0
2010-05-04,7.49,7.49,7.08,7.13,24852400,0.0,0
2010-05-05,7.09,7.13,6.95,7.04,20044100,0.0,0
2010-05-06,7.04,7.13,6.72,6.91,23946100,0.0,0
2010-05-07,7.0,7.08,6.84,6.99,26579400,0.0,0
