Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,18.46,18.7,18.19,18.56,3630600,0.0,0
2010-01-05,18.5,18.87,18.0,18.21,12121100,0.0,0
2010-01-06,18.24,18.93,18.24,18.85,5598300,0.0,0
2010-01-07,18.84,19.74,18.77,19.68,5196100,0.0,0
2010-01-08,19.6,19.91,19.47,19.87,4104000,0.0,0
2010-01-11,20.0,21.07,19.85,20.93,7214100,0.0,0
2010-01-12,20.72,21.02,20.39,20.8,4849100,0.0,0
2010-01-13,20.83,20.95,20.16,20.4,5378700,0.0,0
2010-01-14,20.44,22.48,20.06,22.22,17621700,0.0,0
2010-01-15,22.18,22.18,21.2,21.33,9136800,0.0,0
2010-01-19,21.54,22.87,21.24,22.4,8277200,0.0,0
2010-01-20,22.13,22.13,21.36,21.75,4539400,0.0,0
2010-01-21,21.75,21.87,20.84,20.89,4666300,0.0,0
2010-01-22,20.82,21.53,20.28,20.79,5582300,0.0,0
2010-01-25,21.1,21.29,20.32,20.6,6112300,0.0,0
2010-01-26,20.54,20.56,19.86,20.06,3765400,0.0,0
2010-01-27,19.96,20.62,19.85,20.47,5865400,0.0,0
2010-01-28,19.87,20.21,18.42,19.09,18922800,0.0,0
2010-01-29,19.17,19.46,18.57,19.04,6786800,0.0,0
2010-02-01,19.13,20.17,19.04,20.12,6508100,0.0,0
2010-02-02,20.26,20.73,19.94,20.16,7153800,0.0,0
2010-02-03,20.03,20.27,19.7,19.95,4608300,0.0,0
2010-02-04,19.7,19.7,18.91,19.07,6589400,0.0,0
2010-02-05,19.02,19.11,17.51,18.44,11037700,0.0,0
2010-02-08,18.37,18.76,17.9,18.24,4947400,0.0,0
2010-02-09,18.61,18.79,18.21,18.43,3825000,0.0,0
2010-02-10,18.39,18.55,17.83,18.41,6767500,0.0,0
2010-02-11,18.41,18.65,18.0,18.49,4799100,0.0,0
2010-02-12,18.14,18.2,17.55,17.86,6119700,0.0,0
2010-02-16,18.03,18.67,17.86,18.6,3328200,0.0,0
2010-02-17,18.67,18.8,18.44,18.58,2858800,0.0,0
2010-02-18,18.58,19.3,18.49,19.26,4512900,0.0,0
2010-02-19,19.09,19.44,18.91,19.19,3683500,0.0,0
2010-02-22,19.26,19.58,19.07,19.38,3574500,0.0,0
2010-02-23,19.35,19.67,18.89,19.04,3461200,0.0,0
2010-02-24,19.21,19.25,18.56,19.1,5307500,0.0,0
2010-02-25,18.67,19.01,18.5,18.96,4472200,0.0,0
2010-02-26,18.96,19.53,18.77,19.42,3764900,0.0,0
2010-03-01,19.5,19.8,19.32,19.7,4400400,0.0,0
2010-03-02,19.83,20.46,19.55,20.38,4948300,0.0,0
2010-03-03,20.4,20.91,20.24,20.71,4626900,0.0,0
2010-03-04,20.83,21.03,20.41,20.53,5049300,0.0,0
2010-03-05,20.67,21.29,20.67,21.26,4573900,0.0,0
2010-03-08,21.23,21.62,21.19,21.2,4333800,0.0,0
2010-03-09,20.6,21.41,20.48,21.08,7801800,0.0,0
2010-03-10,20.66,21.54,20.66,21.28,4718800,0.02,0
2010-03-11,21.16,21.8,20.79,21.71,3904800,0.0,0
2010-03-12,21.83,21.9,21.39,21.72,3374700,0.0,0
2010-03-15,21.64,21.66,21.09,21.52,3048600,0.0,0
2010-03-16,21.53,22.23,21.41,21.86,4386200,0.0,0
2010-03-17,21.98,22.23,21.69,21.99,3061300,0.0,0
2010-03-18,21.87,21.96,21.47,21.62,2697700,0.0,0
2010-03-19,21.67,22.42,21.54,21.67,5674600,0.0,0
2010-03-22,21.46,21.86,21.27,21.64,3057700,0.0,0
2010-03-23,21.74,21.93,21.54,21.91,3108600,0.0,0
2010-03-24,21.74,22.04,21.62,21.74,2470400,0.0,0
2010-03-25,21.99,22.02,21.21,21.24,4974900,0.0,0
2010-03-26,21.37,21.76,21.1,21.16,3868400,0.0,0
2010-03-29,21.31,21.42,20.97,21.18,4055400,0.0,0
2010-03-30,21.24,21.47,20.89,21.04,3241000,0.0,0
2010-03-31,20.96,21.07,20.67,20.72,3694400,0.0,0
2010-04-01,20.9,21.05,20.66,20.88,3655800,0.0,0
2010-04-05,21.02,21.09,20.65,20.82,4915300,0.0,0
2010-04-06,20.72,21.29,20.61,21.05,3755500,0.0,0
2010-04-07,20.93,21.73,20.74,21.64,9652500,0.0,0
