Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,3.35,3.49,3.18,3.35,16300,0.0,0.0
2010-01-05,3.35,3.69,3.24,3.55,17300,0.0,0.0
2010-01-06,3.66,3.66,3.55,3.59,2300,0.0,1.01
2010-01-07,3.66,3.69,3.54,3.58,7400,0.0,0.0
2010-01-08,3.52,3.64,3.52,3.64,4500,0.0,0.0
2010-01-11,3.73,3.76,3.55,3.76,22800,0.0,0.0
2010-01-12,3.62,3.76,3.47,3.68,5000,0.0,0.0
2010-01-13,3.55,3.73,3.54,3.56,4000,0.0,0.0
2010-01-14,3.68,3.73,3.58,3.63,1500,0.0,0.0
2010-01-15,3.7,3.76,3.6,3.6,14600,0.0,0.0
2010-01-19,3.56,3.7,3.48,3.58,15400,0.0,0.0
2010-01-20,3.73,3.73,3.54,3.58,8600,0.0,0.0
2010-01-21,3.7,3.7,3.55,3.58,1600,0.0,0.0
2010-01-22,3.64,3.65,3.61,3.65,1600,0.0,0.0
2010-01-25,3.69,3.75,3.65,3.73,6300,0.0,0.0
2010-01-26,3.73,3.85,3.69,3.71,52600,0.0,0.0
2010-01-27,3.85,3.85,3.69,3.73,14400,0.0,0.0
2010-01-28,3.78,3.8,3.76,3.77,9600,0.0,0.0
2010-01-29,3.8,3.81,3.79,3.8,8800,0.0,0.0
2010-02-01,3.82,3.93,3.8,3.93,3900,0.0,0.0
2010-02-02,3.92,4.06,3.89,3.94,11900,0.0,0.0
2010-02-03,3.98,3.98,3.95,3.95,1100,0.0,0.0
2010-02-04,3.98,4.07,3.89,4.06,1500,0.0,0.0
2010-02-05,3.98,4.06,3.56,3.58,3200,0.0,0.0
2010-02-08,3.84,3.84,3.56,3.6,4700,0.0,0.0
2010-02-09,3.7,3.7,3.4,3.43,12000,0.0,0.0
2010-02-10,3.39,3.66,3.39,3.62,1500,0.0,0.0
2010-02-11,3.62,3.62,3.62,3.62,100,0.0,0.0
2010-02-12,3.66,3.76,3.66,3.76,900,0.0,0.0
2010-02-16,3.52,3.88,3.52,3.88,5700,0.0,0.0
2010-02-17,3.88,3.88,3.76,3.87,4600,0.0,0.0
2010-02-18,3.67,3.85,3.67,3.76,1100,0.0,0.0
2010-02-19,3.85,3.85,3.73,3.84,700,0.0,0.0
2010-02-22,3.76,3.76,3.76,3.76,100,0.0,0.0
2010-02-23,3.85,3.85,3.73,3.73,1200,0.0,0.0
2010-02-24,3.73,3.85,3.55,3.58,5900,0.0,0.0
2010-02-25,3.46,3.82,3.46,3.47,12300,0.0,0.0
2010-02-26,3.73,3.73,3.59,3.59,1400,0.0,0.0
2010-03-01,3.52,3.76,3.52,3.76,1700,0.0,0.0
2010-03-02,3.62,3.75,3.62,3.75,600,0.0,0.0
2010-03-03,3.7,3.74,3.47,3.64,6700,0.0,0.0
2010-03-04,3.75,3.85,3.53,3.73,6400,0.0,0.0
2010-03-05,3.69,3.76,3.58,3.58,12600,0.0,0.0
2010-03-08,3.64,3.85,3.58,3.85,15700,0.0,0.0
2010-03-09,3.83,3.83,3.58,3.6,6900,0.0,0.0
2010-03-10,3.73,3.95,3.72,3.94,8900,0.0,0.0
2010-03-11,3.94,3.94,3.58,3.61,14600,0.0,0.0
2010-03-12,3.7,3.92,3.67,3.92,9900,0.0,0.0
2010-03-15,3.81,3.89,3.61,3.61,13900,0.0,0.0
2010-03-16,3.82,3.93,3.69,3.93,14200,0.0,0.0
2010-03-17,3.61,3.95,3.61,3.73,18500,0.0,0.0
2010-03-18,3.84,4.04,3.82,4.04,16700,0.0,0.0
2010-03-19,3.82,3.99,3.77,3.99,17400,0.0,0.0
2010-03-22,3.84,3.95,3.73,3.83,18500,0.0,0.0
2010-03-23,3.95,3.95,3.69,3.95,24200,0.0,0.0
2010-03-24,3.81,3.89,3.81,3.89,1300,0.0,0.0
2010-03-25,3.91,3.91,3.5,3.64,35100,0.0,0.0
2010-03-26,3.61,3.63,3.5,3.5,4400,0.0,0.0
2010-03-29,3.43,3.69,3.06,3.55,70200,0.0,0.0
2010-03-30,3.46,3.92,3.46,3.76,43400,0.0,0.0
2010-03-31,3.76,3.76,3.67,3.73,12600,0.0,0.0
2010-04-01,3.76,3.81,3.38,3.41,57000,0.0,0.0
2010-04-05,3.71,3.82,3.39,3.39,31200,0.0,0.0
