Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-06-30,9.5,9.5,9.5,9.5,7.5527,0,0.0,0
2015-07-01,12.5,14.02,11.0,13.49,10.7248,573400,0.0,0
2015-07-02,13.3,13.5,12.21,12.45,9.898,62000,0.0,0
2015-07-06,12.06,12.89,11.56,12.22,9.7152,172300,0.0,0
2015-07-07,12.3,12.3,11.92,12.11,9.6277,4600,0.0,0
2015-07-08,11.5,12.25,11.11,12.0,9.5403,32800,0.0,0
2015-07-09,12.06,12.5,11.89,12.3,9.7788,20200,0.0,0
2015-07-10,12.22,12.4,12.0,12.4,9.8583,5700,0.0,0
2015-07-13,12.45,13.5,12.45,13.0,10.3353,78500,0.0,0
2015-07-14,13.17,13.6,12.8,13.05,10.375,2800,0.0,0
2015-07-15,13.08,13.5,12.8,12.81,10.1842,6300,0.0,0
2015-07-16,12.75,12.94,12.34,12.34,9.8106,9700,0.0,0
2015-07-17,12.5,12.73,12.0,12.65,10.057,102200,0.0,0
2015-07-20,12.2,12.2,12.2,12.2,9.6993,600,0.0,0
2015-07-21,11.93,12.8,11.75,12.21,9.7072,181900,0.0,0
2015-07-22,12.19,12.26,11.92,12.26,9.747,21500,0.0,0
2015-07-23,11.85,12.95,11.85,12.55,9.9775,93700,0.0,0
2015-07-24,12.55,12.55,12.1,12.3,9.7788,14100,0.0,0
2015-07-27,11.8,12.202,11.65,11.73,9.3256,6100,0.0,0
2015-07-28,11.48,12.31,11.48,12.08,9.6039,186600,0.0,0
2015-07-29,12.1,12.28,11.89,12.25,9.739,10200,0.0,0
2015-07-30,12.068,12.31,12.01,12.28,9.7629,1900,0.0,0
2015-07-31,12.18,12.3,12.0,12.0,9.5403,12800,0.0,0
2015-08-03,12.58,12.58,12.0,12.0,9.5403,13500,0.0,0
2015-08-04,12.25,12.31,12.16,12.3,9.7788,9800,0.0,0
2015-08-05,12.45,13.5,12.29,13.3,10.5738,8400,0.0,0
2015-08-06,14.0,14.0,13.51,13.9,11.0508,8400,0.0,0
2015-08-07,13.85,13.85,13.0,13.2,10.4943,1600,0.0,0
2015-08-10,13.4,13.84,13.02,13.35,10.6135,21800,0.0,0
2015-08-11,13.37,14.25,13.35,14.25,11.3291,18500,0.0,0
2015-08-12,14.3,14.3,12.7,13.19,10.4863,15900,0.0,0
2015-08-13,13.35,13.35,12.71,12.73,10.1206,11200,0.0,0
2015-08-14,12.645,12.99,12.645,12.91,10.2637,3500,0.0,0
2015-08-17,12.98,13.31,12.0,12.5,9.9378,6600,0.0,0
2015-08-18,12.5,12.5,11.2,11.78,9.3654,28900,0.0,0
2015-08-19,11.475,11.71,11.27,11.64,9.2541,14100,0.0,0
2015-08-20,11.5,11.73,11.48,11.68,9.4071,20800,0.15,0
2015-08-21,11.66,11.7,11.3,11.7,9.4232,2100,0.0,0
2015-08-24,11.66,11.95,11.3,11.95,9.6245,12500,0.0,0
2015-08-25,12.142,12.142,11.46,11.65,9.3829,10900,0.0,0
2015-08-26,11.32,12.0,11.32,12.0,9.6648,4500,0.0,0
2015-08-27,12.21,12.25,11.61,12.18,9.8098,24800,0.0,0
2015-08-28,12.24,12.25,11.82,12.1,9.7453,2900,0.0,0
2015-08-31,12.58,12.58,11.72,12.165,9.7977,5600,0.0,0
2015-09-01,11.875,12.15,11.83,12.15,9.7856,1500,0.0,0
2015-09-02,12.6,12.6,12.22,12.25,9.8662,3600,0.0,0
2015-09-03,12.5,12.64,12.25,12.64,10.1803,12000,0.0,0
2015-09-04,12.8,12.8,12.2,12.395,9.9829,3100,0.0,0
2015-09-08,12.5,12.85,12.36,12.7,10.2286,10000,0.0,0
2015-09-09,12.8,12.95,12.8,12.95,10.4299,8500,0.0,0
2015-09-10,12.95,13.0,12.8,12.99,10.4622,6900,0.0,0
2015-09-11,13.21,13.57,12.82,13.15,10.591,13600,0.0,0
2015-09-14,13.0,13.2,13.0,13.2,10.6313,7200,0.0,0
2015-09-15,13.25,13.25,13.01,13.17,10.6071,9400,0.0,0
2015-09-16,12.89,13.57,12.89,13.57,10.9293,4600,0.0,0
2015-09-17,13.15,13.55,12.72,12.72,10.2447,41600,0.0,0
2015-09-18,12.62,13.5,10.85,10.85,8.7386,85600,0.0,0
2015-09-21,11.99,12.11,11.7,11.93,9.6084,41100,0.0,0
2015-09-22,11.72,11.85,10.8,11.3,9.101,180700,0.0,0
2015-09-23,11.47,11.47,10.76,10.87,8.7547,27300,0.0,0
2015-09-24,10.88,11.09,10.73,10.9,8.7789,39500,0.0,0
2015-09-25,10.98,11.09,10.64,10.885,8.7668,29900,0.0,0
2015-09-28,11.08,11.24,10.9,11.24,9.0527,5500,0.0,0
2015-09-29,11.29,11.29,10.9,11.1,8.9399,1900,0.0,0
2015-09-30,11.08,11.25,10.8,11.1,8.9399,18400,0.0,0
2015-10-01,11.28,11.28,11.14,11.16,8.9883,1100,0.0,0
2015-10-02,11.32,11.5,11.08,11.5,9.2621,11300,0.0,0
2015-10-05,11.51,12.0,11.265,12.0,9.6648,11400,0.0,0
2015-10-06,12.0,12.18,12.0,12.18,9.8098,1800,0.0,0
2015-10-07,12.15,12.4,12.016,12.4,9.987,8800,0.0,0
2015-10-08,12.4,12.75,12.385,12.75,10.2689,9400,0.0,0
2015-10-09,12.38,12.6,12.38,12.6,10.148,300,0.0,0
2015-10-12,12.925,12.95,12.72,12.95,10.4299,1900,0.0,0
2015-10-13,12.72,12.72,12.5,12.7,10.2286,6300,0.0,0
2015-10-14,12.5,12.5,12.5,12.5,10.0675,200,0.0,0
2015-10-15,12.3,12.78,12.19,12.78,10.293,3700,0.0,0
2015-10-16,12.39,12.95,12.07,12.58,10.1319,2500,0.0,0
2015-10-19,12.4,12.4,12.11,12.2,9.8259,13700,0.0,0
2015-10-20,12.07,12.625,12.07,12.33,9.9306,2400,0.0,0
2015-10-21,12.62,12.62,12.33,12.33,9.9306,1200,0.0,0
2015-10-22,12.31,12.4,12.09,12.11,9.7534,41800,0.0,0
2015-10-23,12.24,12.27,11.8,11.8,9.5037,6800,0.0,0
2015-10-26,12.25,12.28,12.02,12.02,9.6809,400,0.0,0
2015-10-27,12.02,12.02,12.02,12.02,9.6809,0,0.0,0
2015-10-28,11.85,11.85,11.52,11.55,9.3024,1800,0.0,0
2015-10-29,11.3,11.49,11.26,11.44,9.2138,5100,0.0,0
