Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,39.74,39.85,39.13,39.42,33.39,115100,0.0,0
2010-01-05,39.39,39.63,38.5,38.67,32.75,98700,0.0,0
2010-01-06,38.6,38.75,38.25,38.34,32.47,103300,0.0,0
2010-01-07,38.35,39.27,37.95,39.17,33.18,116200,0.0,0
2010-01-08,39.13,39.66,38.15,39.34,33.32,60800,0.0,0
2010-01-11,39.4,39.4,38.56,39.26,33.25,84600,0.0,0
2010-01-12,38.88,39.34,38.63,39.21,33.21,86700,0.0,0
2010-01-13,39.3,39.59,38.68,39.31,33.29,48300,0.0,0
2010-01-14,39.32,40.5,39.26,40.33,34.16,139300,0.0,0
2010-01-15,40.45,40.45,39.09,39.82,33.73,204700,0.0,0
2010-01-19,39.79,40.92,39.07,40.77,34.53,165000,0.0,0
2010-01-20,40.59,40.84,39.36,40.48,34.29,149300,0.0,0
2010-01-21,40.43,41.8,40.16,41.5,35.15,163400,0.0,0
2010-01-22,41.34,41.93,40.6,40.93,34.67,168200,0.0,0
2010-01-25,41.2,41.33,40.2,41.09,34.8,152800,0.0,0
2010-01-26,41.06,41.74,40.03,40.45,34.26,238600,0.0,0
2010-01-27,40.34,41.54,40.17,40.9,34.64,264800,0.0,0
2010-01-28,40.9,41.11,39.9,40.2,34.05,157600,0.0,0
2010-01-29,40.24,40.67,39.48,39.51,33.46,264700,0.0,0
2010-02-01,39.58,39.88,38.6,38.76,32.83,216800,0.0,0
2010-02-02,38.72,38.81,38.3,38.38,32.51,271000,0.0,0
2010-02-03,38.32,38.71,37.34,37.83,32.04,193500,0.0,0
2010-02-04,37.63,37.72,36.75,37.24,31.54,217900,0.0,0
2010-02-05,37.23,37.99,37.01,37.6,31.85,169100,0.0,0
2010-02-08,37.46,37.73,37.01,37.6,31.85,243900,0.0,0
2010-02-09,37.89,38.25,37.55,37.85,32.06,288000,0.0,0
2010-02-10,37.61,38.22,37.49,38.04,32.22,109400,0.0,0
2010-02-11,37.81,38.18,37.31,37.91,32.11,317300,0.0,0
2010-02-12,37.61,37.96,37.34,37.86,32.07,165300,0.0,0
2010-02-16,38.12,38.53,37.63,38.53,32.63,114400,0.0,0
2010-02-17,38.77,38.77,37.91,38.13,32.29,131400,0.0,0
2010-02-18,37.98,38.17,37.67,37.84,32.05,91500,0.0,0
2010-02-19,37.84,38.08,37.58,37.88,32.08,160000,0.0,0
2010-02-22,38.11,38.15,37.81,38.08,32.25,241000,0.0,0
2010-02-23,38.0,38.37,37.64,38.03,32.21,298600,0.0,0
2010-02-24,37.99,38.89,37.99,38.7,32.78,242200,0.0,0
2010-02-25,38.28,38.6,38.08,38.43,32.55,279700,0.0,0
2010-02-26,38.43,38.46,37.92,38.31,32.45,224700,0.0,0
2010-03-01,38.56,39.01,38.22,38.91,32.96,417600,0.0,0
2010-03-02,38.86,39.31,38.85,39.1,33.12,373400,0.0,0
2010-03-03,39.23,39.58,39.09,39.21,33.21,367800,0.0,0
2010-03-04,39.33,39.83,39.18,39.79,33.7,237500,0.0,0
2010-03-05,39.82,40.86,39.78,40.86,34.61,208400,0.0,0
2010-03-08,40.73,40.98,40.62,40.67,34.45,150600,0.0,0
2010-03-09,40.47,40.5,40.05,40.28,34.27,122000,0.185,0
2010-03-10,40.17,40.82,39.95,40.23,34.23,128300,0.0,0
2010-03-11,39.96,40.48,39.9,40.48,34.44,74400,0.0,0
2010-03-12,40.76,40.76,40.17,40.48,34.44,125100,0.0,0
