Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,19.73,20.05,19.55,19.94,15.99,3110300,0.0,0
2010-01-05,19.85,20.29,19.8,20.23,16.22,1989000,0.0,0
2010-01-06,20.25,20.51,20.19,20.41,16.36,2435300,0.0,0
2010-01-07,20.24,20.92,20.07,20.86,16.73,3769600,0.0,0
2010-01-08,20.8,20.8,20.41,20.58,16.5,2046300,0.0,0
2010-01-11,20.58,20.99,20.58,20.96,16.81,2172600,0.0,0
2010-01-12,20.79,21.24,20.79,20.91,16.77,5054100,0.0,0
2010-01-13,21.01,21.15,20.77,21.05,16.88,2686700,0.0,0
2010-01-14,20.95,21.69,20.95,21.45,17.2,5754800,0.0,0
2010-01-15,21.41,21.79,21.3,21.39,17.15,6101000,0.0,0
2010-01-19,21.29,21.92,21.26,21.64,17.35,3621800,0.0,0
2010-01-20,21.5,21.61,21.17,21.53,17.26,3954400,0.0,0
2010-01-21,21.53,21.56,20.93,20.98,16.89,5031100,0.0825,0
2010-01-22,20.99,21.09,20.15,20.19,16.25,3668400,0.0,0
2010-01-25,20.48,20.61,20.23,20.33,16.36,2502800,0.0,0
2010-01-26,20.13,20.41,19.76,19.8,15.94,2908500,0.0,0
2010-01-27,19.81,20.01,19.45,19.99,16.09,3471900,0.0,0
2010-01-28,19.92,20.03,19.59,19.61,15.78,4037700,0.0,0
2010-01-29,19.69,20.11,19.52,19.57,15.75,3336500,0.0,0
2010-02-01,19.71,20.14,19.59,20.1,16.18,3175100,0.0,0
2010-02-02,20.17,20.8,20.0,20.67,16.64,3610400,0.0,0
2010-02-03,20.45,20.62,19.75,19.95,16.06,3713500,0.0,0
2010-02-04,19.74,19.74,18.86,18.9,15.21,4127100,0.0,0
2010-02-05,18.9,19.23,18.56,19.22,15.47,4817000,0.0,0
2010-02-08,19.18,19.22,18.73,18.73,15.08,2748600,0.0,0
2010-02-09,19.04,19.38,18.78,19.01,15.3,3393200,0.0,0
2010-02-10,19.04,19.33,18.9,19.14,15.41,3112000,0.0,0
2010-02-11,19.14,19.5,18.97,19.42,15.63,2863200,0.0,0
2010-02-12,19.11,19.55,18.78,19.52,15.71,3630000,0.0,0
2010-02-16,19.74,20.08,19.62,20.08,16.16,3084100,0.0,0
2010-02-17,20.63,20.74,20.19,20.53,16.52,3316100,0.0,0
2010-02-18,20.48,20.94,20.4,20.92,16.84,3639500,0.0,0
2010-02-19,20.85,21.07,20.67,21.01,16.91,2920300,0.0,0
2010-02-22,20.93,21.1,20.87,21.01,16.91,1603500,0.0,0
2010-02-23,20.91,21.09,20.57,20.64,16.61,3734800,0.0,0
2010-02-24,20.77,20.99,20.64,20.93,16.85,2771900,0.0,0
2010-02-25,20.68,20.81,20.42,20.78,16.73,2800000,0.0,0
2010-02-26,20.84,20.96,20.62,20.81,16.75,2615300,0.0,0
2010-03-01,20.89,21.32,20.86,21.31,17.15,2535400,0.0,0
2010-03-02,21.38,21.43,21.16,21.3,17.14,2507500,0.0,0
2010-03-03,21.33,21.5,21.24,21.35,17.18,2825200,0.0,0
2010-03-04,21.44,21.68,21.29,21.68,17.45,2267500,0.0,0
2010-03-05,21.85,22.25,21.66,22.2,17.87,3338500,0.0,0
2010-03-08,22.26,22.54,22.19,22.42,18.05,2505900,0.0,0
2010-03-09,22.26,22.56,22.24,22.48,18.09,2619900,0.0,0
2010-03-10,22.58,22.83,22.37,22.77,18.33,2297800,0.0,0
