Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,12.69,12.91,12.65,12.82,12.82,20700,0,0
2010-01-05,12.58,12.77,12.44,12.72,12.72,19100,0,0
2010-01-06,12.65,12.65,12.5,12.55,12.55,36400,0,0
2010-01-07,12.48,12.51,12.42,12.48,12.48,14600,0,0
2010-01-08,12.56,12.56,12.4,12.56,12.56,15300,0,0
2010-01-11,12.64,12.78,12.47,12.72,12.72,10300,0,0
2010-01-12,12.71,12.81,12.6,12.8,12.8,42100,0,0
2010-01-13,12.8,12.85,12.67,12.73,12.73,45700,0,0
2010-01-14,12.68,12.91,12.66,12.85,12.85,11400,0,0
2010-01-15,12.91,13.0,12.68,12.8,12.8,124000,0,0
2010-01-19,12.84,12.84,12.47,12.77,12.77,22900,0,0
2010-01-20,12.67,12.81,12.5,12.66,12.66,9600,0,0
2010-01-21,12.71,12.71,12.28,12.46,12.46,35000,0,0
2010-01-22,12.5,12.56,12.25,12.4,12.4,18100,0,0
2010-01-25,12.22,12.57,12.22,12.34,12.34,15100,0,0
2010-01-26,12.4,12.4,12.25,12.25,12.25,9800,0,0
2010-01-27,12.38,12.49,12.19,12.35,12.35,11800,0,0
2010-01-28,12.4,12.4,12.16,12.16,12.16,15300,0,0
2010-01-29,12.25,12.84,12.12,12.35,12.35,34900,0,0
2010-02-01,12.42,12.42,12.11,12.21,12.21,16400,0,0
2010-02-02,12.28,12.31,12.1,12.11,12.11,19500,0,0
2010-02-03,12.25,12.31,12.16,12.22,12.22,16200,0,0
2010-02-04,12.25,12.27,12.06,12.2,12.2,25500,0,0
2010-02-05,12.25,12.49,12.12,12.48,12.48,9900,0,0
2010-02-08,12.46,12.46,12.25,12.28,12.28,12100,0,0
2010-02-09,12.41,12.41,12.05,12.33,12.33,5800,0,0
2010-02-10,12.26,12.39,12.17,12.39,12.39,6900,0,0
2010-02-11,12.33,12.56,12.25,12.48,12.48,29600,0,0
2010-02-12,12.36,12.42,12.22,12.42,12.42,40000,0,0
2010-02-16,12.53,12.59,12.42,12.59,12.59,7300,0,0
2010-02-17,12.65,12.65,12.37,12.56,12.56,14500,0,0
2010-02-18,12.5,12.66,12.38,12.57,12.57,8700,0,0
2010-02-19,12.59,12.88,12.47,12.7,12.7,17400,0,0
2010-02-22,12.73,12.82,12.58,12.69,12.69,14400,0,0
2010-02-23,12.73,13.51,12.5,12.65,12.65,22100,0,0
2010-02-24,12.56,13.13,12.56,13.03,13.03,9400,0,0
2010-02-25,13.0,13.71,13.0,13.34,13.34,145000,0,0
2010-02-26,13.41,13.74,13.17,13.25,13.25,38900,0,0
2010-03-01,13.26,13.4,13.19,13.33,13.33,11600,0,0
2010-03-02,13.13,13.53,12.9,13.41,13.41,36900,0,0
2010-03-03,13.5,14.13,13.5,14.12,14.12,10500,0,0
2010-03-04,14.13,14.13,13.79,13.99,13.99,7700,0,0
2010-03-05,14.04,15.05,14.0,14.83,14.83,12200,0,0
2010-03-08,14.8,14.87,14.41,14.57,14.57,10000,0,0
2010-03-09,14.5,15.04,14.23,14.96,14.96,38100,0,0
2010-03-10,14.89,15.18,14.67,15.1,15.1,17100,0,0
2010-03-11,15.02,15.49,14.73,15.49,15.49,9700,0,0
2010-03-12,15.48,15.64,15.36,15.55,15.55,121100,0,0
2010-03-15,15.6,15.6,15.28,15.41,15.41,5200,0,0
2010-03-16,15.37,15.57,15.27,15.57,15.57,9000,0,0
2010-03-17,15.73,16.01,15.53,15.8,15.8,66500,0,0
2010-03-18,15.76,16.0,15.5,15.75,15.75,17300,0,0
2010-03-19,15.86,16.28,15.64,16.26,16.26,61500,0,0
2010-03-22,16.0,16.23,15.82,16.19,16.19,10600,0,0
2010-03-23,16.02,16.45,16.02,16.45,16.45,18600,0,0
2010-03-24,16.27,16.97,16.26,16.49,16.49,23200,0,0
2010-03-25,16.61,16.75,16.48,16.57,16.57,242600,0,0
2010-03-26,16.58,16.68,16.36,16.55,16.55,17900,0,0
2010-03-29,16.63,16.7,16.24,16.53,16.53,18800,0,0
2010-03-30,16.38,16.44,15.68,15.69,15.69,22000,0,0
2010-03-31,15.65,16.25,15.65,16.16,16.16,39900,0,0
2010-04-01,16.15,16.15,15.62,15.73,15.73,21800,0,0
2010-04-05,15.67,15.93,15.47,15.93,15.93,13500,0,0
2010-04-06,15.77,16.56,15.67,16.56,16.56,44900,0,0
2010-04-07,16.44,16.68,16.44,16.59,16.59,25000,0,0
2010-04-08,16.55,17.11,16.54,16.76,16.76,14400,0,0
2010-04-09,16.75,16.75,16.0,16.55,16.55,21700,0,0
2010-04-12,16.38,17.06,16.29,16.93,16.93,21900,0,0
2010-04-13,16.8,16.87,16.47,16.72,16.72,40800,0,0
2010-04-14,16.88,17.15,15.76,17.15,17.15,33000,0,0
2010-04-15,17.13,17.75,17.05,17.72,17.72,30900,0,0
2010-04-16,17.73,17.73,17.23,17.42,17.42,21600,0,0
2010-04-19,17.37,17.52,17.32,17.45,17.45,8800,0,0
2010-04-20,17.54,17.55,17.3,17.43,17.43,24300,0,0
2010-04-21,17.37,17.61,16.98,17.61,17.61,17500,0,0
2010-04-22,17.3,17.88,17.14,17.88,17.88,16700,0,0
2010-04-23,17.2,18.17,17.2,18.09,18.09,18400,0,0
2010-04-26,17.98,18.34,17.98,18.16,18.16,9200,0,0
2010-04-27,18.04,18.59,18.04,18.31,18.31,20200,0,0
2010-04-28,18.37,18.57,18.0,18.55,18.55,8700,0,0
2010-04-29,18.55,18.79,18.39,18.59,18.59,16100,0,0
2010-04-30,18.5,18.76,18.4,18.42,18.42,26000,0,0
2010-05-03,18.43,18.61,18.4,18.58,18.58,10000,0,0
2010-05-04,18.4,18.4,17.47,17.57,17.57,84200,0,0
2010-05-05,16.66,17.35,16.66,17.1,17.1,9400,0,0
2010-05-06,17.16,17.24,15.91,16.75,16.75,73900,0,0
2010-05-07,16.77,17.35,15.67,15.84,15.84,30100,0,0
2010-05-10,16.38,16.38,15.71,16.25,16.25,28300,0,0
2010-05-11,16.16,16.94,16.16,16.94,16.94,14600,0,0
2010-05-12,16.95,18.02,16.74,17.98,17.98,16700,0,0
2010-05-13,17.88,17.88,17.4,17.62,17.62,8800,0,0
2010-05-14,17.48,17.48,16.89,16.97,16.97,12900,0,0
2010-05-17,17.09,18.05,16.86,17.82,17.82,20700,0,0
2010-05-18,18.03,18.03,17.41,17.49,17.49,23600,0,0
2010-05-19,17.54,17.64,17.04,17.04,17.04,12000,0,0
2010-05-20,16.8,16.8,16.13,16.37,16.37,29800,0,0
2010-05-21,16.15,16.9,16.15,16.74,16.74,55700,0,0
2010-05-24,16.77,16.77,15.5,15.56,15.56,143800,0,0
2010-05-25,15.01,15.06,14.51,14.93,14.93,46800,0,0
2010-05-26,14.97,15.32,14.65,14.65,14.65,30300,0,0
2010-05-27,14.72,15.21,14.46,15.09,15.09,30500,0,0
2010-05-28,14.99,15.61,14.99,15.04,15.04,30300,0,0
2010-06-01,15.05,15.11,14.32,14.33,14.33,36600,0,0
2010-06-02,14.32,14.82,14.26,14.81,14.81,17500,0,0
2010-06-03,14.7,15.31,14.7,15.26,15.26,70800,0,0
2010-06-04,15.0,15.14,14.0,14.02,14.02,21200,0,0
2010-06-07,14.01,14.14,13.67,13.7,13.7,15700,0,0
2010-06-08,13.8,13.87,13.57,13.79,13.79,42000,0,0
2010-06-09,13.97,14.13,13.75,13.9,13.9,61500,0,0
2010-06-10,14.01,14.51,13.9,14.5,14.5,50500,0,0
2010-06-11,14.42,14.89,14.42,14.89,14.89,14000,0,0
2010-06-14,14.97,15.02,14.56,14.8,14.8,27000,0,0
2010-06-15,14.52,15.85,14.52,15.83,15.83,30400,0,0
2010-06-16,15.48,15.48,15.0,15.25,15.25,41700,0,0
2010-06-17,15.45,15.45,15.1,15.28,15.28,18400,0,0
2010-06-18,15.39,15.45,15.01,15.23,15.23,77800,0,0
2010-06-21,15.45,15.45,15.25,15.39,15.39,10500,0,0
2010-06-22,15.58,15.58,15.0,15.01,15.01,17400,0,0
2010-06-23,15.01,15.27,15.0,15.17,15.17,12000,0,0
2010-06-24,15.03,15.31,15.03,15.1,15.1,8800,0,0
2010-06-25,15.22,17.36,15.14,16.59,16.59,374300,0,0
2010-06-28,16.39,16.87,16.34,16.8,16.8,19700,0,0
2010-06-29,16.45,16.69,15.92,16.12,16.12,21100,0,0
2010-06-30,16.07,16.2,16.02,16.12,16.12,29800,0,0
2010-07-01,16.08,16.17,15.59,16.08,16.08,20900,0,0
2010-07-02,16.27,16.27,15.89,16.08,16.08,16200,0,0
2010-07-06,16.23,16.37,15.43,15.48,15.48,22300,0,0
2010-07-07,15.5,16.08,15.5,16.06,16.06,20800,0,0
2010-07-08,16.27,16.29,15.67,15.78,15.78,19300,0,0
2010-07-09,15.64,15.78,15.64,15.76,15.76,9600,0,0
2010-07-12,15.87,15.88,15.26,15.27,15.27,7500,0,0
2010-07-13,15.55,15.81,15.21,15.74,15.74,43800,0,0
2010-07-14,15.6,15.74,15.47,15.64,15.64,23300,0,0
2010-07-15,15.8,15.8,15.26,15.28,15.28,17300,0,0
2010-07-16,15.12,15.42,14.57,14.76,14.76,24100,0,0
2010-07-19,15.04,15.04,14.57,14.79,14.79,13200,0,0
2010-07-20,14.53,15.13,14.36,15.1,15.1,13400,0,0
2010-07-21,15.24,15.27,14.87,14.88,14.88,21000,0,0
2010-07-22,15.23,15.37,15.08,15.37,15.37,9900,0,0
2010-07-23,15.24,16.66,15.23,16.54,16.54,23600,0,0
2010-07-26,16.54,16.8,15.89,16.8,16.8,34400,0,0
2010-07-27,16.88,16.91,16.51,16.81,16.81,19800,0,0
2010-07-28,16.69,16.73,16.58,16.63,16.63,15600,0,0
2010-07-29,16.83,16.83,16.4,16.57,16.57,9600,0,0
2010-07-30,16.31,16.72,16.14,16.39,16.39,10300,0,0
2010-08-02,16.71,16.71,16.11,16.49,16.49,12500,0,0
2010-08-03,16.39,16.44,16.12,16.13,16.13,18400,0,0
2010-08-04,16.15,16.51,16.04,16.48,16.48,38300,0,0
2010-08-05,16.3,16.3,15.36,15.85,15.85,48600,0,0
2010-08-06,15.63,15.66,15.1,15.16,15.16,15400,0,0
2010-08-09,15.37,15.37,14.61,15.01,15.01,13300,0,0
2010-08-10,14.76,14.98,14.57,14.57,14.57,15500,0,0
2010-08-11,14.5,14.51,13.98,14.03,14.03,32700,0,0
2010-08-12,13.75,14.14,13.61,13.85,13.85,20600,0,0
2010-08-13,13.76,13.98,13.42,13.42,13.42,27000,0,0
2010-08-16,13.39,13.48,13.15,13.39,13.39,6400,0,0
