Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,70.21,71.86,69.86,71.63,56.39,6104100,0.0,0
2010-01-05,71.64,71.64,70.28,70.56,55.54,5004900,0.0,0
2010-01-06,70.56,70.83,70.03,70.19,55.25,4726900,0.0,0
2010-01-07,70.01,70.62,69.57,70.49,55.49,4264400,0.0,0
2010-01-08,70.26,70.7,70.25,70.63,55.6,4654800,0.0,0
2010-01-11,70.73,72.26,70.73,72.16,56.8,5530000,0.0,0
2010-01-12,71.8,71.95,71.06,71.74,56.47,4672000,0.0,0
2010-01-13,71.82,72.66,71.79,72.56,57.12,4877100,0.0,0
2010-01-14,72.24,72.85,72.12,72.81,57.31,3551300,0.0,0
2010-01-15,72.83,72.93,71.68,71.99,56.67,5343300,0.0,0
2010-01-19,71.99,72.94,71.64,72.29,56.91,3680700,0.0,0
2010-01-20,72.01,72.24,70.63,71.43,56.23,3673200,0.0,0
2010-01-21,71.45,71.85,69.75,70.13,55.21,5111300,0.0,0
2010-01-22,69.87,70.29,69.0,69.08,54.38,5814000,0.0,0
2010-01-25,69.51,69.51,68.56,68.59,53.99,4999400,0.0,0
2010-01-26,68.0,68.86,67.8,68.47,53.9,4996400,0.0,0
2010-01-27,67.26,67.85,66.5,67.61,53.22,7690700,0.0,0
2010-01-28,67.69,67.83,66.55,67.37,53.03,5578700,0.0,0
2010-01-29,67.39,68.49,66.64,67.48,53.12,7232100,0.0,0
2010-02-01,67.76,67.97,67.2,67.55,53.17,4916700,0.0,0
2010-02-02,67.89,68.43,67.69,68.03,53.55,6129300,0.0,0
2010-02-03,67.82,68.43,67.7,68.24,53.72,4151000,0.0,0
2010-02-04,67.87,67.95,66.34,66.38,52.25,5983200,0.0,0
2010-02-05,66.38,67.0,65.05,66.5,52.35,7825300,0.0,0
2010-02-08,66.28,66.33,65.31,65.4,51.48,5260400,0.0,0
2010-02-09,66.2,67.11,65.71,66.52,52.36,5277500,0.0,0
2010-02-10,66.52,66.93,66.11,66.64,52.46,4933100,0.0,0
2010-02-11,66.36,66.85,65.86,66.71,52.51,5504100,0.0,0
2010-02-12,65.9,66.26,65.01,65.69,51.71,7957400,0.0,0
2010-02-16,66.06,66.43,65.56,66.33,52.21,6291000,0.0,0
2010-02-17,66.3,67.53,65.82,67.35,53.36,5988500,0.425,0
2010-02-18,67.53,68.29,67.42,68.11,53.96,4124800,0.0,0
2010-02-19,68.24,68.9,68.11,68.52,54.29,5296100,0.0,0
2010-02-22,68.84,68.92,68.13,68.4,54.19,3311300,0.0,0
2010-02-23,68.38,68.75,67.72,67.79,53.71,4152300,0.0,0
2010-02-24,68.19,68.7,67.79,68.62,54.36,4842400,0.0,0
2010-02-25,67.57,68.7,67.05,68.67,54.4,5920600,0.0,0
2010-02-26,68.67,68.98,68.14,68.65,54.39,3973200,0.0,0
2010-03-01,68.84,69.8,68.84,69.64,55.17,3703200,0.0,0
2010-03-02,69.89,70.0,69.64,69.75,55.26,5956300,0.0,0
2010-03-03,69.84,70.38,69.43,69.6,55.14,4835600,0.0,0
2010-03-04,69.66,70.79,69.64,70.37,55.75,5651700,0.0,0
2010-03-05,70.57,71.31,70.57,71.25,56.45,4057400,0.0,0
2010-03-08,71.19,71.42,70.76,70.76,56.06,4018500,0.0,0
2010-03-09,71.51,72.25,71.16,71.78,56.87,5560500,0.0,0
2010-03-10,71.97,72.22,71.38,71.79,56.88,4901800,0.0,0
2010-03-11,71.95,72.04,71.26,72.04,57.07,4983700,0.0,0
2010-03-12,71.79,72.45,71.14,71.53,56.67,5805600,0.0,0
2010-03-15,71.51,72.11,71.32,71.84,56.92,5463100,0.0,0
2010-03-16,71.97,72.5,71.59,72.4,57.36,5154500,0.0,0
2010-03-17,72.63,72.8,72.06,72.19,57.19,4486300,0.0,0
2010-03-18,72.08,72.55,72.06,72.5,57.44,3174600,0.0,0
2010-03-19,73.24,73.74,72.72,73.24,58.03,9199100,0.0,0
2010-03-22,72.66,73.03,72.57,72.61,57.53,5176900,0.0,0
2010-03-23,72.72,73.17,72.58,73.09,57.91,4964100,0.0,0
2010-03-24,72.98,73.54,72.76,73.04,57.87,4180900,0.0,0
2010-03-25,73.41,73.82,73.18,73.27,58.05,3936300,0.0,0
2010-03-26,73.46,74.07,73.46,73.62,58.33,4793700,0.0,0
2010-03-29,73.79,74.32,73.63,74.0,58.63,3034000,0.0,0
2010-03-30,74.22,74.85,73.95,74.13,58.73,2876100,0.0,0
2010-03-31,73.93,74.33,73.42,73.61,58.32,3761600,0.0,0
2010-04-01,73.87,74.48,73.54,74.13,58.73,3456300,0.0,0
2010-04-05,74.32,74.95,74.22,74.85,59.3,4505000,0.0,0
2010-04-06,74.54,74.97,74.42,74.67,59.16,3689600,0.0,0
2010-04-07,74.55,74.64,73.53,73.99,58.62,5225400,0.0,0
2010-04-08,73.69,73.91,73.28,73.7,58.39,3353300,0.0,0
2010-04-09,73.71,74.0,73.41,73.99,58.62,2818300,0.0,0
2010-04-12,74.36,74.36,73.59,73.76,58.44,3794600,0.0,0
2010-04-13,73.58,73.71,72.93,73.46,58.2,4417300,0.0,0
2010-04-14,73.33,74.05,73.13,74.0,58.63,3383900,0.0,0
2010-04-15,73.89,74.72,73.76,74.61,59.11,3360800,0.0,0
2010-04-16,74.66,74.78,73.21,73.69,58.38,7569600,0.0,0
2010-04-19,73.46,73.81,73.0,73.76,58.44,5122300,0.0,0
2010-04-20,74.13,74.68,73.27,74.2,58.79,4977900,0.0,0
2010-04-21,73.63,77.09,73.63,76.93,60.95,10706300,0.0,0
2010-04-22,76.63,76.75,75.94,76.43,60.55,8610400,0.0,0
2010-04-23,76.52,76.78,75.78,76.47,60.58,4710900,0.0,0
2010-04-26,76.57,77.08,76.26,76.4,60.53,3457300,0.0,0
2010-04-27,76.21,76.35,74.07,74.32,58.88,6237100,0.0,0
2010-04-28,74.64,74.9,73.56,74.66,59.15,6122600,0.0,0
2010-04-29,75.31,76.35,75.16,76.02,60.23,4974300,0.0,0
2010-04-30,76.02,76.49,74.9,74.95,59.38,5068500,0.0,0
