Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2018-10-10,25.96,26.11,25.35,25.35,23.22,1979,0.0,0
2018-10-11,25.35,25.79,25.34,25.48,23.34,3300,0.0,0
2018-10-12,25.46,25.75,25.41,25.6,23.45,7100,0.0,0
2018-10-15,25.55,25.73,25.4,25.73,23.57,2800,0.0,0
2018-10-16,25.78,25.78,25.29,25.78,23.61,4800,0.0,0
2018-10-17,25.4,25.67,25.4,25.55,23.4,2300,0.0,0
2018-10-18,25.46,25.77,25.46,25.61,23.46,3600,0.0,0
2018-10-19,25.53,25.66,25.53,25.62,23.46,3200,0.0,0
2018-10-22,25.65,25.76,25.54,25.76,23.59,3000,0.0,0
2018-10-23,25.46,25.6,25.46,25.56,23.41,6100,0.0,0
2018-10-24,25.56,25.76,25.56,25.76,23.59,4200,0.0,0
2018-10-25,25.56,25.56,25.47,25.49,23.35,4500,0.0,0
2018-10-26,25.58,25.58,25.31,25.48,23.34,10800,0.0,0
2018-10-29,25.58,25.61,25.58,25.6,23.45,1400,0.0,0
2018-10-30,25.66,25.66,25.42,25.5,23.35,8000,0.0,0
2018-10-31,25.48,25.54,25.28,25.4,23.26,6300,0.0,0
2018-11-01,25.36,25.55,25.36,25.55,23.4,1200,0.0,0
2018-11-02,25.39,25.39,25.32,25.36,23.23,1900,0.0,0
2018-11-05,25.32,25.54,25.32,25.48,23.34,5200,0.0,0
2018-11-06,25.33,25.57,25.33,25.35,23.22,6400,0.0,0
2018-11-07,25.37,25.54,25.37,25.38,23.24,11600,0.0,0
2018-11-08,25.36,25.45,25.35,25.4,23.26,14300,0.0,0
2018-11-09,25.25,25.5,25.25,25.33,23.2,4900,0.0,0
2018-11-12,25.4,25.43,25.3,25.36,23.23,2100,0.0,0
2018-11-13,25.19,25.42,25.19,25.29,23.16,5400,0.0,0
2018-11-14,25.23,25.27,25.19,25.23,23.11,7300,0.0,0
2018-11-15,25.21,25.35,25.2,25.25,23.13,26100,0.0,0
2018-11-16,25.12,25.32,25.11,25.23,23.11,6700,0.0,0
2018-11-19,25.11,25.3,25.04,25.14,23.02,14800,0.0,0
2018-11-20,25.22,25.28,25.1,25.1,22.99,8500,0.0,0
2018-11-21,25.31,25.44,25.13,25.3,23.17,6000,0.0,0
2018-11-23,25.13,25.44,25.13,25.22,23.1,3500,0.0,0
2018-11-26,25.16,25.34,25.14,25.14,23.02,13600,0.0,0
2018-11-27,25.14,25.2,25.1,25.1,22.99,20100,0.0,0
2018-11-28,25.19,25.19,25.1,25.13,23.02,13000,0.0,0
2018-11-29,25.29,25.29,25.1,25.1,22.99,18700,0.0,0
2018-11-30,25.01,25.15,24.81,24.93,22.83,47200,0.0,0
2018-12-03,25.29,25.29,24.92,25.12,23.01,6600,0.0,0
2018-12-04,24.69,24.98,24.15,24.98,22.88,22400,0.0,0
2018-12-06,24.36,24.97,24.2,24.65,22.58,10800,0.0,0
2018-12-07,24.66,25.31,24.66,25.05,22.94,5700,0.0,0
2018-12-10,25.2,25.2,24.7,24.9,22.8,15000,0.0,0
2018-12-11,25.09,25.17,24.81,24.81,22.72,14200,0.0,0
2018-12-12,24.89,25.0,24.59,24.59,22.52,26400,0.0,0
2018-12-13,24.3,24.54,24.23,24.3,22.62,9700,0.391,0
2018-12-14,24.13,24.66,24.13,24.37,22.68,15100,0.0,0
2018-12-17,24.48,24.68,23.68,24.14,22.47,23000,0.0,0
2018-12-18,24.12,24.12,23.67,23.92,22.26,15000,0.0,0
2018-12-19,23.93,24.65,23.38,23.38,21.76,14900,0.0,0
2018-12-20,23.4,23.65,21.84,23.32,21.7,9600,0.0,0
2018-12-21,23.16,23.84,22.78,23.3,21.68,13500,0.0,0
2018-12-24,22.95,23.37,22.3,22.58,21.01,6200,0.0,0
2018-12-26,22.41,23.25,22.41,22.93,21.34,9800,0.0,0
2018-12-27,22.76,22.77,22.13,22.34,20.79,25200,0.0,0
2018-12-28,22.44,23.75,22.44,23.61,21.97,32100,0.0,0
2018-12-31,23.73,24.0,23.26,24.0,22.34,14800,0.0,0
2019-01-02,24.0,24.5,23.65,24.1,22.43,17800,0.0,0
2019-01-03,24.0,24.03,23.96,24.03,22.36,5500,0.0,0
2019-01-04,24.29,24.49,24.01,24.01,22.35,52900,0.0,0
2019-01-07,24.15,24.27,24.03,24.07,22.4,54000,0.0,0
2019-01-08,24.4,24.6,24.06,24.4,22.71,78400,0.0,0
2019-01-09,24.48,25.08,24.07,25.0,23.27,16400,0.0,0
2019-01-10,24.95,24.99,24.5,24.79,23.07,23800,0.0,0
2019-01-11,24.79,24.79,24.51,24.7,22.99,163500,0.0,0
2019-01-14,24.13,24.79,24.13,24.53,22.83,50600,0.0,0
2019-01-15,24.33,24.81,24.33,24.7,22.99,66700,0.0,0
2019-01-16,24.87,24.9,24.38,24.55,22.85,13900,0.0,0
2019-01-17,24.39,24.84,24.3,24.6,22.89,56100,0.0,0
2019-01-18,24.68,24.7,24.47,24.61,22.9,21100,0.0,0
2019-01-22,24.94,24.98,24.59,24.9,23.17,50200,0.0,0
2019-01-23,24.83,24.83,24.71,24.83,23.11,6500,0.0,0
2019-01-24,24.83,24.93,24.55,24.65,22.94,73700,0.0,0
2019-01-25,24.61,24.85,24.61,24.78,23.06,8500,0.0,0
2019-01-28,24.78,25.04,24.65,24.95,23.22,69200,0.0,0
2019-01-29,24.82,25.07,24.8,25.0,23.27,26500,0.0,0
2019-01-30,25.08,25.31,25.0,25.1,23.36,8700,0.0,0
2019-01-31,25.39,26.2,25.27,26.2,24.38,31100,0.0,0
2019-02-01,25.8,27.18,25.4,25.99,24.19,12900,0.0,0
2019-02-04,25.94,26.34,25.86,26.27,24.45,11300,0.0,0
2019-02-05,26.45,26.64,25.99,26.25,24.43,7600,0.0,0
2019-02-06,26.31,26.39,26.0,26.39,24.56,11200,0.0,0
2019-02-07,26.3,26.3,26.0,26.22,24.4,6700,0.0,0
2019-02-08,25.99,26.22,25.99,26.07,24.26,5600,0.0,0
2019-02-11,25.9,26.15,25.9,25.9,24.1,3300,0.0,0
2019-02-12,25.93,26.05,25.88,25.88,24.09,4100,0.0,0
2019-02-13,26.05,26.05,25.85,25.85,24.06,5800,0.0,0
2019-02-14,26.27,26.41,26.24,26.41,24.58,7200,0.0,0
2019-02-15,26.49,26.49,26.27,26.4,24.57,4300,0.0,0
2019-02-19,26.56,26.56,26.25,26.25,24.43,6600,0.0,0
2019-02-20,26.49,26.49,26.11,26.28,24.46,5100,0.0,0
2019-02-21,26.39,26.49,26.19,26.39,24.56,7200,0.0,0
2019-02-22,26.49,26.65,26.21,26.35,24.52,2400,0.0,0
2019-02-25,26.53,26.66,26.29,26.39,24.56,14200,0.0,0
2019-02-26,26.42,26.78,26.28,26.64,24.79,7000,0.0,0
2019-02-27,26.75,26.75,26.14,26.3,24.48,27600,0.0,0
2019-02-28,26.43,26.85,26.19,26.85,24.99,34700,0.0,0
2019-03-01,27.36,27.36,26.23,26.85,24.99,23200,0.0,0
2019-03-04,26.65,26.85,26.5,26.74,24.89,11900,0.0,0
2019-03-05,26.64,27.75,26.62,27.4,25.5,13400,0.0,0
2019-03-06,26.85,27.4,26.39,27.0,25.13,8900,0.0,0
2019-03-07,26.95,26.95,26.43,26.89,25.03,4300,0.0,0
2019-03-08,26.83,26.95,26.26,26.88,25.02,3300,0.0,0
2019-03-11,26.74,27.16,26.4,26.86,25.0,4700,0.0,0
2019-03-12,27.0,27.07,26.63,26.9,25.03,6000,0.0,0
2019-03-13,27.24,27.24,26.56,26.9,25.03,17900,0.0,0
2019-03-14,26.81,26.98,26.35,26.89,25.39,6200,0.391,0
2019-03-15,27.1,27.1,26.82,26.92,25.42,16200,0.0,0
2019-03-18,26.66,27.25,26.38,27.17,25.66,7000,0.0,0
2019-03-19,27.0,27.0,26.36,26.5,25.03,3500,0.0,0
2019-03-20,26.85,27.09,26.44,27.09,25.58,6100,0.0,0
2019-03-21,27.09,27.09,26.6,26.85,25.36,2900,0.0,0
2019-03-22,26.84,27.07,26.72,27.07,25.56,2200,0.0,0
2019-03-25,26.99,27.1,26.95,27.1,25.59,4300,0.0,0
2019-03-26,27.0,27.47,26.98,27.22,25.71,21900,0.0,0
2019-03-27,27.23,27.28,26.89,26.92,25.42,16500,0.0,0
2019-03-28,27.09,27.29,26.99,27.09,25.58,26400,0.0,0
2019-03-29,27.17,27.4,27.04,27.15,25.64,41300,0.0,0
2019-04-01,27.86,27.86,27.39,27.47,25.94,9300,0.0,0
2019-04-02,27.01,27.53,27.01,27.18,25.67,9000,0.0,0
2019-04-03,27.14,27.2,27.11,27.11,25.6,3700,0.0,0
2019-04-04,27.33,27.51,27.03,27.13,25.62,5700,0.0,0
2019-04-05,27.2,27.47,27.14,27.33,25.81,4800,0.0,0
2019-04-08,27.05,27.55,27.05,27.36,25.84,5200,0.0,0
2019-04-09,27.33,27.48,27.25,27.34,25.82,3000,0.0,0
2019-04-10,27.14,27.5,27.14,27.5,25.97,4700,0.0,0
2019-04-11,27.5,27.5,27.06,27.06,25.56,4700,0.0,0
2019-04-12,27.43,27.5,27.16,27.18,25.67,4000,0.0,0
2019-04-15,27.32,27.49,27.08,27.24,25.73,3100,0.0,0
2019-04-16,27.09,27.49,27.09,27.17,25.66,2000,0.0,0
2019-04-17,27.35,27.49,27.35,27.49,25.96,3000,0.0,0
2019-04-18,27.29,27.49,27.29,27.49,25.96,5900,0.0,0
2019-04-22,27.39,27.49,27.2,27.35,25.83,10500,0.0,0
2019-04-23,27.46,27.49,27.2,27.49,25.96,7300,0.0,0
2019-04-24,27.48,27.49,27.21,27.49,25.96,3200,0.0,0
2019-04-25,27.48,27.49,27.28,27.47,25.94,3600,0.0,0
2019-04-26,27.48,27.48,27.23,27.33,25.81,3900,0.0,0
2019-04-29,27.48,27.48,27.25,27.33,25.81,8000,0.0,0
2019-04-30,27.33,27.79,27.26,27.79,26.24,44600,0.0,0
2019-05-01,27.74,27.79,27.4,27.49,25.96,6400,0.0,0
2019-05-02,27.45,27.63,27.45,27.57,26.04,2400,0.0,0
2019-05-03,27.6,27.69,27.42,27.56,26.03,6700,0.0,0
2019-05-06,27.55,27.68,27.33,27.44,25.91,4100,0.0,0
2019-05-07,27.62,27.62,27.36,27.43,25.9,4000,0.0,0
2019-05-08,27.53,27.53,27.53,27.53,26.0,1100,0.0,0
2019-05-09,27.44,27.44,27.36,27.41,25.89,6000,0.0,0
2019-05-10,27.59,27.59,27.41,27.54,26.01,2800,0.0,0
2019-05-13,27.35,27.59,27.35,27.53,26.0,3800,0.0,0
2019-05-14,27.88,27.88,27.58,27.62,26.08,4100,0.0,0
2019-05-15,27.71,27.75,27.5,27.75,26.21,7600,0.0,0
2019-05-16,27.63,27.94,27.58,27.75,26.21,8800,0.0,0
2019-05-17,27.8,27.94,27.7,27.7,26.16,2800,0.0,0
2019-05-20,27.71,27.91,27.54,27.87,26.32,6400,0.0,0
2019-05-21,27.87,27.87,27.7,27.8,26.25,22900,0.0,0
2019-05-22,27.88,28.07,27.88,28.05,26.49,6200,0.0,0
2019-05-23,28.07,28.07,27.89,27.9,26.35,7500,0.0,0
2019-05-24,27.99,28.05,27.9,28.05,26.49,3500,0.0,0
2019-05-28,28.0,28.05,28.0,28.05,26.49,2600,0.0,0
2019-05-29,28.29,28.29,27.94,28.03,26.47,5000,0.0,0
2019-05-30,28.24,28.38,28.03,28.32,26.75,14500,0.0,0
2019-05-31,28.22,28.4,28.22,28.39,26.81,43700,0.0,0
2019-06-03,28.35,28.48,28.29,28.48,26.9,6800,0.0,0
2019-06-04,28.48,28.48,28.31,28.44,26.86,4200,0.0,0
2019-06-05,28.43,28.47,28.27,28.29,26.72,2500,0.0,0
2019-06-06,28.37,28.39,28.22,28.37,26.79,3200,0.0,0
2019-06-07,28.48,28.76,28.33,28.76,27.16,9300,0.0,0
2019-06-10,28.42,28.62,28.42,28.61,27.02,6000,0.0,0
2019-06-11,28.72,28.72,28.47,28.68,27.08,2700,0.0,0
2019-06-12,28.68,28.68,28.06,28.2,26.63,24300,0.0,0
2019-06-13,27.91,28.12,27.62,27.65,26.48,7900,0.391,0
2019-06-14,27.57,27.75,27.56,27.75,26.58,2800,0.0,0
2019-06-17,27.59,27.72,27.59,27.7,26.53,3100,0.0,0
2019-06-18,27.71,27.75,27.53,27.66,26.49,7800,0.0,0
2019-06-19,27.67,27.67,27.58,27.58,26.41,3400,0.0,0
2019-06-20,27.69,27.69,27.6,27.65,26.48,15300,0.0,0
2019-06-21,27.75,27.75,27.54,27.61,26.44,5800,0.0,0
2019-06-24,27.62,27.62,27.51,27.58,26.41,3300,0.0,0
2019-06-25,27.69,27.69,27.43,27.49,26.33,7700,0.0,0
2019-06-26,27.57,27.57,27.35,27.36,26.2,8200,0.0,0
2019-06-27,27.37,27.48,27.37,27.4,26.24,11200,0.0,0
2019-06-28,27.4,27.4,27.32,27.38,26.22,33500,0.0,0
2019-07-01,27.45,27.45,27.15,27.15,26.0,7800,0.0,0
2019-07-02,27.15,27.2,27.15,27.19,26.04,8400,0.0,0
2019-07-03,27.19,27.19,27.01,27.01,25.87,1200,0.0,0
2019-07-05,27.25,27.27,27.25,27.27,26.12,1400,0.0,0
2019-07-08,27.2,27.2,27.03,27.09,25.94,2200,0.0,0
2019-07-09,27.01,27.2,27.0,27.2,26.05,7800,0.0,0
2019-07-10,27.2,27.2,27.02,27.02,25.88,2000,0.0,0
2019-07-11,27.17,27.17,26.98,27.08,25.93,5900,0.0,0
2019-07-12,27.15,27.15,26.97,27.04,25.9,2000,0.0,0
2019-07-15,27.15,27.15,26.98,27.06,25.91,2300,0.0,0
2019-07-16,27.04,27.11,27.04,27.11,25.96,2500,0.0,0
2019-07-17,27.14,27.19,27.05,27.14,25.99,4600,0.0,0
2019-07-18,27.2,27.59,27.2,27.54,26.37,6000,0.0,0
2019-07-19,27.58,27.58,27.5,27.5,26.34,8700,0.0,0
2019-07-22,27.53,27.58,27.5,27.57,26.4,6200,0.0,0
