Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,53.41,53.41,52.17,52.73,48.14,1128000,0.0,0
2010-01-05,52.85,52.93,52.0,52.93,48.32,830300,0.0,0
2010-01-06,52.99,54.36,52.99,53.85,49.16,1082900,0.0,0
2010-01-07,54.04,54.04,52.69,53.17,48.54,1126900,0.0,0
2010-01-08,53.11,53.35,52.29,52.65,48.07,702000,0.0,0
2010-01-11,53.09,53.12,51.7,52.18,47.64,973600,0.0,0
2010-01-12,51.71,52.42,51.59,52.08,47.55,894800,0.0,0
2010-01-13,52.17,52.81,51.61,52.79,48.2,680100,0.0,0
2010-01-14,52.67,52.87,52.07,52.65,48.07,482600,0.0,0
2010-01-15,52.67,52.81,51.0,51.16,46.71,1117100,0.0,0
2010-01-19,51.15,51.89,50.7,51.78,47.27,718500,0.0,0
2010-01-20,51.25,51.26,50.49,50.96,46.53,724400,0.0,0
2010-01-21,50.96,50.96,48.41,48.44,44.23,1477100,0.0,0
2010-01-22,48.02,48.71,46.96,47.06,42.97,1644600,0.0,0
2010-01-25,47.62,47.7,46.25,46.77,42.7,1594600,0.0,0
2010-01-26,46.5,47.53,46.08,46.94,42.86,1020500,0.0,0
2010-01-27,46.59,46.59,45.15,46.22,42.2,1506100,0.0,0
2010-01-28,46.45,46.45,44.7,45.17,41.24,995700,0.0,0
2010-01-29,45.39,45.88,44.03,44.19,40.34,1654800,0.0,0
2010-02-01,44.54,44.95,44.11,44.95,41.04,858500,0.0,0
2010-02-02,45.27,46.04,44.9,45.84,41.85,931200,0.0,0
2010-02-03,45.76,46.05,44.84,45.12,41.19,812400,0.0,0
2010-02-04,44.58,44.89,42.98,43.3,39.53,1976200,0.0,0
2010-02-05,43.29,43.81,42.59,43.66,39.86,1577200,0.0,0
2010-02-08,43.74,44.28,43.25,43.5,39.71,1544500,0.0,0
2010-02-09,42.98,43.3,41.8,42.63,38.92,3844900,0.0,0
2010-02-10,43.69,43.71,41.9,42.83,39.1,2004300,0.0,0
2010-02-11,42.8,43.07,42.16,43.05,39.3,1215500,0.0,0
2010-02-12,42.29,42.99,41.99,42.94,39.2,1457400,0.0,0
2010-02-16,43.21,44.62,43.02,44.48,40.61,1312600,0.0,0
2010-02-17,44.64,45.0,43.97,44.35,40.49,1008500,0.0,0
2010-02-18,44.17,44.6,43.93,44.45,40.58,620600,0.0,0
2010-02-19,44.22,45.61,44.04,45.5,41.54,1372600,0.0,0
2010-02-22,45.71,46.42,45.38,45.82,41.83,1215900,0.0,0
