Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,19.47,19.75,19.47,19.6,15.9,834000,0.0,0
2010-01-05,19.55,20.14,19.5,20.14,16.34,1612200,0.0,0
2010-01-06,20.01,20.15,19.88,20.07,16.29,1080500,0.0,0
2010-01-07,20.03,20.88,20.03,20.7,16.8,1602000,0.0,0
2010-01-08,20.61,21.02,20.52,20.99,17.03,1144500,0.0,0
2010-01-11,20.91,21.05,19.52,19.76,16.03,3666900,0.0,0
2010-01-12,19.68,19.98,19.62,19.92,16.16,1179900,0.0,0
2010-01-13,19.97,20.4,19.88,20.31,16.48,992100,0.0,0
2010-01-14,20.18,20.65,20.16,20.55,16.67,984700,0.0,0
2010-01-15,20.5,20.55,20.16,20.5,16.63,1262700,0.0,0
2010-01-19,20.36,20.6,19.95,20.36,16.52,1636000,0.0,0
2010-01-20,19.73,19.9,19.41,19.54,15.86,3028300,0.0,0
2010-01-21,19.51,19.62,19.19,19.2,15.58,2071400,0.0,0
2010-01-22,19.29,19.54,18.94,19.15,15.54,1762900,0.0,0
2010-01-25,19.26,19.48,19.05,19.11,15.51,841600,0.0,0
2010-01-26,19.08,19.27,18.92,18.93,15.36,1227500,0.0,0
2010-01-27,18.92,19.15,18.85,19.15,15.54,1011700,0.0,0
2010-01-28,19.13,19.14,18.7,18.87,15.31,1014600,0.0,0
2010-01-29,18.96,19.12,18.62,18.65,15.13,1166500,0.0,0
2010-02-01,18.75,19.15,18.61,19.04,15.45,1189400,0.0,0
2010-02-02,19.13,19.22,18.95,19.04,15.45,883100,0.0,0
2010-02-03,18.89,19.04,18.8,18.8,15.25,797200,0.0,0
2010-02-04,18.71,18.85,18.52,18.63,15.12,1180800,0.0,0
2010-02-05,18.66,18.84,18.32,18.75,15.21,1248800,0.0,0
2010-02-08,19.15,19.33,18.97,18.99,15.41,1114700,0.0,0
2010-02-09,19.29,19.39,19.0,19.22,15.6,623600,0.0,0
2010-02-10,19.15,19.25,18.81,18.88,15.32,857700,0.0,0
2010-02-11,18.79,19.14,18.66,19.14,15.53,666900,0.0,0
2010-02-12,18.96,19.27,18.96,19.26,15.63,596300,0.0,0
2010-02-16,19.25,19.38,19.06,19.37,15.72,632300,0.0,0
2010-02-17,19.45,19.49,19.22,19.33,15.68,484500,0.0,0
2010-02-18,19.37,19.56,19.28,19.55,15.86,519600,0.0,0
2010-02-19,19.55,19.63,19.38,19.54,15.86,457300,0.0,0
2010-02-22,19.65,19.78,19.57,19.73,16.01,482300,0.0,0
2010-02-23,19.63,19.88,19.48,19.48,15.81,1416600,0.0,0
2010-02-24,19.58,19.89,19.47,19.85,16.11,1597300,0.0,0
2010-02-25,19.64,19.72,19.55,19.57,15.88,648900,0.0,0
2010-02-26,19.63,19.71,19.37,19.49,15.81,845400,0.0,0
2010-03-01,19.62,19.67,19.43,19.53,15.85,634700,0.0,0
2010-03-02,19.44,19.55,19.32,19.46,15.79,754600,0.0,0
2010-03-03,19.55,19.56,19.27,19.31,15.67,904400,0.0,0
2010-03-04,19.4,19.5,19.23,19.35,15.7,711800,0.0,0
2010-03-05,19.41,19.46,19.22,19.39,15.73,1089400,0.0,0
2010-03-08,19.31,19.45,19.16,19.32,15.68,576400,0.0,0
2010-03-09,19.2,19.43,19.2,19.38,15.73,803800,0.0,0
2010-03-10,19.42,19.91,19.36,19.88,16.13,1354400,0.0,0
2010-03-11,19.85,20.01,19.67,20.01,16.24,954300,0.0,0
2010-03-12,20.05,20.17,19.89,20.03,16.25,724400,0.0,0
2010-03-15,20.06,20.2,19.81,20.04,16.26,603700,0.0,0
2010-03-16,20.04,20.16,19.91,20.15,16.35,625900,0.0,0
2010-03-17,20.15,20.48,19.98,20.35,16.51,958900,0.0,0
2010-03-18,20.34,20.48,20.16,20.25,16.43,1216600,0.0,0
2010-03-19,20.23,20.43,19.93,20.05,16.27,928100,0.0,0
2010-03-22,19.98,20.15,19.72,20.0,16.23,426200,0.0,0
2010-03-23,20.04,20.18,19.82,20.18,16.37,386600,0.0,0
2010-03-24,20.23,20.5,20.14,20.41,16.56,835400,0.0,0
2010-03-25,20.57,20.71,20.43,20.52,16.65,616500,0.0,0
2010-03-26,20.63,20.7,20.15,20.24,16.42,462700,0.0,0
