Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,11.98,12.54,11.98,12.5,10.13,528800,0.0,0
2010-01-05,12.48,13.02,12.28,12.36,10.02,1026200,0.0,0
2010-01-06,12.36,12.81,12.17,12.54,10.16,760100,0.0,0
2010-01-07,12.54,12.83,12.5,12.79,10.36,839000,0.0,0
2010-01-08,12.72,13.01,12.59,12.97,10.51,594700,0.0,0
2010-01-11,13.05,13.19,12.78,13.1,10.62,663400,0.0,0
2010-01-12,12.92,13.3,12.73,13.27,10.75,1148500,0.0,0
2010-01-13,13.42,13.85,13.04,13.59,11.01,1089000,0.0,0
2010-01-14,13.57,14.16,13.46,14.11,11.43,1248800,0.0,0
2010-01-15,14.16,14.16,13.55,13.84,11.22,698000,0.0,0
2010-01-19,13.84,14.34,13.73,14.22,11.52,542400,0.0,0
2010-01-20,14.12,14.32,13.73,14.06,11.39,787400,0.0,0
2010-01-21,14.16,15.19,14.14,14.4,11.67,3672700,0.0,0
2010-01-22,14.0,16.11,13.9,14.65,11.87,3201100,0.0,0
2010-01-25,14.96,15.82,14.6,15.62,12.66,1601000,0.0,0
2010-01-26,15.52,16.1,15.13,15.16,12.28,1462400,0.0,0
2010-01-27,15.19,16.21,14.08,16.08,13.03,1759100,0.0,0
2010-01-28,16.23,16.6,15.67,15.78,12.79,1339800,0.0,0
2010-01-29,15.88,16.17,15.47,15.47,12.54,1140300,0.0,0
2010-02-01,15.66,16.19,15.49,16.0,12.97,920400,0.0,0
2010-02-02,15.95,16.17,15.71,16.0,12.97,1044300,0.0,0
2010-02-03,15.92,16.01,14.96,15.34,12.43,1589800,0.0,0
2010-02-04,15.17,15.17,14.39,14.44,11.71,1504500,0.01,0
2010-02-05,14.56,15.07,14.05,14.78,11.98,985700,0.0,0
2010-02-08,14.76,15.1,14.27,14.68,11.9,612900,0.0,0
2010-02-09,14.86,15.09,14.47,14.88,12.07,760600,0.0,0
2010-02-10,14.84,15.45,14.65,15.24,12.36,651100,0.0,0
2010-02-11,15.31,15.96,15.2,15.35,12.45,771100,0.0,0
2010-02-12,15.12,15.49,15.02,15.39,12.48,522500,0.0,0
2010-02-16,15.55,15.99,15.34,15.98,12.96,663000,0.0,0
2010-02-17,16.0,16.15,15.78,16.15,13.1,1110100,0.0,0
2010-02-18,16.07,16.15,15.83,16.13,13.08,444700,0.0,0
2010-02-19,15.94,16.31,15.94,16.24,13.17,531500,0.0,0
2010-02-22,16.3,16.65,16.3,16.53,13.4,815500,0.0,0
2010-02-23,16.48,16.7,16.12,16.15,13.1,943000,0.0,0
2010-02-24,16.24,16.98,16.24,16.55,13.42,493600,0.0,0
2010-02-25,16.25,16.36,16.02,16.21,13.14,996400,0.0,0
2010-02-26,16.26,16.37,15.77,16.0,12.97,1132400,0.0,0
2010-03-01,16.43,16.43,16.11,16.26,13.18,794100,0.0,0
2010-03-02,16.34,16.77,16.28,16.5,13.38,860600,0.0,0
2010-03-03,16.61,16.7,16.06,16.25,13.18,889500,0.0,0
2010-03-04,16.28,16.28,16.0,16.1,13.06,674700,0.0,0
2010-03-05,16.22,16.5,16.02,16.5,13.38,528800,0.0,0
2010-03-08,16.44,16.93,16.34,16.81,13.63,770000,0.0,0
2010-03-09,16.65,16.92,16.47,16.78,13.61,475200,0.0,0
2010-03-10,16.78,17.26,16.71,17.1,13.87,569900,0.0,0
2010-03-11,16.98,17.35,16.97,17.31,14.04,692700,0.0,0
2010-03-12,17.39,17.51,17.05,17.27,14.0,599000,0.0,0
