Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,26.53,26.72,26.32,26.48,66800,0.0,0
2010-01-05,26.36,26.49,25.8,25.86,64000,0.0,0
2010-01-06,26.0,26.06,25.69,25.8,56300,0.25,0
2010-01-07,25.71,25.92,25.38,25.84,40800,0.0,0
2010-01-08,25.7,26.24,25.7,26.19,55700,0.0,0
2010-01-11,26.46,26.7,25.97,26.7,131500,0.0,0
2010-01-12,25.56,26.52,25.55,26.47,136300,0.0,0
2010-01-13,26.49,26.7,26.24,26.44,57700,0.0,0
2010-01-14,26.42,26.52,26.21,26.42,67100,0.0,0
2010-01-15,26.52,26.52,25.96,26.23,107700,0.0,0
2010-01-19,26.35,26.96,26.01,26.93,90800,0.0,0
2010-01-20,26.72,26.78,26.01,26.58,78600,0.0,0
2010-01-21,26.67,26.82,26.05,26.09,51300,0.0,0
2010-01-22,26.15,26.66,26.0,26.11,42300,0.0,0
2010-01-25,26.37,26.47,25.89,26.38,77300,0.0,0
2010-01-26,26.39,26.44,25.96,26.01,42400,0.0,0
2010-01-27,25.92,26.23,25.68,26.16,36500,0.0,0
2010-01-28,26.15,26.29,25.64,25.66,49900,0.0,0
2010-01-29,25.83,25.9,25.14,25.28,101900,0.0,0
2010-02-01,25.46,25.66,25.17,25.52,44500,0.0,0
2010-02-02,25.46,25.66,25.26,25.5,41300,0.0,0
2010-02-03,25.47,25.47,24.93,24.99,52400,0.0,0
2010-02-04,24.83,24.83,24.33,24.51,84200,0.0,0
2010-02-05,24.53,24.59,24.07,24.57,72600,0.0,0
2010-02-08,24.48,24.58,24.12,24.49,45200,0.0,0
2010-02-09,24.67,24.8,24.34,24.72,33900,0.0,0
2010-02-10,24.57,24.72,24.4,24.67,36600,0.0,0
2010-02-11,24.57,25.18,24.17,25.14,41700,0.0,0
2010-02-12,24.99,25.29,24.92,25.11,41000,0.0,0
2010-02-16,25.36,25.36,24.66,25.35,32200,0.0,0
2010-02-17,25.51,25.67,25.45,25.67,37400,0.0,0
2010-02-18,25.78,26.29,25.73,26.24,31500,0.0,0
2010-02-19,26.26,26.61,26.01,26.2,41700,0.0,0
2010-02-22,26.15,26.5,26.15,26.2,28000,0.0,0
2010-02-23,26.15,26.6,26.15,26.32,30200,0.0,0
2010-02-24,26.3,26.62,26.25,26.57,17000,0.0,0
2010-02-25,26.19,26.49,26.05,26.38,21400,0.0,0
2010-02-26,26.36,26.36,25.73,25.73,33200,0.0,0
2010-03-01,25.75,26.19,25.58,26.12,55200,0.0,0
2010-03-02,25.89,26.47,25.79,26.13,102300,0.0,0
2010-03-03,26.24,26.84,26.24,26.39,38500,0.0,0
2010-03-04,26.37,26.52,26.18,26.51,19400,0.0,0
2010-03-05,26.56,26.75,26.1,26.62,76700,0.0,0
2010-03-08,26.68,26.84,26.4,26.79,17700,0.0,0
2010-03-09,26.8,27.13,26.66,26.75,37200,0.0,0
2010-03-10,26.75,27.11,26.53,26.76,38000,0.0,0
2010-03-11,26.53,27.01,26.48,26.92,33400,0.0,0
2010-03-12,26.92,27.07,26.52,27.03,24500,0.0,0
2010-03-15,26.91,27.21,26.86,27.17,26900,0.0,0
2010-03-16,27.18,27.3,26.88,27.3,16100,0.0,0
2010-03-17,27.35,27.62,27.32,27.44,27900,0.0,0
2010-03-18,27.5,27.64,27.29,27.42,14500,0.0,0
2010-03-19,27.58,27.58,27.17,27.21,80400,0.0,0
2010-03-22,27.02,27.43,27.02,27.35,53900,0.0,0
2010-03-23,27.3,27.63,27.24,27.58,29300,0.0,0
2010-03-24,27.56,27.65,27.07,27.08,22700,0.0,0
2010-03-25,27.16,27.39,26.9,27.01,25000,0.0,0
2010-03-26,27.03,27.07,26.62,26.74,28600,0.0,0
2010-03-29,26.74,27.03,26.53,26.79,20500,0.0,0
2010-03-30,26.91,27.07,26.71,27.06,25600,0.0,0
2010-03-31,27.04,27.45,26.95,26.98,41800,0.0,0
2010-04-01,27.2,27.3,26.83,27.02,44600,0.0,0
2010-04-05,27.12,27.6,27.01,27.6,42100,0.0,0
2010-04-06,27.54,27.59,27.05,27.36,45200,0.0,0
2010-04-07,27.42,27.61,27.15,27.5,52900,0.0,0
2010-04-08,28.77,29.03,27.85,28.13,168000,0.0,0
2010-04-09,28.23,28.31,27.61,28.13,92100,0.0,0
2010-04-12,28.07,28.35,27.85,28.27,101900,0.0,0
2010-04-13,28.19,29.1,27.95,28.99,89300,0.0,0
2010-04-14,29.23,29.53,29.01,29.43,71700,0.25,0
2010-04-15,29.43,29.61,29.13,29.29,65100,0.0,0
2010-04-16,29.29,29.7,29.25,29.37,94600,0.0,0
2010-04-19,29.34,29.62,28.77,29.62,75300,0.0,0
2010-04-20,29.79,29.92,29.6,29.92,67800,0.0,0
2010-04-21,30.01,30.33,29.92,30.3,45000,0.0,0
2010-04-22,30.03,30.14,29.79,30.01,35300,0.0,0
2010-04-23,29.94,30.13,29.89,30.13,27400,0.0,0
2010-04-26,30.22,30.29,29.13,29.61,81200,0.0,0
2010-04-27,29.44,29.95,29.14,29.21,56000,0.0,0
2010-04-28,29.31,29.86,28.99,29.39,31900,0.0,0
2010-04-29,29.67,30.08,29.29,30.08,39400,0.0,0
2010-04-30,30.12,30.12,29.13,29.15,52600,0.0,0
2010-05-03,29.47,29.88,29.1,29.69,35400,0.0,0
2010-05-04,29.26,29.49,28.85,29.29,47000,0.0,0
2010-05-05,29.32,29.68,29.03,29.38,42700,0.0,0
2010-05-06,29.3,30.1,25.86,28.57,86100,0.0,0
2010-05-07,28.43,28.94,27.84,28.1,93300,0.0,0
2010-05-10,28.61,29.71,28.61,29.64,62600,0.0,0
2010-05-11,29.2,29.65,28.72,29.41,42200,0.0,0
2010-05-12,29.58,30.11,29.41,29.96,58400,0.0,0
2010-05-13,29.78,30.05,29.49,29.65,44000,0.0,0
2010-05-14,29.35,29.61,29.09,29.49,35700,0.0,0
2010-05-17,29.75,30.03,28.96,29.81,55400,0.0,0
2010-05-18,30.21,30.21,29.06,29.21,30000,0.0,0
2010-05-19,29.25,29.39,28.82,29.06,106600,0.0,0
2010-05-20,28.49,28.49,27.72,27.93,70400,0.0,0
2010-05-21,27.47,28.01,27.36,27.77,57800,0.0,0
2010-05-24,27.72,27.72,27.05,27.08,41300,0.0,0
2010-05-25,26.6,26.95,26.48,26.67,61800,0.0,0
2010-05-26,26.8,27.33,26.65,26.73,61100,0.0,0
2010-05-27,27.31,27.72,27.08,27.63,142800,0.0,0
2010-05-28,27.57,27.64,27.0,27.01,44700,0.0,0
2010-06-01,27.2,27.43,26.87,26.87,69100,0.0,0
2010-06-02,27.13,27.66,26.74,27.63,112600,0.0,0
2010-06-03,27.61,27.96,27.36,27.71,85700,0.0,0
2010-06-04,27.34,27.66,26.37,26.52,78300,0.0,0
2010-06-07,26.56,26.7,25.84,25.9,67000,0.0,0
2010-06-08,26.02,26.22,25.64,26.08,34400,0.0,0
2010-06-09,26.41,26.52,24.92,25.91,37500,0.0,0
2010-06-10,26.41,26.56,25.83,26.4,31700,0.0,0
2010-06-11,26.02,26.67,26.02,26.67,27100,0.0,0
2010-06-14,26.86,27.25,26.73,26.8,34900,0.0,0
2010-06-15,27.09,27.63,26.68,27.52,44200,0.0,0
2010-06-16,27.23,27.85,27.23,27.43,33700,0.0,0
2010-06-17,27.57,27.79,27.37,27.6,15800,0.0,0
2010-06-18,27.57,27.88,27.37,27.64,96900,0.0,0
2010-06-21,28.1,28.24,27.28,27.39,30300,0.0,0
2010-06-22,27.57,28.06,27.12,27.3,50600,0.0,0
2010-06-23,27.27,27.5,26.92,27.03,45700,0.0,0
2010-06-24,26.91,27.2,26.76,26.91,44600,0.0,0
2010-06-25,27.09,27.66,26.8,27.26,245500,0.0,0
2010-06-28,27.26,28.18,27.06,27.8,77300,0.0,0
2010-06-29,27.32,28.29,27.32,27.66,82700,0.0,0
2010-06-30,27.64,27.99,27.54,27.64,51800,0.0,0
2010-07-01,27.57,28.16,27.47,27.99,87500,0.0,0
2010-07-02,28.19,28.37,27.86,28.28,38500,0.0,0
2010-07-06,28.56,28.77,27.73,27.9,82400,0.0,0
2010-07-07,28.1,28.27,27.72,28.05,149600,0.0,0
2010-07-08,28.83,29.46,28.37,29.44,159000,0.0,0
2010-07-09,29.47,29.95,29.47,29.79,83200,0.0,0
2010-07-12,29.68,30.01,29.54,29.62,41800,0.0,0
2010-07-13,29.87,30.21,29.76,30.13,96500,0.0,0
2010-07-14,30.3,30.34,29.81,29.99,71400,0.25,0
2010-07-15,29.94,29.97,29.27,29.75,68200,0.0,0
2010-07-16,29.43,29.57,28.86,28.95,93000,0.0,0
2010-07-19,29.14,29.51,28.86,29.46,69000,0.0,0
2010-07-20,29.04,29.86,28.93,29.86,42600,0.0,0
2010-07-21,30.0,30.19,29.22,29.31,62500,0.0,0
2010-07-22,29.66,30.02,29.34,29.83,101100,0.0,0
2010-07-23,29.62,30.47,29.47,30.32,57000,0.0,0
2010-07-26,30.53,30.96,30.21,30.93,75400,0.0,0
2010-07-27,31.23,31.25,30.7,31.08,75900,0.0,0
