Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-07-16,17.29,17.61,17.14,17.25,13218084,0.0,0
2013-07-17,17.25,17.39,16.67,17.35,6607864,0.0,0
2013-07-18,17.43,17.51,16.77,17.41,5806568,0.0,0
2013-07-19,17.45,17.5,17.34,17.36,779613,0.0,0
2013-07-22,17.36,17.47,17.29,17.39,1037539,0.0,0
2013-07-23,17.36,17.43,17.25,17.31,1421822,0.0,0
2013-07-24,17.25,17.28,17.08,17.11,2173783,0.0,0
2013-07-25,17.01,17.11,16.98,17.05,779142,0.0,0
2013-07-26,17.1,17.13,17.01,17.07,921295,0.0,0
2013-07-29,17.08,17.08,16.8,16.81,1511448,0.0,0
2013-07-30,16.84,16.9,16.8,16.87,1569251,0.0,0
2013-07-31,16.83,17.03,16.8,16.9,1260627,0.0,0
2013-08-01,16.92,16.96,16.77,16.84,624967,0.0,0
2013-08-02,16.92,16.94,16.84,16.91,369562,0.0,0
2013-08-05,16.98,16.98,16.87,16.94,287288,0.0,0
2013-08-06,16.94,16.94,16.81,16.87,1653027,0.0,0
2013-08-07,16.88,16.9,16.77,16.84,1611032,0.0,0
2013-08-08,16.92,17.0,16.84,16.94,626482,0.0,0
2013-08-09,16.94,17.07,16.92,17.01,383196,0.0,0
2013-08-12,17.08,17.08,17.01,17.03,414388,0.0,0
2013-08-13,17.02,17.02,16.88,16.91,394295,0.0,0
2013-08-14,16.85,16.94,16.71,16.74,352654,0.0,0
2013-08-15,16.63,16.74,16.53,16.7,651588,0.0,0
2013-08-16,16.7,16.7,16.57,16.63,609119,0.0,0
2013-08-19,16.57,16.63,16.32,16.55,382651,0.0,0
2013-08-20,16.34,16.6,16.23,16.57,539369,0.0,0
2013-08-21,16.26,16.54,16.26,16.46,462643,0.0,0
2013-08-22,16.5,16.63,16.48,16.57,1321472,0.0,0
2013-08-23,16.57,16.67,16.57,16.6,251025,0.0,0
2013-08-26,16.68,16.7,16.58,16.6,178850,0.0,0
2013-08-27,16.63,16.64,16.54,16.63,142485,0.0,0
2013-08-28,16.71,16.85,16.6,16.76,87230,0.21531,0
2013-08-29,16.75,16.91,16.71,16.85,173796,0.0,0
2013-08-30,16.95,16.95,16.79,16.79,120418,0.0,0
2013-09-03,16.81,16.84,16.67,16.73,273469,0.0,0
2013-09-04,16.75,16.8,16.69,16.7,134365,0.0,0
2013-09-05,16.69,16.72,16.57,16.65,210569,0.0,0
2013-09-06,16.68,16.71,16.57,16.6,80038,0.0,0
2013-09-09,16.6,16.74,16.58,16.69,421857,0.0,0
2013-09-10,16.69,16.69,16.58,16.61,575571,0.0,0
2013-09-11,16.59,16.62,16.48,16.53,517740,0.0,0
