Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2014-05-01,24.53,25.25,24.53,24.56,15.35,22600,0.0,0
2014-05-02,24.5,25.06,24.25,24.4,15.25,14950,0.0,0
2014-05-05,24.95,25.1,24.2,24.65,15.41,15950,0.0,0
2014-05-06,24.94,24.95,24.8,24.8,15.5,2914,0.0,0
2014-05-07,24.7,24.85,24.61,24.74,15.46,3000,0.0,0
2014-05-08,24.8,25.0,24.7,24.7,15.44,2900,0.0,0
2014-05-09,24.75,24.97,24.7,24.82,15.51,22195,0.0,0
2014-05-12,24.95,24.97,24.9,24.95,15.59,5750,0.0,0
2014-05-13,24.75,24.95,24.74,24.95,15.59,2150,0.0,0
2014-05-14,24.9,25.05,24.9,24.99,15.62,1874,0.0,0
2014-05-15,25.25,25.25,25.2,25.25,15.78,4200,0.0,0
2014-05-16,24.91,25.25,24.91,25.22,15.76,2215,0.0,0
2014-05-19,25.5,25.5,25.0,25.3,15.81,6580,0.0,0
2014-05-20,25.38,25.38,24.7,25.09,15.68,28670,0.0,0
2014-05-21,25.06,25.06,24.5,24.97,15.61,18520,0.0,0
2014-05-22,25.0,25.25,25.0,25.1,15.69,4800,0.0,0
2014-05-23,25.25,25.25,24.9,24.9,15.56,3975,0.0,0
2014-05-28,24.9,25.24,24.75,25.24,15.77,2920,0.0,0
2014-05-29,24.97,25.2,24.8,25.2,15.75,3100,0.0,0
2014-05-30,25.15,27.43,25.13,26.83,16.77,13177,0.0,0
2014-06-02,25.75,25.75,25.01,25.75,16.09,1550,0.0,0
2014-06-03,25.25,25.25,25.25,25.25,15.78,245,0.0,0
2014-06-04,25.1,25.1,25.0,25.0,15.63,5628,0.0,0
2014-06-05,25.12,25.5,25.12,25.5,15.94,600,0.0,0
2014-06-06,25.55,25.55,25.2,25.25,15.78,1900,0.0,0
2014-06-09,25.22,25.45,25.1,25.41,15.88,1550,0.0,0
2014-06-10,25.07,25.52,25.07,25.5,15.94,9090,0.0,0
2014-06-11,25.36,25.41,25.15,25.38,15.86,1540,0.0,0
2014-06-12,25.22,25.35,25.22,25.35,15.85,700,0.0,0
2014-06-13,25.25,25.25,25.18,25.25,15.78,1300,0.0,0
2014-06-16,25.24,25.25,25.23,25.24,15.78,3236,0.0,0
2014-06-17,25.3,25.44,25.19,25.2,15.75,897,0.0,0
2014-06-18,25.34,25.35,25.1,25.15,15.72,9501,0.0,0
2014-06-19,25.25,25.35,25.1,25.1,15.69,713,0.0,0
2014-06-20,25.29,25.35,25.01,25.25,15.78,24086,0.0,0
2014-06-23,25.15,25.3,25.01,25.3,15.81,10586,0.0,0
